{' Yes': -0.0062188194, 'Yes': -5.4882436, ' Generally': -6.715779, ' No': -8.289528, ' A': -8.50017}
{' Yes': -0.0044732173, 'Yes': -5.8561053, ' No': -7.1785893, '\n': -7.8386254, ' Generally': -8.655831}
{' Yes': -0.052563373, 'Yes': -3.8633945, '\n': -3.9952722, ' ': -5.307631, ' No': -5.818333}
{' Yes': -0.12570176, ' No': -2.6888616, 'Yes': -4.065401, '\n': -4.391617, ' ': -5.4603934}
{' Yes': -0.03477619, 'Yes': -3.8485749, '\n': -5.427818, ' M': -5.8163104, ' ': -6.3293905}
{' Yes': -0.027000576, 'Yes': -3.9096088, ' Generally': -6.244102, '\n': -6.688286, ' M': -6.942283}
{' Yes': -0.24816567, '\n': -2.0732331, ' No': -3.277068, 'Yes': -3.6116564, ' ': -3.8692691}
{' No': -0.4998456, ' Yes': -1.5677682, '\n': -2.2891257, 'No': -3.0328257, ' ': -4.195593}
{' Yes': -0.29521066, '\n': -1.6201903, 'Yes': -3.454157, ' ': -4.1145024, ' M': -5.2287984}
{' Yes': -0.15872118, '\n': -2.3249123, 'Yes': -3.31763, ' ': -4.9325166, ' M': -5.939988}
{' Yes': -0.012578676, 'Yes': -5.0968413, ' No': -5.5413013, '\n': -6.896814, ' ': -7.26245}
{' Yes': -0.048726693, ' No': -3.4856775, ' It': -4.9767814, 'Yes': -5.0155616, '\n': -7.25097}
{' Yes': -0.013355806, 'Yes': -4.856283, '\n': -5.8254967, ' ': -7.132099, ' M': -7.4333935}
{' Yes': -0.010729892, 'Yes': -4.760045, ' No': -7.231684, '\n': -7.612555, ' Generally': -8.24634}
{' Yes': -0.40506262, ' No': -1.9827414, 'Yes': -2.5987024, '\n': -2.832549, 'No': -3.4010894}
{' Yes': -0.9093383, ' No': -1.004042, 'No': -2.191147, 'Yes': -2.9315531, '\n': -3.2923222}
{' Yes': -0.17305382, 'Yes': -2.406927, '\n': -3.1068687, ' M': -4.712036, ' ': -4.758806}
{' Yes': -0.1925251, 'Yes': -2.128869, '\n': -3.4998732, ' M': -4.7163115, ' ': -4.895793}
{' Yes': -0.029264627, 'Yes': -4.306816, ' yes': -5.3231487, '\n': -5.567949, ' ': -5.719089}
{' Yes': -0.026260268, 'Yes': -4.473533, '\n': -5.7441225, ' yes': -5.930539, ' ': -5.9442916}
{' Yes': -0.05049739, 'Yes': -3.4584086, '\n': -5.106175, ' yes': -5.178381, ' ': -5.6302147}
{' Yes': -0.030045982, 'Yes': -3.864776, ' yes': -5.713444, ' M': -6.286368, '\n': -6.748109}
{' Yes': -0.031162577, 'Yes': -3.8946974, ' Generally': -5.721581, ' yes': -6.2471027, ' No': -6.270131}
{' Yes': -0.07165976, 'Yes': -3.3090577, ' Generally': -4.7213864, ' No': -4.8035245, ' A': -5.1351705}
{' Yes': -0.10754436, 'Yes': -2.681759, ' Generally': -4.6034575, ' yes': -5.036534, ' M': -5.183581}
{' Yes': -0.10535271, 'Yes': -2.7469902, ' Generally': -4.444666, ' M': -4.984617, ' No': -5.5476155}
{' Yes': -0.07611016, 'Yes': -2.6737092, ' yes': -6.462447, ' No': -6.5592394, 'No': -7.620444}
{' Yes': -0.37786373, ' No': -1.457282, 'No': -3.132424, 'Yes': -3.3965979, ' Generally': -6.301541}
{' Yes': -0.080316134, 'Yes': -2.8818736, ' No': -4.513387, ' Generally': -5.5989256, 'No': -5.6319213}
{' Yes': -0.12274781, 'Yes': -2.8263648, ' No': -3.472853, 'No': -4.5309906, ' Generally': -4.65025}
{' Yes': -0.13589932, 'Yes': -2.5130908, ' No': -3.4672134, 'No': -4.539042, ' yes': -6.3418164}
{' Yes': -0.30021665, ' No': -1.7316743, 'Yes': -3.1302238, 'No': -3.3531547, ' ': -7.0325623}
{' Yes': -0.12205442, 'Yes': -2.294696, ' No': -5.469339, '\n': -6.024753, 'No': -6.213206}
{' Yes': -0.13745213, 'Yes': -2.460435, ' No': -3.7131298, 'No': -4.480649, ' Generally': -5.8408036}
{' Yes': -0.06097763, ' No': -3.206653, 'Yes': -4.175621, 'No': -6.3060927, ' yes': -7.769481}
{' Yes': -0.134818, ' No': -2.2680347, 'Yes': -4.2116933, 'No': -5.300486, ' Generally': -6.5875974}
{' Yes': -0.05009962, 'Yes': -3.415685, ' No': -4.5884504, ' Generally': -5.8851385, 'No': -6.4744844}
{' Yes': -0.046101786, 'Yes': -3.6322663, ' No': -4.54885, ' Generally': -5.2969713, 'No': -6.742522}
{' Yes': -0.7094911, ' No': -1.6063169, 'No': -1.6816535, 'Yes': -2.2773013, '\n': -5.334688}
{' No': -0.8971074, 'No': -0.9811642, ' Yes': -1.9680951, 'Yes': -3.402013, ' It': -4.417852}
{' Yes': -0.26793924, 'Yes': -1.6100183, ' M': -4.7112703, '\n': -4.8771176, ' Generally': -5.6818204}
{' Yes': -0.3529939, 'Yes': -1.8414316, 'No': -3.3234947, ' No': -3.5456913, ' M': -4.030545}
{' Yes': -0.061788373, 'Yes': -3.142843, ' yes': -4.8748055, ' No': -5.7410254, '\n': -5.8888407}
{' No': -0.6936154, ' Yes': -1.0683141, 'No': -2.138352, 'Yes': -3.839856, '\n': -5.153076}
{' Yes': -0.1272311, 'Yes': -2.2696223, ' Generally': -5.410602, ' M': -5.6904693, ' No': -6.1251388}
{' Yes': -0.35839236, 'Yes': -2.2692695, ' No': -2.4622817, 'No': -2.6827044, ' Generally': -3.748136}
{' Yes': -0.02375114, ' yes': -3.9749248, 'Yes': -5.6684713, ' ': -7.5318975, '\n': -8.20353}
{' Yes': -0.010542357, ' yes': -5.1762505, 'Yes': -5.6293697, ' No': -7.654326, ' ': -7.670555}
{' Yes': -0.015370797, ' yes': -4.4756103, 'Yes': -5.761096, '\n': -8.16211, ' ': -8.164914}
{' Yes': -0.006054136, ' yes': -5.6731205, 'Yes': -6.098673, '\n': -8.808235, ' ': -8.996061}
{' Yes': -0.03912848, 'Yes': -3.8108892, ' yes': -4.5723886, '\n': -5.979192, ' ': -6.793172}
{' Yes': -0.11034369, ' No': -3.2178016, ' It': -3.8453918, 'Yes': -3.8640096, '\n': -5.0334296}
{' Yes': -0.044588327, 'Yes': -3.4442618, ' yes': -5.029167, '\n': -5.691515, ' ': -7.209284}
{' Yes': -0.038350143, 'Yes': -3.4546268, ' yes': -5.6128583, '\n': -6.8341584, ' ': -7.8958707}
{' Yes': -0.12716918, '\n': -2.7487721, 'Yes': -3.2768943, ' yes': -4.948818, ' ': -5.0143547}
{' Yes': -0.6652241, ' No': -1.2955284, '\n': -2.1144466, 'No': -3.2936096, 'Yes': -3.5521162}
{' Yes': -0.12600891, '\n': -2.9165475, 'Yes': -2.979635, ' yes': -4.911251, ' ': -5.5158234}
{' Yes': -0.12470888, 'Yes': -2.7114055, '\n': -3.2165227, ' yes': -5.410893, ' ': -5.892861}
{' Yes': -0.0152006075, 'Yes': -4.878154, ' yes': -5.9753404, '\n': -6.0214562, ' ': -7.154286}
{' Yes': -0.021073323, 'Yes': -4.8120756, ' No': -5.5909944, '\n': -6.158248, ' It': -6.2399225}
{' Yes': -0.016814345, 'Yes': -4.5004168, '\n': -6.098059, ' yes': -6.6996584, ' Generally': -7.204152}
{' Yes': -0.013522356, 'Yes': -4.759763, ' Generally': -6.2115393, '\n': -7.0856714, ' yes': -7.325206}
{' Yes': -0.43871322, 'Yes': -2.0513613, '\n': -2.1968043, ' No': -2.9563634, 'No': -3.7112153}
{' No': -0.6837936, 'No': -1.3205541, ' Yes': -2.3185134, '\n': -2.390165, 'Yes': -3.7812219}
{' Yes': -0.27416393, 'Yes': -2.0420527, '\n': -2.587934, ' yes': -3.9515443, ' ': -4.855556}
{' Yes': -0.2080605, 'Yes': -2.1166298, '\n': -3.1637545, ' yes': -4.32417, ' ': -5.5119486}
{' Yes': -0.12148298, ' yes': -2.3690395, 'Yes': -4.287068, '\n': -6.018606, ' ': -6.4132237}
{' Yes': -0.06763147, ' yes': -3.034739, 'Yes': -4.7423844, '\n': -5.4511075, ' ': -6.126619}
{' Yes': -0.11600692, ' yes': -2.812185, 'Yes': -3.3994942, '\n': -4.748312, 'yes': -5.7625885}
{' Yes': -0.048244115, ' yes': -3.4930913, 'Yes': -4.3296466, '\n': -6.5453615, ' ': -7.3605666}
{' Yes': -0.01075857, '\n': -5.343463, 'Yes': -5.5951867, ' ': -6.722058, ' yes': -7.2370996}
{' Yes': -0.008443099, 'Yes': -5.805253, '\n': -5.9391356, ' No': -6.6275926, ' ': -7.2701006}
{' Yes': -0.012834694, '\n': -4.9817886, 'Yes': -5.6488175, ' ': -6.4216633, ' yes': -8.12427}
{' Yes': -0.010453212, '\n': -5.399916, 'Yes': -5.6286874, ' Generally': -7.1778283, ' ': -7.4355645}
{' Yes': -0.10239935, '\n': -2.913135, 'Yes': -3.6499398, ' ': -4.5519915, ' No': -5.7985854}
{' Yes': -0.58622503, ' No': -1.4065013, '\n': -2.045858, 'No': -3.9274778, ' ': -3.968345}
{' Yes': -0.08263398, '\n': -3.1507318, 'Yes': -3.6295376, ' ': -5.1134605, ' M': -6.8980975}
{' Yes': -0.06467868, '\n': -3.5693727, 'Yes': -3.6625388, ' ': -6.0667744, ' Generally': -6.18861}
{' Yes': -0.24674991, '\n': -2.077467, ' No': -3.182581, ' ': -3.6035154, 'Yes': -4.1862087}
{' No': -0.60241777, ' Yes': -1.3656492, '\n': -2.0586593, 'No': -3.542624, ' ': -3.925713}
{' Yes': -0.06574937, '\n': -3.4844258, 'Yes': -4.0108194, ' ': -5.0464773, ' M': -5.1220045}
{' Yes': -0.063134335, '\n': -3.490474, 'Yes': -3.886508, ' ': -5.561078, ' M': -5.580027}
{' Yes': -0.04372385, '\n': -3.8334002, ' ': -4.645206, 'Yes': -5.222959, ' No': -5.2527995}
{' Yes': -0.11195976, ' No': -2.8893569, '\n': -3.624964, ' ': -4.4732647, 'Yes': -5.265644}
{' Yes': -0.102126345, '\n': -2.7409124, ' ': -4.3687334, 'Yes': -4.4679327, ' No': -5.2912264}
{' Yes': -0.058849975, '\n': -3.4345326, 'Yes': -4.7065396, ' No': -5.123751, ' ': -5.1967397}
{' Yes': -0.19887641, '\n': -2.6575003, ' No': -2.9608047, 'Yes': -3.4085605, ' ': -4.0467863}
{' No': -0.81343836, ' Yes': -0.8814925, 'No': -2.9759672, '\n': -3.2002716, 'Yes': -3.834707}
{' Yes': -0.088347666, 'Yes': -3.5705957, '\n': -3.6838865, ' No': -4.1378584, ' ': -4.751155}
{' Yes': -0.13900238, ' No': -2.9525437, 'Yes': -3.5352714, '\n': -3.7388747, ' M': -4.6942863}
{' Yes': -0.04507843, 'Yes': -4.183138, '\n': -4.3345356, ' ': -4.651949, ' yes': -5.5923424}
{' Yes': -0.050683044, '\n': -4.076495, 'Yes': -4.35032, ' ': -4.765498, ' No': -5.7239957}
{' Yes': -0.046690796, 'Yes': -3.7114167, '\n': -4.559281, ' ': -5.1774335, ' yes': -5.73268}
{' Yes': -0.029385975, 'Yes': -3.9336672, '\n': -5.668126, ' yes': -5.9254084, ' ': -6.472591}
{' No': -0.2716095, ' Yes': -2.017829, ' Generally': -3.118596, 'No': -3.8598967, ' It': -4.038335}
{' No': -0.58964217, ' Yes': -1.0875822, ' It': -3.351208, ' Generally': -3.617804, ' A': -4.3084264}
{' No': -0.21389978, ' Generally': -2.9251845, ' M': -3.309414, ' Yes': -3.3463857, 'No': -3.3772717}
{' Yes': -0.8602599, ' No': -1.3012084, ' Generally': -1.8466109, ' M': -2.5853574, ' It': -3.5999029}
{' No': -0.24020596, 'No': -2.136776, ' Generally': -3.4498062, ' It': -3.6947405, ' Yes': -3.8881245}
{' No': -0.65640956, ' Yes': -1.493419, 'No': -2.4909756, ' Generally': -2.5873654, ' It': -2.7552006}
{' No': -0.28519008, 'No': -1.9779065, ' M': -3.1368077, ' Generally': -3.665008, ' It': -4.4148555}
{' No': -0.4480596, 'No': -2.2428498, ' Generally': -2.4334264, ' M': -2.874346, ' Yes': -2.9826014}
{' No': -0.15976754, 'No': -2.1031823, '\n': -4.2969594, ' ': -5.504875, ' It': -6.114637}
{' No': -0.14901231, 'No': -2.375409, ' Yes': -3.8411317, '\n': -4.749972, ' It': -5.5033517}
{' No': -0.26080278, 'No': -2.0406184, '\n': -3.442659, ' M': -3.5542903, ' It': -4.678743}
{' No': -0.7146774, ' Yes': -1.863561, ' M': -2.0963511, 'No': -2.56262, ' It': -2.9238713}
{' No': -0.05975042, 'No': -2.906888, ' Generally': -6.55593, ' A': -7.3301206, ' ': -8.043899}
{' No': -0.15124609, 'No': -2.8608809, ' Yes': -3.514609, ' Generally': -3.8976243, ' It': -4.383736}
{' No': -0.23098905, 'No': -1.8346438, ' M': -3.6883118, ' Generally': -4.454286, ' It': -5.9705534}
{' No': -0.34296435, 'No': -2.0317426, ' M': -2.7711105, ' Generally': -2.8329222, ' It': -4.2539215}
{' No': -0.305223, 'No': -1.7828994, ' Yes': -3.4238372, '\n': -4.0048785, ' Generally': -4.385478}
{' No': -0.2925765, 'No': -1.7100837, ' Yes': -3.8431404, '\n': -4.325482, ' It': -4.599285}
{' No': -0.43532306, 'No': -1.8242714, '\n': -3.1649573, ' M': -3.2716708, ' It': -3.4849102}
{' No': -0.48247, 'No': -2.2490926, ' It': -2.6057172, ' M': -3.1656709, ' Generally': -3.367243}
{' No': -0.18460411, 'No': -2.0033581, ' Generally': -4.559987, ' ': -5.385602, '\n': -5.457559}
{' Yes': -0.39323646, ' No': -1.7443049, ' Generally': -3.2128582, 'No': -3.2340436, 'Yes': -3.4026146}
{' No': -0.3398046, 'No': -1.8729905, ' M': -3.0991085, ' Generally': -3.4466636, ' Yes': -4.5899997}
{' No': -0.7125998, ' Yes': -1.6021987, 'No': -2.0758507, ' M': -2.6898966, ' Generally': -2.7334604}
{' No': -0.007376432, 'No': -5.16767, ' Yes': -7.669718, '\n': -7.84313, ' It': -7.9117107}
{' No': -0.010997486, 'No': -5.1434226, ' Yes': -5.7986956, ' It': -6.8355303, ' ': -8.164945}
{' No': -0.040912747, 'No': -3.933853, '\n': -4.9492207, ' Yes': -5.047413, ' M': -5.7653313}
{' Yes': -0.21048087, ' No': -1.8429595, ' Generally': -4.820012, 'Yes': -5.0643835, '\n': -5.321931}
{' No': -0.14739959, 'No': -2.3488786, '\n': -3.7298808, ' ': -5.0825057, ' It': -5.5695643}
{' No': -0.12082651, 'No': -2.6650522, '\n': -4.5468154, ' A': -4.670158, ' It': -4.8598456}
{' No': -0.15584217, 'No': -2.3874345, ' M': -3.9416087, '\n': -4.0677266, ' ': -4.8770523}
{' No': -0.4138517, 'No': -2.2246199, ' Yes': -2.650548, ' M': -2.7677832, ' Generally': -3.290513}
{' No': -0.23464273, '\n': -2.177874, 'No': -2.5642364, ' ': -4.1737027, ' A': -6.1792173}
{' No': -0.1714565, 'No': -2.6281388, '\n': -2.672532, ' ': -4.6236753, ' A': -5.7438827}
{' No': -0.60608584, '\n': -1.0752555, 'No': -2.7944422, ' ': -3.4444268, ' M': -4.2583094}
{' No': -0.81262857, '\n': -1.2644261, ' Yes': -2.1722667, 'No': -2.702584, ' M': -3.1553369}
{' No': -0.035980705, 'No': -3.569218, ' It': -5.49053, '\n': -6.6900425, ' ': -6.7201138}
{' No': -0.1302396, ' It': -2.5055847, 'No': -3.606924, ' That': -5.646318, ' A': -6.115183}
{' No': -0.08488511, 'No': -2.616156, ' M': -5.8140626, '\n': -5.9752336, ' ': -6.533612}
{' No': -0.24549605, 'No': -2.5223, ' It': -2.8823042, ' M': -3.2320812, ' Yes': -4.1496706}
{' No': -0.32698062, 'No': -1.4568671, '\n': -3.4648283, ' ': -4.513784, ' A': -6.6178765}
{' No': -0.4930751, 'No': -1.5712116, ' Yes': -2.2779033, '\n': -3.3759558, 'Yes': -3.9676502}
{' No': -0.38723812, 'No': -1.6067587, '\n': -2.5630422, ' ': -3.9921978, ' M': -4.0304723}
{' No': -0.7788268, 'No': -1.5342169, '\n': -2.3376856, ' Yes': -2.3477602, ' M': -2.6872034}
{' No': -0.115403, 'No': -2.685809, '\n': -4.7679734, ' It': -4.851399, ' ': -4.9772544}
{' No': -0.45879745, ' Yes': -1.6718329, ' It': -2.947069, 'No': -3.1916883, ' A': -3.330326}
{' No': -0.29692915, 'No': -2.0728025, ' M': -3.0492713, '\n': -3.7790725, ' ': -4.055486}
{' Yes': -0.73750615, ' No': -1.4719633, ' M': -2.1021702, ' Generally': -3.201747, 'No': -3.255563}
{' No': -0.1659141, 'No': -2.0761542, ' Yes': -4.938618, ' A': -5.069673, ' It': -5.4663672}
{' No': -0.2343114, 'No': -1.9291891, ' Yes': -3.840091, ' A': -4.3624344, ' It': -4.490486}
{' No': -0.48164424, 'No': -1.5710493, ' M': -3.2846572, ' It': -3.5407443, ' Generally': -3.7268379}
{' No': -0.72899395, 'No': -1.6624314, ' Yes': -2.021831, ' Generally': -2.9986768, ' It': -3.182142}
{' No': -0.2429081, 'No': -1.5393233, ' Yes': -8.058797, ' ': -8.52091, ' Generally': -8.653421}
{' No': -0.22496319, 'No': -1.6264373, ' Yes': -5.827982, ' Generally': -7.449555, ' It': -7.7289357}
{' No': -0.28708187, 'No': -1.4854175, ' Yes': -5.075114, ' Generally': -5.2459383, ' M': -5.7078333}
{' No': -0.5579713, 'No': -1.5720437, ' Yes': -1.8844273, ' Generally': -3.5865338, 'Yes': -4.329007}
{' No': -0.21622361, 'No': -1.6529797, '\n': -6.8228416, ' ': -7.0959153, ' Yes': -8.05303}
{' No': -0.22402427, 'No': -1.6216742, ' Yes': -6.827545, '\n': -7.635714, ' ': -7.6458774}
{' No': -0.49861628, 'No': -1.0197364, ' It': -4.7809153, '\n': -5.2035704, ' M': -5.214137}
{' No': -0.6375967, 'No': -1.3585135, ' Yes': -2.2670887, ' It': -2.986092, ' M': -4.1447453}
{' No': -0.07382801, 'No': -2.6523077, ' ': -7.978779, ' Generally': -9.59144, ' A': -9.915895}
{' No': -0.052354004, 'No': -3.046788, ' Yes': -6.3455653, ' Generally': -7.4915986, ' ': -8.023773}
{' No': -0.16536817, 'No': -1.9060087, ' M': -6.6099653, ' Generally': -6.954076, ' ': -7.969975}
{' No': -0.15779278, 'No': -2.0885656, ' Generally': -4.840009, ' M': -4.99605, ' Yes': -6.010961}
{' No': -0.67101276, 'No': -0.74614143, '\n': -5.4234157, ' ': -5.938104, ' M': -6.471479}
{'No': -0.6784029, ' No': -0.78478134, ' Yes': -4.882676, '\n': -5.0061746, ' It': -5.189417}
{'No': -0.79834974, ' No': -1.1143839, ' It': -2.856848, ' M': -3.1993477, '\n': -3.6760702}
{'No': -0.87756115, ' No': -1.2926822, ' It': -2.525869, ' Yes': -3.0426917, ' M': -3.0950177}
{' No': -0.25537038, 'No': -1.5294545, '\n': -5.41393, ' ': -6.479203, ' Yes': -7.1927404}
{' No': -0.24645756, 'No': -1.6189324, ' Yes': -5.114839, ' M': -5.310331, '\n': -5.46875}
{' No': -0.5884466, 'No': -0.8941163, ' M': -4.087945, ' Generally': -5.387805, '\n': -5.7992735}
{' No': -0.764636, 'No': -0.92904186, ' Yes': -3.0106838, ' M': -3.4134836, ' Generally': -3.611024}
{' No': -0.0065864837, 'No': -5.332453, ' ': -6.9814754, '\n': -8.110962, ' no': -8.301029}
{' No': -0.0062002256, 'No': -5.55899, ' Yes': -6.7874265, ' ': -7.150428, '\n': -8.954294}
{' No': -0.019797424, 'No': -4.824548, ' Yes': -4.8818655, ' M': -6.6648726, ' ': -6.7194943}
{' Yes': -0.08512106, ' No': -2.7492445, 'Yes': -5.230999, ' M': -5.662563, '\n': -6.203599}
{' No': -0.19324219, 'No': -1.941909, ' It': -4.402074, '\n': -4.518512, ' ': -5.595907}
{' No': -0.1622393, 'No': -2.208317, ' It': -3.7393343, '\n': -5.1886444, ' ': -5.883819}
{' No': -0.2193802, 'No': -1.7902325, '\n': -4.5560274, ' It': -4.9490633, ' M': -5.6393304}
{' No': -0.5070862, ' Yes': -1.6182159, 'No': -2.001471, ' It': -3.7615206, 'Yes': -4.4417}
{' No': -0.23182924, 'No': -2.1194654, '\n': -2.5928025, ' ': -4.999386, ' It': -6.493125}
{' No': -0.34343213, 'No': -2.1134498, '\n': -2.1154583, ' Yes': -3.8285468, ' ': -4.626393}
{' No': -0.28867432, 'No': -1.898898, '\n': -2.5379782, ' M': -4.7424, ' ': -4.774028}
{' Yes': -1.0462997, '\n': -1.3507106, ' No': -1.7536457, ' M': -2.7546358, 'No': -2.8725498}
{' No': -0.048973925, 'No': -3.199412, '\n': -5.752491, ' ': -6.327988, ' It': -6.932528}
{' No': -0.09675837, 'No': -3.2556615, ' It': -3.3490698, ' That': -5.6940746, '\n': -5.7898216}
{' No': -0.12291373, 'No': -2.3313887, '\n': -5.1674786, ' M': -5.4728107, ' It': -5.647238}
{' No': -1.1143603, ' Yes': -1.3661991, ' It': -1.6549354, ' Generally': -2.4976993, ' M': -3.1497092}
{' No': -0.49731186, 'No': -1.1707623, '\n': -2.7039595, ' ': -4.7607603, ' no': -6.3297534}
{' No': -0.6983979, 'No': -1.1574795, '\n': -2.2599633, ' Yes': -2.9684327, 'Yes': -4.0869007}
{' No': -0.6274467, 'No': -1.1891171, '\n': -2.0735872, ' ': -4.381788, ' M': -4.657998}
{' No': -0.85386443, 'No': -1.167629, '\n': -1.9084281, ' Yes': -3.145107, ' M': -4.109281}
{' No': -0.2028812, ' It': -2.7603953, 'No': -2.9516146, '\n': -4.250845, ' no': -4.2983627}
{' No': -0.96171165, ' It': -1.4194982, ' Yes': -1.4459913, '\n': -3.4670312, 'No': -4.012599}
{' No': -0.33424252, 'No': -2.009871, '\n': -3.2016885, ' M': -3.5460627, ' It': -3.6293404}
{' Yes': -0.40425438, ' No': -2.525966, ' It': -2.7147439, '\n': -3.1426308, ' M': -3.1985965}
{' No': -0.029563628, '\n': -4.440084, 'No': -4.6209044, ' ': -5.7191486, ' It': -6.0624437}
{' No': -0.020162817, 'No': -4.9186935, '\n': -5.1825695, ' It': -6.066971, ' ': -6.344776}
{' No': -0.08759351, '\n': -3.2002394, 'No': -4.0635376, ' ': -4.879811, ' Yes': -4.9800987}
{' No': -0.676501, ' Yes': -1.015387, '\n': -3.1698804, ' Generally': -3.3195271, ' M': -3.979712}
{' No': -0.18486653, 'No': -2.4242902, '\n': -2.7989068, ' ': -4.405724, ' It': -5.7254534}
{' No': -0.14402285, 'No': -2.5427847, '\n': -3.1979337, ' ': -4.9207635, ' It': -5.6166863}
{' No': -0.2601007, '\n': -2.1559231, 'No': -2.4229481, ' ': -4.2557025, ' M': -5.1393027}
{' No': -0.46654585, '\n': -2.1290042, ' Yes': -2.3516185, 'No': -2.3892066, ' Generally': -3.9682014}
{' No': -0.16866381, '\n': -2.540038, 'No': -2.9827526, ' ': -4.042271, ' A': -5.663264}
{' No': -0.17965086, '\n': -2.350366, 'No': -3.1230426, ' ': -4.250886, ' A': -5.4769316}
{' No': -0.20789024, '\n': -2.2982032, 'No': -2.986279, ' ': -3.9387631, ' M': -4.3634934}
{' Yes': -0.9500344, ' No': -1.4277012, '\n': -1.6289475, ' M': -2.4645662, ' ': -3.5066519}
{' No': -0.05539403, '\n': -3.9179065, 'No': -3.9848638, ' ': -4.5018144, ' It': -6.1295133}
{' No': -0.035505973, 'No': -3.9319675, '\n': -5.007474, ' ': -5.3658223, ' It': -6.0610313}
{' No': -0.13040441, '\n': -2.835486, 'No': -3.0566738, ' ': -4.309577, ' M': -6.0602956}
{' No': -0.23564094, '\n': -2.2655768, 'No': -3.2565548, ' M': -3.537202, ' ': -3.9559739}
{' No': -0.14081621, 'No': -2.5637174, '\n': -3.320347, ' ': -4.3594227, ' A': -6.015455}
{' No': -0.15291701, 'No': -2.3785067, '\n': -4.127387, ' Yes': -4.2283945, ' ': -4.7944403}
{' No': -0.1572207, 'No': -2.6272066, '\n': -3.088333, ' ': -4.094684, ' M': -4.791183}
{' No': -0.40451106, ' Yes': -2.0239186, 'No': -2.585631, '\n': -3.133143, ' M': -3.24433}
{' No': -0.09686081, 'No': -3.2092206, '\n': -4.2485466, ' ': -4.314321, ' It': -4.6967483}
{' No': -0.3268801, ' Yes': -2.372069, '\n': -3.2302098, ' It': -3.3152337, 'No': -3.3927674}
{' No': -0.23479348, 'No': -2.6023872, '\n': -2.9618478, ' M': -3.6094975, ' ': -3.6301293}
{' Yes': -0.31367588, ' No': -2.101285, ' M': -3.0702238, 'Yes': -3.6257312, '\n': -3.6370783}
{' Yes': -0.013350609, ' Generally': -5.3783917, ' No': -5.5721807, 'Yes': -6.1141343, ' A': -6.8917646}
{' Yes': -0.02918141, ' Generally': -4.8266397, ' No': -4.841449, ' It': -5.271739, ' A': -5.9206414}
{' Yes': -0.64143413, ' No': -0.99511576, ' Generally': -3.0005763, ' Ducks': -3.920279, 'No': -4.4105816}
{' Yes': -0.20790075, ' No': -2.2601697, ' Generally': -3.5036848, ' Ducks': -3.7499423, ' It': -4.8542533}
{' Yes': -0.13851188, ' It': -3.308294, ' Generally': -3.5052354, ' No': -3.5660303, 'Yes': -4.348353}
{' Yes': -0.06529701, ' Generally': -4.012791, ' It': -4.3214293, ' No': -4.417809, 'Yes': -4.457743}
{' Yes': -0.35040846, ' No': -1.7993945, ' Generally': -3.0085297, ' Ducks': -3.6716936, 'No': -4.036386}
{' Yes': -0.63419306, ' No': -1.5016704, ' Generally': -2.364036, ' Ducks': -3.1147513, 'No': -3.604238}
{' Yes': -0.049740095, 'Yes': -4.2250977, '\n': -4.537592, ' No': -4.802132, ' Generally': -5.4441357}
{' Yes': -0.032147877, 'Yes': -4.651464, ' No': -4.90817, '\n': -5.2219863, ' It': -5.8607187}
{' Yes': -0.6702449, ' No': -0.95408696, 'No': -3.2790132, ' Ducks': -4.2682905, 'Yes': -4.399695}
{' Yes': -0.4360462, ' No': -1.6352861, ' Ducks': -3.1514752, '\n': -3.5029619, ' Generally': -3.9558332}
{' Yes': -0.040421516, ' Generally': -4.4147463, ' No': -4.6970606, 'Yes': -4.882001, ' It': -5.5078325}
{' Yes': -0.033826675, ' Generally': -4.583032, ' A': -5.1044135, 'Yes': -5.1911826, ' No': -5.321689}
{' No': -0.36566395, ' Yes': -1.6455541, 'No': -3.1913035, ' Generally': -3.428505, ' Ducks': -3.6591625}
{' No': -0.86219907, ' Yes': -0.8840706, ' Generally': -2.9505723, 'No': -3.1350393, ' Ducks': -3.6430027}
{' Yes': -0.32397255, ' No': -2.2687376, ' Generally': -3.4325461, ' It': -3.5088193, '\n': -3.6347024}
{' Yes': -0.28352112, ' No': -1.991361, '\n': -3.8057415, ' Generally': -3.8349223, ' It': -3.9134457}
{' No': -0.68743217, ' Yes': -1.2368058, 'No': -2.5070026, '\n': -3.4601333, ' Generally': -3.8863301}
{' Yes': -0.6165463, ' No': -1.530273, ' Ducks': -3.0564454, ' Generally': -3.3469484, '\n': -3.526322}
{' Yes': -0.07690204, ' Generally': -3.723516, 'Yes': -4.1616454, ' No': -4.587067, ' A': -5.274883}
{' Yes': -0.055935144, ' Generally': -4.148016, 'Yes': -4.297304, ' No': -5.035372, ' A': -5.1200275}
{' Yes': -0.4020702, ' No': -1.5872777, ' Generally': -3.1745043, 'No': -3.4278364, 'Yes': -4.043498}
{' Yes': -0.4322789, ' No': -1.6715766, ' Generally': -3.1343298, ' Ducks': -3.312522, 'No': -3.756833}
{' Yes': -0.0044247843, 'Yes': -5.848052, ' yes': -7.3046026, ' No': -7.703315, '\n': -8.671318}
{' Yes': -0.009288479, ' No': -5.3299484, 'Yes': -5.7060294, ' yes': -7.881452, ' It': -8.320373}
{' Yes': -0.47528663, ' No': -0.9998189, 'No': -5.7830844, 'Yes': -6.025482, '\n': -6.217526}
