{' Yes': -0.0025378054, 'Yes': -6.061555, ' yes': -9.673789, '\n': -9.904489, ' Spider': -10.603524}
{' Squ': -1.0317519, ' Sure': -1.075972, ' Yes': -1.7997286, ' Square': -2.1236613, ' No': -4.9173517}
{' Yes': -0.0016347548, 'Yes': -6.6641164, ' Sure': -8.338556, ' No': -10.288666, ' yes': -10.731342}
{' Yes': -0.002409756, 'Yes': -6.619478, ' No': -7.446125, ' Sure': -8.055539, ' Absolutely': -10.246665}
{' Yes': -0.010283435, ' No': -4.895497, 'Yes': -5.9553494, ' yes': -10.288698, 'No': -10.953441}
{' Yes': -0.09445091, ' No': -2.4690237, 'Yes': -5.4077883, 'No': -8.12303, ' Nope': -8.261309}
{' Ending': -0.5327421, ' Yes': -0.9743047, ' No': -3.4948602, 'Yes': -5.8502393, ' End': -6.906577}
{' Ending': -0.14176647, ' Yes': -2.1959715, ' No': -4.0841317, ' End': -6.617141, 'Yes': -6.901734}
{' Energy': -0.50505674, ' Yes': -0.9392569, 'Yes': -6.071408, 'Energy': -6.225981, ' energy': -8.033642}
{' Yes': -0.0972269, ' Energy': -2.60976, ' No': -4.4929867, 'Yes': -5.996787, ' Absolutely': -6.8251333}
{' Yes': -0.0016874758, 'Yes': -6.518208, ' No': -9.388423, ' Father': -10.047866, ' yes': -10.099513}
{' Yes': -0.0017268795, 'Yes': -6.5271955, ' No': -8.766397, ' Father': -9.67974, ' yes': -11.030255}
{' No': -0.2508165, ' Yes': -1.5367107, 'No': -5.3491955, 'Yes': -7.1099935, ' Pen': -7.8817635}
{' Yes': -0.029669415, ' No': -3.6489527, 'Yes': -5.9627404, ' Pen': -8.434741, 'No': -8.698763}
{' Yes': -0.2725742, ' Street': -1.4524885, 'Yes': -5.842409, ' Sure': -7.3933697, ' No': -7.9404473}
{' Yes': -0.0136763705, ' No': -4.4404244, 'Yes': -6.3976254, 'No': -10.16749, ' yes': -10.74534}
{' Yes': -0.001136186, 'Yes': -6.832909, ' Strong': -10.753835, ' yes': -10.9029045, ' YES': -11.719794}
{' Yes': -0.28312913, ' Strong': -1.4105934, 'Yes': -6.4491405, 'Strong': -7.6559024, ' yes': -9.350382}
{' Yes': -0.094526775, ' Seller': -2.453648, ' No': -6.1557884, 'Yes': -6.528591, ' yes': -8.599386}
{' Yes': -0.014383416, ' Seller': -4.394851, 'Yes': -6.676084, ' No': -8.2276745, ' yes': -8.476942}
{' Yes': -0.093076825, ' Bl': -2.961929, ' No': -3.3923433, 'Yes': -6.234817, ' Nope': -8.372099}
{' Yes': -0.2950919, ' Bl': -2.0025218, ' No': -2.1737978, 'Yes': -5.9373674, 'No': -7.5548453}
{' Yes': -0.009677013, ' No': -5.028619, 'Yes': -6.2072363, ' B': -7.385958, ' Bor': -8.918319}
{' Yes': -0.0092802355, 'Yes': -5.510789, ' No': -5.6524725, ' B': -7.497393, ' Bor': -8.14149}
{' Yes': -0.0013745459, 'Yes': -6.674348, ' No': -9.712718, ' yes': -10.500808, ' YES': -11.409536}
{' No': -0.5357142, ' Yes': -1.1566421, ' Prince': -2.8860865, ' Nope': -3.6576643, ' Princess': -5.4852104}
{' Yes': -0.0022537026, 'Yes': -6.413962, ' No': -8.417823, ' Parent': -9.015666, ' Sure': -9.077803}
{' Yes': -0.22576435, ' Parent': -1.6891222, 'Yes': -5.5307407, ' Parents': -5.5713477, ' P': -6.155121}
{' Yes': -0.0011839839, 'Yes': -6.894567, ' No': -8.985293, ' yes': -10.995055, ' Sure': -11.678394}
{' Yes': -0.0009823599, 'Yes': -7.0629997, ' No': -10.152969, ' Sure': -10.502415, ' yes': -10.879499}
{' Yes': -0.044489425, ' No': -3.2009416, 'Yes': -6.088772, 'No': -8.631806, ' Nope': -9.147077}
{' Yes': -0.13823786, ' No': -2.0841856, ' Nope': -5.8247128, 'Yes': -7.207152, ' Sure': -8.179403}
{' Yes': -0.29010603, ' St': -1.9063302, ' Stars': -2.6561415, 'Yes': -4.1988134, ' No': -4.78753}
{' Yes': -0.07682157, ' Stars': -3.1915941, ' No': -4.193494, 'Yes': -4.6001425, ' St': -5.159707}
{' Yes': -0.0024563589, 'Yes': -6.103156, ' yes': -9.302167, ' Doctor': -9.38645, ' YES': -10.947684}
{' Yes': -0.0033560288, 'Yes': -6.026982, ' Doctor': -7.5489044, ' No': -8.112935, ' yes': -9.821492}
{' No': -0.6068026, ' Yes': -1.1487949, ' Rot': -2.9663446, ' R': -3.0252194, ' Not': -5.1130137}
{' No': -0.14983225, ' Yes': -2.1118283, 'No': -5.2773232, ' Nope': -5.7916527, ' Rot': -5.917418}
{' Yes': -0.40490362, ' Tennis': -1.6380807, ' No': -2.5539858, ' Tenn': -3.2827818, ' Ten': -4.371296}
{' Tennis': -0.62726575, ' Tenn': -1.1670301, ' Ten': -3.0443606, ' Yes': -3.1133575, 'Tenn': -3.4790244}
{' Yes': -0.7729675, ' Bucket': -0.92184573, ' No': -2.3647604, ' Buck': -3.2959206, 'Yes': -5.9443464}
{' Yes': -0.5284089, ' Bucket': -1.1618146, ' Buck': -2.8440826, ' No': -3.620942, 'Yes': -5.5074778}
{' Yes': -0.082717374, ' States': -2.8613331, 'Yes': -4.6058307, ' No': -4.728742, ' St': -6.4510593}
{' Yes': -0.30243936, ' States': -1.5596262, ' No': -3.8291533, 'Yes': -4.43815, ' St': -4.455439}
{' Yes': -0.0027336471, 'Yes': -6.5643387, ' No': -6.9497814, ' Sure': -8.838293, ' Yep': -10.378416}
{' Yes': -0.008616829, ' No': -5.3664465, 'Yes': -5.9219427, ' Sure': -7.6983576, ' Nope': -7.907443}
{' Yes': -0.16024235, ' No': -2.0702744, ' In': -4.1644917, 'Yes': -5.589756, 'No': -7.234564}
{' No': -0.06884196, ' Yes': -3.078567, ' Nope': -4.477239, 'No': -5.2085834, ' In': -7.1314764}
{' Yes': -0.002715058, 'Yes': -6.3467946, ' Loving': -7.26188, ' yes': -9.397441, ' YES': -9.450725}
{' Yes': -0.0025535214, 'Yes': -6.6000705, ' No': -6.811633, ' Sure': -10.186332, ' yes': -10.988305}
{' Yes': -0.019433077, ' No': -4.2516313, 'Yes': -5.9277644, ' Turtle': -6.3270974, ' Absolutely': -9.030258}
{' No': -0.21343659, ' Yes': -1.6608129, 'No': -6.430538, 'Yes': -8.054478, ' Nope': -8.464907}
{' Yes': -0.024079507, ' No': -3.8596218, 'Yes': -6.000981, 'No': -8.929614, ' yes': -10.198151}
{' Yes': -0.049162734, ' No': -3.5078835, ' Butter': -4.528397, 'Yes': -5.2399473, 'No': -7.770502}
{' Yes': -0.0057658576, ' No': -5.5112796, 'Yes': -6.65418, ' B': -8.642434, ' yes': -9.443383}
{' Yes': -0.0040744906, ' No': -6.0025177, 'Yes': -6.5006638, ' yes': -9.954798, ' YES': -11.15841}
{' Yes': -0.11401258, ' No': -2.2562263, 'Yes': -6.31155, 'No': -7.979073, ' Twelve': -8.274062}
{' Yes': -0.21994008, ' No': -1.6464709, 'Yes': -6.269224, ' Twelve': -7.162672, 'No': -7.2474346}
{' Yes': -0.024593368, ' She': -4.2251263, 'Yes': -4.826305, ' No': -7.432192, ' Sheet': -8.701726}
{' Yes': -0.01094548, 'Yes': -4.9332056, ' She': -5.923726, ' No': -8.581381, ' Sure': -8.781985}
{' Yes': -0.007325876, 'Yes': -5.2866797, ' Stress': -6.9411254, ' No': -7.8359675, ' YES': -8.347453}
{' Yes': -0.012196253, 'Yes': -5.077803, ' No': -5.886178, ' Stress': -6.3190503, ' St': -7.8204384}
{' Yes': -0.056578577, ' No': -3.1685665, 'Yes': -5.2090573, ' Sunset': -5.379523, ' Sure': -6.4136977}
{' Yes': -0.2838816, ' Sunset': -2.1091876, ' No': -2.659797, ' Sun': -3.91774, 'Yes': -4.75258}
{' Yes': -0.049337927, ' No': -3.0612872, 'Yes': -6.769566, 'No': -9.111122, ' Sure': -11.0067005}
{' Minute': -0.85482144, ' Yes': -1.0999062, ' No': -1.4923583, ' Minutes': -5.8536553, ' Nope': -6.0897493}
{' Yes': -0.0023504866, ' No': -6.5708394, 'Yes': -6.996088, ' yes': -11.044138, ' Sure': -12.417869}
{' Yes': -0.052540883, ' No': -3.0121148, 'Yes': -6.9149904, ' Sure': -7.50857, ' Nope': -8.200461}
{' Yes': -0.15814027, ' No': -2.3505628, ' Wa': -3.4205666, ' Wait': -4.81411, 'Yes': -5.308815}
{' Yes': -0.017732725, ' Wa': -5.024083, 'Yes': -5.3543644, ' Wait': -6.319373, ' No': -6.603474}
{' Yes': -0.13273835, ' No': -2.1107123, 'Yes': -6.2603016, 'No': -7.3314743, ' Nope': -8.787712}
{' No': -0.5205365, ' Yes': -0.91325, 'No': -6.078426, ' Nope': -7.073796, 'Yes': -7.149436}
{' Yes': -0.27173087, ' No': -1.4466271, 'Yes': -6.7108917, 'No': -7.3579593, ' Length': -7.3874974}
{' Yes': -0.1515295, ' No': -2.0581057, ' Length': -4.6740456, ' Nope': -6.3661957, 'Yes': -6.721924}
{' Yes': -0.0020982134, 'Yes': -6.320706, ' No': -8.931374, ' yes': -9.321539, ' Sure': -10.856571}
{' Yes': -0.002693901, 'Yes': -6.241005, ' No': -7.831898, ' Sure': -9.029078, ' yes': -9.433089}
{' Yes': -0.001839435, 'Yes': -6.613274, ' No': -8.221144, ' Sure': -9.348593, ' yes': -9.784832}
{' Yes': -0.017875368, ' No': -4.69132, 'Yes': -5.349963, ' Sure': -6.4425025, ' Absolutely': -7.8914948}
{' Yes': -0.058313023, ' No': -3.3214755, ' Mus': -4.6341243, ' Muscle': -5.1667876, 'Yes': -5.73722}
{' Yes': -0.30517277, ' No': -1.8070667, ' Mus': -2.9031456, ' Muscle': -3.427693, 'Yes': -5.5393243}
{' Yes': -0.03128993, ' No': -3.7278821, 'Yes': -5.825084, ' Em': -6.44699, ' Empire': -6.9664736}
{' Empire': -0.5845677, ' Em': -1.3253075, ' Yes': -1.8409669, ' Emperor': -4.6457763, ' No': -6.371792}
{' No': -0.04202759, ' Nope': -3.701352, ' Yes': -4.660964, 'No': -5.3844786, ' Kn': -6.9097204}
{' No': -0.022467086, ' Nope': -4.444388, 'No': -5.2236524, ' Yes': -5.3193245, ' N': -10.5322075}
{' Yes': -0.0012450337, 'Yes': -6.9890394, ' No': -8.268477, ' yes': -11.158192, ' Sure': -11.205237}
{' Yes': -0.0028711837, ' No': -6.190682, 'Yes': -7.20011, ' yes': -10.846072, ' Sure': -10.93551}
{' Yes': -0.00071021594, 'Yes': -7.3385434, ' No': -10.421417, ' yes': -10.704294, ' YES': -12.242512}
{' Yes': -0.011517882, 'Yes': -5.16501, ' No': -5.350154, ' yes': -8.306571, ' YES': -8.987025}
{' Yes': -0.17477871, ' No': -1.9307202, ' Dagger': -4.6559205, 'Yes': -5.650796, 'No': -7.3946395}
{' Yes': -0.13651703, ' No': -2.084521, 'Yes': -6.0415936, 'No': -7.287241, ' Nope': -9.710204}
{' Yes': -0.011953007, ' No': -4.6011424, 'Yes': -6.345056, ' yes': -10.372524, 'No': -10.400766}
{' Yes': -0.02216575, ' No': -4.021475, 'Yes': -5.718015, 'No': -9.148739, ' yes': -9.160789}
{' Yes': -0.46907154, ' No': -0.9888698, 'Yes': -6.8486333, 'No': -7.049468, ' Maybe': -8.458702}
{' Yes': -0.08651318, ' No': -2.5518928, 'Yes': -5.833878, ' Middle': -7.7593455, ' yes': -8.015802}
{' No': -0.15144531, ' Yes': -2.2218301, ' Nope': -4.625028, ' Office': -4.738709, 'No': -5.2900248}
{' No': -0.83102804, ' Office': -1.3880311, ' Yes': -1.8305855, ' Off': -2.2719736, ' Nope': -4.504161}
{' No': -0.16911998, ' Yes': -2.0550737, ' Behind': -3.975852, 'No': -5.5777664, ' Nope': -5.98637}
{' Yes': -0.2974366, ' No': -1.3689966, 'Yes': -6.3951397, 'No': -7.2708917, ' Nope': -8.199574}
{' Yes': -0.15694341, ' Thread': -1.982091, ' No': -6.096057, 'Yes': -6.278393, 'Thread': -7.150301}
{' Yes': -0.36420918, ' Thread': -1.2446566, ' No': -4.903109, ' Dread': -5.6530476, 'Thread': -6.675861}
{' Yes': -0.37352628, ' No': -2.1283326, ' Issue': -2.4956155, ' Tess': -4.282367, ' Su': -4.496324}
{' Yes': -0.20809087, ' Issue': -2.4504156, ' No': -3.0478802, ' Sure': -4.5816402, 'Yes': -4.7950726}
{' Yes': -0.040751625, ' No': -3.8620806, ' Sure': -4.131442, 'Yes': -6.074788, ' Nope': -8.881545}
{' Yes': -0.13751067, ' Sure': -2.1846337, ' No': -5.273613, 'Yes': -5.545221, ' Sau': -6.624897}
{' Yes': -0.5678284, ' No': -1.3132833, ' Fl': -1.9236519, 'Yes': -5.1008773, ' Fal': -5.879821}
{' Yes': -0.20853588, ' No': -1.7709615, 'Yes': -4.7490706, ' Fl': -5.183645, 'No': -7.0684867}
{' Yes': -0.085359536, ' No': -3.1229742, ' Sne': -3.573856, 'Yes': -5.2056065, ' Sn': -6.764513}
{' Yes': -0.20020285, ' No': -1.7654952, 'Yes': -5.497158, ' Sne': -5.675554, ' Nope': -6.8714423}
{' Yes': -0.00585225, ' Better': -5.831373, 'Yes': -6.0444703, ' No': -8.348164, ' Sure': -9.30832}
{' Yes': -0.005082067, 'Yes': -5.8233557, ' Better': -6.618264, ' No': -7.6113224, ' yes': -9.609432}
{' Yes': -0.043364, ' No': -3.185402, 'Yes': -6.972221, 'No': -9.680729, ' yes': -10.642738}
{' Yes': -0.62970483, ' Purple': -0.8877006, ' Pur': -3.3578677, ' No': -4.464145, 'Pur': -5.221271}
{' Yes': -0.008411179, ' No': -5.1927676, 'Yes': -5.9457474, ' yes': -9.856744, ' Animal': -10.083238}
{' Yes': -0.14770873, ' No': -2.0928211, ' Animal': -4.8822174, 'Yes': -5.479187, 'No': -6.7467446}
{' Hel': -0.016234914, ' Yes': -4.775409, 'Helper': -5.779235, ' Help': -6.2251196, ' Helic': -6.845743}
{' Hel': -0.08410575, ' Yes': -2.6403153, ' Help': -5.761487, 'Helper': -5.7890577, 'Hel': -7.1534567}
{' Yes': -0.5192853, ' No': -0.9085637, 'No': -6.778202, 'Yes': -7.2337747, ' Nope': -10.204692}
{' Yes': -0.0046190196, ' No': -6.097184, 'Yes': -6.161607, ' Absolutely': -9.492541, ' Definitely': -9.887464}
{' Yes': -0.015574673, ' No': -4.489402, 'Yes': -5.583421, ' Branch': -8.337626, 'No': -9.384082}
{' Yes': -0.11464013, ' Branch': -2.9574952, ' No': -3.1635807, 'Yes': -4.7145777, ' Br': -6.2550316}
{' Yes': -0.01157613, ' No': -4.7281594, 'Yes': -6.03081, ' Sure': -9.349327, 'No': -10.046785}
{' Pretty': -0.5083125, ' Yes': -1.1663172, ' Pre': -3.1246912, ' Pret': -3.7971344, ' No': -4.818185}
{' No': -0.08599877, ' Yes': -2.7372932, ' Ignore': -4.8431187, ' Ign': -5.105711, ' Nope': -6.27284}
{' No': -0.037071064, ' Yes': -3.3950288, ' Ignore': -7.0437775, 'No': -7.1270347, ' Nope': -7.2410483}
{' Yes': -0.19644319, ' No': -2.3125663, ' Divide': -2.568811, 'Yes': -6.3796034, ' Div': -8.075266}
{' Divide': -0.3094427, ' Yes': -1.4531823, ' No': -3.8118913, ' Div': -4.962591, 'Yes': -7.0974646}
{' Yes': -0.1749785, ' Hammer': -1.8502276, 'Yes': -6.144118, ' Ham': -8.001757, ' No': -8.498579}
{' Hammer': -0.2145686, ' Yes': -1.688392, ' Ham': -5.5241923, 'hammer': -6.917417, ' Hamm': -7.148744}
{' Yes': -0.0028833167, 'Yes': -6.057183, ' No': -8.258889, ' Second': -9.752592, ' Sure': -9.910497}
{' Yes': -0.004913737, 'Yes': -5.67507, ' No': -7.672787, ' Second': -8.016042, ' Des': -9.155719}
{' No': -0.046527434, ' Yes': -3.193309, 'No': -5.5393176, ' Nope': -8.603854, 'Yes': -8.904398}
{' No': -0.13689226, ' Yes': -2.0828762, 'No': -5.862497, 'Yes': -8.083223, ' Nope': -8.992514}
{' Yes': -0.009685741, ' Ex': -5.334564, 'Yes': -5.874359, ' No': -6.3586345, ' yes': -9.348048}
{' Yes': -0.5490025, ' No': -0.9930257, ' Ex': -3.5503852, ' Nope': -4.457575, ' Hex': -5.3806324}
{' Yes': -0.008017132, ' No': -4.936829, 'Yes': -7.2314324, ' yes': -10.692162, ' Sure': -11.261289}
{' Yes': -0.13205957, ' No': -2.1046758, 'Yes': -6.5915318, 'No': -8.128572, ' yes': -10.250131}
{' Yes': -0.015463651, ' Planet': -4.9299135, ' No': -5.144515, 'Yes': -6.1730638, ' yes': -9.751834}
{' Yes': -0.297992, ' Planet': -1.4356225, ' No': -4.2383547, 'Yes': -5.884626, 'Planet': -7.160427}
{' Yes': -0.03748782, ' No': -3.4261577, 'Yes': -5.710757, ' Car': -7.704882, 'No': -8.589018}
{' Yes': -0.013434698, ' No': -4.6356, 'Yes': -5.8078713, ' Car': -8.14033, ' yes': -9.375052}
{' Yes': -0.003220459, 'Yes': -6.270462, ' No': -6.970909, ' Ass': -8.091323, ' yes': -10.657096}
{' Yes': -0.097858064, ' Ass': -2.9588883, ' No': -3.3354602, 'Yes': -5.6273313, ' Nope': -7.484422}
{' Circ': -1.01171, ' No': -1.255971, ' Circus': -1.8324212, ' Cir': -2.1935165, ' Yes': -2.6736972}
{' Circ': -0.60984886, ' No': -1.6732796, ' Cir': -1.9546461, ' Circus': -2.5561666, ' Yes': -3.2419994}
{' Yes': -0.019720035, ' No': -4.055979, 'Yes': -6.257538, 'No': -9.714424, ' yes': -9.904106}
{' Yes': -0.09607239, ' No': -3.618232, ' Balloon': -3.7874336, ' Bullet': -4.4529395, 'Yes': -4.9864883}
{' Yes': -0.009603652, ' No': -4.8544674, 'Yes': -6.4665103, ' Sure': -10.169124, ' yes': -10.229923}
{' Yes': -0.025315082, ' No': -3.7653015, 'Yes': -6.499436, 'No': -9.530067, ' Nope': -9.651846}
{' Law': -0.36001277, ' Yes': -2.228478, ' No': -2.3197448, ' L': -3.5672076, ' Layer': -3.9813874}
{' Yes': -0.410273, ' No': -1.1840996, ' Law': -5.2020884, ' Nope': -5.3428297, 'Yes': -5.682341}
{' Yes': -0.06042009, ' No': -3.0634165, ' Smooth': -5.181834, 'Yes': -5.458701, ' Nope': -7.218587}
{' Yes': -0.15214682, ' No': -2.45219, ' Smooth': -3.1487076, 'Yes': -5.4307976, ' Sm': -5.517965}
{' Yes': -0.04973151, ' No': -3.240632, ' Cancer': -5.16875, 'Yes': -5.819543, 'No': -8.2804985}
{' No': -0.32706937, ' Yes': -1.2951651, 'No': -6.132075, ' Cancer': -6.6079717, 'Yes': -7.2750463}
{' Yes': -0.05686541, ' Sc': -3.15035, 'Yes': -4.864166, ' Scar': -6.7643995, 'Sc': -7.22153}
{' Yes': -0.08406251, ' Sc': -2.7278116, 'Yes': -4.9554152, ' Scar': -5.946063, ' No': -6.202131}
{' No': -0.07693995, ' Yes': -2.6406853, 'No': -6.0601315, ' Nope': -8.471959, 'Yes': -8.673093}
{' Yes': -0.33707926, ' No': -1.268718, 'Yes': -5.9204555, 'No': -6.554364, ' Nope': -7.3992033}
{' No': -0.48810017, ' Yes': -0.9570123, 'No': -6.807572, 'Yes': -7.2894793, ' Nope': -8.147529}
{' Yes': -0.36500832, ' No': -1.6924466, ' Ex': -2.20514, 'Yes': -5.5145974, ' Exc': -6.5502696}
{' Yes': -0.2693641, ' No': -1.457278, ' Nope': -6.692658, 'Yes': -7.007906, ' Maybe': -7.6693287}
{' No': -0.53791773, ' Yes': -0.8809354, 'No': -7.034345, 'Yes': -7.7105913, ' Nope': -8.452533}
{' No': -0.008358584, 'No': -5.6124115, ' Yes': -5.624951, ' Nope': -6.930306, ' Not': -10.344357}
{' No': -0.053602673, ' Yes': -3.0650253, 'No': -5.368225, ' Nope': -7.8269577, 'Yes': -8.670207}
{' Yes': -0.16682824, ' Finish': -1.9829807, 'Yes': -4.9442673, ' No': -5.0937347, 'Finish': -6.9874506}
{' Yes': -0.016035806, ' No': -4.499842, 'Yes': -5.570498, ' Finish': -7.3276615, 'No': -9.373952}
{' Yes': -0.44096133, ' No': -1.0532851, 'Yes': -5.986802, 'No': -6.229749, ' Nope': -6.594082}
{' Yes': -0.3704793, ' No': -1.1984708, 'Yes': -5.806663, 'No': -6.3289986, ' Nope': -6.620973}
{' Yes': -0.0011070643, 'Yes': -6.869248, ' No': -10.236933, ' Sure': -11.286214, ' yes': -11.700807}
{' Yes': -0.0064543136, ' Repeat': -5.46582, 'Yes': -6.681546, ' No': -7.2125525, ' Repe': -9.054254}
{' Yes': -0.00684331, ' Spider': -5.619178, 'Yes': -5.9273696, ' yes': -8.809028, ' Sp': -9.075997}
{' Yes': -0.0019516486, 'Yes': -6.83, ' No': -7.272032, ' Sure': -9.765593, ' yes': -10.691516}
{' Yes': -0.004606924, ' Candle': -6.4500203, ' No': -6.498459, 'Yes': -6.745508, ' Cand': -8.821367}
{' Yes': -0.011745343, ' Candle': -4.9124446, 'Yes': -6.3404746, ' No': -6.7736816, ' Cand': -6.889326}
{' Yes': -0.008646829, 'Yes': -5.924589, ' Thr': -6.234115, ' Th': -6.358138, ' No': -6.744924}
{' Yes': -0.010166854, ' No': -5.2887273, 'Yes': -5.9545054, ' Th': -7.0093126, ' Thr': -7.1363654}
{' Yes': -0.0045974627, 'Yes': -5.7872925, ' No': -7.1341767, ' Beach': -8.013962, ' yes': -8.970356}
{' Yes': -0.0044996846, 'Yes': -6.1313915, ' Beach': -6.684418, ' No': -7.1243153, ' yes': -9.132747}
{' Yes': -0.0015358914, 'Yes': -6.698271, ' No': -8.430517, ' yes': -10.582369, ' Flower': -10.667543}
{' Yes': -0.011933464, ' Flower': -4.9152575, 'Yes': -5.8791776, ' No': -6.6779675, ' yes': -8.851374}
{' Yes': -0.5062239, ' No': -0.92825925, 'Yes': -6.9758663, 'No': -7.189577, ' Not': -9.187223}
{' Yes': -0.06634504, ' No': -2.7936478, 'Yes': -6.181564, 'No': -8.7337675, ' Maybe': -8.869497}
{' Yes': -0.30899805, ' No': -1.6772096, ' India': -3.177635, ' Indian': -3.6643293, 'Yes': -5.8985033}
{' Yes': -0.37938526, ' No': -1.3524822, ' India': -3.4803488, ' Indian': -4.1528835, ' Ind': -5.8935447}
{' Yes': -0.21415722, ' Orange': -1.6638871, ' No': -6.5903544, 'Yes': -6.856527, ' Sure': -7.3454375}
{' Yes': -0.19506632, ' Orange': -1.766666, ' No': -5.580446, 'Yes': -6.4273295, ' Sure': -7.632562}
{' Yes': -0.00424148, 'Yes': -5.924323, ' Hungry': -6.8194056, ' No': -8.519029, ' YES': -9.995891}
{' Yes': -0.001969025, 'Yes': -6.798569, ' No': -7.2862206, ' Hungry': -9.647026, ' YES': -11.070131}
{' Yes': -0.1386888, ' No': -2.068855, 'Yes': -6.597759, ' Number': -6.7744856, 'No': -8.044149}
{' Yes': -0.38999423, ' No': -1.1470782, ' Number': -6.0561047, 'Yes': -6.6170826, 'No': -6.906122}
{' Mirror': -0.3409171, ' Yes': -1.9351707, ' No': -2.1846175, ' Mir': -3.773891, 'Mir': -6.047267}
{' No': -0.28738442, ' Yes': -1.5357784, ' Mirror': -3.554434, ' Mir': -5.7299366, 'No': -6.6565204}
{' Yes': -0.00088577176, 'Yes': -7.066527, ' yes': -11.269535, ' YES': -11.466315, 'yes': -13.259401}
{' Yes': -0.0009901179, 'Yes': -6.9500947, ' yes': -11.669349, ' YES': -12.002052, ' ': -12.075486}
{' Yes': -0.057913914, ' Pepper': -3.419982, ' No': -4.468087, ' Pe': -5.127013, 'Yes': -5.422139}
{' Yes': -0.044628527, ' No': -3.628952, ' Pepper': -4.7170644, 'Yes': -5.4578533, ' Pe': -6.005319}
{' Yes': -0.0054252823, 'Yes': -5.5199933, ' Cheese': -7.0416384, ' No': -8.159368, ' Che': -9.557379}
{' Yes': -0.0025332645, 'Yes': -6.29615, ' No': -8.31728, ' Cheese': -8.487106, ' Sure': -9.193987}
{' Yes': -0.025614062, ' No': -3.9281826, 'Yes': -5.7796, ' Nope': -6.699667, ' Yep': -7.38337}
{' Yes': -0.009717037, ' No': -5.2795935, 'Yes': -5.519498, ' Yep': -8.36865, ' Nope': -9.073162}
{' Yes': -0.8469781, ' Sure': -1.1883478, ' Squ': -1.9413766, ' Square': -2.211356, ' No': -4.9091215}
{' Yes': -0.5540012, ' Sure': -1.2021756, ' Squ': -2.5360188, ' Square': -3.5211682, ' No': -4.54843}
{' Yes': -0.0022646359, 'Yes': -6.7124863, ' Change': -7.8108735, ' Sure': -7.876436, ' No': -9.023813}
{' Yes': -0.002084295, 'Yes': -6.841682, ' No': -7.777553, ' Sure': -7.888713, ' Change': -9.234081}
{' Yes': -0.011037204, ' No': -4.9852915, 'Yes': -5.5815053, ' Leaves': -9.452937, ' YES': -9.606915}
{' Yes': -0.012329304, 'Yes': -5.1125374, ' No': -5.1799107, ' YES': -8.993554, ' yes': -9.173617}
{' Ending': -0.24209507, ' Yes': -1.5714256, ' No': -6.006827, ' End': -6.1307473, 'Yes': -6.6483507}
{' Ending': -0.3911183, ' Yes': -1.1617616, ' No': -4.946067, 'Yes': -6.3771715, ' End': -7.0224147}
{' Energy': -0.47562015, ' Yes': -0.9791449, 'Yes': -6.771709, 'Energy': -6.947265, ' energy': -8.340305}
{' Yes': -0.11555473, ' Energy': -2.264553, 'Yes': -5.822187, ' No': -7.348438, 'Energy': -7.9854827}
{' Yes': -0.0073549952, ' Father': -5.4785924, ' No': -6.3689976, 'Yes': -6.7009354, ' yes': -9.693628}
{' Yes': -0.004469028, ' Father': -5.8821087, 'Yes': -6.6798477, ' No': -8.199407, ' yes': -10.442221}
{' No': -0.047454827, ' Yes': -3.2373807, 'No': -5.6329474, ' Pen': -5.942899, ' Nope': -8.03678}
{' Yes': -0.06283903, ' No': -2.8765156, 'Yes': -6.228591, ' Pen': -6.330508, 'No': -8.487063}
{' Yes': -0.022119135, ' Street': -3.9605973, 'Yes': -6.120996, ' Sure': -8.738466, ' yes': -8.765746}
{' Yes': -0.0037266526, 'Yes': -6.178237, ' Street': -7.044267, ' Sure': -8.135228, ' No': -8.795251}
{' Yes': -0.0015176262, 'Yes': -6.937323, ' Strong': -7.6297154, ' yes': -10.580419, ' YES': -11.301918}
{' Yes': -0.009637773, ' Strong': -4.8229823, 'Yes': -6.6031203, '\n': -9.757037, ' yes': -9.971419}
{' Yes': -0.031455252, ' Seller': -3.5410087, 'Yes': -6.715449, ' No': -8.003961, ' yes': -8.909487}
{' Yes': -0.0013558639, 'Yes': -7.276029, ' Seller': -7.667721, ' No': -9.537082, ' yes': -9.675522}
{' Yes': -0.012069132, ' No': -4.826638, ' Bl': -6.082538, 'Yes': -6.5641336, ' yes': -9.286011}
{' Yes': -0.016598763, ' No': -5.0210047, ' Bl': -5.054166, 'Yes': -5.828774, ' yes': -8.180888}
{' Yes': -0.0019564219, 'Yes': -6.6786795, ' No': -7.4233656, ' yes': -10.310614, ' B': -11.131767}
{' Yes': -0.004912118, 'Yes': -5.8233194, ' No': -6.5047092, ' yes': -9.193755, ' B': -9.354733}
{' Yes': -0.0032090372, ' No': -6.304648, 'Yes': -6.6520977, ' yes': -10.581278, ' Sure': -10.903809}
{' Yes': -0.058943037, ' No': -3.205664, ' Prince': -4.559677, 'Yes': -5.756794, ' Nope': -6.4920664}
{' Yes': -0.002958877, 'Yes': -6.202429, ' Parent': -7.5945077, ' No': -8.302918, ' yes': -9.771194}
{' Yes': -0.008934196, ' Parent': -5.2348385, 'Yes': -5.944523, ' No': -7.983677, ' Parents': -8.988694}
{' Yes': -0.0010960867, 'Yes': -6.867236, ' No': -10.937398, ' yes': -11.426238, ' YES': -11.6302805}
