{' Yes': -0.0031022474, 'Yes': -5.9189844, ' No': -8.122923, ' yes': -9.982982, '\n': -10.223577}
{' Yes': -0.0022897269, 'Yes': -6.770653, ' Sure': -7.342198, ' No': -8.452481, ' Yep': -9.537948}
{' Yes': -0.002035796, 'Yes': -6.59948, ' Sure': -7.498022, ' Yep': -10.710987, ' No': -10.752078}
{' Yes': -0.0066967662, 'Yes': -5.11866, ' Sick': -7.6331387, ' yes': -9.221385, ' YES': -9.901236}
{' Yes': -0.0106603075, 'Yes': -5.0943375, ' No': -5.953651, ' Sick': -6.6672225, ' yes': -8.371214}
{' Yes': -0.03273481, ' Dirt': -3.774466, 'Yes': -5.2067857, ' No': -5.9243608, ' Dirty': -8.339784}
{' No': -0.60115325, ' Yes': -0.8032654, 'No': -6.0160317, 'Yes': -6.8009596, ' Nope': -8.566498}
{' Yes': -0.24215378, ' Te': -2.0382984, ' T': -3.833196, ' No': -4.162338, ' Tears': -4.616941}
{' Yes': -0.04430698, ' Te': -3.7090123, ' No': -5.104744, 'Yes': -5.775755, ' T': -6.3181415}
{' No': -0.006155485, 'No': -5.128521, ' Nope': -8.4959, ' NO': -12.918183, ' no': -13.820126}
{' Yes': -0.02359569, ' No': -3.8233335, 'Yes': -6.774528, ' True': -9.455356, ' Sure': -9.588478}
{' Rain': -0.51636356, ' Yes': -2.0059114, ' Train': -2.2827916, ' No': -2.7261946, ' Brain': -2.751637}
{' No': -0.6389152, ' Yes': -0.8065368, ' Rain': -4.5901957, ' Nope': -4.9884787, 'No': -5.3841467}
{' Yes': -0.2295894, ' No': -1.59231, 'Yes': -6.7498493, 'No': -7.9415107, ' Nope': -9.684975}
{' No': -0.113318406, ' Yes': -2.259307, 'No': -6.487263, ' Nope': -6.9899683, 'Yes': -8.667613}
{' Yes': -0.002769867, ' Sure': -6.5933647, 'Yes': -6.935358, ' Absolutely': -8.546782, ' Definitely': -9.454037}
{' Yes': -0.0063822083, ' No': -5.466057, 'Yes': -6.8508797, ' Sure': -7.182356, ' Nope': -9.35665}
{' No': -0.32165512, ' Yes': -1.3074417, 'No': -6.2301655, ' Nope': -6.6506686, 'Yes': -7.6190352}
{' No': -0.2519936, ' Yes': -1.5159899, 'No': -5.9706764, 'Yes': -7.7106915, ' Nope': -9.212343}
{' Yes': -0.016143018, ' No': -4.221835, 'Yes': -7.142789, ' Thin': -8.063693, ' Nope': -9.039382}
{' Yes': -0.04121718, ' No': -3.409831, ' Thin': -5.7652235, 'Yes': -6.0914984, ' Nope': -6.911848}
{' No': -0.08832566, ' Yes': -2.5058117, 'No': -6.023632, ' Nope': -8.385857, 'Yes': -8.936743}
{' Yes': -0.35930628, ' No': -1.368044, ' Tail': -3.2154236, 'Yes': -6.104078, 'No': -6.448164}
{' Yes': -0.003422356, 'Yes': -6.0327973, ' No': -7.1902847, ' Land': -9.216737, ' yes': -9.286486}
{' Yes': -0.032701246, ' No': -3.9084067, 'Yes': -5.338163, ' Land': -5.8750587, ' Island': -6.195867}
{' Yes': -0.018051356, ' Feel': -4.763611, ' No': -5.184313, 'Yes': -6.467088, ' F': -7.2792735}
{' Yes': -0.2352292, ' Feel': -1.8599334, ' No': -3.801727, ' F': -4.017646, ' Fee': -5.7048}
{' Yes': -0.0026102336, 'Yes': -6.439574, ' No': -7.008229, ' yes': -10.600241, ' Sure': -11.107797}
{' Yes': -0.3711397, ' No': -1.3895303, ' Loud': -2.9657059, ' Cloud': -6.0828853, ' Could': -6.454711}
{' Yes': -0.0064256988, 'Yes': -5.720268, ' Sure': -6.225518, ' Star': -6.935241, ' yes': -9.944681}
{' Yes': -0.0075428924, 'Yes': -5.51863, ' Star': -6.573949, ' Sure': -6.8769026, ' Start': -7.4586453}
{' Yes': -0.0045004026, 'Yes': -5.527808, ' Card': -8.38514, ' yes': -8.999333, ' No': -9.895923}
{' Yes': -0.0012939731, 'Yes': -6.843928, ' No': -8.619937, ' yes': -10.583828, ' Sure': -11.651976}
{' Deer': -0.2181143, ' Yes': -1.6674111, ' De': -5.9638567, ' Dear': -6.4079447, ' deer': -7.160088}
{' Deer': -0.22923192, ' Yes': -1.7335825, ' De': -4.1046686, ' Dear': -5.306018, ' deer': -6.60003}
{' Yes': -0.21268801, ' Look': -2.170425, ' No': -2.658052, 'Yes': -5.4862714, ' Nope': -7.32243}
{' Yes': -0.011363535, ' No': -4.7160354, 'Yes': -6.148242, 'No': -10.309618, ' Yep': -10.369608}
{' No': -0.20185263, ' Yes': -1.7285993, 'No': -5.9501867, ' Nope': -6.287141, 'Yes': -7.941895}
{' No': -0.29480308, ' Yes': -1.8495591, ' Gl': -2.438329, ' Nope': -5.004567, 'No': -6.1792135}
{' Yes': -0.20869397, ' No': -1.6802038, 'Yes': -6.5570865, 'No': -7.680068, ' Nope': -9.50636}
{' Yes': -0.49945608, ' No': -1.0447557, ' Less': -3.3457334, 'Yes': -6.267835, ' Nope': -6.7155304}
{' Yes': -0.05330941, ' No': -3.0141973, 'Yes': -5.9792714, 'No': -8.555376, ' yes': -10.251907}
{' Yes': -0.1109359, ' No': -2.2804077, 'Yes': -6.342507, ' Nope': -7.987792, 'No': -8.251601}
{' Yes': -0.003037913, ' Sure': -6.4704084, 'Yes': -6.633802, ' No': -9.050656, ' Yeah': -11.314987}
{' Yes': -0.03742662, ' Shoes': -4.2009606, ' Sh': -4.7409234, ' Sure': -4.893187, 'Yes': -5.548044}
{' Exit': -0.026957775, ' Yes': -3.9638016, 'Exit': -5.537479, ' No': -6.1102185, ' Ex': -6.85859}
{' No': -0.4581276, ' Yes': -1.2444892, ' Exit': -2.5886455, 'No': -6.051803, 'Yes': -7.0688734}
{' No': -0.6547159, ' Yes': -0.7606787, ' Lion': -4.9732413, 'No': -5.4659967, 'Yes': -6.5620522}
{' No': -0.47953612, ' Yes': -0.9729214, 'No': -6.1917644, 'Yes': -7.2332172, ' Nope': -9.104095}
{' Yes': -0.008868644, ' No': -5.4883704, 'Yes': -6.1069117, ' Roof': -6.1107783, ' Maybe': -9.440621}
{' Roof': -0.061920326, ' Yes': -3.0011237, ' No': -5.0041046, ' roof': -6.558626, ' Ro': -7.3787804}
{' Want': -0.0674862, ' Yes': -3.0320227, 'Want': -4.7757683, ' W': -6.023489, ' Wanted': -6.233824}
{' Want': -0.69657886, ' Yes': -0.7603493, ' No': -4.020423, 'Want': -5.5139217, ' W': -5.8539767}
{' Yes': -0.0019116942, 'Yes': -6.5563393, ' Wind': -7.8823028, ' yes': -10.169403, ' Yep': -10.938046}
{' Yes': -0.020623017, ' No': -4.728614, ' Wind': -4.8636994, 'Yes': -5.8958197, ' Window': -7.382931}
{' Yes': -0.0009932191, 'Yes': -6.9746943, ' yes': -10.406783, ' No': -11.433412, ' YES': -11.791724}
{' Yes': -0.03620972, ' Foot': -3.574614, 'Yes': -5.7412467, ' No': -5.858286, ' Boot': -8.512443}
{' Hate': -0.30203587, ' Yes': -1.468431, ' No': -3.6810737, ' Hat': -6.5601997, ' Nope': -7.092601}
{' Yes': -0.66935873, ' No': -0.8462653, ' Hate': -2.9601166, ' Nope': -5.790044, 'Yes': -6.441531}
{' No': -0.17833105, ' Yes': -1.8279244, 'No': -6.1793985, 'Yes': -8.042043, ' Nope': -8.764985}
{' Yes': -0.0031484645, 'Yes': -5.9577208, ' yes': -9.030681, ' Slow': -9.133609, ' YES': -9.387099}
{' Yes': -0.07471563, ' Ring': -3.098607, ' No': -4.2476177, 'Yes': -5.776279, ' Spring': -6.2941875}
{' Yes': -0.017024154, ' No': -4.51633, ' Ring': -5.741951, 'Yes': -6.4508233, ' Gr': -8.886547}
{' Yes': -0.0030739638, 'Yes': -6.6990004, ' Bear': -6.861915, ' No': -7.654872, ' yes': -9.230538}
{' Yes': -0.067525156, ' Bear': -2.8625956, 'Yes': -5.8571205, ' Bears': -6.5259027, ' Beer': -6.6849747}
{' Yes': -0.0024770335, 'Yes': -6.195842, ' YES': -8.855772, ' Self': -9.152156, ' yes': -10.251891}
{' Yes': -0.010650187, ' No': -4.717984, 'Yes': -6.4623713, ' YES': -10.498554, 'No': -10.980037}
{' Yes': -0.006734871, 'Yes': -5.235666, ' No': -7.594724, ' yes': -8.117961, ' Wish': -8.94213}
{' Yes': -0.007908561, 'Yes': -5.056645, ' No': -6.7495565, ' yes': -8.920593, ' Fish': -9.997508}
{' Yes': -0.48791578, ' Skin': -1.1919906, ' No': -3.1871362, ' Sk': -4.3528028, ' Ski': -4.52915}
{' Yes': -0.46793857, ' No': -1.0324794, ' Skin': -4.9426165, 'Yes': -5.5043936, ' Nope': -5.7766957}
{' Yes': -0.0677087, ' No': -2.9965298, ' So': -4.9869266, 'Yes': -5.6596503, ' Nope': -5.699039}
{' Yes': -0.06656144, ' So': -3.4611824, ' No': -4.332783, 'Yes': -4.5995355, ' Nope': -5.4414124}
{' Yes': -0.0014713621, 'Yes': -6.665694, ' Sure': -9.13129, ' No': -9.892616, ' Yep': -11.327613}
{' Yes': -0.005324966, 'Yes': -5.8997073, ' Che': -6.4828143, ' No': -7.525265, ' Sure': -9.250108}
{' Yes': -0.022466049, ' No': -3.9853795, 'Yes': -6.252237, ' Male': -6.8886447, ' yes': -9.133219}
{' Yes': -0.28633633, ' Male': -1.7136091, ' Mal': -4.1507006, ' Mail': -4.1845074, ' No': -5.0416455}
{' Yes': -0.116783895, ' No': -2.2266834, 'Yes': -6.4711246, 'No': -8.250193, ' Nope': -8.287952}
{' Yes': -0.4469639, ' No': -1.0532967, ' Nope': -5.0356784, ' Done': -6.2654567, 'Yes': -6.648502}
{' Yes': -0.06971974, ' Bike': -3.1045418, ' Bicycle': -4.346094, ' B': -5.6360416, 'Yes': -5.7267284}
{' Yes': -0.022084035, ' No': -4.5392632, ' Bike': -4.936295, 'Yes': -6.2014394, ' Bicycle': -6.7610307}
{' Yes': -1.1755532, ' Dead': -1.2640982, ' No': -1.3495703, ' De': -3.0368946, ' Dread': -3.1681898}
{' Yes': -0.29210627, ' No': -1.4793792, ' Dead': -3.9641545, 'Yes': -6.239148, ' Nope': -6.819038}
{' Yes': -0.00071307976, 'Yes': -7.2860923, ' yes': -10.805575, ' YES': -12.505586, ' Sure': -14.030459}
{' Yes': -0.008479824, ' Cave': -5.7586665, 'Yes': -5.848787, ' No': -6.2828803, ' Sure': -8.291546}
{' Yes': -0.011532294, ' Moon': -5.3654957, 'Yes': -5.6523495, ' No': -5.865637, ' yes': -9.083983}
{' Yes': -0.099982604, ' No': -2.444091, 'Yes': -5.5102167, ' Moon': -6.4300213, 'No': -7.030825}
{' Pain': -0.6589025, ' Yes': -1.1281446, ' Paint': -2.5568423, ' Plain': -4.0013943, ' No': -4.24235}
{' Yes': -0.07174345, ' No': -2.7214034, 'Yes': -6.020883, 'No': -7.88687, ' Nope': -8.000295}
{' Yes': -0.42259264, ' No': -1.0827832, ' Plus': -5.6936073, 'Yes': -6.4721227, 'No': -7.1506}
{' Plus': -0.3140571, ' Yes': -1.7385927, ' No': -2.643521, ' Pl': -4.014796, 'Plus': -6.215115}
{' Yes': -0.066987984, ' No': -3.021469, ' Area': -5.357778, 'Yes': -5.5306153, ' Sure': -5.774341}
{' Yes': -0.17723304, ' Area': -1.9473614, ' Arena': -5.485564, 'Yes': -5.7033806, ' Sure': -5.7204666}
{' Yes': -0.058408566, ' Dive': -2.9685323, 'Yes': -5.585264, ' No': -7.153476, ' yes': -8.800127}
{' Dive': -0.43318397, ' Yes': -1.136904, ' Divide': -4.7768993, ' No': -5.250631, ' Drive': -5.3644648}
{' Yes': -0.00088601024, 'Yes': -7.2404165, ' Hear': -9.363649, ' Sure': -10.255937, ' No': -11.238041}
{' Yes': -0.013251671, ' Hear': -4.5975013, 'Yes': -6.4318113, ' Yeah': -7.4927244, ' No': -8.560676}
{' Yes': -0.37416893, ' Bush': -1.1865183, 'Yes': -5.86167, 'Bush': -6.5759506, ' Brush': -6.7673397}
{' Bush': -0.09863031, ' Brush': -2.9823773, ' Yes': -3.580215, 'Bush': -4.953034, ' Bus': -5.975402}
{' Yes': -0.4795008, ' No': -1.0679923, ' Near': -3.4190931, 'No': -6.5433073, 'Yes': -7.0071135}
{' No': -0.116619915, ' Yes': -2.399367, ' Near': -4.211287, 'No': -5.907189, ' Nope': -7.105627}
{' Mile': -0.40157747, ' Yes': -1.2485396, ' No': -3.6612878, ' Miles': -5.153929, ' M': -5.401522}
{' Yes': -0.3394403, ' Mile': -1.5023946, ' No': -2.983136, ' Miles': -5.4755163, ' Smile': -5.8488245}
{' Yes': -0.3266717, ' Navy': -1.3747617, ' No': -4.9461823, 'Yes': -5.2282953, ' Nav': -5.706493}
{' Yes': -0.10894264, ' No': -2.642529, ' Navy': -4.2608933, 'Yes': -5.114226, ' N': -6.525632}
{' No': -0.009088524, 'No': -5.14703, ' Nope': -5.9083185, ' Yes': -7.6680293, ' Not': -10.925461}
{' No': -0.003195761, 'No': -5.9126287, ' Nope': -7.905007, ' Yes': -9.806602, ' Not': -10.799623}
{' Yes': -0.0043110396, ' No': -6.224272, 'Yes': -6.2757835, ' Math': -8.6712475, ' Maybe': -9.16866}
{' Yes': -0.02361626, ' No': -3.9364963, 'Yes': -6.347358, ' Math': -7.152583, ' Maybe': -7.2637467}
{' No': -0.012719447, ' Yes': -4.820081, 'No': -6.1221433, ' Nope': -6.2293954, ' Bee': -8.084973}
{' No': -0.010114109, ' Yes': -4.818263, 'No': -6.5305357, ' Nope': -7.751939, ' Bee': -9.961497}
{' Yes': -0.0030764155, 'Yes': -6.1922503, ' No': -7.2742267, ' Milk': -8.232764, ' yes': -10.347564}
{' No': -0.06392954, ' Yes': -2.9435377, 'No': -5.3665533, ' Milk': -5.51657, 'Yes': -8.333316}
{' Yes': -0.012036494, ' No': -4.9858217, 'Yes': -5.3371115, ' yes': -9.47228, 'No': -9.497659}
{' Yes': -0.016162282, ' No': -4.6380363, 'Yes': -5.163787, ' Bass': -8.447379, 'No': -8.994547}
{' Yes': -0.0030615877, 'Yes': -6.1854, ' No': -7.0739155, ' yes': -10.018899, ' Bird': -10.511788}
{' Yes': -0.111549646, ' Bird': -2.9614089, ' No': -3.1430743, 'Yes': -5.4239025, ' B': -6.2661133}
{' Yes': -0.05165983, ' Believe': -3.5680494, ' No': -4.521085, 'Yes': -5.6236353, ' Alive': -6.7962394}
{' Yes': -0.049587067, ' No': -4.0308204, ' Believe': -4.1152444, 'Yes': -5.476153, ' Alive': -5.977804}
{' Yes': -0.03259502, ' Indeed': -4.353045, ' Need': -4.4701104, 'Yes': -5.9985085, ' No': -6.211393}
{' Yes': -0.009440939, ' No': -5.468976, ' Need': -6.1252475, 'Yes': -6.401571, ' Indeed': -7.331556}
{' Yes': -0.008616588, ' Too': -5.6222324, ' No': -6.0359564, 'Yes': -6.1463537, ' Tool': -8.423517}
{' Too': -0.8799716, ' Tool': -0.94640267, ' Yes': -1.7859985, ' No': -4.9883213, 'Too': -5.3629913}
{' Yes': -0.0897517, ' Po': -2.8085208, ' No': -3.963201, 'Yes': -5.4968657, ' Nope': -6.954524}
{' Yes': -0.04155874, ' No': -3.379617, ' Po': -5.6485496, 'Yes': -6.0511103, ' Nope': -8.227746}
{' Yes': -0.024494048, ' No': -3.7911339, 'Yes': -6.6824045, ' yes': -9.167367, ' Nope': -10.111395}
{' Yes': -0.09319301, ' Cro': -2.562433, 'Yes': -5.640245, ' No': -5.7096763, ' Rock': -6.880451}
{' Yes': -0.034031574, ' No': -3.4570146, 'Yes': -6.31865, 'No': -9.249007, ' yes': -11.264582}
{' Yes': -0.04614704, ' Blast': -3.9376493, ' No': -4.5129657, 'Yes': -4.8264995, ' Last': -5.3196616}
{' Yes': -0.07496866, ' Door': -2.834614, ' No': -5.0204353, 'Yes': -5.270207, ' yes': -7.7040195}
{' Yes': -0.67305744, ' Door': -0.9096163, ' No': -2.575916, 'Yes': -5.678205, ' D': -6.356238}
{' Yes': -0.18821986, ' No': -2.5332499, ' To': -2.5764854, 'Yes': -4.7857804, ' St': -6.8096614}
{' Yes': -0.5450605, ' No': -0.9105124, 'Yes': -4.834003, 'No': -5.855356, ' To': -5.969294}
{' Maze': -0.13871974, ' Yes': -2.0823367, ' No': -6.1205516, 'Yes': -7.039275, ' Maybe': -7.687269}
{' No': -0.15420528, ' Yes': -1.988592, 'No': -6.1120653, ' Nope': -6.4094768, ' Maybe': -7.0224223}
{' Yes': -0.07460806, ' No': -2.892998, ' Monk': -5.007391, 'Yes': -5.4525986, ' Nope': -6.0026035}
{' No': -0.42046198, ' Yes': -1.0851578, 'No': -6.0701785, ' Nope': -6.5907397, 'Yes': -6.79245}
{' Yes': -0.0019598852, 'Yes': -6.546303, ' Camp': -8.1473255, ' yes': -9.33097, ' No': -9.665973}
{' Yes': -0.020915061, ' Camp': -4.241185, 'Yes': -5.674744, ' No': -6.451287, ' yes': -7.7746444}
{' Yes': -0.036343656, ' Most': -3.5494165, ' No': -5.6732597, 'Yes': -5.8980546, ' Mostly': -7.881883}
{' Yes': -0.2916389, ' Most': -1.5359187, ' Mostly': -3.9967892, ' No': -4.3260074, ' Almost': -5.815843}
{' Yes': -0.32381037, ' Trip': -1.7753617, ' Tri': -2.5160482, ' Triple': -4.2282767, 'Yes': -6.0041556}
{' Yes': -0.014712174, 'Yes': -5.439197, ' Trip': -5.963553, ' No': -6.0721326, ' Tri': -6.145282}
{' Dusk': -0.61161625, ' Yes': -0.91872793, ' No': -3.2373524, 'Yes': -5.050336, ' D': -5.1503906}
{' No': -0.56211966, ' Yes': -0.8870498, 'No': -5.2781286, 'Yes': -5.3215036, ' Dusk': -5.6290426}
{' Yes': -0.0009744874, 'Yes': -7.4886146, ' No': -8.204475, ' yes': -9.978816, ' Hell': -10.366408}
{' Yes': -0.00077690335, 'Yes': -7.5092244, ' No': -9.389811, ' Hell': -9.746376, ' Hello': -10.091656}
{' No': -0.02425958, ' Yes': -3.9267175, 'No': -5.515428, ' Nope': -8.754232, 'Yes': -9.93383}
{' No': -0.17698357, ' Yes': -1.8673978, 'No': -5.791264, ' Nope': -5.805924, 'Yes': -8.010088}
{' Yes': -0.012244282, ' No': -5.1252885, ' Hill': -5.349246, 'Yes': -6.76355, ' yes': -9.420918}
{' Yes': -0.23307535, ' Hill': -1.6536685, ' No': -4.4439745, 'Yes': -6.5021114, 'Hill': -7.41582}
{' Yes': -0.01775966, ' No': -4.254614, 'Yes': -6.0087686, ' Sure': -8.0642395, ' Take': -8.608845}
{' Yes': -0.091488145, ' Take': -2.9028513, ' No': -3.6590712, 'Yes': -5.7179995, ' Nope': -7.6784387}
{' Yes': -0.013055931, ' No': -4.6055126, 'Yes': -5.9975753, ' Start': -9.119476, 'No': -9.6148}
{' Yes': -0.015367167, 'Yes': -5.1258216, ' Part': -6.1641107, ' No': -6.515266, ' Party': -6.5245442}
{' No': -0.26391903, ' Yes': -1.4690847, 'No': -6.7366247, 'Yes': -7.792844, ' Nope': -8.688533}
{' Yes': -0.20019396, ' No': -1.732842, 'Yes': -6.2111435, ' Nope': -6.798456, 'No': -7.2336216}
{' Yes': -0.0018207474, 'Yes': -6.4337144, ' No': -9.099685, ' Sure': -10.054429, ' yes': -10.685772}
{' Yes': -0.014541732, ' No': -4.356394, 'Yes': -6.5096703, 'No': -10.2618885, ' yes': -10.742703}
{' No': -0.008997281, ' Yes': -5.056643, 'No': -6.0444827, ' Nope': -8.552326, 'Yes': -11.190671}
{' No': -0.111299455, ' Yes': -2.360733, ' Nope': -5.0492306, 'No': -5.9043384, ' Def': -7.663322}
{' Yes': -0.46356618, ' No': -1.004616, 'Yes': -5.8370667, 'No': -6.536221, ' Nope': -8.420328}
{' Yes': -0.54109985, ' No': -0.9299586, ' Kiss': -4.455319, 'Yes': -5.1603174, 'No': -5.7574615}
{' Soda': -0.68114114, ' Yes': -1.1262667, ' No': -1.8211882, ' Nope': -5.835478, ' Sod': -6.4947443}
{' No': -0.2157933, ' Yes': -1.6688343, 'No': -5.9079766, ' Soda': -6.8663015, ' Nope': -6.9241323}
{' Yes': -0.07311463, ' No': -2.777092, ' Gone': -5.5741763, ' Nope': -5.8186436, 'Yes': -6.8743973}
{' No': -0.025236834, ' Yes': -4.147118, ' Nope': -5.116738, 'No': -6.579033, ' Gone': -6.601031}
{' Yes': -0.018817196, ' Fire': -4.9027433, 'Yes': -5.4804306, ' Sure': -5.7398396, ' No': -6.902196}
{' Yes': -0.045299497, ' No': -3.814672, ' Fire': -4.4437757, 'Yes': -5.676113, ' Sure': -5.7564287}
{' Yes': -0.0016859225, 'Yes': -6.670425, ' Sure': -8.5751505, ' yes': -9.10796, ' YES': -10.559155}
{' Yes': -0.003718216, 'Yes': -6.351772, ' Dread': -7.34935, ' yes': -7.718054, ' Sure': -8.650899}
{' Yes': -0.0020580164, 'Yes': -6.441105, ' No': -8.119361, ' yes': -9.878997, ' Push': -10.12921}
{' Yes': -0.0039558783, 'Yes': -6.0650344, ' No': -6.6360755, ' Push': -9.486912, ' yes': -9.550257}
{' Yes': -0.09982189, ' Stop': -2.427247, ' No': -5.812785, 'Yes': -5.9490647, ' Yep': -7.9842615}
{' Yes': -0.20245215, ' Stop': -1.7629035, ' No': -4.9499097, 'Yes': -6.050655, ' Nope': -7.2012486}
{' Yes': -0.24813466, ' Late': -1.5597, ' Plate': -5.508302, 'Yes': -5.9107847, 'Late': -7.077161}
{' Yes': -0.026340123, ' Late': -4.269523, ' No': -5.1851687, ' Plate': -5.636754, 'Yes': -6.149707}
{' Yes': -0.0052225036, ' No': -5.9715877, 'Yes': -6.0303817, ' yes': -9.160894, ' Sure': -9.921306}
{' Yes': -0.0035161993, 'Yes': -5.9635344, ' No': -7.3370824, ' yes': -9.077964, ' YES': -9.984402}
{' Yes': -0.0026364678, 'Yes': -6.229, ' Wife': -7.8498197, ' No': -8.994099, ' YES': -10.119913}
{' Yes': -0.02099571, ' No': -4.428312, ' Wife': -5.0724134, 'Yes': -6.1715765, ' W': -9.569102}
{' Yes': -0.0017773338, 'Yes': -6.7099447, ' Frog': -8.205817, ' No': -9.084538, ' yes': -9.388625}
{' Yes': -0.0026279243, 'Yes': -6.656825, ' No': -7.420615, ' Frog': -7.596414, ' yes': -9.237184}
{' Yes': -0.0070387935, 'Yes': -5.804084, ' Duck': -6.0890145, ' No': -6.5564847, ' yes': -9.018363}
{' Yes': -0.009789264, ' No': -5.413636, 'Yes': -5.9950514, ' Duck': -6.102137, ' yes': -8.717513}
{' Yes': -0.006095393, 'Yes': -5.81436, ' Bank': -5.915325, ' No': -8.866414, ' yes': -8.907818}
{' Yes': -0.002340628, 'Yes': -6.2628675, ' No': -8.118477, ' yes': -9.746343, ' YES': -10.412602}
{' Yes': -0.0037968317, 'Yes': -5.9439135, ' No': -7.52168, ' Test': -7.915873, ' yes': -9.87846}
{' Yes': -0.0046692607, 'Yes': -6.291353, ' No': -6.596222, ' Test': -6.7556643, ' yes': -9.779171}
{' Yes': -0.009542872, ' Stay': -5.194748, 'Yes': -5.9391956, ' No': -7.3499246, ' Sure': -8.151281}
{' Yes': -0.0072188256, ' Stay': -5.7093973, 'Yes': -5.89964, ' No': -7.3604765, ' Sure': -8.977562}
{' Yes': -0.022243636, ' No': -4.091696, 'Yes': -5.5429955, ' East': -7.4179077, ' yes': -8.556488}
{' Yes': -0.08205882, ' No': -3.4144907, ' East': -3.9119194, 'Yes': -4.885622, ' Eas': -4.9080443}
{' No': -0.14739744, ' Yes': -2.0076995, 'No': -6.220981, ' Nope': -7.641038, 'Yes': -8.521138}
{' No': -0.11454969, ' Yes': -2.2604294, 'No': -6.2867146, ' Nope': -6.346864, 'Yes': -8.925156}
{' Yes': -0.082319595, ' No': -3.1763842, ' Draw': -3.3641262, 'Yes': -6.470189, ' Drew': -8.887024}
{' Yes': -0.16755319, ' Draw': -1.9761354, ' No': -4.8177814, 'Yes': -5.9110208, ' Drew': -6.9507437}
{' King': -0.2528396, ' Yes': -1.5669552, 'King': -4.577863, ' Kings': -6.0954866, 'Yes': -6.875517}
{' Yes': -0.111283794, ' King': -2.4451268, ' No': -4.2255073, 'Yes': -6.0843935, 'King': -7.1948156}
{' No': -0.6665131, ' Yes': -0.74344033, ' Lose': -5.279659, ' Nope': -5.991941, ' Lo': -6.4744425}
{' Yes': -0.06939718, ' No': -2.85083, ' Lose': -5.3044033, 'Yes': -6.2070866, ' Lo': -6.799803}
{' Yes': -0.0041560074, ' Sure': -6.1485286, 'Yes': -7.09699, ' No': -7.330047, ' Yep': -9.035505}
{' Yes': -0.0020382458, ' Sure': -6.9615774, 'Yes': -6.9849596, ' Yep': -10.364091, ' Here': -10.601437}
{' Yes': -0.0066871652, 'Yes': -5.551903, ' Sick': -6.00803, ' yes': -8.890039, ' YES': -9.2591095}
{' Yes': -0.0056530996, 'Yes': -5.7015753, ' No': -6.4025583, ' Sick': -8.00982, ' yes': -8.948534}
{' Yes': -0.05299298, ' Dirt': -3.0700579, 'Yes': -5.73339, ' No': -6.77893, ' Dirty': -8.283289}
{' Yes': -0.10023182, ' No': -2.462052, ' Dirt': -4.9789624, 'Yes': -6.116429, 'No': -7.945178}
{' Yes': -0.036393415, ' No': -3.8072674, ' Te': -5.0499134, 'Yes': -6.247724, ' T': -6.688426}
{' Yes': -0.009528249, ' Te': -5.738651, 'Yes': -6.126358, ' No': -6.403899, ' T': -7.749595}
{' No': -0.002638499, 'No': -5.950716, ' Nope': -10.844648, '\n': -12.331212, ' ': -12.803737}
{' Yes': -0.0151034845, ' No': -4.6540937, ' Sure': -5.9721646, 'Yes': -6.7031927, ' True': -6.9007387}
{' Rain': -0.48114327, ' Yes': -1.3209107, ' Train': -3.3368695, ' No': -3.3398392, 'Rain': -4.101861}
{' Yes': -0.33434287, ' Rain': -1.9780729, ' No': -2.0163496, 'Rain': -5.7194395, ' Brain': -6.18261}
{' Yes': -0.0033882642, ' No': -6.192692, 'Yes': -6.850569, ' Sure': -9.036136, ' Maybe': -9.403137}
{' Yes': -0.22198303, ' No': -1.6285667, 'Yes': -6.6031394, ' Nope': -7.580538, 'No': -7.919824}
{' Yes': -0.005595616, ' Sure': -5.7146897, 'Yes': -6.7727346, ' Absolutely': -7.3331304, ' Definitely': -8.378772}
{' Yes': -0.0031761501, ' Sure': -6.342247, 'Yes': -7.170912, ' No': -8.122896, ' Absolutely': -9.272835}
{' Yes': -0.27765933, ' No': -1.4268559, 'Yes': -6.790347, 'No': -7.5945992, ' Nope': -8.395543}
{' Yes': -0.6604667, ' No': -0.72980267, 'No': -7.43398, 'Yes': -7.544503, ' Nope': -9.0657625}
{' Yes': -0.027590942, ' Thin': -4.060296, ' No': -4.775895, 'Yes': -7.06167, ' Nope': -8.3424635}
{' Yes': -0.024292188, ' No': -3.890297, 'Yes': -6.514227, ' Thin': -6.721658, ' Nope': -7.6415033}
{' No': -0.2113174, ' Yes': -1.681517, ' Tail': -6.474516, 'No': -6.533163, ' Not': -7.585379}
{' Yes': -0.083322465, ' No': -2.9897418, ' Tail': -3.681528, 'Yes': -6.355625, ' Not': -7.8691707}
{' Yes': -0.0019685463, 'Yes': -6.4595447, ' Land': -8.4018135, ' yes': -9.279911, ' No': -10.361357}
{' Yes': -0.0051812213, 'Yes': -5.9695063, ' No': -6.8158474, ' Land': -6.8274775, ' yes': -8.626196}
{' Yes': -0.0026400536, ' No': -6.9984336, 'Yes': -7.021007, ' Feel': -7.7649484, ' yes': -9.14145}
{' Yes': -0.025914053, ' Feel': -4.3088346, ' No': -5.3004084, ' F': -5.9267855, 'Yes': -6.5550914}
{' Yes': -0.0023958338, 'Yes': -6.52812, ' No': -7.2744865, ' Loud': -9.725357, ' Yep': -10.488121}
{' Yes': -0.013409446, ' No': -5.115157, ' Loud': -5.326058, 'Yes': -6.316113, ' YES': -9.191536}
