{' No': -0.065186426, ' Yes': -2.8289306, 'No': -5.7845254, ' The': -7.627158, 'Yes': -8.79785}
{' No': -0.0199926, 'No': -4.169351, ' Yes': -5.780231, ' Not': -7.0345755, ' The': -8.75548}
{' No': -0.018991588, 'No': -4.122034, ' Yes': -6.1427803, '\n': -8.844582, ' The': -8.933834}
{' No': -0.03969988, ' Yes': -3.7184944, 'No': -4.255675, 'Yes': -8.735399, ' The': -9.087809}
{' No': -0.024417145, 'No': -4.280343, ' Yes': -4.6361856, '\n': -8.415568, ' The': -8.793138}
{' No': -0.18033133, ' Yes': -1.9048053, 'No': -4.4800253, '\n': -6.544678, 'Yes': -6.7008443}
{' No': -0.08116455, ' Yes': -3.0114355, 'No': -3.6964083, ' Not': -6.365895, ' The': -6.9229155}
{' No': -0.041620128, ' Yes': -3.7929554, 'No': -4.074594, ' Not': -8.219216, ' The': -8.277959}
{' No': -0.35619697, ' Yes': -1.28433, 'No': -4.097572, 'Yes': -5.718906, ' The': -6.6676726}
{' No': -0.03276468, 'No': -4.0692654, ' Yes': -4.2797794, '\n': -7.6908813, ' The': -7.9783397}
{' No': -0.128122, ' Yes': -2.2544513, 'No': -4.3468027, ' The': -6.988269, 'Yes': -7.1447573}
{' Yes': -0.66918796, ' No': -0.7810024, 'No': -3.9426253, 'Yes': -4.7336926, '\n': -7.2661533}
{' No': -0.079405256, ' Yes': -2.8976672, 'No': -3.9730096, 'Yes': -7.333447, '\n': -7.4426785}
{' Yes': -0.16708645, ' No': -1.9458168, 'Yes': -4.9299803, 'No': -6.1303167, ' The': -7.5243993}
{' No': -0.5955312, ' Yes': -0.8311154, 'No': -4.963724, 'Yes': -5.670463, '\n': -6.58345}
{' No': -0.02854043, 'No': -3.5926137, ' Yes': -8.521054, ' The': -8.534797, ' ': -9.793918}
{' No': -0.03127179, 'No': -3.6982446, ' Yes': -5.2586217, '\n': -7.9539576, ' The': -8.513524}
{' Yes': -0.006374949, 'Yes': -5.2414937, ' No': -7.5909023, ' The': -7.895521, ' yes': -8.929617}
{' Yes': -0.052266456, ' No': -3.120027, 'Yes': -5.369849, ' The': -7.035596, 'No': -7.532523}
{' Yes': -0.016215043, ' No': -4.8511567, 'Yes': -4.858437, 'No': -8.817568, ' The': -9.153561}
{' No': -0.115944736, ' Yes': -2.6098335, 'No': -3.4488897, '\n': -6.364136, 'Yes': -6.6425104}
{' Yes': -0.22640018, ' No': -1.6371248, 'Yes': -5.7289577, 'No': -6.1301303, ' The': -6.7448916}
{' Yes': -0.05886762, ' No': -2.9548237, 'Yes': -5.665484, ' The': -7.3472505, 'No': -7.8468595}
{' No': -0.18311438, ' Yes': -1.8567231, 'No': -4.9574633, '\n': -6.7275395, ' The': -6.8258905}
{' No': -0.6875806, ' Yes': -0.7394033, 'No': -4.5846753, 'Yes': -5.2822366, ' "': -6.176016}
{' No': -0.06857841, ' Yes': -3.1454384, 'No': -3.8334517, ' The': -7.581481, 'Yes': -7.732827}
{' No': -0.035307065, 'No': -3.4644296, ' Yes': -5.947029, '\n': -8.131836, ' The': -8.271025}
{' No': -0.11493804, ' Yes': -2.4485352, 'No': -3.9628341, 'Yes': -6.7667665, '\n': -7.1366224}
{' Yes': -0.2927566, ' No': -1.4240813, 'Yes': -4.9587684, 'No': -5.6129355, ' The': -6.9810286}
{' No': -0.021915013, 'No': -3.866384, ' The': -8.255265, ' Yes': -8.656791, ' "': -8.9414015}
{' No': -0.026235182, 'No': -3.7247934, ' Yes': -6.856785, ' The': -7.736747, ' "': -9.164763}
{' Yes': -0.032294374, ' No': -3.8027868, 'Yes': -4.909148, '\n': -7.2054734, ' The': -7.4031286}
{' Yes': -0.54108393, ' No': -0.916618, 'No': -5.3880763, 'Yes': -5.426505, '\n': -5.4495974}
{' No': -0.040981553, 'No': -3.9249516, ' Yes': -3.9710677, '\n': -7.560222, ' The': -8.066227}
{' No': -0.0269233, 'No': -3.721997, ' Yes': -6.4056535, ' The': -8.215199, '\n': -8.927081}
{' No': -0.03496474, ' Yes': -3.9663324, 'No': -4.2455416, '\n': -8.031013, ' The': -8.0531845}
{' No': -0.028354984, 'No': -3.809563, ' Yes': -5.396296, '\n': -7.2041893, ' The': -8.802052}
{' Yes': -0.060185023, ' No': -3.1233735, 'Yes': -4.715176, ' The': -5.816605, 'No': -6.7615643}
{' Yes': -0.62411374, ' No': -0.810828, 'No': -4.5839834, 'Yes': -5.117335, ' The': -6.0813794}
{' Yes': -0.0064246194, 'Yes': -5.3554063, ' No': -7.1334996, ' The': -7.4479723, ' yes': -8.717423}
{' No': -0.53665847, ' Yes': -0.9259865, 'No': -4.4603777, 'Yes': -5.4920034, ' The': -6.3238053}
{' Yes': -0.14631397, ' No': -2.0658772, 'Yes': -5.3149805, 'No': -6.2526164, ' The': -6.5996656}
{' Yes': -0.10065427, ' No': -2.5030077, 'Yes': -4.5729003, 'No': -5.9987617, ' The': -7.412393}
{' No': -0.015635336, 'No': -4.3130174, ' Yes': -6.2399297, ' The': -10.010981, ' ': -10.276634}
{' No': -0.2122402, ' Yes': -1.7778454, 'No': -3.9883516, 'Yes': -6.2808642, ' The': -7.2087607}
{' No': -0.13363212, ' Yes': -2.1960502, 'No': -4.530202, ' The': -6.9826884, '\n': -7.0423307}
{' No': -0.34721977, ' Yes': -1.2953702, 'No': -4.4105225, 'Yes': -6.0260143, ' The': -6.246952}
{' No': -0.28495228, ' Yes': -1.4505293, 'No': -4.5911064, 'Yes': -6.0862293, '\n': -7.954374}
{' No': -0.09325969, ' Yes': -2.5497456, 'No': -4.781545, ' The': -6.338033, 'Yes': -7.745941}
{' Yes': -0.010669284, 'Yes': -4.933883, ' No': -6.072149, '\n': -7.643665, ' The': -8.410655}
{' No': -0.5554502, ' Yes': -0.89011925, 'No': -4.5719714, 'Yes': -5.8014007, ' The': -6.9742103}
{' No': -0.2291269, ' Yes': -1.7288504, 'No': -3.7590647, 'Yes': -6.0868707, '\n': -6.879933}
{' No': -0.55861205, ' Yes': -0.8864318, 'No': -4.5103884, 'Yes': -5.7183557, ' The': -7.3458447}
{' Yes': -0.09384776, ' No': -2.5047553, 'Yes': -5.282908, ' The': -6.7664375, 'No': -6.882086}
{' No': -0.15842663, ' Yes': -2.0854704, 'No': -3.9924245, '\n': -6.5524693, 'Yes': -6.5569687}
{' No': -0.13280152, ' Yes': -2.406361, 'No': -3.4801505, 'Yes': -6.1762366, '\n': -7.109506}
{' No': -0.6275172, ' Yes': -0.8239532, 'No': -4.079963, 'Yes': -4.7747474, '\n': -6.7773523}
{' No': -0.034425277, ' Yes': -3.7978337, 'No': -4.610978, '\n': -7.383496, ' The': -7.692996}
{' No': -0.026638618, 'No': -3.8590739, ' Yes': -5.411553, ' The': -8.060873, '\n': -8.806139}
{' No': -0.03171202, ' Yes': -3.9761584, 'No': -4.5049996, ' The': -7.3037267, '\n': -8.022179}
{' No': -0.07599735, ' Yes': -3.1279078, 'No': -3.6343637, ' The': -6.6212263, 'Yes': -7.428292}
{' No': -0.096094444, ' Yes': -2.766926, 'No': -3.6591914, ' The': -7.084841, 'Yes': -7.0965977}
{' Yes': -0.12222185, ' No': -2.2636957, 'Yes': -4.796994, 'No': -6.2133374, ' The': -7.645121}
{' No': -0.24545863, ' Yes': -1.585268, 'No': -4.5325127, 'Yes': -6.616107, ' The': -7.9009576}
{' Yes': -0.3496322, ' No': -1.276203, 'Yes': -4.8775196, 'No': -4.913112, '\n': -7.8615704}
{' No': -0.39778554, ' Yes': -1.2392125, 'No': -3.6235716, 'Yes': -5.15552, ' "': -5.8396053}
{' No': -0.10002746, ' Yes': -2.8121092, 'No': -3.41593, 'Yes': -6.890711, ' The': -7.3186283}
{' No': -0.043244246, ' Yes': -3.5748277, 'No': -4.3335423, '\n': -8.060865, ' The': -8.203749}
{' No': -0.0880165, ' Yes': -2.8061025, 'No': -3.7909508, 'Yes': -7.1142044, ' The': -9.074871}
{' No': -0.034847654, ' Yes': -4.000359, 'No': -4.2098393, ' The': -7.685058, ' Not': -8.537609}
{' No': -0.026966471, 'No': -3.7647514, ' Yes': -5.886057, ' The': -8.100744, '\n': -9.188198}
{' Yes': -0.16265644, ' No': -1.93757, 'Yes': -5.6000686, 'No': -7.073518, ' The': -7.502515}
{' Yes': -0.5922798, ' No': -0.8298057, 'No': -5.153591, 'Yes': -5.496807, ' The': -7.592533}
{' No': -0.673946, ' Yes': -0.7526183, 'No': -4.511468, 'Yes': -5.576792, ' The': -6.1464553}
{' No': -0.109410584, ' Yes': -2.5230803, 'No': -3.894231, ' The': -6.8175097, 'Yes': -6.9694834}
{' No': -0.08367948, ' Yes': -2.7494662, 'No': -4.2898674, ' The': -6.916659, ' "': -7.621498}
{' No': -0.041402854, 'No': -3.4723814, ' Yes': -4.78636, ' The': -7.77417, '\n': -8.223883}
{' No': -0.06369891, 'No': -3.5275755, ' Yes': -3.5986605, '\n': -5.923938, ' The': -7.283416}
{' No': -0.012758748, 'No': -4.414894, ' Yes': -7.9217567, ' "': -9.7763605, ' The': -9.829226}
{' No': -0.09923208, ' Yes': -2.6493895, 'No': -3.8328419, 'Yes': -7.1137853, ' The': -7.540931}
{' No': -0.033473395, 'No': -4.0927153, ' Yes': -4.229039, '\n': -7.4055357, ' The': -7.5459776}
{' No': -0.09806797, ' Yes': -2.5981977, 'No': -4.144792, '\n': -6.8588324, 'Yes': -7.04144}
{' No': -0.26128632, ' Yes': -1.51932, 'No': -4.843085, 'Yes': -6.5196724, ' The': -6.856146}
{' Yes': -0.018578166, ' No': -4.4063764, 'Yes': -5.3816285, '\n': -7.6499825, ' The': -7.676695}
{' Yes': -0.4509747, ' No': -1.0515339, 'No': -5.279582, 'Yes': -5.3255186, '\n': -6.417186}
{' Yes': -0.026320543, ' No': -3.9131021, 'Yes': -5.255494, ' The': -8.453477, 'No': -8.54045}
{' Yes': -0.50008166, ' No': -0.9579541, 'Yes': -5.5404067, 'No': -5.719163, ' The': -6.722326}
{' No': -0.02593393, 'No': -4.0961146, ' Yes': -4.7686553, '\n': -8.617192, 'Yes': -9.37145}
{' No': -0.2662364, ' Yes': -1.5150862, 'No': -4.545924, 'Yes': -6.5935426, '\n': -7.0172963}
{' No': -0.25073528, ' Yes': -1.6667337, 'No': -3.578593, 'Yes': -5.677972, ' The': -7.315589}
{' No': -0.028691499, 'No': -4.0019026, ' Yes': -4.953868, '\n': -6.8642015, ' "': -7.2077093}
{' Yes': -0.4490572, ' No': -1.0473809, 'No': -5.172381, 'Yes': -5.4957585, ' The': -7.6028314}
{' No': -0.20490298, ' Yes': -1.8610537, 'No': -3.6642475, 'Yes': -6.075798, '\n': -6.9207516}
{' No': -0.03850431, 'No': -3.285933, ' The': -8.950941, '\n': -9.459368, ' "': -10.011346}
{' No': -0.06232225, 'No': -2.8146148, '\n': -8.591689, ' The': -8.839204, ' ': -9.712073}
{' No': -0.6410745, ' Yes': -0.8092226, 'No': -4.034446, 'Yes': -4.8858023, '\n': -6.6472216}
{' No': -0.03731778, ' Yes': -3.8474488, 'No': -4.2607408, ' The': -8.027298, '\n': -8.26819}
{' No': -0.021124823, 'No': -3.8841999, ' The': -9.146953, ' Yes': -9.414884, '\n': -9.768706}
{' No': -0.026536211, 'No': -3.6554518, '\n': -8.873963, ' The': -9.610843, ' ': -9.79569}
{' Yes': -0.04913068, ' No': -3.1541378, 'Yes': -5.5050955, ' The': -7.806084, 'No': -7.886454}
{' No': -0.03288017, 'No': -3.4594088, ' Yes': -8.023477, ' The': -8.429149, '\n': -8.743625}
{' No': -0.06317046, 'No': -3.427098, ' Yes': -3.6200225, ' The': -7.558773, ' Not': -7.638356}
{' No': -0.059707645, 'No': -3.3262768, ' Yes': -3.882906, 'Yes': -7.618322, '\n': -7.8072376}
{' No': -0.11858818, ' Yes': -2.5668514, 'No': -3.6307187, '\n': -5.187491, 'Yes': -6.825665}
{' No': -0.04323659, 'No': -3.5352502, ' Yes': -4.5203576, '\n': -6.5347204, ' ': -8.223316}
{' No': -0.07181024, ' Yes': -2.849026, 'No': -4.563969, 'Yes': -7.6963863, ' The': -8.522993}
{' Yes': -0.52109104, ' No': -0.92652285, 'Yes': -5.3734603, 'No': -5.457866, ' The': -7.480977}
{' Yes': -0.31725258, ' No': -1.3201174, 'Yes': -5.8432493, 'No': -6.6998525, ' The': -8.039012}
{' Yes': -0.020347416, ' No': -4.360086, 'Yes': -5.110288, ' The': -7.4097934, ' yes': -8.423187}
{' No': -0.08779601, ' Yes': -2.8170667, 'No': -3.9106586, '\n': -6.4454045, ' The': -7.076187}
{' No': -0.05374003, 'No': -3.6923296, ' Yes': -3.7446349, ' The': -6.7484856, '\n': -6.863386}
{' No': -0.04240555, 'No': -3.6444829, ' Yes': -4.2886615, ' The': -7.393157, ' Not': -8.159001}
{' No': -0.3361608, ' Yes': -1.3196279, 'No': -4.5574207, ' The': -5.7889075, 'Yes': -5.996372}
{' Yes': -0.015411776, 'Yes': -4.4916024, ' No': -5.674572, ' yes': -8.596027, '\n': -9.033659}
{' Yes': -0.014711206, ' No': -4.675922, 'Yes': -5.521793, ' The': -7.565431, ' yes': -8.342423}
{' No': -0.08682167, ' Yes': -3.1837184, 'No': -3.2486258, 'Yes': -6.949963, '\n': -7.421023}
{' No': -0.6356763, ' Yes': -0.7958632, 'No': -4.7589045, 'Yes': -5.3467717, ' The': -5.8844266}
{' No': -0.03286705, 'No': -4.070781, ' Yes': -4.3188014, ' The': -7.07306, ' "': -7.4152117}
{' No': -0.06868872, ' Yes': -3.0357506, 'No': -4.1551623, ' The': -6.954062, '\n': -7.4129744}
{' No': -0.21173748, ' Yes': -1.7902058, 'No': -4.029574, 'Yes': -5.534678, '\n': -6.6907144}
{' No': -0.04862619, ' Yes': -3.4187567, 'No': -4.3300076, ' The': -7.663242, 'Yes': -7.8596663}
{' No': -0.44389707, ' Yes': -1.0862844, 'No': -4.3358173, 'Yes': -5.3465595, '\n': -6.4017787}
{' No': -0.07567701, ' Yes': -3.2197235, 'No': -3.5201862, ' The': -6.817376, 'Yes': -7.1045637}
{' No': -0.027360097, 'No': -3.767846, ' Yes': -5.8810277, ' The': -7.996287, ' Not': -8.2537985}
{' No': -0.038619228, 'No': -3.7505982, ' Yes': -4.326621, ' The': -7.7547617, '\n': -8.497043}
{' Yes': -0.4110705, ' No': -1.1360195, 'No': -5.132309, 'Yes': -5.202346, '\n': -5.996857}
{' No': -0.03862313, 'No': -3.5950387, ' Yes': -4.716655, ' The': -7.3548784, '\n': -8.169034}
{' No': -0.037401125, 'No': -3.6286867, ' Yes': -4.9267197, '\n': -6.175044, ' "': -8.284066}
{' No': -0.42027497, ' Yes': -1.159239, 'No': -3.9863453, 'Yes': -5.3785954, '\n': -5.6838894}
{' Yes': -0.14578699, ' No': -2.0590847, 'Yes': -5.3528714, 'No': -6.456319, ' The': -7.0699816}
{' No': -0.13630362, ' Yes': -2.164864, 'No': -4.528952, 'Yes': -7.2850037, ' The': -7.7703996}
{' No': -0.031401433, 'No': -3.8386445, ' Yes': -4.951609, '\n': -6.5619264, ' The': -7.9169292}
{' No': -0.04480056, 'No': -3.189223, ' Yes': -6.7339234, '\n': -7.0188165, ' ': -8.55146}
{' Yes': -0.021392168, ' No': -4.475419, 'Yes': -4.7691355, ' The': -7.8412237, 'No': -8.30182}
{' Yes': -0.08981964, ' No': -2.576203, 'Yes': -4.9749875, 'No': -6.5653734, ' The': -7.0606775}
{' No': -0.036505368, 'No': -3.6578758, ' Yes': -4.7289286, ' The': -7.7868276, '\n': -8.162636}
{' No': -0.012719447, 'No': -4.622596, ' Yes': -6.01636, ' The': -8.845193, ' ': -9.333224}
{' No': -0.034037065, 'No': -3.5057187, ' Yes': -5.877905, ' The': -8.65247, '\n': -8.720083}
{' No': -0.32651865, ' Yes': -1.3690622, 'No': -4.0440307, 'Yes': -5.668975, ' The': -6.4666667}
{' Yes': -0.16152108, ' No': -2.1061354, 'Yes': -4.0723886, '\n': -5.3681746, 'No': -5.596001}
{' Yes': -0.15447897, ' No': -2.0728216, 'Yes': -4.360198, 'No': -5.9238114, '\n': -7.0445843}
{' No': -0.560815, ' Yes': -0.885047, 'No': -4.4739923, 'Yes': -5.5939493, ' The': -7.8855257}
{' Yes': -0.48021087, ' No': -0.9881055, 'No': -5.548288, 'Yes': -5.7372947, ' The': -6.8680167}
{' No': -0.029605746, ' Yes': -3.9210143, 'No': -4.7721176, ' The': -7.598756, ' "': -8.820469}
{' No': -0.034283277, ' Yes': -3.8447726, 'No': -4.462599, ' The': -7.86668, 'Yes': -8.875269}
{' Yes': -0.02332416, ' No': -4.4780684, 'Yes': -4.5171194, 'No': -8.218263, ' The': -8.63523}
{' Yes': -0.20327051, ' No': -1.7570462, 'Yes': -4.9815793, 'No': -5.741358, '\n': -7.5415173}
{' No': -0.04182278, 'No': -3.2698407, ' Yes': -6.1667333, ' The': -7.6480446, '\n': -8.848885}
{' No': -0.030226456, 'No': -4.1062703, ' Yes': -4.394528, ' The': -7.495288, '\n': -9.00269}
{' No': -0.029165516, 'No': -3.9573956, ' Yes': -4.756241, '\n': -7.7776623, ' The': -8.641245}
{' No': -0.14529936, ' Yes': -2.1730838, 'No': -3.9593327, 'Yes': -6.5568132, ' The': -8.132274}
{' No': -0.043089036, 'No': -3.363695, ' Yes': -5.0791683, '\n': -7.552734, ' The': -8.182335}
{' No': -0.039604995, 'No': -3.2838595, ' Yes': -7.1292095, ' Not': -8.656105, ' The': -8.924487}
{' No': -0.051889643, 'No': -3.309187, ' Yes': -4.8205223, '\n': -5.426752, ' "': -7.470728}
{' No': -0.03035781, 'No': -3.705908, ' Yes': -5.4055805, ' The': -8.004431, '\n': -8.663647}
{' Yes': -0.0106729595, 'Yes': -4.8389883, ' No': -6.1026864, '\n': -8.786424, ' The': -9.29861}
{' Yes': -0.71290237, ' No': -0.73782957, 'No': -4.206108, 'Yes': -4.7999077, '\n': -5.330658}
{' Yes': -0.111543976, ' No': -2.3602717, 'Yes': -4.733088, 'No': -6.2908998, ' yes': -8.855774}
{' No': -0.37875724, ' Yes': -1.2023104, 'No': -4.4757075, 'Yes': -5.996024, ' The': -7.575759}
{' No': -0.07567791, ' Yes': -2.7174985, 'No': -5.153906, ' The': -7.5581837, 'Yes': -8.278048}
{' Yes': -0.09711327, ' No': -2.4340997, 'Yes': -5.6858964, 'No': -7.2580247, ' The': -7.5939045}
{' Yes': -0.12509546, ' No': -2.1829643, 'Yes': -5.787218, 'No': -7.0192013, ' The': -7.596962}
{' No': -0.056873865, ' Yes': -3.132662, 'No': -4.5650887, ' The': -7.4647527, 'Yes': -8.437613}
{' No': -0.115444064, ' Yes': -2.30426, 'No': -5.003986, ' The': -6.765957, 'Yes': -7.848713}
{' No': -0.15029177, ' Yes': -2.0488229, 'No': -4.7084274, 'Yes': -7.189926, ' The': -7.773563}
{' No': -0.01610916, 'No': -4.3396854, ' Yes': -5.9422584, '\n': -9.494691, ' The': -9.701411}
{' Yes': -0.32202995, ' No': -1.3155774, 'Yes': -5.8169103, 'No': -6.002684, ' The': -6.6967263}
{' Yes': -0.14705408, ' No': -2.0207992, 'Yes': -5.8548746, 'No': -7.0093484, ' The': -8.547066}
{' No': -0.0217473, ' Yes': -4.5109286, 'No': -4.5958705, ' The': -8.586747, 'Yes': -9.558515}
{' Yes': -0.2430234, ' No': -1.5546346, 'Yes': -5.9630504, 'No': -6.6442566, ' The': -8.394968}
{' No': -0.35193408, ' Yes': -1.2487428, 'No': -4.8888564, 'Yes': -6.5664935, ' The': -7.5864367}
{' No': -0.024859197, ' Yes': -4.165501, 'No': -4.75166, ' The': -9.241573, 'Yes': -9.308971}
{' No': -0.24892291, ' Yes': -1.5908953, 'No': -4.288777, 'Yes': -6.6755447, ' The': -6.963732}
{' No': -0.57677203, ' Yes': -0.8514054, 'No': -4.9720225, 'Yes': -6.115602, ' The': -6.6902742}
{' Yes': -0.011556292, ' No': -4.726623, 'Yes': -6.076967, ' The': -8.913634, ' yes': -9.750193}
{' No': -0.6338586, ' Yes': -0.7764634, 'No': -5.1354165, 'Yes': -5.9711695, ' The': -7.83473}
{' No': -0.3286585, ' Yes': -1.3193697, 'No': -4.727304, 'Yes': -6.3428006, ' The': -6.680997}
{' No': -0.17150751, ' Yes': -1.910275, 'No': -4.895076, 'Yes': -7.179621, '\n': -7.43865}
{' Yes': -0.51997775, ' No': -0.9391061, 'No': -4.85038, 'Yes': -5.169243, ' The': -7.520458}
{' No': -0.0139795095, 'No': -4.8928857, ' Yes': -5.0849423, ' Not': -10.219141, '\n': -10.220165}
{' Yes': -0.034831915, ' No': -3.4871614, 'Yes': -5.859918, ' The': -8.206475, 'No': -8.329844}
{' No': -0.017184105, 'No': -4.07989, ' ': -10.326893, ' The': -10.477192, '\n': -10.910035}
{' No': -0.024075784, 'No': -3.7569113, ' Yes': -8.51262, ' Not': -9.367612, ' The': -9.6413145}
{' No': -0.07298063, ' Yes': -2.8508162, 'No': -4.4539237, ' The': -8.123822, 'Yes': -8.135794}
{' No': -0.024645358, ' Yes': -4.296425, 'No': -4.595223, ' The': -7.9324737, 'Yes': -9.673712}
{' Yes': -0.011271003, ' No': -4.866524, 'Yes': -5.752997, ' The': -8.91041, ' yes': -9.611242}
{' No': -0.36345395, ' Yes': -1.2322551, 'No': -4.579856, 'Yes': -6.1724215, ' The': -7.732671}
{' No': -0.1585265, ' Yes': -1.981805, 'No': -4.9219656, 'Yes': -7.316333, ' The': -8.150636}
{' No': -0.026758052, ' Yes': -4.249807, 'No': -4.437406, ' The': -9.089517, 'Yes': -9.225608}
{' No': -0.17468224, ' Yes': -1.8679539, 'No': -5.4228373, ' Not': -7.6470203, 'Yes': -7.7166038}
{' Yes': -0.1827103, ' No': -1.8416784, 'Yes': -5.2536483, 'No': -6.247659, ' The': -7.4842386}
{' Yes': -0.009315913, ' No': -4.9736156, 'Yes': -6.290197, ' The': -8.028154, ' yes': -9.3640175}
{' No': -0.30863225, ' Yes': -1.3499397, 'No': -5.4020996, 'Yes': -7.026398, ' The': -7.6854477}
{' Yes': -0.039311778, ' No': -3.4277756, 'Yes': -5.3770323, 'No': -7.3860574, ' The': -7.54369}
{' No': -0.049147956, 'No': -3.0629778, ' Yes': -7.147464, ' The': -8.907611, ' Not': -9.334642}
{' Yes': -0.3674344, ' No': -1.2208605, 'Yes': -5.415236, 'No': -5.5333962, ' The': -6.5718446}
{' No': -0.12639457, ' Yes': -2.2515566, 'No': -4.4489403, 'Yes': -7.2670436, ' The': -7.6049953}
{' No': -0.007297415, 'No': -4.9365115, ' ': -9.876716, ' Yes': -10.93492, '\n': -11.931865}
{' No': -0.025719306, 'No': -3.695582, ' Yes': -7.8761106, ' The': -9.620077, ' ': -10.058279}
{' Yes': -0.14216532, ' No': -2.0722992, 'Yes': -5.5147943, 'No': -6.4004946, ' The': -7.275918}
{' Yes': -0.25641662, ' No': -1.536196, 'Yes': -5.316326, 'No': -5.486582, ' The': -6.607603}
{' No': -0.018745467, ' Yes': -4.5284023, 'No': -5.0445786, ' Not': -6.9121146, ' The': -8.647792}
{' No': -0.011262625, 'No': -4.626529, ' Yes': -6.7553835, ' The': -9.448665, '\n': -9.814345}
{' No': -0.01674282, 'No': -4.698263, ' Yes': -4.9239655, ' The': -9.47747, ' Not': -9.57394}
{' No': -0.016210863, ' Yes': -4.545555, 'No': -5.2559304, ' The': -9.295593, '\n': -10.072968}
{' No': -0.57681644, ' Yes': -0.8442305, 'No': -5.4853244, 'Yes': -6.3993354, ' The': -6.5523176}
{' No': -0.068022616, ' Yes': -3.0093122, 'No': -4.2642922, ' Not': -6.759035, ' The': -7.454155}
{' No': -0.022094512, ' Yes': -4.4622383, 'No': -4.6336913, ' Not': -8.620743, ' The': -8.854124}
{' No': -0.5448477, ' Yes': -0.8942949, 'No': -4.928278, 'Yes': -5.9846764, ' The': -7.205839}
{' No': -0.044968445, ' Yes': -3.3657517, 'No': -4.7721257, ' The': -7.937655, ' Not': -8.540895}
{' No': -0.36322865, ' Yes': -1.2168263, 'No': -5.2532315, 'Yes': -6.721539, ' Not': -6.9761987}
{' Yes': -0.023842085, ' No': -3.9766238, 'Yes': -5.4491158, 'No': -8.490494, ' The': -8.99781}
{' No': -0.63367474, ' Yes': -0.77608305, 'No': -5.1481743, 'Yes': -6.085783, ' The': -7.406902}
{' Yes': -0.06423776, ' No': -2.860323, 'Yes': -5.538101, 'No': -7.6191864, ' The': -8.128201}
{' No': -0.52569187, ' Yes': -0.91734684, 'No': -5.183538, 'Yes': -6.1500754, ' The': -7.282333}
{' No': -0.01400792, 'No': -4.3723717, ' Yes': -6.993784, ' The': -8.442812, ' ': -10.076426}
{' No': -0.02413776, 'No': -4.3795547, ' Yes': -4.519502, ' The': -8.616047, 'Yes': -9.592865}
{' Yes': -0.0026393374, 'Yes': -6.307248, ' No': -7.333617, ' The': -9.343827, ' yes': -9.794124}
{' Yes': -0.010640247, ' No': -4.878827, 'Yes': -5.963887, ' The': -8.49717, ' yes': -9.280503}
{' Yes': -0.0065148463, 'Yes': -5.541089, ' No': -6.030656, ' yes': -9.917609, ' The': -9.926179}
{' No': -0.06180308, ' Yes': -3.0800316, 'No': -4.3404016, 'Yes': -7.991906, ' The': -8.380101}
{' Yes': -0.045582745, ' No': -3.1968126, 'Yes': -6.0776525, ' The': -7.340508, 'No': -8.070216}
{' Yes': -0.02828208, ' No': -3.7012346, 'Yes': -6.0315056, ' The': -7.927904, ' yes': -8.743084}
{' No': -0.312166, ' Yes': -1.3335855, 'No': -5.9635463, ' The': -6.9806366, 'Yes': -7.290035}
{' Yes': -0.69141, ' No': -0.7136001, 'No': -5.271965, 'Yes': -5.868679, ' The': -7.172344}
{' No': -0.065243624, ' Yes': -2.9964511, 'No': -4.424454, ' The': -7.6112523, ' Not': -8.162664}
{' No': -0.016521133, 'No': -4.3746047, ' Yes': -5.7284117, ' The': -8.274766, '\n': -9.061673}
{' No': -0.27176332, ' Yes': -1.4812857, 'No': -4.8004303, 'Yes': -6.568548, ' The': -8.004116}
{' Yes': -0.21789624, ' No': -1.661452, 'Yes': -5.7092075, 'No': -6.5145197, ' The': -7.18294}
{' No': -0.012455252, 'No': -4.4677734, ' Yes': -7.7493587, ' The': -8.21583, ' Not': -9.286667}
{' No': -0.012387477, 'No': -4.579875, ' Yes': -6.3715944, ' The': -8.358722, ' ': -10.48273}
{' Yes': -0.042931728, ' No': -3.3002367, 'Yes': -5.4804544, 'No': -7.987363, ' The': -8.0270815}
{' Yes': -0.07599902, ' No': -2.697667, 'Yes': -5.487023, ' The': -7.508824, 'No': -7.6078987}
{' No': -0.042087823, ' Yes': -3.4936793, 'No': -4.6311054, ' The': -7.627895, '\n': -8.842014}
{' No': -0.012910589, 'No': -4.483745, ' Yes': -6.6900396, ' The': -8.799142, ' ': -10.026471}
{' No': -0.22015807, ' Yes': -1.649426, 'No': -5.445038, 'Yes': -7.5322833, ' The': -8.054653}
{' No': -0.021600569, ' Yes': -4.494392, 'No': -4.6329703, '\n': -8.81121, ' The': -9.127994}
{' Yes': -0.042636544, ' No': -3.394832, 'Yes': -5.147203, ' The': -6.6542583, 'No': -7.5581007}
{' No': -0.27591836, ' Yes': -1.4886086, 'No': -4.3846464, 'Yes': -6.2864327, ' The': -7.2281313}
{' Yes': -0.0044954936, 'Yes': -5.8692813, ' No': -6.6083255, ' The': -8.466202, ' yes': -9.758756}
{' No': -0.6218022, ' Yes': -0.7929506, 'No': -5.0985703, 'Yes': -6.0652456, ' The': -6.495862}
{' Yes': -0.6652076, ' No': -0.73717386, 'No': -5.520634, 'Yes': -6.3427143, ' The': -6.8907514}
{' Yes': -0.028573118, ' No': -3.8436499, 'Yes': -5.0978003, 'No': -7.9028707, ' The': -8.831555}
