{' Yes': -0.4832697, ' No': -0.96698284, 'Yes': -6.763613, 'No': -6.8934584, ' Nope': -7.4044847}
{' Yes': -0.17431477, ' No': -1.8496307, 'Yes': -6.6034794, 'No': -7.3777986, ' Clown': -7.9156175}
{' No': -0.6873119, ' Yes': -0.7059238, 'No': -6.149031, 'Yes': -6.995795, ' Nope': -8.279904}
{' No': -0.0024781092, 'No': -6.00547, ' Not': -12.855207, ' Yes': -12.92867, ' Nope': -12.947356}
{' No': -0.002324196, 'No': -6.0830107, ' Yes': -10.622221, ' Not': -11.969888, ' Nope': -11.991154}
{' Yes': -0.002649078, 'Yes': -6.4142165, ' Shark': -7.539197, ' Sure': -8.250068, ' No': -8.972533}
{' Yes': -0.008694267, ' Shark': -5.1642632, 'Yes': -6.048943, ' Sure': -8.391132, ' No': -8.744562}
{' No': -0.0072861286, ' Nope': -5.6588573, 'No': -6.209158, ' Yes': -6.400131, ' Not': -9.490313}
{' No': -0.019627271, ' Nope': -4.633551, ' Yes': -5.025271, 'No': -5.855231, ' Not': -8.854477}
{' Yes': -0.076281264, ' No': -2.6336448, 'Yes': -6.7317357, 'No': -8.300622, ' Nope': -9.366617}
{' Yes': -0.0071928897, ' No': -5.6800804, 'Yes': -5.833527, ' Lemon': -7.4384217, 'No': -10.077303}
{' No': -0.0014551872, 'No': -6.5474505, ' Yes': -11.539213, ' Nope': -12.027348, ' Not': -13.117065}
{' No': -0.0031603638, 'No': -5.8134003, ' Nope': -9.148738, ' Yes': -10.195111, ' Not': -11.198583}
{' No': -0.008634084, 'No': -5.2874765, ' Yes': -5.7628164, ' Nope': -7.9493055, ' Not': -10.807235}
{' No': -0.00876185, ' Yes': -5.3311095, 'No': -5.8038015, ' Nope': -7.100217, 'Yes': -10.973769}
{' No': -0.0026901332, 'No': -5.9524307, ' Yes': -9.519159, ' Nope': -11.709147, ' Not': -12.746236}
{' No': -0.0032918593, 'No': -5.8738112, ' Nope': -7.9419227, ' Yes': -9.223563, ' Maybe': -11.776221}
{' Yes': -0.040372115, ' No': -3.271428, 'Yes': -6.5458784, 'No': -9.03943, ' Nope': -11.081722}
{' Yes': -0.024228802, ' No': -3.8440776, 'Yes': -6.103877, 'No': -8.701756, ' yes': -10.262313}
{' No': -0.00239464, 'No': -6.0502324, ' Yes': -11.110091, ' Nope': -11.16885, ' Not': -13.180856}
{' No': -0.003156656, 'No': -5.763656, ' Nope': -12.222947, ' Not': -13.019199, ' Yes': -13.1314745}
{' Yes': -0.015974274, ' Sm': -4.996624, ' Spell': -5.3425274, ' No': -6.0034466, 'Yes': -6.7195873}
{' Yes': -0.004902237, ' No': -6.377107, 'Yes': -6.433825, ' Spell': -6.820062, ' Sm': -9.662243}
{' No': -0.0016989396, 'No': -6.389133, ' Yes': -11.636432, ' Nope': -12.356761, ' Not': -12.820334}
{' No': -0.0026585225, 'No': -5.936149, ' Nope': -12.487728, ' Not': -12.671236, '\n': -13.140855}
{' Your': -0.7880244, ' Yes': -0.8811298, ' No': -2.413896, ' Y': -4.5920234, 'Yes': -5.6603208}
{' Yes': -0.689836, ' No': -1.4030088, ' Your': -1.5152526, 'Yes': -4.986951, ' Y': -5.4531813}
{' No': -0.0016541576, 'No': -6.446829, ' Nope': -10.181427, ' Yes': -10.6763935, ' Not': -12.679507}
{' No': -0.0032372025, 'No': -5.7487984, ' Yes': -10.42013, ' Nope': -11.50736, ' Not': -13.137997}
{' No': -0.008862751, 'No': -5.210479, ' Yes': -5.781278, ' Nope': -8.307717, 'Yes': -10.96617}
{' No': -0.009651495, ' Yes': -5.2057076, ' Wrong': -6.1319256, 'No': -6.4780464, ' Nope': -7.8590565}
{' No': -0.006327802, 'No': -5.2818727, ' Yes': -7.0635614, ' Nope': -7.970795, 'Yes': -12.196577}
{' No': -0.001688669, 'No': -6.480786, ' Yes': -9.082087, ' Nope': -10.514736, ' Not': -11.924368}
{' Yes': -0.27071983, ' No': -1.5638394, ' Devil': -3.8967745, 'Yes': -5.886688, 'No': -6.7664948}
{' No': -0.21991684, ' Yes': -1.9459699, ' Devil': -3.2452996, 'No': -5.3036146, ' Nope': -6.1689897}
{' No': -0.0021508967, 'No': -6.2237535, ' Yes': -9.216598, ' Nope': -9.861728, ' Not': -11.646585}
{' No': -0.0025105556, 'No': -6.13089, ' Nope': -8.787122, ' Yes': -8.880657, ' Not': -10.522871}
{' Yes': -0.00082611677, 'Yes': -7.3224354, ' No': -8.875383, ' Sure': -11.437139, ' yes': -11.706231}
{' Yes': -0.096765205, ' No': -2.3935487, 'Yes': -7.325641, 'No': -8.837313, ' Nope': -9.922643}
{' No': -0.0025561515, 'No': -5.9744353, ' Yes': -12.711431, ' Nope': -12.784234, ' Not': -13.656956}
{' No': -0.0013472096, 'No': -6.6206255, ' Yes': -12.034184, ' Nope': -12.504307, ' Not': -12.991615}
{' No': -0.14038642, ' Yes': -2.0779552, 'No': -5.2617493, 'Yes': -7.9817653, ' Major': -8.815219}
{' No': -0.0383904, ' Yes': -3.5678167, 'No': -5.1128664, ' Major': -5.9065523, ' Nope': -7.898199}
{' No': -0.002902328, 'No': -5.850861, ' Yes': -11.571374, ' Nope': -12.144991, ' Not': -12.811032}
{' No': -0.0018710862, 'No': -6.295255, ' Yes': -11.3828335, ' Nope': -11.903455, ' Not': -12.660185}
{' Yes': -0.022730947, ' No': -3.9207046, 'Yes': -6.2545834, ' Worst': -7.8083897, ' Nope': -9.173247}
{' Yes': -0.031662308, ' Worst': -4.1572537, ' No': -4.413954, 'Yes': -6.0684752, ' Nope': -8.930099}
{' No': -0.002973046, 'No': -5.8662767, ' Yes': -9.350244, ' Nope': -10.119626, ' Not': -12.583118}
{' No': -0.0014157321, 'No': -6.593725, ' Yes': -10.464466, ' Nope': -11.460656, ' Not': -12.333885}
{' No': -0.20625587, ' Yes': -1.7059029, 'No': -6.1235147, ' Nope': -6.320219, ' Pound': -7.9164085}
{' Yes': -0.2690643, ' No': -1.4641993, 'Yes': -6.5615134, ' Nope': -6.709435, 'No': -6.8485217}
{' No': -0.002081905, 'No': -6.182036, ' Nope': -11.85487, ' Yes': -12.5589485, ' Not': -13.907864}
{' No': -0.0013472096, 'No': -6.6574545, ' Nope': -10.38657, ' Yes': -10.984561, ' Not': -11.636531}
{' Yes': -0.6826878, ' No': -0.71234524, 'No': -6.201071, 'Yes': -6.8379226, ' Nope': -7.018215}
{' Yes': -0.10265513, ' No': -2.4880366, ' Dirty': -5.0572085, 'Yes': -5.425575, 'No': -7.113128}
{' No': -0.0032422235, 'No': -5.88552, ' Yes': -7.7855716, ' Nope': -10.399428, ' Not': -12.373632}
{' No': -0.004535487, 'No': -6.0231586, ' Yes': -6.5118465, ' Nope': -7.4718566, ' Not': -11.020918}
{' Yes': -0.015484657, ' No': -4.535128, 'Yes': -5.5187993, ' Nope': -8.366477, ' Sure': -9.066474}
{' Yes': -0.18820864, ' No': -1.8011407, 'Yes': -5.7244005, ' Nope': -6.2438054, 'No': -7.142825}
{' No': -0.0020716926, 'No': -6.187834, ' Nope': -11.516598, ' Not': -13.269124, '\n': -13.704179}
{' No': -0.0017937564, 'No': -6.332131, ' Nope': -12.015703, ' Yes': -12.780967, ' Not': -13.290006}
{' Yes': -0.34186006, 'rupt': -2.396025, ' Inter': -3.1744092, ' No': -3.335173, ' Cor': -3.8868694}
{' Yes': -0.18906942, ' No': -2.717546, ' Cor': -3.644874, 'Yes': -4.0811477, ' Inter': -4.357116}
{' No': -0.0016632335, 'No': -6.423214, ' Nope': -10.799389, ' Yes': -11.768688, ' Not': -12.3369665}
{' No': -0.00305788, 'No': -5.80891, ' Nope': -10.5522995, ' Yes': -10.975164, ' Not': -12.211417}
{' Yes': -0.15866898, ' No': -1.9532361, 'Yes': -6.1417828, ' Nope': -6.8083115, 'No': -7.6117573}
{' Yes': -0.16173679, ' No': -2.5449154, ' Swamp': -3.3417904, ' Nope': -4.584194, ' Sw': -4.859751}
{' No': -0.0022170818, 'No': -6.3989167, ' Yes': -7.536637, ' Nope': -11.534105, '\n': -12.981593}
{' No': -0.006042083, 'No': -5.514287, ' Yes': -6.3956103, ' Nope': -8.169366, ' Not': -11.614044}
{' No': -0.53277206, ' Armor': -1.374691, ' Yes': -1.9517401, 'No': -5.0669837, 'armor': -5.692201}
{' No': -0.15799338, ' Yes': -1.9602109, 'No': -5.66489, ' Nope': -7.1332455, ' Armor': -7.953547}
{' No': -0.002461558, 'No': -6.0305147, ' Nope': -10.223991, ' Yes': -11.5844345, ' Not': -12.346703}
{' No': -0.0024297123, 'No': -6.028848, ' Yes': -11.401671, ' Nope': -12.317494, '\n': -14.041565}
{' No': -0.10777463, ' Yes': -2.3293893, 'No': -5.4736304, 'Yes': -8.211854, ' Nope': -8.239237}
{' No': -0.0070862737, 'No': -5.8100266, ' Yes': -6.1077085, ' Nope': -6.3775654, ' Ex': -10.003547}
{' No': -0.007035372, 'No': -5.42323, ' Yes': -5.9717145, ' Nope': -11.086083, ' Not': -11.186187}
{' No': -0.0024674125, 'No': -6.058005, ' Yes': -9.359187, ' Nope': -10.325695, ' Not': -12.775228}
{' Yes': -0.18845645, ' Still': -1.9503067, ' No': -3.7574415, 'Yes': -6.1436086, ' St': -7.854828}
{' Yes': -0.20501083, ' Still': -1.8695825, ' No': -3.5978289, 'Yes': -6.0748286, 'Still': -8.151839}
{' No': -0.0016365467, 'No': -6.475923, ' Nope': -10.130598, ' Yes': -10.142979, ' Not': -11.9318495}
{' No': -0.002497591, 'No': -6.0983033, ' Yes': -8.423851, ' Nope': -11.358138, ' Not': -11.803769}
{' Yes': -0.002091224, ' No': -6.8372808, 'Yes': -6.936499, ' Sure': -11.2148285, ' yes': -11.507584}
{' Yes': -0.0016138003, 'Yes': -6.592174, ' No': -8.48118, ' yes': -11.4291935, ' Hello': -12.088201}
{' No': -0.0037096613, 'No': -5.65007, ' Nope': -8.686052, ' Yes': -11.978134, ' Not': -12.760402}
{' No': -0.0034244452, 'No': -5.702198, ' Nope': -10.006477, ' Yes': -10.523307, ' Not': -12.854909}
{' Yes': -0.03745304, ' Sure': -4.347031, 'Yes': -4.8769155, ' Purs': -4.9556394, ' No': -5.5368333}
{' Yes': -0.15808783, ' No': -3.0170524, ' Sure': -3.3709402, ' Purs': -3.4278662, ' Pur': -4.6657133}
{' No': -0.0020749196, 'No': -6.3217883, ' Nope': -8.774211, ' Yes': -9.241907, ' Not': -11.11351}
{' No': -0.0020704987, 'No': -6.3147707, ' Yes': -8.949309, ' Nope': -9.082501, ' Not': -11.900326}
{' No': -0.1488003, ' Yes': -2.0134833, 'No': -5.5400777, 'Yes': -8.064509, ' Nope': -8.427832}
{' No': -0.008204311, 'No': -5.285456, ' Yes': -6.136914, ' Nope': -8.043264, ' Actor': -8.297847}
{' No': -0.0014536356, 'No': -6.582186, ' Nope': -9.898874, ' Yes': -11.935687, ' Not': -12.384535}
{' No': -0.001545385, 'No': -6.4860864, ' Yes': -12.004388, ' Nope': -12.0674925, ' Not': -12.527219}
{' Yes': -0.0062747793, ' No': -5.534972, 'Yes': -6.153381, ' Sure': -9.277381, ' yes': -10.680308}
{' Yes': -0.47583154, ' No': -0.98247105, ' Nope': -6.422067, 'Yes': -6.603877, 'No': -6.9479647}
{' No': -0.0015714729, 'No': -6.462726, ' Nope': -12.148126, ' Not': -13.698026, ' Yes': -13.7046585}
{' No': -0.002108546, 'No': -6.174034, ' Nope': -11.195625, ' Yes': -12.878767, ' Not': -13.015227}
{' No': -0.34161955, ' Yes': -1.255993, ' Nope': -6.2655845, 'No': -6.760898, ' Maybe': -7.391614}
{' No': -0.044337016, ' Yes': -3.664179, ' Nope': -4.6895566, 'No': -5.085544, ' Maybe': -7.8534303}
{' No': -0.0019865234, 'No': -6.3660555, ' Yes': -8.614034, ' Nope': -9.594401, '\n': -11.748173}
{' No': -0.0017944736, 'No': -6.3417635, ' Yes': -11.2594, ' Nope': -11.27807, '\n': -13.156536}
{' No': -0.061305538, ' Yes': -2.8606675, 'No': -6.2694674, ' Nope': -8.6239195, 'Yes': -8.798476}
{' No': -0.16000016, ' Yes': -1.9229949, 'No': -6.7169456, 'Yes': -8.378611, ' Nope': -8.489956}
{' No': -0.0028876816, 'No': -5.8701205, ' Nope': -9.744999, ' Yes': -14.188813, ' Not': -14.926577}
{' No': -0.0018955099, 'No': -6.274055, ' Yes': -12.540238, ' Nope': -13.213031, ' Not': -13.3601675}
{' Yes': -0.21346264, ' No': -1.6612871, 'Yes': -6.8504944, 'No': -7.413231, ' Nope': -7.941131}
{' No': -0.16832641, ' Yes': -1.890706, 'No': -5.831729, ' Nope': -7.3388147, 'Yes': -8.2156725}
{' No': -0.0062559443, ' Yes': -5.6457133, 'No': -5.99686, ' Nope': -8.92106, ' Not': -10.18302}
{' No': -0.0027491876, ' Yes': -6.3653164, 'No': -6.945545, ' Nope': -9.8891735, ' Not': -12.277278}
{' Yes': -0.109553434, ' No': -2.378566, 'Yes': -5.3246164, ' Nope': -5.6723523, ' Spice': -6.82299}
{' No': -0.65730506, ' Yes': -0.7906077, ' Nope': -3.8480341, 'No': -5.7704506, 'Yes': -5.9782906}
{' No': -0.0017524953, 'No': -6.3789, ' Yes': -10.4530525, ' Nope': -11.071573, ' Not': -12.232645}
{' No': -0.0018035495, 'No': -6.4082727, ' Nope': -9.354754, ' Yes': -9.957616, '\n': -11.769113}
{' Yes': -0.0015035991, 'Yes': -7.033604, ' No': -7.4943676, ' yes': -11.019423, ' Sure': -11.092319}
{' Yes': -0.12833497, ' No': -2.1710005, ' Under': -5.928618, 'Yes': -6.5645275, ' Nope': -7.6700625}
{' No': -0.0035633342, ' Yes': -6.101368, 'No': -6.6606083, ' Nope': -10.623739, ' Not': -12.342993}
{' No': -0.0019048852, 'No': -6.385581, ' Yes': -9.096002, ' Nope': -9.33962, ' Not': -11.4683075}
{' Yes': -0.39001474, ' No': -1.1359521, 'Yes': -7.229341, 'No': -7.584779, ' Crack': -7.900554}
{' Yes': -0.45086336, ' No': -1.0172963, 'Yes': -7.534162, 'No': -7.6920495, ' Nope': -8.226324}
{' No': -0.0015344599, 'No': -6.518361, ' Yes': -10.127537, ' Nope': -11.32267, ' Not': -12.937109}
{' No': -0.0016355912, 'No': -6.489026, ' Nope': -9.34064, ' Yes': -10.835528, ' Not': -12.754029}
{' Yes': -0.27499083, ' No': -2.5555198, ' Sure': -2.6248045, ' Ar': -3.2764447, ' Arg': -4.222738}
{' Yes': -0.879617, ' Arg': -1.7853671, ' Argument': -2.0404844, ' No': -2.1138763, ' Ar': -2.207986}
{' No': -0.003326245, 'No': -5.7113147, ' Yes': -12.1830435, ' Nope': -13.048368, '\n': -13.344563}
{' No': -0.0021897252, 'No': -6.135843, ' Yes': -11.397113, ' Nope': -12.06155, ' Not': -13.052077}
{' Yes': -0.0017647361, 'Yes': -7.025572, ' No': -7.093094, ' yes': -10.960687, ' YES': -12.140564}
{' Yes': -0.03312652, ' No': -3.4644773, 'Yes': -6.857151, 'No': -8.950517, ' Nope': -10.157061}
{' No': -0.0018875089, 'No': -6.2816324, ' Nope': -11.538935, ' Yes': -13.071349, '\n': -13.718612}
{' No': -0.0024232, 'No': -6.0284543, ' Nope': -12.152105, ' Yes': -12.837143, '\n': -13.777629}
{' Yes': -0.007619466, ' No': -5.5438304, 'Yes': -6.1746, ' Yeah': -8.425418, ' Definitely': -8.568864}
{' Yes': -0.025594188, ' No': -4.4289618, 'Yes': -5.8409576, ' Early': -6.621237, ' Ear': -6.870963}
{' No': -0.0022384692, 'No': -6.3116007, ' Yes': -7.934163, ' Nope': -9.869266, ' Not': -12.225095}
{' No': -0.0036679637, 'No': -6.0743923, ' Yes': -6.662739, ' Nope': -9.744821, ' Not': -11.531105}
{' No': -0.6648347, ' Yes': -1.1052262, ' Goose': -2.0386617, ' Nope': -4.0630927, ' Go': -6.0875125}
{' No': -0.41853786, ' Yes': -1.1464412, ' Goose': -4.3500733, ' Nope': -4.904736, 'No': -6.1702657}
{' No': -0.0023856156, 'No': -6.1080203, ' Yes': -9.0856905, ' Nope': -10.5980425, ' Not': -11.267247}
{' No': -0.0027501439, 'No': -5.9179068, ' Yes': -10.143796, ' Nope': -11.982611, ' Not': -12.2868805}
{' No': -0.01893303, ' Ocean': -4.9362283, ' Yes': -5.4320693, ' Nope': -5.6573963, 'No': -5.772144}
{' No': -0.012685641, ' Nope': -5.4991946, 'No': -5.535558, ' Yes': -6.0611157, ' Ocean': -6.35222}
{' No': -0.0013956167, 'No': -6.5800714, ' Nope': -12.866401, ' Yes': -13.166609, '\n': -14.055553}
{' No': -0.00171428, 'No': -6.3771296, ' Nope': -11.695907, ' Not': -13.165592, ' Yes': -13.898917}
{' No': -0.019135207, ' Yes': -4.330464, 'No': -5.227555, ' Nope': -7.962334, 'Yes': -9.882606}
{' No': -0.6457599, ' Yes': -0.7686351, 'No': -5.4361773, 'Yes': -6.219787, ' Nope': -6.4035764}
{' No': -0.0021197759, 'No': -6.162302, ' Nope': -11.905792, ' ': -13.8995495, ' Not': -13.912757}
{' No': -0.0017617514, 'No': -6.367736, ' Nope': -10.303849, ' Yes': -12.587159, ' Not': -13.168912}
{' Yes': -0.08706308, ' No': -2.7082863, ' Gross': -4.5113773, 'Yes': -5.6581283, ' Nope': -7.5206566}
{' Yes': -0.10430084, ' No': -2.4050343, ' Gross': -5.6798677, 'Yes': -5.680703, 'No': -7.7454934}
{' No': -0.0034569246, 'No': -5.741915, ' Nope': -8.953995, ' Yes': -9.23414, ' Not': -11.521153}
{' No': -0.003287853, 'No': -5.749934, ' Yes': -9.7779, ' Nope': -10.346444, ' Not': -12.10372}
{' Yes': -0.0054672337, 'Yes': -6.107397, ' Phone': -7.0217667, ' Nope': -7.3264523, ' No': -7.4613595}
{' Yes': -0.0028973063, 'Yes': -6.750623, ' No': -6.7703447, ' Nope': -8.355301, ' Yep': -9.094735}
{' No': -0.0030342657, 'No': -5.802126, ' ': -12.813712, '\n': -13.028102, ' Nope': -13.192633}
{' No': -0.0025418699, 'No': -5.9786563, ' Nope': -13.045453, ' ': -13.367326, '\n': -13.813145}
{' No': -0.5378265, ' Yes': -1.0237712, ' Guard': -3.251171, 'No': -4.625, 'Yes': -6.198592}
{' No': -0.38489217, ' Yes': -1.9097582, ' Guard': -1.9980378, 'No': -4.663506, 'Guard': -4.8785667}
{' No': -0.001956661, 'No': -6.341644, ' Yes': -8.654863, ' Nope': -11.709014, ' Not': -12.21053}
{' No': -0.0023206742, 'No': -6.2344637, ' Yes': -7.9763155, ' Not': -12.487728, ' Nope': -12.595268}
{' Yes': -0.0022764027, 'Yes': -6.188975, ' No': -9.210032, ' Sure': -10.147182, ' yes': -10.173861}
{' Yes': -0.0049068476, 'Yes': -5.478921, ' No': -7.7765913, ' yes': -9.032297, ' Sure': -10.236763}
{' No': -0.0016818017, 'No': -6.399194, ' Nope': -11.706681, ' Yes': -12.560079, ' Not': -12.98694}
{' No': -0.0014850306, 'No': -6.547211, ' Yes': -10.756715, ' Nope': -10.7786875, ' Not': -12.470574}
{' No': -0.3388254, ' Yes': -1.2976325, ' Grass': -4.6189995, 'No': -6.3320003, ' Nope': -6.445398}
{' No': -0.6424336, ' Yes': -0.7844357, ' Grass': -4.325005, 'No': -6.2957363, 'Yes': -6.5843997}
{' No': -0.0019335514, 'No': -6.4607415, ' Yes': -8.290044, ' Nope': -9.170808, '\n': -12.689725}
{' No': -0.0037329332, 'No': -6.165087, ' Yes': -6.5103245, ' Nope': -9.169176, ' Not': -11.990075}
{' Yes': -0.004756935, ' No': -6.055263, 'Yes': -6.108854, ' yes': -9.520387, ' Yeah': -10.897759}
{' Yes': -0.043911673, ' No': -3.27752, 'Yes': -5.5269327, 'No': -7.4383245, ' Nope': -8.743059}
{' No': -0.0021215677, 'No': -6.1647267, ' Nope': -11.49993, ' Not': -12.678392, ' Yes': -13.410444}
{' No': -0.0018048025, 'No': -6.323771, ' Nope': -12.054302, ' Yes': -13.200109, ' Not': -13.736124}
{' Yes': -0.12698182, ' No': -2.2267838, 'Yes': -5.1007595, ' Nope': -6.516236, 'No': -6.6293187}
{' Yes': -0.23155098, ' No': -2.2777488, ' Girls': -2.4931095, ' Gr': -4.718136, 'Yes': -5.5828633}
{' No': -0.004525191, 'No': -5.7331715, ' Nope': -6.863618, ' Yes': -8.453568, ' Not': -12.044814}
{' No': -0.0028567775, 'No': -6.168563, ' Yes': -7.3940363, ' Nope': -9.152074, ' Not': -10.6346655}
{' Yes': -0.22369584, ' No': -1.6210346, 'Yes': -6.5817947, 'No': -7.380193, ' Nope': -7.522777}
{' No': -0.58722746, ' Yes': -0.8227889, 'No': -5.825873, 'Yes': -6.7388444, ' Nope': -7.65275}
{' No': -0.0027206768, 'No': -5.9297447, ' Nope': -10.068594, ' Yes': -11.881358, ' Not': -12.709837}
{' No': -0.0022836942, 'No': -6.101757, ' Yes': -10.527657, ' Nope': -11.956576, ' Not': -12.197068}
{' No': -0.3607463, ' Yes': -1.2159613, ' Nope': -5.654737, 'No': -6.2931285, 'Yes': -7.205152}
{' Yes': -0.12626174, ' No': -2.1668673, 'Yes': -6.1515865, ' Nope': -6.817797, 'No': -7.8325057}
{' No': -0.0020125632, 'No': -6.2146316, ' Nope': -12.317406, ' Yes': -13.201032, ' Not': -13.266451}
{' No': -0.0023644068, 'No': -6.0603814, ' Yes': -11.316932, ' Nope': -11.647351, ' Not': -12.348824}
{' Yes': -0.46542206, ' Lo': -1.9082817, ' Lose': -2.1497025, ' No': -2.3446162, ' Nope': -5.5778656}
{' Yes': -0.35368598, ' No': -1.7113291, ' Lo': -2.6959064, ' Lose': -3.2167726, 'Yes': -5.549253}
{' No': -0.0036405646, 'No': -5.6263475, ' Nope': -10.934581, ' Yes': -11.913578, ' Not': -12.624095}
{' No': -0.0037833112, 'No': -5.583131, ' Yes': -12.459359, ' Not': -12.568714, '\n': -12.642439}
{' No': -0.08378079, ' Yes': -2.576365, 'No': -5.649605, ' Nope': -7.7431984, 'Yes': -8.091415}
{' No': -0.50508446, ' Yes': -0.9461531, 'No': -5.581649, 'Yes': -6.042983, ' Nope': -6.5851417}
{' No': -0.0015662182, 'No': -6.4711323, ' Yes': -11.857052, ' Nope': -12.062116, ' Not': -13.3070135}
{' No': -0.0018181783, 'No': -6.3490734, ' Yes': -10.040886, ' Nope': -11.151566, ' Not': -12.354285}
{' Yes': -0.024788382, ' No': -3.7983878, 'Yes': -6.2986073, 'No': -8.928436, ' Sure': -10.637021}
{' Yes': -0.0158127, ' No': -4.319464, 'Yes': -6.464684, ' Seven': -7.735633, 'No': -9.743938}
{' No': -0.007361781, ' Yes': -5.2154684, 'No': -6.2887545, ' Nope': -10.588162, 'Yes': -11.544518}
{' No': -0.002378926, 'No': -6.394005, ' Yes': -7.3095055, ' Nope': -10.689535, ' Not': -11.861277}
{' Yes': -0.00707691, 'Yes': -5.5676556, ' No': -5.8486786, ' Nope': -8.976165, ' Sure': -9.667416}
{' Yes': -0.17758885, ' No': -1.8511289, 'Yes': -5.948314, ' Nope': -6.2786307, 'No': -6.956247}
{' No': -0.0038841318, 'No': -5.567583, ' Nope': -10.122803, ' Yes': -12.267041, ' Not': -12.420402}
{' No': -0.0026486, 'No': -5.944375, ' Nope': -11.25158, ' Not': -12.45135, '\n': -12.9735}
{' Yes': -0.14750065, ' No': -2.6190982, ' Rough': -2.8059783, 'Yes': -6.394838, ' Tough': -7.1553082}
{' Rough': -0.55407935, ' Yes': -0.95319587, ' No': -3.6956427, ' Tough': -4.6414285, ' Enough': -6.236114}
{' No': -0.0015845473, 'No': -6.507711, ' Nope': -9.666979, ' Yes': -11.17362, ' Not': -11.707391}
{' No': -0.002216485, 'No': -6.1558437, ' Nope': -9.907526, ' Yes': -10.539492, ' Not': -11.451184}
{' Yes': -0.4519767, ' No': -1.1831607, ' Dance': -3.3567789, 'Yes': -4.77801, ' Chance': -5.3879437}
{' No': -0.123349495, ' Yes': -2.8584452, ' Dance': -3.3354714, ' Chance': -4.754661, 'No': -4.8782945}
{' No': -0.010074308, ' Yes': -5.137607, 'No': -5.5690436, ' Nope': -8.276255, ' Not': -9.9702425}
{' No': -0.008934196, ' Yes': -5.136118, 'No': -5.8758483, ' Nope': -9.099468, ' Not': -9.680252}
{' Yes': -0.5093791, ' No': -0.922486, 'Yes': -7.069327, 'No': -7.3282685, ' Nope': -10.322291}
{' Yes': -0.14180438, ' No': -2.0370545, 'Yes': -6.5410657, 'No': -8.252174, ' yes': -10.356421}
{' No': -0.0017778117, 'No': -6.3391533, ' Yes': -12.093384, ' Nope': -13.096052, ' Not': -13.296763}
{' No': -0.0016699804, 'No': -6.400763, ' Yes': -12.690328, ' Nope': -12.92085, ' Not': -14.044601}
{' No': -0.2710582, ' Yes': -1.6132194, ' Looks': -3.6127598, 'No': -5.548129, ' Nope': -6.1459103}
{' No': -0.26099727, ' Yes': -1.617269, ' Looks': -3.8971665, 'No': -5.759713, ' Nope': -6.035974}
{' No': -0.002172222, 'No': -6.1427875, ' Yes': -11.399293, ' Not': -12.357622, ' Nope': -12.817186}
{' No': -0.0016887881, 'No': -6.391161, ' Yes': -12.135691, ' Nope': -13.082831, '\n': -13.622004}
{' Store': -0.5477324, ' Yes': -1.0238105, ' Sure': -2.8269396, 'Yes': -6.546479, 'Store': -6.8983035}
{' Yes': -0.112242796, ' Sure': -2.2943869, 'Yes': -6.371999, ' Store': -6.600102, ' No': -6.6609573}
{' No': -0.0018869119, 'No': -6.3166947, ' Nope': -10.116955, ' Yes': -10.442656, ' Not': -11.970114}
{' No': -0.0017161911, 'No': -6.556794, ' Yes': -8.548919, ' Nope': -9.3385315, ' Not': -12.059315}
{' Yes': -0.0038455373, 'Yes': -6.3035374, ' No': -6.3486557, ' Break': -8.785564, ' yes': -9.897434}
{' Yes': -0.0084817475, ' No': -5.0314784, 'Yes': -6.516793, ' Sure': -8.96871, ' Break': -9.232663}
{' No': -0.0021103378, 'No': -6.164786, ' Not': -13.204183, ' Nope': -13.307753, '\n': -13.974157}
{' No': -0.0026757345, 'No': -5.929618, ' Nope': -11.99859, '\n': -13.112569, ' Not': -13.470617}
{' Yes': -0.23474802, ' No': -1.6482706, 'Yes': -4.9713964, ' Parts': -5.3167152, 'No': -6.417955}
{' No': -0.5450225, ' Yes': -0.8771833, 'No': -6.1812983, 'Yes': -6.2681937, ' Nope': -8.764522}
{' No': -0.0031928916, 'No': -5.7800384, ' Nope': -9.862791, ' Yes': -10.476677, ' Not': -11.5921545}
{' No': -0.002136024, 'No': -6.153898, ' Nope': -13.098657, ' Yes': -13.18502, ' Not': -13.31018}
{' Yes': -0.024661181, 'Yes': -5.2182636, ' No': -5.262766, ' Sh': -5.379279, ' Sure': -5.463812}
{' Yes': -0.22037151, ' Sh': -1.9503921, ' Sho': -3.9331093, 'Yes': -5.0216694, ' No': -5.114289}
{' No': -0.0029891888, 'No': -5.826429, ' Yes': -10.970747, ' Nope': -11.535719, ' Not': -12.636292}
{' No': -0.0028955126, 'No': -5.9387665, ' Nope': -8.618191, ' Yes': -9.834719, ' Not': -11.159925}
{' Yes': -0.010017654, 'Yes': -5.4098225, ' No': -5.957964, ' Sy': -6.7130394, ' Nope': -7.7551184}
{' Yes': -0.0803525, ' No': -2.6618955, ' Nope': -5.623533, 'Yes': -5.7851505, 'No': -8.588921}
{' No': -0.0020828617, 'No': -6.179477, ' Nope': -12.014857, ' Not': -13.3997345, '\n': -14.259756}
{' No': -0.0024036611, 'No': -6.0342712, ' Nope': -13.002865, '\n': -13.743887, ' Not': -13.885412}
{' Yes': -0.0012474216, 'Yes': -6.774145, ' yes': -10.005407, ' YES': -10.823751, ' Learn': -10.958843}
