{' Yes': -0.13539301, ' No': -2.1033745, 'Yes': -5.6440215, 'No': -7.5718822, ' The': -8.168239}
{' False': -0.5369114, ' No': -1.1511348, 'No': -2.6443121, 'False': -3.5749362, ' ': -9.456802}
{' No': -0.023718178, 'No': -3.7681274, ' Yes': -8.460928, ' ': -9.883341, ' Unfortunately': -10.701019}
{' No': -0.031666864, ' Yes': -4.126282, 'No': -4.2408667, ' The': -8.269305, 'Yes': -8.863787}
{' No': -0.031473704, 'No': -3.704203, ' Yes': -5.0954556, 'Yes': -9.377115, ' Not': -9.81402}
{' No': -0.015788177, 'No': -4.166863, ' ': -9.8716345, '\n': -9.965707, ' Yes': -10.658005}
{' No': -0.03337596, 'No': -3.4187365, ' Unfortunately': -10.265233, ' ': -10.676705, ' Not': -12.308652}
{' No': -0.023425685, 'No': -4.016317, ' Yes': -5.4795165, ' Not': -7.7455273, ' Unfortunately': -7.892131}
{' No': -0.013816988, ' Yes': -4.7973557, 'No': -5.2543125, ' Not': -9.7349205, ' Unfortunately': -9.80691}
{' No': -0.0128096985, 'No': -4.402252, ' Yes': -7.899868, ' ': -10.205429, ' Not': -10.680446}
{' No': -0.011450112, 'No': -4.6902432, ' Yes': -6.3800564, ' Not': -8.524021, ' The': -9.383373}
{' No': -0.085813984, ' Yes': -2.5708163, 'No': -5.253971, 'Yes': -8.172289, ' The': -9.229887}
{' Yes': -0.5576498, ' No': -0.86343384, 'Yes': -5.9181595, 'No': -5.9668655, ' The': -8.632602}
{' No': -0.01068814, 'No': -4.5818415, ' Yes': -8.350867, ' Unfortunately': -10.131301, ' Not': -10.191061}
{' No': -0.012861502, 'No': -4.46077, ' Yes': -7.0176506, ' Unfortunately': -9.0364, ' Not': -9.286974}
{' Yes': -0.33023393, ' No': -1.2875189, 'Yes': -5.8065805, 'No': -6.3315935, ' The': -8.761468}
{' No': -0.011705841, 'No': -4.6689186, ' Yes': -6.131121, ' ': -10.119776, 'Yes': -10.740419}
{' No': -0.49663818, ' Yes': -0.9468583, 'No': -6.5715795, ' The': -6.923917, 'Yes': -7.1140146}
{' No': -0.38353756, ' Yes': -1.1681961, 'No': -5.4718704, 'Yes': -6.6264133, ' Unfortunately': -6.8823457}
{' No': -0.016113399, 'No': -4.174797, ' Yes': -8.14435, ' Not': -8.705087, ' It': -9.990408}
{' No': -0.016340451, 'No': -4.7074738, ' Yes': -4.9877987, ' ': -9.294462, ' Unfortunately': -9.65188}
{' Yes': -0.55718654, ' No': -0.91483164, 'No': -4.865511, 'Yes': -5.1717553, ' Unfortunately': -5.244051}
{' Yes': -0.013552203, ' No': -4.9444184, 'Yes': -5.158089, '\n': -8.943329, ' The': -8.98735}
{' No': -0.087029085, ' Yes': -2.615378, 'No': -4.6640534, 'Yes': -7.449389, ' The': -9.388037}
{' No': -0.026490126, ' Yes': -4.0791616, 'No': -4.7084017, 'Yes': -9.013609, ' Not': -10.279797}
{' Yes': -0.7004827, ' No': -0.7052436, 'No': -5.1516433, 'Yes': -5.7595644, ' The': -8.072585}
{' Yes': -0.045216173, ' No': -3.2702162, 'Yes': -5.2591577, 'No': -7.816372, ' The': -8.0492}
{' No': -0.18951431, ' Yes': -1.7779659, 'No': -5.8792496, 'Yes': -7.4185734, ' The': -9.103988}
{' No': -0.3005223, ' Yes': -1.3805947, 'No': -5.1453133, 'Yes': -6.3403473, ' The': -8.257719}
{' No': -0.08027144, ' Yes': -2.6928508, 'No': -4.753777, 'Yes': -7.5822506, ' The': -8.934509}
{' No': -0.01579835, 'No': -4.372541, ' Yes': -5.854701, ' Unfortunately': -9.971055, 'Yes': -10.332604}
{' No': -0.11028652, ' Yes': -2.3898828, 'No': -4.4863753, 'Yes': -7.026164, ' Not': -8.390494}
{' No': -0.21347128, ' Yes': -1.6868618, 'No': -5.190001, 'Yes': -6.6139708, ' ': -9.641416}
{' No': -0.01877201, 'No': -4.470304, ' Yes': -5.128906, ' Unfortunately': -7.2450824, ' It': -8.821894}
{' No': -0.022131564, ' Yes': -4.530926, 'No': -4.5356393, ' Not': -8.645477, 'Yes': -9.0571995}
{' Yes': -0.32737488, ' No': -1.2859949, 'Yes': -6.2986193, 'No': -7.4842577, ' The': -8.228164}
{' No': -0.015833596, 'No': -4.3153443, ' Yes': -6.123797, ' ': -9.59654, 'Yes': -10.046679}
{' No': -0.02481991, ' Yes': -4.307616, 'No': -4.5503497, ' Not': -8.388191, 'Yes': -9.106151}
{' No': -0.012724156, 'No': -4.4477596, ' Yes': -7.1908145, ' Not': -9.381725, ' ': -10.083305}
{' No': -0.014060146, 'No': -4.278695, ' Yes': -9.562011, ' ': -11.393375, '\n': -12.004303}
{' No': -0.01555954, ' Yes': -4.7574973, 'No': -5.014575, ' The': -9.935739, ' ': -10.024863}
{' No': -0.1722671, ' Yes': -1.9713814, 'No': -4.29033, 'Yes': -6.463118, ' Not': -6.55638}
{' No': -0.065284595, ' Yes': -2.8481708, 'No': -5.4213333, 'Yes': -8.224583, ' The': -8.331662}
{' Yes': -0.053794812, ' No': -3.24641, 'Yes': -4.4529533, 'No': -7.012563, ' The': -7.3255515}
{' No': -0.029448094, ' Yes': -3.8633556, 'No': -4.9043736, ' Not': -8.166212, ' The': -8.905123}
{' No': -0.07431352, ' Yes': -2.7902863, 'No': -4.6585665, 'Yes': -7.775161, ' Not': -9.313449}
{' No': -0.022642175, 'No': -4.0533504, ' Yes': -5.333025, 'Yes': -9.577558, ' ': -9.981419}
{' No': -0.4545968, ' Yes': -1.0302479, 'No': -5.1567698, 'Yes': -6.209679, ' The': -7.9415255}
{' Yes': -0.108758226, ' No': -2.3033478, 'Yes': -6.061557, 'No': -7.862498, ' The': -8.321104}
{' No': -0.02805132, 'No': -3.7623992, ' Yes': -5.4976306, 'Yes': -9.147906, ' ': -9.415552}
{' No': -0.029895265, ' Yes': -4.0082717, 'No': -4.5389056, 'Yes': -8.862918, ' The': -8.893569}
{' No': -0.009171112, 'No': -4.84145, ' Yes': -6.806679, ' Unfortunately': -10.468712, ' The': -10.492905}
{' No': -0.025625437, ' Yes': -4.307854, 'No': -4.462969, 'Yes': -8.924101, ' The': -9.6148815}
{' Yes': -0.14736877, ' No': -2.0187867, 'Yes': -5.912013, 'No': -6.746831, ' The': -8.995952}
{' No': -0.23040184, ' Yes': -1.6410291, 'No': -4.531702, 'Yes': -6.788734, ' Not': -10.293399}
{' No': -0.032717876, ' Yes': -3.8123522, 'No': -4.639741, 'Yes': -8.789228, ' Unfortunately': -9.203667}
{' No': -0.46155402, ' Yes': -1.0202584, 'No': -4.9668717, 'Yes': -6.2141933, ' ': -9.402241}
{' Yes': -0.4451496, ' No': -1.0515168, 'Yes': -5.3049936, 'No': -5.486974, ' The': -8.093638}
{' No': -0.011110669, 'No': -5.158724, ' Yes': -5.2773037, ' Not': -9.889611, ' The': -10.020512}
{' No': -0.018887594, 'No': -4.6240206, ' Yes': -4.773589, ' Unfortunately': -9.232407, ' The': -9.256799}
{' No': -0.09665556, ' Yes': -2.6065166, 'No': -4.0886197, 'Yes': -6.712687, '\n': -8.834857}
{' No': -0.0058410987, 'No': -5.247792, ' Yes': -7.5901017, '\n': -11.162198, ' ': -11.164292}
{' No': -0.034158867, ' Yes': -3.7992706, 'No': -4.5195045, 'Yes': -8.408997, ' Not': -10.87397}
{' No': -0.009041009, 'No': -4.906971, ' Yes': -6.513041, ' The': -9.929836, ' Not': -10.668318}
{' No': -0.025704816, 'No': -3.936481, ' Yes': -5.1930327, ' Nope': -9.281228, 'Yes': -9.314239}
{' No': -0.025300778, 'No': -3.7485938, ' Yes': -6.7054343, ' ': -9.385729, ' Not': -10.090659}
{' No': -0.3124519, ' Yes': -1.3821713, 'No': -4.294248, 'Yes': -5.707954, ' ': -8.848332}
{' No': -0.017331647, 'No': -4.1231627, ' Yes': -6.9535093, 'Yes': -11.175055, ' ': -11.405745}
{' No': -0.038074877, 'No': -3.799372, ' Yes': -4.2338448, 'Yes': -8.051968, ' Not': -9.739851}
{' No': -0.03241984, ' Yes': -3.7216704, 'No': -4.904467, 'Yes': -8.801898, ' The': -9.673609}
{' No': -0.13019487, ' Yes': -2.1396456, 'No': -5.6910543, 'Yes': -7.317309, ' None': -9.22495}
{' No': -0.0053374907, 'No': -5.312899, ' Yes': -7.9946327, ' ': -10.751822, ' The': -11.201561}
{' No': -0.029823536, ' Yes': -3.7122593, 'No': -5.3575764, 'Yes': -9.018593, ' Not': -10.202295}
{' No': -0.006688005, 'No': -5.067841, ' Yes': -8.129077, ' Unfortunately': -10.606977, ' ': -10.803167}
{' No': -0.009230606, 'No': -4.75455, ' Yes': -7.6090055, ' ': -10.717829, ' Unfortunately': -11.182625}
{' Yes': -0.6705192, ' No': -0.72400504, 'No': -6.3199916, 'Yes': -6.458473, ' Not': -8.705917}
{' No': -0.017867602, ' Yes': -4.2209334, 'No': -5.88526, ' The': -9.47648, 'Yes': -9.933824}
{' No': -0.23882273, ' Yes': -1.5777873, 'No': -5.3787723, 'Yes': -6.785896, '\n': -9.141375}
{' No': -0.20093201, ' Yes': -1.8151555, 'No': -4.0868516, 'Yes': -6.2380404, ' The': -8.810328}
{' No': -0.06221447, ' Yes': -2.8969083, 'No': -5.3464265, 'Yes': -8.449785, ' The': -9.394329}
{' No': -0.022842472, ' Yes': -4.0721316, 'No': -5.23526, 'Yes': -9.435069, ' The': -9.800865}
{' No': -0.008108403, 'No': -5.0778484, ' Yes': -6.5458426, ' Unfortunately': -8.425549, ' Not': -9.162588}
{' No': -0.12130391, 'No': -2.1698496, ' ': -10.81188, '\n': -11.485154, ' Not': -11.948388}
{' No': -0.017784111, ' Yes': -4.596483, 'No': -4.9787574, ' The': -8.325725, ' Not': -8.911495}
{' No': -0.02003152, 'No': -4.305285, ' Yes': -5.0996137, 'Yes': -9.314779, ' Not': -10.087437}
{' Yes': -0.47546297, ' No': -1.0014315, 'Yes': -5.2199106, 'No': -5.7819166, ' Dive': -6.18743}
{' No': -0.047141686, 'No': -3.2749, ' Yes': -4.865873, 'Yes': -8.017777, ' ': -9.4252405}
{' Yes': -0.019522723, 'Yes': -4.264226, ' No': -5.374421, ' The': -8.070539, 'No': -8.909539}
{' Yes': -0.41851428, ' No': -1.0962278, 'Yes': -5.4069977, 'No': -5.7979355, ' ': -9.1371}
{' Yes': -0.12512538, ' No': -2.299413, 'Yes': -4.215444, 'No': -6.138957, '\n': -9.222472}
{' No': -0.058428284, ' Yes': -2.9889817, 'No': -5.225096, 'Yes': -7.8512454, ' Bush': -8.420599}
{' No': -0.031508394, ' Yes': -3.9418209, 'No': -4.509694, ' Not': -8.206729, 'Yes': -8.925839}
{' No': -0.011017616, ' Yes': -4.925677, 'No': -5.6682005, ' Not': -9.061075, ' ': -10.109021}
{' No': -0.015237223, 'No': -4.2247634, ' Yes': -7.8118453, ' ': -10.353383, ' The': -10.481833}
{' No': -0.19693904, ' Yes': -1.8355212, 'No': -4.1541095, 'Yes': -5.6979537, ' Not': -9.54666}
{' No': -0.13434893, ' Yes': -2.1322298, 'No': -5.063958, 'Yes': -7.4016786, ' The': -9.409758}
{' No': -0.028682359, ' Yes': -4.1676116, 'No': -4.389564, 'Yes': -8.612711, ' The': -9.708348}
{' No': -0.17239194, 'No': -1.8615819, ' Not': -6.010256, ' Unfortunately': -8.041706, ' ': -10.184995}
{' No': -0.0064071626, 'No': -5.258232, ' Unfortunately': -7.487201, ' Yes': -8.472979, ' Not': -8.62797}
{' No': -0.021797676, 'No': -4.309057, ' Yes': -4.8396096, 'Yes': -9.457176, ' The': -10.038918}
{' No': -0.019276535, 'No': -4.152524, ' Yes': -5.754258, '\n': -10.007327, 'Yes': -10.075723}
{' No': -0.01626375, 'No': -4.1602116, ' Unfortunately': -7.7329516, ' ': -10.493638, ' Not': -10.896573}
{' No': -0.008128712, 'No': -4.8735614, ' Yes': -8.06413, ' ': -10.039725, ' The': -10.248886}
{' No': -0.07017129, ' Yes': -3.0573938, 'No': -3.9180562, 'Yes': -7.2107368, ' ': -10.244452}
{' No': -0.01041352, 'No': -4.7287703, ' Yes': -6.7292566, ' Unfortunately': -8.814639, ' ': -9.819285}
{' No': -0.022141984, 'No': -4.144895, ' Yes': -5.139064, 'Yes': -9.501496, ' ': -10.481175}
{' No': -0.017145358, ' Yes': -4.5267277, 'No': -5.138691, ' Unfortunately': -9.398495, ' The': -9.502369}
{' Yes': -0.54070294, ' No': -0.88614285, 'No': -5.9138794, 'Yes': -6.116297, ' The': -8.292496}
{' No': -0.10879949, ' Yes': -2.3127236, 'No': -5.662672, 'Yes': -8.2086315, ' The': -8.575336}
{' Yes': -0.051354833, ' No': -3.1930554, 'Yes': -4.754298, 'No': -8.140538, ' ': -10.273107}
{' Yes': -0.0713851, ' No': -2.9179273, 'Yes': -4.272633, 'No': -7.279316, ' yes': -9.5763645}
{' No': -0.015311181, 'No': -4.559859, ' Yes': -5.3829107, 'Yes': -10.031115, ' ': -10.187128}
{' No': -0.07242394, ' Yes': -2.8214433, 'No': -4.6474247, 'Yes': -7.6927567, '\n': -9.464367}
{' No': -0.035955187, ' Yes': -3.6418226, 'No': -4.754272, 'Yes': -8.321244, ' ': -9.249916}
{' No': -0.10146148, ' Yes': -2.4044287, 'No': -5.295952, 'Yes': -7.5986953, ' The': -7.856081}
{' No': -0.497149, ' Yes': -0.9681173, 'No': -5.1967435, ' The': -5.9735146, 'Yes': -6.1443615}
{' Yes': -0.6557088, ' No': -0.7499357, 'Yes': -5.571108, 'No': -5.6130357, ' The': -7.881445}
{' No': -0.017196171, ' Yes': -4.330013, 'No': -5.6023545, 'Yes': -9.947875, ' Not': -9.950257}
{' Yes': -0.4164487, ' No': -1.1079025, 'Yes': -5.190689, 'No': -5.4242063, ' ': -8.558739}
{' No': -0.031383164, ' Yes': -4.155002, 'No': -4.2218814, 'Yes': -8.723266, ' Unfortunately': -8.877391}
{' No': -0.120916106, ' Yes': -2.2957778, 'No': -4.49097, 'Yes': -6.654029, ' The': -8.35777}
{' No': -0.14164698, ' Yes': -2.093696, 'No': -4.9223437, 'Yes': -7.320787, ' Not': -8.18174}
{' No': -0.018737754, 'No': -4.5836406, ' Yes': -5.1334763, ' Door': -6.2523365, ' ': -8.108456}
{' No': -0.011004538, 'No': -4.5442038, ' Yes': -8.489528, ' ': -9.969531, ' The': -10.821687}
{' No': -0.008260081, 'No': -4.9933214, ' Yes': -6.617392, ' ': -9.89133, 'Yes': -10.979966}
{' No': -0.16607678, ' Yes': -1.9269774, 'No': -5.124698, 'Yes': -6.9227138, ' The': -8.904244}
{' No': -0.0149291055, 'No': -4.435478, ' Yes': -6.090307, ' Not': -8.326294, ' Unfortunately': -8.403711}
{' No': -0.54083216, ' Yes': -0.8915668, 'No': -5.3949122, 'Yes': -5.903743, ' The': -9.068921}
{' No': -0.044863272, ' Yes': -3.5744288, 'No': -4.1907334, 'Yes': -8.1103115, ' The': -9.092978}
{' No': -0.020961381, ' Yes': -4.4938464, 'No': -4.675195, 'Yes': -9.35027, ' Not': -9.425675}
{' No': -0.16846289, ' Yes': -1.897875, 'No': -5.4585795, 'Yes': -7.4156013, ' Not': -8.723211}
{' No': -0.06455182, ' Yes': -3.0821488, 'No': -4.2098765, ' Most': -7.0263815, 'Yes': -7.749641}
{' No': -0.018269805, 'No': -4.469716, ' Yes': -5.170963, ' Most': -7.1972666, 'Yes': -9.714356}
{' No': -0.028939953, ' Yes': -3.8681867, 'No': -4.9127326, 'Yes': -9.172357, ' ': -9.822833}
{' No': -0.54185396, ' Yes': -0.88401127, 'No': -5.8164926, 'Yes': -6.375993, '\n': -8.951728}
{' No': -0.008790172, 'No': -4.876849, ' Yes': -6.9209123, ' The': -10.067063, ' ': -10.556741}
{' No': -0.020296568, 'No': -4.540482, ' Yes': -4.692927, 'Yes': -9.358456, ' The': -9.8129635}
{' Yes': -0.19440237, ' No': -1.7603395, 'Yes': -6.0351024, 'No': -6.8993225, ' The': -7.627954}
{' No': -0.27033392, ' Yes': -1.4788815, 'No': -4.9907928, 'Yes': -6.5606456, ' Not': -7.9845443}
{' No': -0.025605932, 'No': -3.684524, ' Yes': -9.390379, ' ': -10.138699, ' Not': -11.201174}
{' No': -0.012010738, 'No': -4.4511223, ' Yes': -8.563351, ' ': -10.119547, '\n': -11.134725}
{' No': -0.02464383, 'No': -3.7535827, ' Yes': -7.132891, ' ': -10.2795105, ' Not': -10.461227}
{' No': -0.02721211, 'No': -4.2900524, ' Yes': -4.3564963, 'Yes': -9.113233, ' Not': -9.607024}
{' No': -0.13279669, ' Yes': -2.1560683, 'No': -4.946016, 'Yes': -6.9801927, ' Not': -8.074628}
{' No': -0.31264582, ' Yes': -1.3364228, 'No': -5.5010133, 'Yes': -6.722131, ' The': -8.701336}
{' No': -0.030312957, ' Yes': -3.8311245, 'No': -4.918956, ' Not': -8.2003355, ' The': -8.564975}
{' No': -0.20458356, ' Yes': -1.7498199, 'No': -4.7137637, 'Yes': -6.5379686, '\n': -7.8031993}
{' No': -0.01038485, 'No': -4.980159, ' Yes': -5.718266, ' Unfortunately': -9.371699, ' ': -10.578534}
{' No': -0.055531185, ' Yes': -3.0976913, 'No': -4.7865033, 'Yes': -8.108013, ' Not': -9.397598}
{' Yes': -0.09291015, ' No': -2.5893548, 'Yes': -4.4295573, 'No': -6.428317, ' ': -10.127633}
{' No': -0.17516921, ' Yes': -1.8571265, 'No': -5.5815654, 'Yes': -7.3119297, ' The': -9.862379}
{' No': -0.008403486, 'No': -4.9233603, ' Yes': -6.987779, ' The': -9.966868, ' Unfortunately': -10.020558}
{' No': -0.024847222, 'No': -3.7136555, ' Yes': -9.49287, ' ': -10.466751, '\n': -10.712963}
{' No': -0.013934964, 'No': -4.3494244, ' Yes': -7.1077266, ' ': -10.173817, ' Not': -10.926205}
{' No': -0.01450061, 'No': -4.2489233, ' Yes': -9.584155, ' ': -10.494626, '\n': -11.570351}
{' No': -0.011197042, 'No': -4.5724096, ' Yes': -7.4165425, ' Unfortunately': -9.829153, ' Not': -9.9512615}
{' No': -0.018056393, 'No': -4.4865046, ' Yes': -5.1141253, ' Unfortunately': -8.6348295, ' Not': -8.743989}
{' No': -0.08079925, ' Yes': -2.6996727, 'No': -4.644579, 'Yes': -7.515049, ' The': -9.454191}
{' No': -0.0332813, 'No': -4.1083984, ' Yes': -4.1690936, ' Unfortunately': -7.957889, 'Yes': -8.482788}
{' Yes': -0.21289712, ' No': -1.6677864, 'Yes': -6.1076145, 'No': -7.435744, ' The': -8.924119}
{' No': -0.23839316, ' Yes': -1.5617536, 'No': -6.4693465, 'Yes': -7.8051634, ' The': -8.487437}
{' Yes': -0.5957275, ' No': -0.8178038, 'No': -5.728318, 'Yes': -5.8514514, ' The': -6.9643416}
{' No': -0.41509148, ' Yes': -1.1218711, 'No': -4.6711664, 'Yes': -5.654336, ' The': -7.54741}
{' Yes': -0.4647, ' No': -1.0118306, 'Yes': -5.5128603, 'No': -5.759974, ' The': -7.296658}
{' Yes': -0.012196013, ' No': -4.8939323, 'Yes': -5.425089, ' The': -9.112335, 'No': -9.948902}
{' No': -0.02503226, 'No': -3.7796574, ' Yes': -6.3507996, ' The': -10.218447, ' ': -10.2472}
{' No': -0.07206215, ' Yes': -2.745955, 'No': -5.313584, 'Yes': -8.443504, ' Not': -9.302965}
{' No': -0.48312446, ' Yes': -1.0858352, 'No': -3.427138, 'Yes': -4.4178185, ' ': -7.46537}
{' No': -0.2831993, ' Yes': -1.4323349, 'No': -5.1393394, 'Yes': -6.769352, ' The': -7.764093}
{' No': -0.03246048, 'No': -4.1519823, ' Yes': -4.2818255, ' Unfortunately': -6.472234, ' Not': -8.017282}
{' Yes': -0.052932397, ' No': -3.109605, 'Yes': -5.101606, 'No': -7.438497, ' The': -8.873345}
{' Yes': -0.27168232, ' No': -1.4731402, 'Yes': -5.095493, 'No': -6.0191283, ' ': -9.97819}
{' No': -0.021118857, ' Yes': -4.173754, 'No': -5.2409425, ' The': -9.673381, 'Yes': -9.697355}
{' Yes': -0.05524612, ' No': -2.977775, 'Yes': -6.056522, 'No': -8.434275, ' The': -8.753053}
{' Yes': -0.12818298, ' No': -2.1562572, 'Yes': -5.806388, 'No': -7.0793257, ' The': -7.7237353}
{' No': -0.037517834, ' Yes': -3.8587058, 'No': -4.1799016, 'Yes': -8.232035, ' Unfortunately': -9.35321}
{' No': -0.051889073, ' Yes': -3.203176, 'No': -4.6475463, 'Yes': -8.209584, ' ': -10.595197}
{' Yes': -0.12720275, ' No': -2.142515, 'Yes': -6.4896965, 'No': -7.909654, ' The': -8.971536}
{' No': -0.16182368, 'No': -1.927916, ' Impossible': -6.695537, ' Yes': -6.965031, ' Un': -8.022378}
{' No': -0.12594794, ' Yes': -2.1564274, 'No': -6.134359, 'Yes': -8.182571, ' ': -9.516722}
{' No': -0.06054838, ' Yes': -3.049827, 'No': -4.650005, ' Unfortunately': -7.5494685, ' The': -7.6855307}
{' No': -0.056316793, ' Yes': -3.0534005, 'No': -5.0231843, ' Unfortunately': -8.210762, 'Yes': -8.237623}
{' Yes': -0.5795552, ' No': -0.83626723, 'No': -5.764461, 'Yes': -5.9339633, ' The': -7.787983}
{' No': -0.54750323, ' Yes': -0.88384885, 'No': -5.3479257, 'Yes': -6.0730634, ' The': -7.426127}
{' Yes': -0.27914274, ' No': -1.4540447, 'Yes': -4.9647884, 'No': -6.09556, ' The': -7.835589}
{' No': -0.026380636, 'No': -3.6604462, ' Yes': -8.791184, ' Unfortunately': -9.762081, ' Not': -9.895491}
{' No': -0.011775619, 'No': -4.523717, ' Yes': -7.1300936, ' Not': -10.628659, ' ': -11.226578}
{' No': -0.13933852, ' Yes': -2.0869398, 'No': -5.6390924, ' Unfortunately': -6.9672685, ' The': -7.225505}
{' Yes': -0.6259555, ' No': -0.78504175, 'No': -5.2740173, 'Yes': -5.7011127, ' Not': -8.034421}
{' Yes': -0.008331599, ' No': -5.0985928, 'Yes': -6.1705775, ' The': -10.327389, 'No': -10.589523}
{' Yes': -0.37142992, ' No': -1.1906418, 'Yes': -5.7343674, 'No': -6.04489, ' The': -7.95402}
{' No': -0.3288973, ' Yes': -1.2897356, 'No': -5.6371093, 'Yes': -6.9769354, ' The': -8.482279}
{' Yes': -0.15770848, ' No': -1.9450791, 'Yes': -6.1028814, 'No': -7.641429, ' The': -8.895267}
{' Yes': -0.07925705, 'Yes': -2.5926352, ' No': -6.713956, 'No': -8.998719, ' yes': -11.271602}
{' Yes': -0.3561385, ' No': -1.2236656, 'Yes': -5.7616024, 'No': -6.3656273, ' The': -8.230511}
{' Yes': -0.0037804393, 'Yes': -5.683141, ' No': -8.522314, ' The': -9.25655, ' yes': -9.990248}
{' Yes': -0.017381802, ' No': -4.2690506, 'Yes': -5.7769504, 'No': -9.933292, ' yes': -10.404883}
{' No': -0.22521305, ' Yes': -1.6354245, 'No': -5.175223, 'Yes': -7.3744664, ' The': -8.357967}
{' No': -0.025899066, 'No': -4.3592844, ' Yes': -4.411418, ' Unfortunately': -8.546596, ' The': -8.8321085}
{' Yes': -0.08473575, ' No': -2.566694, 'Yes': -6.028751, ' The': -6.6959915, 'No': -7.7926254}
{' No': -0.024639556, ' Yes': -4.1341634, 'No': -4.826313, ' Not': -8.674545, 'Yes': -9.364475}
{' No': -0.16635078, ' False': -2.2012646, 'No': -3.1941824, 'False': -6.508624, ' ': -9.398454}
{' No': -0.01713796, 'No': -4.125536, ' Yes': -7.2434773, ' ': -10.361074, ' Not': -10.687777}
{' No': -0.42153296, ' Yes': -1.0877126, 'No': -5.3339415, 'Yes': -6.6915903, ' The': -7.4410577}
{' No': -0.124339156, ' Yes': -2.3331118, 'No': -3.9975898, 'Yes': -6.962762, ' Not': -7.545874}
{' No': -0.0073800953, 'No': -4.9445, ' Yes': -9.042408, ' ': -9.933424, '\n': -10.405554}
{' No': -0.010999355, 'No': -4.518621, ' ': -11.457433, ' Unfortunately': -11.513607, ' Not': -12.017603}
{' No': -0.047264468, ' Yes': -3.37991, 'No': -4.602333, ' Not': -6.607452, ' Unfortunately': -7.941562}
{' No': -0.062492725, ' Yes': -2.9032614, 'No': -5.2599854, 'Yes': -8.493652, ' Not': -9.013573}
{' No': -0.08327634, ' Yes': -2.6735778, 'No': -4.6207705, 'Yes': -7.614394, ' Not': -8.647943}
{' No': -0.122151665, ' Yes': -2.2390187, 'No': -4.9665594, 'Yes': -7.505897, ' The': -7.9656763}
{' Yes': -0.5944892, ' No': -0.8122436, 'No': -6.1212873, 'Yes': -6.501496, ' The': -7.9447503}
{' Yes': -0.05183691, ' No': -3.0603263, 'Yes': -5.8523293, ' The': -8.025947, 'No': -8.310583}
{' No': -0.022562794, ' Yes': -4.124654, 'No': -5.162102, ' The': -9.121906, ' Unfortunately': -9.183973}
{' No': -0.06786695, ' Yes': -2.8888376, 'No': -4.7958426, ' Unfortunately': -7.4167757, ' Not': -7.924794}
{' Yes': -0.01612648, ' No': -4.31871, 'Yes': -6.023082, ' The': -9.434918, 'No': -9.705178}
{' No': -0.16845344, ' Yes': -1.9050677, 'No': -5.254015, 'Yes': -7.1295185, ' Not': -9.67947}
{' Yes': -0.100684114, ' No': -2.382617, 'Yes': -6.252764, ' The': -6.895741, 'No': -8.062974}
{' Yes': -0.20302154, ' No': -1.720983, 'Yes': -5.8093696, 'No': -7.0532184, ' The': -7.8353934}
{' No': -0.012384401, 'No': -4.4640102, ' Yes': -7.4198866, ' Not': -9.098161, ' ': -10.154933}
{' No': -0.25986165, ' Yes': -1.5119501, 'No': -5.146252, 'Yes': -6.792233, ' The': -7.4581704}
{' Yes': -0.23645271, ' No': -1.6380105, 'Yes': -5.004029, 'No': -6.035572, ' Not': -6.3430767}
{' Yes': -0.0034051307, 'Yes': -5.9675713, ' No': -7.3474884, ' The': -9.241901, ' yes': -9.9876}
{' Yes': -0.10694203, ' No': -2.3383281, 'Yes': -5.51195, 'No': -7.2862444, ' The': -8.991124}
{' No': -0.10728085, ' Yes': -2.354679, 'No': -5.088419, 'Yes': -7.5689273, ' Not': -9.963846}
{' Yes': -0.09901587, ' No': -2.4145198, 'Yes': -5.5916934, 'No': -7.270467, ' The': -8.408532}
{' Yes': -0.0055346605, 'Yes': -5.553212, ' No': -6.5599184, ' The': -9.01098, ' yes': -10.245364}
{' Yes': -0.5864991, ' No': -0.8214425, 'No': -6.4078603, 'Yes': -6.4279237, ' The': -7.5937395}
{' Yes': -0.24640082, ' No': -1.5419217, 'Yes': -5.8820934, 'No': -6.8583755, ' The': -7.8256526}
{' No': -0.24854195, ' Yes': -1.5452415, 'No': -5.2412825, 'Yes': -6.9736757, ' The': -8.180352}
{' No': -0.3330683, ' Yes': -1.293819, 'No': -5.0811896, 'Yes': -6.5394526, ' Not': -7.484437}
{' No': -0.37007862, ' Yes': -1.2037387, 'No': -5.1155467, 'Yes': -6.343629, ' Not': -6.969695}
{' Yes': -0.11760222, ' No': -2.2373836, 'Yes': -5.690787, 'No': -7.402861, ' The': -9.418288}
{' No': -0.04846995, ' Yes': -3.2922022, 'No': -4.686598, ' Unfortunately': -8.0406685, 'Yes': -8.585502}
{' No': -0.1293931, ' Yes': -2.1848948, 'No': -4.920176, 'Yes': -7.45759, ' Not': -7.733515}
{' Yes': -0.1591051, ' No': -1.9333913, 'Yes': -6.3725963, 'No': -7.9632125, ' The': -8.217737}
{' No': -0.5902424, ' Yes': -0.8347474, 'No': -5.1272335, 'Yes': -5.2256503, ' The': -8.339642}
{' Yes': -0.10765548, ' No': -2.3251925, 'Yes': -5.655312, 'No': -7.406316, ' The': -9.2722435}
{' No': -0.010296985, 'No': -5.0384574, ' Yes': -5.6618896, ' Not': -8.577111, ' The': -10.398449}
{' No': -0.009411335, 'No': -4.8008385, ' Yes': -6.8017597, ' Not': -11.606002, 'Yes': -11.727143}
