{' Yes': -0.0030951896, 'Yes': -5.8984904, ' No': -8.919969, ' yes': -9.2945795, ' A': -9.588872}
{' No': -0.051493887, 'No': -2.9969435, ' ': -8.760583, '\n': -10.766876, ' no': -10.882026}
{' No': -0.04428088, 'No': -3.1447449, ' ': -9.121752, ' no': -10.390031, 'no': -10.879759}
{' No': -0.2656624, 'No': -1.4753449, '\n': -5.76188, ' ': -6.843669, 'no': -9.699766}
{' No': -0.30238694, 'No': -1.3616292, '\n': -5.7306113, ' ': -6.8399053, 'no': -9.721531}
{' No': -0.3209419, 'No': -1.3009701, '\n': -6.9131007, ' ': -7.244549, ' Sn': -8.365417}
{' No': -0.5569488, 'No': -0.8546152, '\n': -7.4270763, ' ': -7.857351, ' S': -9.098858}
{' No': -0.10169108, 'No': -2.460223, '\n': -4.690861, ' ': -7.005886, ' no': -7.920101}
{' No': -0.11985925, 'No': -2.2354367, '\n': -5.4048476, ' ': -7.2646117, ' no': -8.028144}
{' No': -0.108984455, 'No': -2.2810788, '\n': -7.7051067, ' ': -8.361571, ' Sn': -8.391671}
{' No': -0.27669188, 'No': -1.425015, '\n': -7.782522, ' ': -8.354695, ' Sn': -8.647894}
{' No': -0.005034738, 'No': -5.9468126, ' ': -6.5055895, ' no': -7.3610373, '\n': -8.830943}
{' No': -0.005896555, 'No': -5.551711, ' ': -6.563639, ' no': -7.971238, '\n': -8.747001}
{' No': -0.002537566, 'No': -6.6447525, ' ': -7.2655582, ' no': -8.0872, '\n': -8.682243}
{' No': -0.0021782557, 'No': -6.5221214, ' ': -7.6151524, ' no': -9.135551, '\n': -9.5601225}
{' No': -0.07119436, 'No': -2.809548, '\n': -5.4499707, ' ': -5.9307885, ' no': -6.8723025}
{' No': -0.07343089, 'No': -2.7594433, '\n': -5.412174, ' ': -6.1240897, ' no': -7.4657454}
{' No': -0.047923874, 'No': -3.1666486, '\n': -5.8532653, ' ': -6.6138296, ' no': -8.072587}
{' No': -0.072679654, 'No': -2.7250443, '\n': -5.84393, ' ': -6.660528, ' no': -8.247694}
{' No': -0.12389568, 'No': -2.6816845, '\n': -3.2310197, ' ': -5.038904, ' no': -6.84498}
{' No': -0.18829094, '\n': -2.387212, 'No': -2.6455662, ' ': -4.932103, ' no': -7.1845922}
{' No': -0.16973315, '\n': -2.3045197, 'No': -3.0598755, ' ': -4.831297, ' no': -7.332135}
{' No': -0.18692751, '\n': -2.438251, 'No': -2.5958707, ' ': -4.8982215, ' no': -7.599751}
{' No': -0.010944275, 'No': -4.6619186, ' ': -7.1239295, '\n': -8.084333, ' no': -8.398304}
{' No': -0.0088393595, 'No': -4.87939, ' ': -7.4418564, '\n': -7.857157, ' no': -8.733345}
{' No': -0.014122167, 'No': -4.3620586, '\n': -7.4526, ' ': -7.5841365, ' no': -8.887152}
{' No': -0.018325834, 'No': -4.052765, '\n': -8.016117, ' ': -8.073119, ' no': -9.1749935}
{' No': -0.25903496, 'No': -1.9269235, '\n': -2.7284448, ' ': -4.571878, ' no': -5.540314}
{' No': -0.36123732, 'No': -1.6358325, '\n': -2.3406436, ' ': -4.6922064, ' no': -6.582504}
{' No': -0.22338949, 'No': -2.264821, '\n': -2.54436, ' ': -4.408185, ' no': -5.782714}
{' No': -0.2280031, 'No': -2.076285, '\n': -2.6882463, ' ': -4.8468537, ' no': -6.6931596}
{' No': -0.049854554, 'No': -3.6289482, ' no': -4.3199387, ' ': -5.479471, '\n': -5.749874}
{' No': -0.039636496, 'No': -3.8254468, ' no': -4.8065796, '\n': -5.337879, ' ': -5.7025995}
{' No': -0.068640396, 'No': -3.2687097, ' no': -4.3337293, '\n': -4.6815715, ' ': -5.3934884}
{' No': -0.063128814, 'No': -3.1081173, ' no': -4.813546, '\n': -5.3665304, ' ': -5.8808856}
{' No': -0.014234796, '\n': -5.1071897, 'No': -5.204586, ' ': -6.2168407, ' A': -7.857905}
{' No': -0.0096300095, 'No': -5.541982, '\n': -5.601757, ' ': -6.527359, ' A': -8.057508}
{' No': -0.034653444, '\n': -3.7240927, 'No': -5.050486, ' ': -5.7118726, ' NO': -9.477107}
{' No': -0.017115828, '\n': -4.6283236, 'No': -5.3142037, ' ': -6.180476, ' S': -9.461831}
{' No': -0.17356248, '\n': -2.3311455, 'No': -3.0247931, ' ': -4.3743186, ' A': -7.943732}
{' No': -0.15478715, '\n': -2.277872, 'No': -3.5529041, ' ': -4.44988, ' A': -8.360852}
{' No': -0.2104185, '\n': -1.9394205, 'No': -3.3596761, ' ': -4.5405936, ' Sn': -8.971261}
{' No': -0.20794527, '\n': -1.8969977, 'No': -3.5757737, ' ': -4.669741, ' S': -9.638868}
{' No': -0.08806447, '\n': -3.1022227, 'No': -3.5716288, ' ': -4.5979023, ' A': -7.4941854}
{' No': -0.11276547, '\n': -2.686614, 'No': -3.6322715, ' ': -4.5054903, ' A': -7.4134555}
{' No': -0.06792156, '\n': -3.2947245, 'No': -3.870057, ' ': -4.9666433, ' Sn': -8.371267}
{' No': -0.08768409, '\n': -2.8994381, 'No': -3.9234936, ' ': -4.7793856, ' S': -8.591442}
{' No': -0.025099184, 'No': -4.56435, '\n': -4.8618336, ' ': -5.1045303, ' A': -8.166882}
{' No': -0.012794062, 'No': -5.4455595, '\n': -5.4940753, ' ': -5.5556555, ' A': -8.29985}
{' No': -0.04333132, '\n': -3.7476845, 'No': -4.518671, ' ': -4.8644943, ' NO': -9.550434}
{' No': -0.020390853, 'No': -4.625636, '\n': -4.9756613, ' ': -5.7203264, ' no': -9.945678}
{' No': -0.034357112, 'No': -4.0944157, '\n': -4.4843845, ' ': -5.271471, ' A': -8.036933}
{' No': -0.0428208, 'No': -3.7644165, '\n': -4.390698, ' ': -5.185633, ' A': -7.6920033}
{' No': -0.042885005, '\n': -4.082636, 'No': -4.1301823, ' ': -4.7942257, ' NO': -8.536147}
{' No': -0.041600805, 'No': -3.983171, '\n': -4.2186503, ' ': -4.984056, ' S': -8.82471}
{' No': -0.101498485, '\n': -3.0857453, 'No': -3.486344, ' ': -4.036511, ' A': -7.124171}
{' No': -0.049037647, 'No': -3.7973802, '\n': -4.2806697, ' ': -4.654468, ' A': -6.9680557}
{' No': -0.13835129, '\n': -2.6732538, 'No': -3.1691608, ' ': -4.1298347, ' NO': -7.454724}
{' No': -0.055506803, 'No': -3.5273426, '\n': -4.11176, ' ': -4.9556875, ' no': -7.624543}
{' Yes': -0.007198593, 'Yes': -5.461811, ' No': -6.0438113, ' Generally': -8.248885, ' yes': -9.370604}
{' Yes': -0.0043906015, 'Yes': -5.5728908, ' No': -8.116093, ' A': -9.191631, ' Generally': -9.529861}
{' No': -0.12434794, ' Yes': -2.4323332, 'No': -4.1429844, ' Tigers': -4.642958, ' Generally': -6.0218277}
{' No': -0.4989767, ' Yes': -0.96600825, 'No': -4.9332438, ' Tigers': -6.0590463, 'Yes': -6.1617494}
{' Yes': -0.09057292, ' No': -2.9548326, 'Yes': -3.8017812, 'No': -5.3143563, ' Generally': -5.399758}
{' Yes': -0.050084207, 'Yes': -3.7951992, ' No': -3.8342502, 'No': -6.4478865, ' Generally': -6.6613297}
{' No': -0.26827577, ' Yes': -2.0751739, 'No': -2.397613, ' Tigers': -4.9835296, 'Yes': -5.333137}
{' Yes': -0.4795991, ' No': -1.1009636, 'No': -3.71212, 'Yes': -4.2862415, ' Generally': -5.4768353}
{' Yes': -0.20217516, ' No': -1.9478301, 'Yes': -3.8947048, 'No': -4.723114, '\n': -5.231674}
{' Yes': -0.06347495, ' No': -3.474493, 'Yes': -3.7709277, '\n': -5.9186673, ' ': -6.277529}
{' No': -0.1662999, 'No': -2.3676283, ' Yes': -3.3337498, '\n': -4.2511196, ' ': -5.59367}
{' Yes': -0.36699152, ' No': -1.3706574, 'Yes': -3.9188616, 'No': -4.039406, '\n': -5.002705}
{' Yes': -0.14212953, ' No': -2.136314, 'Yes': -4.839168, 'No': -5.4936347, ' A': -6.86253}
{' Yes': -0.008750607, 'Yes': -5.0612216, ' No': -6.5936275, ' A': -7.178113, ' yes': -9.415111}
{' No': -0.10343448, 'No': -2.5180995, ' Yes': -4.6221857, ' Tigers': -5.0870657, ' Generally': -7.370906}
{' No': -0.30403388, ' Yes': -1.5745951, 'No': -3.3207817, ' Tigers': -4.3170624, 'Yes': -5.5531487}
{' No': -0.6407586, ' Yes': -1.0237371, 'No': -2.5942154, 'Yes': -3.9797058, ' ': -5.084748}
{' Yes': -0.27545172, ' No': -1.7893906, 'Yes': -3.345932, 'No': -3.996666, ' A': -4.9903884}
{' No': -0.20970783, 'No': -2.0301862, ' Yes': -3.5600002, ' Tigers': -4.6861043, '\n': -4.8125896}
{' No': -0.29312146, ' Yes': -2.0319827, 'No': -2.3903487, ' Tigers': -4.5384216, 'Yes': -4.866394}
{' Yes': -0.64617926, ' No': -0.92205054, 'No': -3.2627447, ' Generally': -4.161585, 'Yes': -4.2767696}
{' Yes': -0.23793674, ' No': -1.851962, 'Yes': -4.014092, ' A': -4.3906827, 'No': -4.5421853}
{' No': -0.24561788, 'No': -2.2596388, ' Yes': -2.5136404, ' Tigers': -4.03233, ' Generally': -5.1205587}
{' No': -0.30308312, ' Yes': -1.647329, 'No': -2.8902793, 'Yes': -5.226852, ' Tigers': -5.72578}
{' Yes': -0.11377606, ' No': -2.299115, 'Yes': -5.847084, ' ': -6.407683, '\n': -6.7898083}
{' Yes': -0.0071613123, ' No': -5.719491, 'Yes': -5.977923, ' A': -7.84162, ' ': -8.022178}
{' No': -0.06855536, ' Yes': -2.8465416, 'No': -5.4108114, '\n': -6.098071, ' ': -6.969966}
{' No': -0.009124313, 'No': -5.362787, ' Yes': -5.8074737, '\n': -7.015529, ' ': -7.8594337}
{' No': -0.08708689, 'No': -3.1097994, ' Yes': -3.98219, '\n': -4.6577616, ' ': -5.2928705}
{' No': -0.43056372, ' Yes': -1.2883689, 'No': -3.5714478, ' A': -3.7485585, '\n': -4.7181478}
{' No': -0.07413011, 'No': -2.8125372, '\n': -5.3465033, ' ': -5.675984, ' Tigers': -6.422389}
{' No': -0.0490794, 'No': -3.2012591, ' Yes': -6.161815, '\n': -6.286662, ' ': -6.4518275}
{' No': -0.67060626, '\n': -1.591623, ' Yes': -1.6370214, 'No': -3.2533393, ' ': -3.5479712}
{' No': -0.831766, ' Yes': -1.0561694, '\n': -2.050623, 'No': -3.560703, ' ': -3.6591318}
{' No': -0.29740337, '\n': -1.657896, 'No': -3.1869373, ' ': -3.9383602, ' Tigers': -5.880284}
{' No': -0.17861213, '\n': -2.1967604, 'No': -3.2148612, ' ': -4.720009, ' Tigers': -6.570288}
{' No': -0.6522196, ' Yes': -0.758953, 'No': -5.545913, ' ': -5.797239, 'Yes': -6.117889}
{' Yes': -0.10131272, ' No': -2.4218063, 'Yes': -5.635128, ' A': -6.3012996, ' ': -6.77432}
{' No': -0.013450828, 'No': -4.412361, ' ': -7.4319415, '\n': -7.7176785, ' Yes': -9.206171}
{' No': -0.0107459165, 'No': -4.5967827, ' Yes': -8.315589, ' ': -8.399923, '\n': -9.267889}
{' No': -0.22299078, 'No': -2.0182407, '\n': -3.2183943, ' ': -4.15401, ' Yes': -5.137365}
{' No': -0.2591139, 'No': -2.0701988, ' Yes': -3.3546298, '\n': -3.5056748, ' ': -4.082558}
{' No': -0.24032971, 'No': -1.8844641, '\n': -3.1675837, ' ': -4.1814117, ' Tigers': -6.372307}
{' No': -0.1613047, 'No': -2.1521304, '\n': -3.8371258, ' ': -4.693962, ' Tigers': -7.516956}
{' Yes': -0.49159697, ' No': -1.094365, 'No': -4.4017243, ' ': -4.4344907, 'Yes': -4.553107}
{' Yes': -0.13122207, ' No': -2.4513743, 'Yes': -4.4420223, ' A': -4.4738464, ' ': -5.29426}
{' No': -0.08579275, 'No': -2.8401701, ' ': -4.839819, ' Yes': -5.0675545, '\n': -5.1172085}
{' No': -0.05656943, 'No': -3.038331, ' ': -5.978999, '\n': -6.0087914, ' Tigers': -7.231446}
{' Yes': -0.10327202, ' No': -2.8572164, 'Yes': -3.5418742, 'No': -5.255463, ' A': -5.939654}
{' Yes': -0.060783092, 'Yes': -3.537105, ' No': -4.038942, ' A': -4.910522, 'No': -6.5644684}
{' No': -0.26819143, 'No': -1.9091253, ' Yes': -2.820615, ' Tigers': -4.394345, 'Yes': -5.299903}
{' No': -0.21481507, 'No': -1.8424968, ' Yes': -3.7001302, ' Tigers': -5.882055, 'Yes': -5.913808}
{' Yes': -0.37614617, ' No': -1.4336661, 'Yes': -3.2946718, 'No': -3.3484094, ' yes': -6.5910525}
{' Yes': -0.06480224, 'Yes': -3.201452, ' No': -3.9661787, 'No': -6.4131317, ' yes': -7.2085686}
{' No': -0.18861398, 'No': -1.9161875, ' Yes': -3.8284435, 'Yes': -6.331125, ' Tigers': -7.950684}
{' No': -0.17808436, 'No': -1.896098, ' Yes': -4.4854174, 'Yes': -6.7660437, ' ': -8.723664}
{' Yes': -0.4790019, ' No': -1.1870803, 'No': -3.2261086, 'Yes': -3.4113138, ' ': -6.557981}
{' Yes': -0.21839714, ' No': -1.9269923, 'Yes': -3.3399734, 'No': -4.369722, ' ': -6.523191}
{' No': -0.3336453, 'No': -1.512688, ' Yes': -2.9435315, 'Yes': -4.9213967, ' ': -6.8545723}
{' No': -0.270188, 'No': -1.7377973, ' Yes': -2.9309278, 'Yes': -5.11249, ' ': -7.455244}
{' Yes': -0.10768714, ' No': -2.4265864, 'Yes': -4.5784783, 'No': -6.213632, ' ': -7.4647064}
{' Yes': -0.015295807, 'Yes': -4.765677, ' No': -5.125991, ' yes': -8.313394, ' ': -8.470323}
{' No': -0.11193083, 'No': -2.3331432, ' Yes': -4.9229293, ' ': -7.8163004, 'Yes': -7.827919}
{' No': -0.09759615, 'No': -2.9170215, ' Yes': -3.295779, 'Yes': -6.645995, ' ': -8.625246}
{' No': -0.34842014, 'No': -1.2370521, ' Yes': -6.643977, ' ': -6.8472757, ' A': -7.7238564}
{' No': -0.26724768, 'No': -1.4700694, ' Yes': -6.271096, ' ': -6.9336863, '\n': -7.5643225}
{' No': -0.5788793, 'No': -0.8549814, ' Tigers': -5.480933, '\n': -5.866795, ' Yes': -6.104668}
{' No': -0.4332108, 'No': -1.0898347, ' Tigers': -4.648199, ' Yes': -6.626105, '\n': -6.947792}
{' No': -0.4519037, ' Yes': -1.5830396, 'No': -2.196851, ' Tiger': -3.8215115, 'Yes': -4.3642244}
{' No': -0.1776455, 'No': -2.0907543, ' Yes': -3.5546556, ' Tiger': -5.791382, 'Yes': -6.193682}
{' No': -0.32708576, 'No': -1.294411, ' Tigers': -6.021217, ' Yes': -6.700039, ' ': -7.8404975}
{' No': -0.28587002, 'No': -1.3983293, ' Tigers': -7.683928, '\n': -7.858068, ' ': -8.104172}
{' Yes': -0.010066058, ' yes': -5.137412, 'Yes': -6.3487496, ' No': -6.4326158, ' ': -7.5136666}
{' Yes': -0.007059142, ' yes': -5.855365, 'Yes': -6.352693, ' No': -6.754764, ' ': -7.183624}
{' No': -0.3793058, ' Yes': -1.1766977, ' ': -5.840333, 'No': -6.4943757, '\n': -6.9159627}
{' No': -0.4183145, ' Yes': -1.0926653, ' ': -6.2072606, 'No': -6.3370748, 'Yes': -6.8664575}
{' Yes': -0.14644913, ' No': -2.4544957, 'Yes': -3.651593, '\n': -4.952317, ' yes': -5.1139154}
{' Yes': -0.13806945, ' No': -2.6011927, 'Yes': -3.461218, '\n': -4.924465, 'No': -5.320881}
{' No': -0.1116952, 'No': -2.5527906, ' Yes': -4.3009953, '\n': -4.794974, ' ': -5.687861}
{' No': -0.14011437, 'No': -2.6408105, ' Yes': -3.1265166, '\n': -4.661404, ' ': -5.792372}
{' Yes': -0.6355863, ' No': -1.380879, '\n': -1.9692597, 'Yes': -3.5020661, ' ': -3.9139333}
{' Yes': -0.4929504, '\n': -1.5870304, ' No': -2.3322866, 'Yes': -3.0785654, ' ': -3.91539}
{' No': -0.41677982, '\n': -1.5854219, 'No': -2.9533036, ' Yes': -2.9992363, ' ': -4.2431917}
{' No': -0.31878167, '\n': -1.6822977, 'No': -2.827241, ' Yes': -4.422383, ' ': -4.614257}
{' Yes': -0.09385627, ' No': -2.5549557, 'Yes': -5.162534, ' ': -6.420493, ' A': -6.614283}
{' Yes': -0.016267143, 'Yes': -4.978427, ' No': -5.052211, ' A': -6.9011526, ' ': -7.269978}
{' No': -0.0350148, 'No': -3.547401, ' Yes': -5.658683, '\n': -7.026431, ' ': -7.1636953}
{' No': -0.041639265, 'No': -3.8049262, ' Yes': -4.112842, '\n': -6.9682746, ' ': -7.626758}
{' No': -0.2544735, 'No': -1.7859485, '\n': -3.1380165, ' ': -4.723683, ' no': -6.564855}
{' No': -0.3000683, 'No': -1.5849669, '\n': -3.1236424, ' ': -5.153533, ' Yes': -6.1491137}
{' No': -0.26861635, 'No': -1.7994354, '\n': -2.838559, ' ': -4.8136516, ' no': -6.8846464}
{' No': -0.19455738, 'No': -1.9760822, '\n': -3.4595358, ' ': -5.315728, ' no': -7.4015265}
{' Yes': -0.07254589, ' yes': -3.1396081, 'Yes': -4.3735843, ' No': -5.046751, '\n': -5.777783}
{' Yes': -0.045660913, ' yes': -3.9087799, 'Yes': -4.4598856, ' No': -5.212432, '\n': -5.769894}
{' No': -0.08635344, 'No': -2.9846077, ' Yes': -4.3949146, '\n': -4.8776913, ' no': -5.2995434}
{' No': -0.0460365, 'No': -3.4409585, '\n': -5.3423104, ' Yes': -5.7592244, ' ': -6.207097}
{' Yes': -0.020827057, ' No': -4.4261174, '\n': -5.719044, 'Yes': -5.767609, ' ': -6.5738277}
{' Yes': -0.017342502, ' No': -4.9682546, '\n': -5.4874163, 'Yes': -5.794043, ' ': -6.6637406}
{' No': -0.05446403, ' Yes': -3.6107974, '\n': -4.2010913, 'No': -4.9123206, ' ': -5.796443}
{' No': -0.019923523, ' Yes': -4.9831705, 'No': -5.159444, '\n': -5.1701155, ' ': -6.674525}
{' No': -0.46522596, ' Yes': -1.3831375, '\n': -2.6889083, 'No': -3.60537, ' ': -4.3852944}
{' Yes': -0.58342284, ' No': -1.3612492, '\n': -2.05416, ' ': -4.1106043, 'Yes': -4.260621}
{' No': -0.13801765, '\n': -2.5967617, 'No': -3.253412, ' ': -4.8837605, ' Tigers': -5.480848}
{' No': -0.115549974, '\n': -2.8619525, 'No': -3.1425502, ' ': -5.474316, ' Yes': -5.6402783}
{' No': -0.47648236, ' Yes': -1.3116837, '\n': -2.9591694, 'No': -3.9018648, ' A': -4.1038513}
{' No': -0.47963482, ' Yes': -1.5755687, '\n': -2.1942916, 'No': -3.8205082, ' ': -4.0540233}
{' No': -0.16315646, '\n': -2.894655, ' Yes': -3.4924927, ' Tigers': -3.4969728, 'No': -3.9253805}
{' No': -0.15929402, '\n': -2.2922513, 'No': -3.7352216, ' Yes': -4.6985474, ' ': -4.757833}
{' Yes': -0.546233, ' No': -1.0646256, '\n': -3.3030286, ' ': -3.8184667, ' A': -4.625468}
{' Yes': -0.4094559, ' No': -1.3971401, '\n': -3.0221305, ' ': -3.8419583, ' A': -4.430389}
{' No': -0.12937655, '\n': -2.7124357, 'No': -3.8294652, ' Yes': -4.0408635, ' ': -4.282748}
{' No': -0.08064411, '\n': -3.3161194, 'No': -3.9712179, ' Yes': -4.3295755, ' ': -4.872239}
{' No': -0.059743457, 'No': -3.4708745, ' Yes': -4.3283954, '\n': -4.7707434, ' ': -5.6349273}
{' No': -0.062227607, 'No': -3.2712784, '\n': -4.5901318, ' Yes': -5.08347, ' ': -5.6941223}
{' No': -0.038752496, 'No': -3.767573, '\n': -4.7222624, ' ': -5.381636, ' Tigers': -6.9415035}
{' No': -0.042582426, 'No': -3.6345165, '\n': -4.537778, ' ': -5.557286, ' Tigers': -8.021576}
{' Yes': -0.5413787, ' No': -1.1145256, '\n': -3.4591126, ' ': -3.9312158, ' A': -4.2192235}
{' Yes': -0.15605319, ' No': -2.905645, '\n': -3.209657, ' ': -4.120939, ' A': -4.2326465}
{' No': -0.44815612, ' Yes': -1.3335626, '\n': -3.3378348, 'No': -3.7455137, ' ': -4.079242}
{' No': -0.07517163, 'No': -3.5353346, '\n': -3.680968, ' Yes': -4.9923086, ' ': -5.0327578}
{' Yes': -0.0042297486, 'Yes': -5.6969495, ' No': -7.554671, ' A': -8.880577, ' yes': -9.52362}
{' Yes': -0.0028854099, 'Yes': -5.9197717, ' A': -9.2020445, ' yes': -9.891795, ' ': -11.004865}
{' Yes': -0.005638653, 'Yes': -5.5584126, ' Tigers': -6.645661, ' No': -8.296029, ' yes': -9.364016}
{' Yes': -0.014816096, ' No': -5.163845, 'Yes': -5.4537044, ' Tigers': -5.4774737, ' T': -8.567587}
{' Yes': -0.028650524, 'Yes': -3.6902676, ' No': -6.4924006, ' ': -7.6048408, ' Generally': -7.8198676}
{' Yes': -0.021675486, 'Yes': -3.880097, ' ': -8.20134, ' yes': -8.554636, ' No': -9.476492}
{' Yes': -0.049289465, 'Yes': -3.5298307, ' No': -4.551925, ' Tigers': -5.6252913, ' Generally': -6.665902}
{' Yes': -0.02743122, 'Yes': -3.9393075, ' No': -5.3105063, ' Tigers': -6.7956266, ' ': -7.928491}
{' Yes': -0.044043653, 'Yes': -3.6198568, ' No': -4.637395, ' ': -5.9761705, '\n': -6.0314684}
{' Yes': -0.018255051, 'Yes': -4.1152797, ' ': -7.471711, '\n': -7.7458644, ' No': -8.028987}
{' Yes': -0.35307926, ' No': -1.5118755, 'Yes': -3.7509542, ' Tigers': -4.047749, 'No': -4.080904}
{' Yes': -0.071759395, ' No': -3.3951309, 'Yes': -3.7040584, ' Tigers': -5.7134013, '\n': -5.8747354}
{' Yes': -0.025644884, ' No': -4.3289037, 'Yes': -4.552113, ' A': -7.134379, 'No': -7.680872}
{' Yes': -0.009725403, 'Yes': -4.676824, ' A': -8.398104, ' yes': -9.439961, ' No': -10.274688}
{' Yes': -0.22511159, ' No': -2.3095386, ' Tigers': -2.5626512, 'Yes': -4.0685487, 'No': -5.236911}
{' Yes': -0.073485725, ' No': -3.2259665, 'Yes': -4.002689, ' Tigers': -4.6718626, 'No': -6.3001337}
{' Yes': -0.09889104, 'Yes': -3.0919344, ' No': -3.4217055, ' ': -5.3861585, 'No': -5.4397726}
{' Yes': -0.039553337, 'Yes': -3.344458, ' ': -6.6193566, '\n': -7.355926, ' A': -7.627232}
{' Yes': -0.26205546, ' No': -2.4256296, 'Yes': -2.9192684, ' Tigers': -3.1726768, 'No': -4.247882}
{' Yes': -0.058662936, 'Yes': -3.1914618, ' No': -4.836203, ' Tigers': -5.8632135, ' ': -6.494882}
{' Yes': -0.033704054, 'Yes': -3.6004364, ' Generally': -6.35584, ' ': -6.882676, ' No': -7.077879}
{' Yes': -0.027624521, 'Yes': -3.7072697, ' A': -7.2406425, ' Generally': -7.641454, ' ': -7.688035}
{' Yes': -0.06377051, 'Yes': -3.2429278, ' Tigers': -4.3161335, ' No': -5.7648315, ' Generally': -6.3944635}
{' Yes': -0.04371445, 'Yes': -3.311527, ' No': -5.876356, ' Tigers': -6.821029, ' ': -7.28087}
{' Yes': -0.010202681, ' No': -5.075754, 'Yes': -6.065813, ' ': -7.446796, ' A': -8.047306}
{' Yes': -0.0032370824, 'Yes': -5.9175663, ' yes': -8.312098, ' A': -8.99085, ' ': -9.312735}
{' Yes': -0.102119684, ' No': -2.4746192, ' Tigers': -5.051077, 'Yes': -5.7949166, '\n': -6.40333}
{' Yes': -0.031878684, ' No': -3.617406, 'Yes': -5.872308, ' ': -7.6180353, '\n': -7.6729307}
{' Yes': -0.5923693, ' No': -1.0811464, ' A': -3.164835, '\n': -3.97995, 'No': -4.1184654}
{' Yes': -0.03056894, 'Yes': -3.7512717, '\n': -5.9854484, ' ': -6.3925285, ' A': -6.781954}
{' No': -0.35295403, ' Tigers': -1.988536, ' Yes': -2.295215, 'No': -3.5115137, '\n': -4.617202}
{' Yes': -0.10805004, ' No': -2.9271092, 'Yes': -3.7022383, ' Tigers': -4.7465386, '\n': -5.448893}
{' Yes': -0.33656055, '\n': -2.0325997, ' No': -2.950679, 'Yes': -3.280849, ' ': -3.5256302}
{' Yes': -0.1014143, 'Yes': -3.0608623, '\n': -3.3678176, ' ': -4.653334, ' A': -5.8226666}
{' No': -0.7167826, '\n': -1.0778705, ' Yes': -2.9706526, ' Tigers': -3.1030893, ' ': -3.237662}
{' Yes': -0.41157863, '\n': -1.6620212, ' No': -2.6410098, 'Yes': -3.566894, ' ': -3.8002162}
{' Yes': -0.036068883, ' No': -3.6720703, ' A': -5.5245485, 'Yes': -5.5520787, ' ': -6.473639}
{' Yes': -0.0044402303, 'Yes': -5.8131504, ' A': -6.957922, ' ': -8.503004, ' yes': -8.892008}
{' No': -0.04935346, ' Yes': -3.5771587, 'No': -4.437615, ' Tigers': -5.1322045, ' ': -6.549126}
{' Yes': -0.20076565, ' No': -1.7793847, 'Yes': -5.016371, ' Tigers': -5.9813786, 'No': -6.0668087}
{' Yes': -0.60016626, ' No': -1.8403376, 'Yes': -2.2443714, '\n': -2.5418508, ' ': -3.140581}
{' Yes': -0.17036115, 'Yes': -2.109389, '\n': -4.220345, ' ': -4.479363, ' A': -5.7194486}
{' No': -0.8515743, ' Yes': -1.791451, '\n': -2.2203562, ' Tigers': -2.2829556, 'No': -2.461798}
{' Yes': -0.32048035, 'Yes': -2.1966114, ' No': -2.7865865, '\n': -3.144762, ' ': -3.8087234}
{' Yes': -0.034751564, 'Yes': -4.048225, ' ': -5.319896, ' A': -5.5024867, ' No': -5.978287}
{' Yes': -0.018551145, 'Yes': -4.263422, ' yes': -6.355018, ' ': -6.8385124, ' A': -7.1858196}
{' Yes': -0.16268316, ' Tigers': -2.8862605, ' No': -3.481689, 'Yes': -3.5742583, ' ': -4.325092}
{' Yes': -0.05937033, 'Yes': -3.5931818, ' Tigers': -4.5826726, ' No': -5.076748, ' ': -5.4967937}
{' Yes': -0.042811904, 'Yes': -3.3157609, ' No': -6.2703695, ' A': -6.8457174, ' yes': -6.9309225}
{' Yes': -0.04850624, 'Yes': -3.1392062, ' A': -6.575997, ' yes': -6.7643266, ' ': -7.6345763}
{' Yes': -0.21884717, ' No': -2.5374753, 'Yes': -2.6887798, ' Tigers': -3.9825609, 'No': -4.079712}
{' Yes': -0.17097819, 'Yes': -2.5503917, ' No': -2.8551288, 'No': -4.5306315, ' Tigers': -5.7182403}
{' Yes': -0.046092108, 'Yes': -3.1866002, ' yes': -6.363229, ' No': -6.683303, ' ': -7.9206114}
{' Yes': -0.05152395, 'Yes': -3.0298831, ' yes': -7.05008, ' No': -7.842224, ' ': -7.8565836}
{' Yes': -0.16417548, ' No': -2.4479754, 'Yes': -2.9746974, 'No': -4.4348683, ' ': -7.2248917}
{' No': -0.43389186, ' Yes': -1.3730245, 'No': -2.5373368, 'Yes': -3.9838588, ' ': -7.662555}
{' Yes': -0.15089363, ' No': -2.5337596, 'Yes': -3.0321305, 'No': -4.7115836, ' ': -6.338226}
{' Yes': -0.045484368, 'Yes': -3.1769369, ' No': -6.6665487, ' ': -7.4146686, ' yes': -7.691961}
{' Yes': -0.5983015, ' No': -1.2300324, 'No': -2.548375, 'Yes': -2.6382642, ' ': -5.971735}
{' Yes': -0.6016183, ' No': -1.0463128, 'No': -2.9451716, 'Yes': -3.104527, ' ': -6.516506}
{' Yes': -0.11266541, ' No': -2.4221022, 'Yes': -4.341442, 'No': -6.0657496, ' A': -7.0196586}
{' Yes': -0.01601485, 'Yes': -4.4167504, ' No': -5.89015, ' A': -8.09013, ' yes': -8.111412}
{' No': -0.23466738, ' Yes': -2.008225, 'No': -2.7314343, 'Yes': -5.2321706, ' Tigers': -5.8472085}
{' No': -0.47794372, ' Yes': -1.0863193, 'No': -3.4562762, 'Yes': -4.6408906, ' Tigers': -7.373995}
