{' Yes': -0.2106354, ' No': -1.6864445, 'Yes': -5.9270716, 'No': -6.5995607, '\n': -7.8603544}
{' Yes': -0.009161728, 'Yes': -5.1220727, ' No': -5.849673, ' yes': -9.448151, '\n': -9.866156}
{' Yes': -0.005795475, 'Yes': -5.2182913, ' The': -8.8289995, ' No': -9.391547, ' yes': -9.712388}
{' Yes': -0.010869794, 'Yes': -4.7046447, ' No': -6.6308355, '\n': -8.446187, ' The': -9.386247}
{' Yes': -0.0076737623, 'Yes': -4.93124, ' The': -8.964838, ' yes': -8.975967, '\n': -9.661926}
{' Yes': -0.020063628, ' No': -4.3373203, 'Yes': -5.141062, ' The': -7.874916, 'No': -8.358015}
{' No': -0.2199181, ' Yes': -1.7569855, 'No': -3.8773046, 'Yes': -6.319691, '\n': -6.7848473}
{' Yes': -0.013691537, 'Yes': -4.564677, ' No': -6.481425, '\n': -6.7194333, ' yes': -8.565234}
{' Yes': -0.035879504, ' No': -3.635935, 'Yes': -4.8872433, 'No': -7.4301815, ' The': -8.351961}
{' Yes': -0.120291404, ' No': -2.2807968, 'Yes': -5.098105, '\n': -5.98691, 'No': -6.881151}
{' Yes': -0.09546308, ' No': -2.4979458, 'Yes': -4.9542637, 'No': -7.1448884, ' The': -7.3766828}
{' Yes': -0.00937024, 'Yes': -4.848575, ' No': -6.9739256, ' yes': -8.384385, ' The': -8.944548}
{' Yes': -0.09083411, ' No': -2.5060468, 'Yes': -5.7690315, 'No': -7.293663, ' The': -7.833313}
{' No': -0.43465948, ' Yes': -1.0861907, 'No': -5.0941863, '\n': -5.8572626, 'Yes': -5.8915625}
{' Yes': -0.23679283, ' No': -1.6205324, 'Yes': -5.137346, '\n': -5.882231, 'No': -6.1258802}
{' No': -0.43834957, ' Yes': -1.0665292, 'No': -4.814812, 'Yes': -6.2134576, '\n': -8.559816}
{' No': -0.16952278, ' Yes': -1.94951, 'No': -4.479331, 'Yes': -6.7638235, ' The': -7.4315057}
{' Yes': -0.32450885, ' No': -1.324278, 'Yes': -5.5666733, ' The': -5.836483, 'No': -5.879219}
{' Yes': -0.16723996, ' No': -1.9064807, 'Yes': -5.730655, 'No': -6.801549, ' The': -7.097669}
{' Yes': -0.0061905095, 'Yes': -5.4576917, ' No': -6.560578, '\n': -8.275561, ' yes': -9.165524}
{' Yes': -0.012884083, ' No': -4.9300003, 'Yes': -5.337023, '\n': -8.180968, ' yes': -8.847585}
{' Yes': -0.22469929, ' No': -1.648947, 'Yes': -5.5571747, 'No': -6.1146183, ' The': -6.7612224}
{' No': -0.48366937, ' Yes': -0.99558264, 'No': -4.6925488, 'Yes': -6.062025, '\n': -6.553365}
{' Yes': -0.037584607, ' No': -3.497227, 'Yes': -5.110785, 'No': -7.890406, ' yes': -9.4970045}
{' Yes': -0.0054726875, 'Yes': -5.347468, ' No': -7.932099, ' The': -8.842714, ' yes': -9.333096}
{' Yes': -0.008360208, ' No': -5.2317276, 'Yes': -6.027334, ' yes': -8.59186, ' The': -8.844868}
{' Yes': -0.4604815, ' No': -1.0306911, 'No': -5.223049, 'Yes': -5.3167415, ' The': -7.012651}
{' Yes': -0.03458884, ' No': -3.5677574, 'Yes': -5.434556, ' "': -7.768328, 'No': -7.99685}
{' Yes': -0.101543084, ' No': -2.4629073, 'Yes': -5.0000544, 'No': -6.481546, ' The': -6.9292493}
{' Yes': -0.007061602, ' No': -5.671858, 'Yes': -5.695673, ' yes': -9.380953, ' The': -10.015514}
{' No': -0.33012855, ' Yes': -1.3194435, 'No': -4.519992, 'Yes': -6.2525163, ' The': -7.4988236}
{' Yes': -0.008124687, 'Yes': -5.0014467, '\n': -7.442311, ' The': -7.9095807, ' yes': -8.737502}
{' Yes': -0.0077035553, 'Yes': -5.1187816, '\n': -7.025901, ' yes': -8.080569, ' No': -8.382998}
{' No': -0.56253797, ' Yes': -0.9071691, 'No': -3.9068048, 'Yes': -5.2493796, '\n': -7.677448}
{' Yes': -0.008653563, 'Yes': -4.8156047, ' yes': -8.968572, ' No': -9.017723, '\n': -9.127127}
{' Yes': -0.44261804, ' No': -1.0520025, 'No': -5.719158, 'Yes': -6.0177865, ' The': -6.8840656}
{' No': -0.13582523, ' Yes': -2.3087645, 'No': -3.8169374, '\n': -6.0565424, 'Yes': -6.7556233}
{' Yes': -0.7191683, ' No': -0.7303931, 'No': -4.179831, 'Yes': -4.823136, '\n': -5.490067}
{' Yes': -0.168982, ' No': -1.9658264, 'Yes': -4.76762, 'No': -5.7649384, '\n': -6.380131}
{' Yes': -0.31324416, ' No': -1.3510841, 'Yes': -5.53784, 'No': -5.6111584, ' The': -6.626835}
{' Yes': -0.04668624, ' No': -3.188793, 'Yes': -5.703888, 'No': -7.8434973, ' The': -8.043779}
{' Yes': -0.10753289, ' No': -2.5204546, 'Yes': -4.1117573, 'No': -5.9506493, ' The': -6.876571}
{' No': -0.15725845, ' Yes': -2.0726466, 'No': -4.1870794, 'Yes': -6.316762, '\n': -6.780766}
{' No': -0.022713024, 'No': -3.8946707, ' Yes': -6.6796513, ' "': -7.7468433, '\n': -8.617504}
{' No': -0.0334276, 'No': -3.4303544, ' The': -8.932988, '\n': -9.006545, ' "': -9.5505}
{' Yes': -0.060243454, ' No': -2.9765315, 'Yes': -5.113132, 'No': -7.2432146, ' The': -8.113876}
{' Yes': -0.06774614, ' No': -2.8079004, 'Yes': -5.6138406, 'No': -7.6314316, ' The': -7.664118}
{' Yes': -0.018865848, ' No': -4.4653664, 'Yes': -5.1947746, ' The': -7.037819, ' "': -8.475936}
{' Yes': -0.018069685, ' No': -4.5228014, 'Yes': -5.2303114, ' The': -7.6188536, '\n': -7.680074}
{' No': -0.022941515, 'No': -3.8729649, ' Yes': -6.3939414, ' The': -9.644552, '\n': -10.111008}
{' No': -0.24413584, ' Yes': -1.5940067, 'No': -4.660067, '\n': -6.398323, 'Yes': -6.640702}
{' Yes': -0.031170694, ' No': -3.6482475, 'Yes': -5.497971, 'No': -8.191871, ' The': -8.91472}
{' No': -0.07444303, 'No': -2.9634106, ' Yes': -4.002133, ' Not': -7.460795, 'Yes': -7.6933928}
{' No': -0.034849256, ' Yes': -3.880558, 'No': -4.341955, 'Yes': -8.624962, ' Not': -8.805874}
{' Yes': -0.39450744, ' No': -1.1473169, ' The': -5.907298, 'No': -5.9657903, 'Yes': -6.0604773}
{' Yes': -0.0076546026, 'Yes': -5.0651116, ' No': -7.0407505, ' The': -8.414068, ' yes': -9.18928}
{' No': -0.32204872, ' Yes': -1.3961569, 'No': -3.8182757, 'Yes': -5.6834774, '\n': -6.944918}
{' Yes': -0.022042478, ' No': -4.10588, 'Yes': -5.4580545, ' The': -7.6793394, 'No': -8.695357}
{' Yes': -0.0076936437, 'Yes': -5.0418177, ' No': -7.1225953, ' The': -9.062236, '\n': -9.205197}
{' Yes': -0.005793077, 'Yes': -5.2370343, ' yes': -8.615435, ' No': -9.298445, ' The': -9.843529}
{' No': -0.20015448, ' Yes': -1.727441, 'No': -5.9239397, 'Yes': -7.655217, ' The': -8.500786}
{' Yes': -0.005164025, 'Yes': -5.4952016, '\n': -7.714612, ' No': -8.320748, ' yes': -8.58952}
{' Yes': -0.010508866, 'Yes': -4.665668, ' No': -7.5645666, ' The': -8.568564, '\n': -8.868196}
{' Yes': -0.17511588, ' No': -1.8716643, 'Yes': -5.691889, 'No': -6.344155, '\n': -7.171517}
{' No': -0.16203308, ' Yes': -2.169159, 'No': -3.4632664, 'Yes': -6.410951, '\n': -6.9533253}
{' No': -0.657665, ' Yes': -0.76956344, 'No': -4.551904, 'Yes': -5.609205, '\n': -5.999564}
{' No': -0.016281925, 'No': -4.345856, ' Yes': -5.99199, '\n': -7.8944454, ' The': -9.0938}
{' Yes': -0.0036354188, 'Yes': -5.975824, ' The': -7.8805137, ' No': -8.151703, ' yes': -8.211052}
{' Yes': -0.020185867, ' No': -4.3446026, 'Yes': -5.2003617, ' The': -7.2701545, '\n': -8.158186}
{' Yes': -0.0080515, 'Yes': -4.847241, ' yes': -9.523269, '\n': -9.917485, ' The': -11.096455}
{' Yes': -0.010685188, 'Yes': -4.56608, ' yes': -9.334124, ' No': -9.440268, '\n': -10.851759}
{' Yes': -0.00552387, 'Yes': -5.2925396, ' The': -8.517794, ' yes': -9.323727, ' No': -9.3808155}
{' Yes': -0.009823389, 'Yes': -4.9057965, ' No': -6.500366, ' The': -7.498724, '\n': -9.18264}
{' No': -0.044200692, ' Yes': -3.322418, 'No': -5.014236, 'Yes': -8.78589, ' The': -8.951142}
{' No': -0.49485123, ' Yes': -0.9604389, 'No': -5.3829546, '\n': -6.8751225, 'Yes': -6.919985}
{' Yes': -0.0726635, ' No': -2.8470888, 'Yes': -4.6626425, 'No': -6.823613, '\n': -7.477658}
{' Yes': -0.035923548, ' No': -3.9529977, 'Yes': -4.2718644, '\n': -7.299134, 'No': -7.2993474}
{' No': -0.02270906, 'No': -3.864336, ' Yes': -6.816753, '\n': -9.238471, ' The': -9.248299}
{' No': -0.05221829, 'No': -2.998395, '\n': -7.7821717, ' The': -7.9727407, ' ': -9.176376}
{' Yes': -0.03664701, ' No': -3.5597792, 'Yes': -5.154748, '\n': -7.23869, ' The': -7.8485155}
{' No': -0.019391933, 'No': -4.027618, ' Yes': -7.291288, '\n': -7.80257, ' The': -9.188452}
{' Yes': -0.017674359, ' No': -4.689301, 'Yes': -5.0002866, ' The': -7.645592, ' yes': -7.717667}
{' Yes': -0.17231496, ' No': -1.8952248, 'Yes': -5.456712, 'No': -6.159039, '\n': -7.2007036}
{' Yes': -0.31297824, ' No': -1.3672863, 'Yes': -5.198955, 'No': -5.5800676, ' The': -5.79082}
{' Yes': -0.007766745, 'Yes': -5.3265567, ' No': -6.1738815, '\n': -8.419106, ' The': -8.642918}
{' Yes': -0.004973279, 'Yes': -5.478802, '\n': -8.324633, ' yes': -8.417423, ' "': -8.458828}
{' Yes': -0.012879857, 'Yes': -4.8768435, ' No': -5.4183283, '\n': -8.164409, ' yes': -8.788621}
{' No': -0.06671256, ' Yes': -3.26221, 'No': -3.8408194, '\n': -5.8143606, ' ': -7.4799857}
{' No': -0.22514676, ' Yes': -1.6733451, 'No': -4.584699, ' The': -6.6000643, 'Yes': -6.6827826}
{' Yes': -0.43394437, ' No': -1.0797744, 'No': -5.229249, 'Yes': -5.3948073, ' The': -6.8907995}
{' Yes': -0.11572749, ' No': -2.2843351, 'Yes': -5.3402166, 'No': -6.6001534, ' The': -7.1121693}
{' No': -0.29354092, ' Yes': -1.419937, 'No': -4.624916, 'Yes': -6.5415688, ' The': -7.08272}
{' Yes': -0.013562416, ' No': -4.9019785, 'Yes': -5.2668066, ' The': -8.07351, '\n': -8.614299}
{' Yes': -0.01779382, 'Yes': -4.1938667, ' No': -6.7718983, '\n': -6.9211636, ' yes': -8.486231}
{' Yes': -0.00642828, 'Yes': -5.2813897, ' No': -6.742436, ' yes': -9.925077, ' The': -10.070818}
{' Yes': -0.08128143, ' No': -2.6981409, 'Yes': -4.9084945, 'No': -6.5718017, '\n': -6.971786}
{' Yes': -0.03140131, ' No': -3.943535, 'Yes': -4.577702, 'No': -7.4635224, '\n': -8.044757}
{' Yes': -0.37773946, ' No': -1.1882272, 'Yes': -5.4215245, 'No': -5.469689, ' The': -7.6791215}
{' No': -0.027599704, 'No': -3.7980978, ' Yes': -5.5488224, ' The': -7.584824, '\n': -8.84939}
{' Yes': -0.5202554, ' No': -0.94868773, 'No': -4.73046, 'Yes': -5.366044, ' The': -5.9344473}
{' No': -0.045052867, 'No': -3.586938, ' Yes': -4.1766825, '\n': -8.164657, 'Yes': -8.44325}
{' Yes': -0.01666185, ' No': -4.4825296, 'Yes': -5.4137373, ' The': -8.48499, ' yes': -8.59736}
{' Yes': -0.006975347, 'Yes': -5.0764275, ' No': -8.082577, '\n': -8.661226, ' yes': -8.886442}
{' Yes': -0.010564524, 'Yes': -4.8473506, ' No': -6.9607477, '\n': -7.0246687, ' The': -7.99352}
{' Yes': -0.0075588673, 'Yes': -4.9431815, ' No': -9.012385, ' yes': -9.143973, ' The': -9.541175}
{' Yes': -0.010698321, ' No': -5.0217013, 'Yes': -5.7150574, ' The': -8.404295, '\n': -8.563004}
{' Yes': -0.33857074, ' No': -1.2679281, 'Yes': -6.112378, 'No': -6.2630486, ' The': -7.292104}
{' Yes': -0.014090128, 'Yes': -4.8037744, ' No': -5.390139, '\n': -7.4669437, ' The': -8.054204}
{' Yes': -0.0374148, ' No': -3.6622238, 'Yes': -4.6392155, '\n': -7.5693245, 'No': -7.697611}
{' Yes': -0.012354046, 'Yes': -4.48419, ' No': -7.866145, '\n': -8.414603, ' The': -8.565039}
{' Yes': -0.14671643, ' No': -2.0815709, 'Yes': -4.9487987, 'No': -6.096011, '\n': -6.6246676}
{' Yes': -0.0120849395, 'Yes': -4.589693, ' No': -6.6270895, ' yes': -8.764266, '\n': -9.0238085}
{' Yes': -0.015027606, 'Yes': -4.6052356, ' No': -5.5647635, '\n': -7.797862, ' The': -8.445195}
{' Yes': -0.5428676, ' No': -0.9092807, 'No': -5.2281322, '\n': -5.2846637, 'Yes': -5.4222946}
{' No': -0.025192458, ' Yes': -4.016536, 'No': -5.049433, ' The': -8.602375, 'Yes': -9.389908}
{' Yes': -0.021016043, 'Yes': -3.9629428, '\n': -6.60713, ' yes': -8.569302, ' ': -9.044196}
{' Yes': -0.008942856, 'Yes': -5.4606853, ' No': -5.6522374, ' "': -8.015657, '\n': -8.135638}
{' Yes': -0.10418824, ' No': -2.4211931, 'Yes': -4.952052, 'No': -6.391825, ' The': -7.1180043}
{' Yes': -0.06364473, ' No': -2.9500506, 'Yes': -4.940651, 'No': -6.9236774, ' The': -7.29452}
{' Yes': -0.021914463, ' No': -4.508258, 'Yes': -4.670497, ' The': -8.026795, ' yes': -8.164486}
{' Yes': -0.073915936, ' No': -2.7446215, 'Yes': -5.2647443, ' The': -7.2753105, 'No': -7.3054395}
{' Yes': -0.008613161, 'Yes': -4.8354044, ' The': -8.691323, '\n': -8.765376, ' No': -9.033505}
{' Yes': -0.010737484, 'Yes': -4.5766816, '\n': -9.191699, ' yes': -9.268935, ' No': -9.430104}
{' No': -0.5007237, ' Yes': -1.0233544, 'No': -4.1397257, '\n': -4.5029726, 'Yes': -5.2680235}
{' Yes': -0.013379785, ' No': -5.0289664, 'Yes': -5.1678863, ' The': -7.8205576, '\n': -8.033189}
{' Yes': -0.008966608, 'Yes': -4.8694725, ' No': -7.4522057, ' The': -7.8742404, '\n': -9.06488}
{' Yes': -0.023801312, ' No': -4.5138197, 'Yes': -4.537339, '\n': -7.336389, ' The': -7.617894}
{' Yes': -0.018808085, 'Yes': -4.460624, ' No': -5.199245, '\n': -7.4187727, ' The': -7.821899}
{' Yes': -0.117315926, ' No': -2.3022351, 'Yes': -4.9415135, 'No': -6.4167657, ' The': -7.03203}
{' Yes': -0.008095602, 'Yes': -4.98737, ' No': -7.1129265, '\n': -8.844006, ' yes': -8.885754}
{' Yes': -0.008556532, 'Yes': -4.896736, ' No': -7.2070084, ' yes': -8.699915, '\n': -10.055389}
{' Yes': -0.0037209692, 'Yes': -5.7062583, ' yes': -9.125842, ' No': -9.179258, ' The': -9.323415}
{' Yes': -0.011790573, 'Yes': -4.537511, ' No': -7.232644, '\n': -8.9652605, ' yes': -9.37374}
{' Yes': -0.19338357, ' No': -1.8054098, 'Yes': -5.0364695, ' The': -6.122725, 'No': -6.4019327}
{' No': -0.10898724, ' Yes': -2.9037373, 'No': -3.2546055, '\n': -5.3255796, 'Yes': -6.1200914}
{' Yes': -0.005459382, 'Yes': -5.285084, ' yes': -8.961855, ' The': -9.376112, ' "': -9.661608}
{' Yes': -0.007480196, 'Yes': -4.9299216, ' No': -9.461276, ' yes': -9.654841, '\n': -10.315711}
{' Yes': -0.007466565, 'Yes': -5.170863, ' No': -7.385337, '\n': -7.4141397, ' yes': -8.557843}
{' Yes': -0.013784898, 'Yes': -4.8901105, ' No': -5.900034, '\n': -6.0177155, ' "': -7.695587}
{' Yes': -0.46450064, ' No': -1.012953, 'Yes': -5.630314, 'No': -5.737875, ' The': -7.2734623}
{' No': -0.17648362, ' Yes': -1.9789413, 'No': -3.885687, 'Yes': -6.278437, ' The': -8.09004}
{' Yes': -0.10782277, ' No': -2.6141665, 'Yes': -4.249588, '\n': -4.56049, 'No': -6.110611}
{' Yes': -0.10212688, ' No': -2.498968, 'Yes': -4.8105984, ' The': -5.811146, '\n': -6.4130054}
{' Yes': -0.69505, ' No': -0.7168549, 'No': -5.1944604, 'Yes': -5.7885194, ' The': -6.48794}
{' Yes': -0.559138, ' No': -0.874745, 'No': -5.1283536, 'Yes': -5.4855103, '\n': -7.4763055}
{' Yes': -0.008174744, 'Yes': -4.912367, ' No': -7.7844496, ' yes': -8.469233, '\n': -9.855768}
{' Yes': -0.010885582, 'Yes': -4.952791, ' No': -6.0716324, ' "': -7.801968, '\n': -7.9936905}
{' Yes': -0.009410132, 'Yes': -4.7126875, ' No': -8.97549, ' yes': -9.193969, '\n': -9.353799}
{' Yes': -0.063289896, ' No': -3.0035684, 'Yes': -4.8712196, '\n': -6.311598, 'No': -6.8956795}
{' Yes': -0.040266123, ' No': -3.731392, 'Yes': -4.7705708, '\n': -5.186575, ' "': -7.457626}
{' Yes': -0.09692661, ' No': -2.6297157, 'Yes': -4.1301923, 'No': -5.8598447, '\n': -7.7548666}
{' Yes': -0.004769034, 'Yes': -5.46884, ' No': -8.083276, ' yes': -9.430645, ' The': -9.460773}
{' Yes': -0.016864538, 'Yes': -4.8324776, ' No': -5.1081557, '\n': -6.4625106, ' The': -7.70083}
{' Yes': -0.06583079, ' No': -2.9109747, 'Yes': -4.941706, 'No': -6.9637547, ' The': -7.610192}
{' Yes': -0.075804755, ' No': -2.7376223, 'Yes': -5.1473436, 'No': -7.00112, ' The': -7.054803}
{' Yes': -0.0059806793, 'Yes': -5.357585, ' No': -7.440291, '\n': -8.2954445, ' yes': -8.798917}
{' Yes': -0.00434564, 'Yes': -5.5699625, ' No': -8.588916, ' yes': -8.838432, '\n': -9.507044}
{' Yes': -0.007664272, 'Yes': -5.3746953, ' No': -6.8141847, ' The': -7.1659527, '\n': -7.469658}
{' Yes': -0.017487701, ' No': -4.4771605, 'Yes': -5.5673976, ' The': -6.597764, '\n': -8.289217}
{' Yes': -0.011971648, 'Yes': -5.0121756, ' No': -5.8166757, '\n': -6.3810563, ' The': -8.454606}
{' Yes': -0.0078685535, 'Yes': -4.879494, '\n': -9.099997, ' yes': -9.495234, ' ': -10.6859045}
{' No': -0.5682659, ' Yes': -0.85514456, 'No': -5.1848674, 'Yes': -6.301101, '\n': -8.122239}
{' Yes': -0.4008573, ' No': -1.1389499, 'No': -5.2638865, 'Yes': -5.525123, ' The': -7.4869456}
{' No': -0.28878546, ' Yes': -1.4393994, 'No': -4.5909534, 'Yes': -6.4413843, ' The': -7.027637}
{' Yes': -0.10464737, ' No': -2.3737113, 'Yes': -5.306525, 'No': -6.8908787, ' The': -8.817145}
{' Yes': -0.003864086, 'Yes': -5.5811915, ' yes': -9.829288, ' The': -11.101796, '\n': -11.641276}
{' Yes': -0.0034475331, 'Yes': -5.73186, ' No': -8.938663, ' yes': -10.007134, ' ': -11.78389}
{' Yes': -0.09814318, ' No': -2.4095504, 'Yes': -6.1408086, 'No': -7.54172, ' The': -7.5571537}
{' Yes': -0.0023376392, 'Yes': -6.160157, ' No': -9.496079, ' yes': -9.515784, ' The': -9.8834715}
{' Yes': -0.021141628, ' No': -4.163523, 'Yes': -5.292483, 'No': -8.584238, ' yes': -9.796267}
{' Yes': -0.14991167, ' No': -2.0053174, 'Yes': -5.725715, 'No': -6.868186, ' The': -8.500506}
{' Yes': -0.007389343, ' No': -5.4566426, 'Yes': -5.8296504, ' yes': -9.70603, 'No': -10.278582}
{' Yes': -0.010428276, ' No': -5.2652802, 'Yes': -5.3506613, ' The': -8.339847, ' yes': -9.320721}
{' Yes': -0.0055000787, 'Yes': -5.350827, ' No': -7.3834352, ' The': -9.871783, ' yes': -10.085347}
{' Yes': -0.004446876, 'Yes': -5.651421, ' No': -7.226699, ' The': -9.298246, ' yes': -9.600104}
{' Yes': -0.0031427245, 'Yes': -5.9141703, ' No': -8.791425, ' yes': -9.176061, ' "': -9.535121}
{' Yes': -0.679397, ' No': -0.71658266, 'No': -6.0340075, 'Yes': -6.9187503, ' The': -7.237975}
{' Yes': -0.017045617, ' No': -4.2989936, 'Yes': -5.8515124, ' yes': -8.621893, 'No': -9.013361}
{' Yes': -0.1739789, ' No': -1.8549159, 'Yes': -6.2637806, 'No': -7.032848, ' The': -8.476025}
{' Yes': -0.022414966, ' No': -3.9934897, 'Yes': -5.8850245, ' The': -7.72898, 'No': -8.658782}
{' No': -0.26385844, ' Yes': -1.4966005, 'No': -5.080486, 'Yes': -7.2355685, ' The': -7.2637744}
{' Yes': -0.0031138442, 'Yes': -6.2987375, ' No': -6.866841, ' yes': -9.487284, '\n': -9.4987955}
{' Yes': -0.0032998135, 'Yes': -5.9409823, ' No': -7.4861865, ' yes': -9.99501, ' The': -10.735437}
{' Yes': -0.0049090055, 'Yes': -5.3449774, ' yes': -9.799453, ' No': -10.074225, '\n': -11.542317}
{' Yes': -0.13517766, ' No': -2.1092587, 'Yes': -5.635027, 'No': -6.768272, ' The': -8.208564}
{' Yes': -0.024597524, ' No': -3.9111524, 'Yes': -5.7035885, ' The': -7.7426734, '\n': -8.468529}
{' Yes': -0.5416123, ' No': -0.8982694, 'No': -5.3692794, 'Yes': -5.784419, ' The': -5.96528}
{' Yes': -0.014687012, ' No': -4.4404855, 'Yes': -5.9805527, 'No': -9.399845, ' yes': -9.650759}
{' Yes': -0.20966652, ' No': -1.6954817, 'Yes': -5.7708483, 'No': -6.302207, ' The': -8.158107}
{' Yes': -0.009465065, ' No': -4.94872, 'Yes': -6.278624, ' The': -8.404314, ' yes': -8.844605}
{' No': -0.4248356, ' Yes': -1.0781845, 'No': -5.5992775, 'Yes': -6.940891, ' The': -7.242727}
{' Yes': -0.2801225, ' No': -1.4563617, 'Yes': -5.241668, 'No': -5.517162, '\n': -6.8386703}
{' No': -0.025822608, ' Yes': -4.0948453, 'No': -4.7670655, 'Yes': -9.318588, ' The': -9.341406}
{' Yes': -0.004072575, 'Yes': -5.5545597, ' No': -9.314893, ' yes': -9.768856, ' The': -10.838024}
{' Yes': -0.16744149, ' No': -1.8984213, 'Yes': -5.8799615, 'No': -6.7485914, ' The': -8.504397}
{' Yes': -0.010676454, ' No': -5.124072, 'Yes': -5.4434214, ' yes': -9.243894, ' The': -9.36896}
{' No': -0.039190277, ' Yes': -3.5651147, 'No': -4.637577, 'Yes': -8.819334, ' The': -8.93358}
{' Yes': -0.044702444, ' No': -3.218332, 'Yes': -5.7313795, 'No': -8.183202, ' yes': -9.846683}
{' Yes': -0.0055636093, 'Yes': -5.203075, ' yes': -10.393257, ' No': -12.304965, ' The': -12.585648}
{' Yes': -0.00479311, 'Yes': -5.497516, ' No': -7.6414375, ' The': -9.142757, ' yes': -9.688474}
{' No': -0.027324138, ' Yes': -3.9659245, 'No': -4.945483, ' The': -8.052117, ' Not': -8.1325865}
{' Yes': -0.007933979, ' No': -5.228324, 'Yes': -6.0246134, ' yes': -10.109601, 'No': -10.362119}
{' Yes': -0.0028243188, 'Yes': -5.8974586, ' yes': -10.449254, ' The': -10.77912, ' No': -11.216011}
{' Yes': -0.0108320145, ' No': -4.8968124, 'Yes': -5.774511, ' The': -9.863382, 'No': -10.159454}
{' Yes': -0.0031649687, 'Yes': -5.840904, ' No': -9.405165, ' The': -9.436075, ' yes': -9.580681}
{' Yes': -0.01473274, ' No': -4.481285, 'Yes': -5.8156857, ' The': -8.968746, 'No': -9.350779}
{' No': -0.17075722, ' Yes': -1.9153805, 'No': -4.789844, 'Yes': -7.334997, ' The': -8.163349}
{' Yes': -0.0069584223, 'Yes': -5.589512, ' No': -5.8222656, ' yes': -9.305727, '\n': -9.754015}
{' Yes': -0.09091806, ' No': -2.5023942, 'Yes': -5.585177, 'No': -7.046276, ' The': -8.713757}
{' Yes': -0.16568263, ' No': -1.9019897, 'Yes': -6.3118973, ' The': -7.4123707, 'No': -7.4618382}
{' Yes': -0.17641242, ' No': -1.8497142, 'Yes': -5.7482233, 'No': -7.167688, ' The': -7.9358726}
{' Yes': -0.0057523116, 'Yes': -5.428006, ' No': -6.827974, ' yes': -9.240753, ' The': -9.344705}
{' Yes': -0.10075591, ' No': -2.381613, 'Yes': -6.0903034, 'No': -7.585356, ' The': -8.05784}
{' Yes': -0.46839026, ' No': -0.99941516, 'Yes': -6.122374, 'No': -6.3505754, ' The': -6.948828}
{' Yes': -0.13390371, ' No': -2.101107, 'Yes': -6.215088, 'No': -7.7308908, ' The': -8.174507}
{' No': -0.04177337, ' Yes': -3.396374, 'No': -4.960627, 'Yes': -8.99769, ' ': -9.495419}
{' No': -0.07965232, ' Yes': -2.6783862, 'No': -4.9484515, ' The': -8.015996, 'Yes': -8.098215}
{' Yes': -0.10759514, ' No': -2.334545, 'Yes': -5.909662, ' The': -6.792772, 'No': -7.166925}
{' Yes': -0.10898478, ' No': -2.3011863, 'Yes': -6.247248, ' The': -7.3682847, 'No': -7.728234}
{' Yes': -0.005121908, ' No': -5.7325025, 'Yes': -6.354296, ' yes': -9.834275, ' The': -10.611698}
{' Yes': -0.0078572, ' No': -5.2588925, 'Yes': -6.047051, '\n': -9.485386, ' yes': -9.61802}
{' Yes': -0.055754323, ' No': -2.9765916, 'Yes': -6.01342, 'No': -7.9210835, ' The': -8.528357}
{' No': -0.08609739, ' Yes': -2.612739, 'No': -4.7843604, 'Yes': -8.041343, ' The': -8.304909}
{' Yes': -0.111331895, ' No': -2.2827206, 'Yes': -5.9633346, 'No': -7.395439, ' The': -10.046016}
{' Yes': -0.0024940653, 'Yes': -6.119292, ' No': -8.655108, ' yes': -9.914962, ' The': -10.028959}
{' Yes': -0.034520783, ' No': -3.4348083, 'Yes': -6.6638503, ' The': -8.553718, 'No': -9.212284}
{' Yes': -0.1972654, ' No': -1.7514036, 'Yes': -5.7136436, 'No': -6.605413, ' The': -7.7716327}
{' Yes': -0.4952439, ' No': -0.95277876, 'No': -5.9582863, 'Yes': -6.391854, ' The': -8.128073}
{' Yes': -0.11808029, ' No': -2.2323227, 'Yes': -5.9620643, 'No': -7.311359, ' The': -7.7486954}
{' Yes': -0.0038391347, 'Yes': -6.2186384, ' No': -6.345784, ' yes': -10.062463, ' The': -10.879518}
{' No': -0.40584007, ' Yes': -1.1180917, 'No': -5.2759304, 'Yes': -6.7696915, ' The': -8.196097}
{' Yes': -0.004208857, 'Yes': -5.6122336, ' No': -8.441653, ' The': -8.836541, ' yes': -9.410455}
{' Yes': -0.0036543233, 'Yes': -5.7895236, ' No': -8.094625, ' yes': -9.269388, ' The': -9.311211}
{' No': -0.3147889, ' Yes': -1.3434142, 'No': -4.8901954, 'Yes': -6.6994624, ' The': -8.736165}
{' Yes': -0.005110285, 'Yes': -5.3384995, ' No': -8.658861, ' yes': -9.735268, ' The': -10.646761}
{' No': -0.4094824, ' Yes': -1.1100916, 'No': -5.4699526, 'Yes': -7.07368, ' The': -7.450909}
{' No': -0.21144868, ' Yes': -1.7189903, 'No': -4.704185, 'Yes': -6.99937, ' The': -7.710226}
{' No': -0.5311208, ' Yes': -0.9162621, 'No': -4.8041134, 'Yes': -5.9166336, '\n': -8.022457}
{' Yes': -0.41444004, ' No': -1.111307, 'No': -5.34149, 'Yes': -5.455847, ' The': -7.5561686}
{' Yes': -0.15908813, ' No': -1.9446012, 'Yes': -6.108398, 'No': -6.923328, ' The': -7.5446258}
{' Yes': -0.04338977, ' No': -3.2471628, 'Yes': -5.9288473, ' The': -7.794847, 'No': -7.9507747}
