{' No': -0.4067778, ' Yes': -1.1102976, 'No': -5.860507, 'Yes': -6.994649, ' Not': -7.4909906}
{' Yes': -0.005591241, 'Yes': -5.442225, ' No': -6.763577, ' yes': -10.095263, ' The': -10.625941}
{' Yes': -0.014593503, 'Yes': -4.530474, ' No': -5.657789, 'No': -9.452564, ' yes': -10.041744}
{' Yes': -0.07821325, ' No': -2.6639352, 'Yes': -5.362967, 'No': -7.4107537, ' The': -9.578077}
{' No': -0.18531905, ' Yes': -1.7990409, 'No': -5.833926, 'Yes': -7.7342267, ' The': -8.964152}
{' No': -0.17050463, ' Yes': -1.8920585, 'No': -5.3399816, 'Yes': -7.473439, ' The': -8.131381}
{' Yes': -0.04082787, ' No': -3.4280522, 'Yes': -4.9465895, 'No': -8.168372, ' The': -9.3254385}
{' Yes': -0.005872036, 'Yes': -5.1649427, ' No': -9.352998, ' yes': -10.708379, ' The': -11.108877}
{' No': -0.07653462, ' Yes': -2.8498688, 'No': -4.20718, 'Yes': -7.535799, ' Not': -8.97665}
{' No': -0.10425096, ' Yes': -2.4065084, 'No': -4.817637, 'Yes': -7.6154623, ' The': -9.194737}
{' Yes': -0.06088375, ' No': -2.9598458, 'Yes': -5.5679903, ' Shirt': -5.905465, 'No': -7.536736}
{' Yes': -0.0055697807, 'Yes': -5.724853, ' No': -6.120144, ' yes': -10.141841, 'No': -11.134032}
{' No': -0.020018991, ' Yes': -4.5871177, 'No': -4.665538, 'Yes': -8.769771, ' The': -11.015319}
{' Yes': -0.27821967, ' No': -1.4476019, 'Yes': -5.1355977, 'No': -6.434763, ' The': -8.92473}
{' Yes': -0.037954144, ' No': -3.4150999, 'Yes': -5.600284, ' The': -8.172896, 'No': -8.467681}
{' No': -0.020687152, 'No': -3.9115505, ' Yes': -7.774988, ' ': -10.897285, '\n': -11.976574}
{' Yes': -0.16118866, ' No': -2.003529, 'Yes': -4.4346776, 'No': -6.4341893, ' The': -8.107344}
{' No': -0.07181735, ' Yes': -2.7652988, 'No': -5.1748104, 'Yes': -7.843745, ' The': -8.994978}
{' Yes': -0.111714326, ' No': -2.378272, 'Yes': -4.524958, 'No': -6.448851, ' The': -8.104398}
{' Yes': -0.2293916, ' No': -1.6201825, 'Yes': -5.3298573, 'No': -6.515204, ' The': -7.747067}
{' Yes': -0.58154136, ' No': -0.83245873, 'No': -5.749434, 'Yes': -6.041567, ' The': -8.50601}
{' No': -0.02860544, ' Yes': -4.2069063, 'No': -4.351493, ' The': -8.497194, 'Yes': -9.20891}
{' Yes': -0.18022169, ' No': -1.8301793, 'Yes': -5.6333003, 'No': -7.122375, ' The': -9.645191}
{' Yes': -0.059695814, ' No': -2.96985, 'Yes': -5.1023016, 'No': -7.7561145, ' yes': -9.712543}
{' No': -0.01985202, 'No': -4.61747, ' Yes': -4.6446514, 'Yes': -9.438947, ' ': -9.817373}
{' Yes': -0.033906892, ' No': -3.5433674, 'Yes': -5.547916, ' The': -8.371652, 'No': -8.591867}
{' Yes': -0.0067725554, 'Yes': -5.142417, ' No': -7.0541067, ' yes': -10.925235, 'No': -11.695917}
{' Yes': -0.049104385, ' Women': -3.4025779, 'Yes': -4.5977564, ' No': -5.662805, 'Women': -7.608823}
{' No': -0.10693426, ' Yes': -2.9531333, 'No': -3.1022308, 'Yes': -6.0765195, '\n': -7.840511}
{' Yes': -0.14367703, ' No': -2.052254, 'Yes': -5.4652596, 'No': -7.168085, ' The': -8.63483}
{' No': -0.042340193, ' Yes': -3.3756664, 'No': -5.008942, ' Unfortunately': -8.363584, 'Yes': -8.715299}
{' Yes': -0.28464046, ' No': -1.4117271, 'Yes': -6.0641375, 'No': -6.920436, ' The': -7.923009}
{' No': -0.05107879, ' Yes': -3.1295965, 'No': -5.162266, 'Yes': -8.594265, ' ': -9.751274}
{' No': -0.05951993, ' Yes': -3.0612535, 'No': -4.5689154, 'Yes': -7.7833905, ' The': -9.784928}
{' Yes': -0.0052555776, 'Yes': -5.486943, ' No': -6.963383, ' The': -9.676009, ' yes': -10.258238}
{' Yes': -0.0052494076, 'Yes': -5.315573, ' No': -8.374084, ' yes': -10.032017, ' The': -10.806833}
{' Yes': -0.16093056, ' No': -1.9490621, 'Yes': -5.3459277, 'No': -6.65009, '\n': -9.762618}
{' Yes': -0.045561034, ' No': -3.2096236, 'Yes': -5.6187344, 'No': -8.121305, ' The': -9.178379}
{' No': -0.0105987415, 'No': -4.940496, ' Yes': -5.8894553, ' Not': -7.712308, ' Unfortunately': -10.138797}
{' No': -0.014288364, 'No': -4.328818, ' Yes': -7.141251, ' ': -9.684984, ' Unfortunately': -9.771658}
{' Yes': -0.38820222, ' No': -1.1742913, 'Yes': -4.97121, 'No': -5.1990333, ' ': -9.664887}
{' No': -0.22179574, ' Yes': -1.6487463, 'No': -5.2647643, 'Yes': -7.037203, ' The': -8.389551}
{' No': -0.14793019, ' Yes': -2.0667953, 'No': -4.650568, 'Yes': -6.8812504, ' Not': -8.939913}
{' Yes': -0.40351033, ' No': -1.118604, 'Yes': -5.9589415, 'No': -6.2803774, ' The': -7.760571}
{' No': -0.42523494, ' Yes': -1.0837489, 'No': -5.3851233, 'Yes': -5.9392285, ' Unfortunately': -7.8572035}
{' No': -0.10065967, ' Yes': -2.434087, 'No': -5.095325, ' Unfortunately': -7.30882, 'Yes': -7.5809965}
{' No': -0.03364228, 'No': -3.4132943, ' Yes': -8.975985, ' ': -11.113617, 'Yes': -12.332762}
{' No': -0.01553266, 'No': -4.440572, ' Yes': -5.686475, ' The': -9.628062, ' ': -9.978236}
{' Yes': -0.010222371, ' No': -5.063409, 'Yes': -5.6333795, ' yes': -9.349816, ' The': -9.582736}
{' Yes': -0.51580334, ' No': -0.91532034, 'Yes': -6.9013543, 'No': -7.1416936, ' The': -8.3818}
{' No': -0.013650871, ' Yes': -4.572265, 'No': -5.804195, ' Not': -9.446941, ' The': -9.840066}
{' Yes': -0.08419302, ' No': -2.5447795, 'Yes': -6.3716135, 'No': -8.1812315, ' The': -9.063225}
{' No': -0.029174414, 'No': -4.20016, ' Yes': -4.314973, 'Yes': -8.898266, ' ': -9.25961}
{' No': -0.14840466, ' Yes': -2.0167193, 'No': -5.547488, 'Yes': -7.5011706, ' Not': -8.998188}
{' No': -0.4858982, ' Yes': -0.9837601, 'No': -4.978971, 'Yes': -5.910943, ' Unfortunately': -6.952494}
{' No': -0.45324954, ' Yes': -1.0437741, 'No': -4.7125874, 'Yes': -5.8570294, ' The': -8.688797}
{' No': -0.016457025, 'No': -4.701378, ' Yes': -4.9502754, 'Yes': -10.019863, ' The': -10.097717}
{' No': -0.32174128, ' Yes': -1.4011308, 'No': -4.234789, ' Pound': -4.7362823, 'Yes': -5.937063}
{' No': -0.03841852, ' Yes': -3.6217124, 'No': -4.584658, ' Not': -8.175158, ' Unfortunately': -8.507008}
{' No': -0.16713077, ' Yes': -1.9987042, 'No': -4.106015, 'Yes': -6.45588, ' Not': -8.5213785}
{' Yes': -0.026063439, ' No': -3.8798633, 'Yes': -5.399051, ' The': -8.649943, 'No': -8.738076}
{' Yes': -0.012149917, ' No': -4.821066, 'Yes': -5.5809765, ' The': -9.242058, 'No': -9.896812}
{' Yes': -0.006960883, 'Yes': -5.0806665, ' No': -7.7254286, ' yes': -9.011411, ' E': -9.875714}
{' No': -0.0880128, 'No': -2.4834576, ' Yes': -7.902963, ' Nope': -8.677669, '\n': -9.620923}
{' Yes': -0.18581274, ' No': -1.8027903, 'Yes': -5.6974735, 'No': -7.1774864, ' The': -7.882603}
{' No': -0.66236234, ' Yes': -0.7442754, 'No': -5.329004, 'Yes': -5.576164, ' The': -7.8144712}
{' No': -0.1835875, ' Yes': -1.8360455, 'No': -4.9199176, 'Yes': -7.1792345, ' The': -9.87536}
{' No': -0.13458756, ' Yes': -2.1574967, 'No': -4.710738, 'Yes': -7.239915, ' The': -8.149688}
{' No': -0.01663791, ' Yes': -4.4913764, 'No': -5.267654, 'Yes': -9.922678, ' Not': -10.376343}
{' No': -0.2215871, ' Yes': -1.6443394, 'No': -5.4502344, 'Yes': -7.217234, ' The': -8.013659}
{' No': -0.11824846, ' Still': -3.0572722, ' Yes': -3.0912573, 'No': -4.0682836, 'Yes': -7.194165}
{' Yes': -0.60520077, ' No': -0.8004942, 'No': -6.075501, 'Yes': -6.2790775, ' The': -8.215738}
{' Yes': -0.04176442, ' No': -3.5229197, 'Yes': -4.5542364, 'No': -7.2159095, '\n': -9.95431}
{' Yes': -0.040919825, ' No': -3.4391534, 'Yes': -4.891237, 'No': -7.7652617, ' yes': -10.5243845}
{' Yes': -0.055817787, ' No': -3.2796144, 'Yes': -4.4738073, ' Purs': -5.639312, 'No': -7.2833695}
{' No': -0.35628808, ' Yes': -1.2260696, 'No': -5.5954537, 'Yes': -6.433993, ' The': -7.5676026}
{' No': -0.010498024, 'No': -4.6573277, ' Yes': -7.0639668, ' ': -10.219585, ' Unfortunately': -11.130349}
{' No': -0.010713624, 'No': -4.7209697, ' Yes': -6.471767, ' Not': -9.464573, ' ': -9.925941}
{' No': -0.09125533, ' Yes': -2.5838416, 'No': -4.577368, 'Yes': -7.4054217, ' The': -8.071651}
{' No': -0.15203357, ' Yes': -2.0073953, 'No': -5.19867, 'Yes': -7.259445, ' The': -8.145912}
{' No': -0.019983236, 'No': -3.9691029, ' Yes': -7.4855633, ' ': -9.053072, ' The': -9.478548}
{' No': -0.017995704, 'No': -4.0540085, ' Yes': -8.224865, ' Unfortunately': -9.72622, ' ': -9.791796}
{' No': -0.88171965, ' False': -1.3823073, 'No': -1.4413261, ' Un': -3.2375546, 'False': -3.2938666}
{' No': -0.014832308, ' Yes': -4.719521, 'No': -5.182061, 'Yes': -9.78054, ' The': -10.059433}
{' Yes': -0.02655782, ' No': -3.9301298, 'Yes': -5.099144, 'No': -8.2238035, ' The': -9.518089}
{' Yes': -0.04083743, ' No': -3.3442261, 'Yes': -5.502763, 'No': -8.253056, ' The': -8.265592}
{' No': -0.079085246, ' Yes': -2.7234313, 'No': -4.792805, 'Yes': -7.270642, ' ': -7.970584}
{' Yes': -0.44478768, ' No': -1.0630128, 'Yes': -4.807819, 'No': -5.3363833, ' Not': -8.318029}
{' Yes': -0.0111965, 'Yes': -4.510538, ' yes': -9.7194195, ' ': -10.209159, '\n': -11.222568}
{' Yes': -0.20875345, ' No': -1.7440375, 'Yes': -4.7841396, 'No': -5.6280346, ' ': -7.4755116}
{' Yes': -0.3018293, ' No': -1.364255, 'Yes': -5.8996735, 'No': -6.5176067, ' The': -8.402741}
{' No': -0.047637716, ' Yes': -3.263399, 'No': -4.8586555, 'Yes': -8.524342, ' ': -9.085491}
{' Yes': -0.09348827, ' No': -2.7531333, 'Yes': -3.871133, 'No': -5.967222, ' ': -7.3955135}
{' Yes': -0.2076342, ' No': -1.7218208, 'Yes': -4.9873257, 'No': -6.499107, ' ': -9.03827}
{' No': -0.5473255, ' Yes': -0.88133645, 'No': -5.3021874, 'Yes': -6.2509823, ' The': -8.709974}
{' Yes': -0.13372737, ' No': -2.1021357, 'Yes': -6.1270833, 'No': -7.492333, ' The': -9.148328}
{' No': -0.5657872, ' Yes': -0.9452008, 'No': -3.5508966, 'Yes': -4.2393064, ' Not': -8.870437}
{' Yes': -0.055767618, ' No': -3.0053523, 'Yes': -5.75613, ' Unfortunately': -7.6625843, ' The': -7.801691}
{' Yes': -0.39349678, ' No': -1.1443933, 'Yes': -5.494878, 'No': -6.039384, '\n': -8.988786}
{' Yes': -0.5860206, ' No': -0.8264647, 'Yes': -5.833283, 'No': -5.907073, '\n': -9.348533}
{' No': -0.009132435, 'No': -4.9677105, ' Yes': -6.1829886, ' The': -10.506226, 'Yes': -11.145036}
{' No': -0.011597355, 'No': -4.551804, ' Yes': -7.1125913, ' The': -9.695942, ' ': -10.265198}
{' No': -0.033449728, 'No': -3.426985, ' Yes': -8.356595, ' ': -9.538652, ' The': -10.56827}
{' Yes': -0.10334822, ' No': -2.3997424, 'Yes': -5.152983, 'No': -6.9725876, ' The': -7.610367}
{' No': -0.034567554, 'No': -3.4759219, ' Yes': -5.9177194, 'Yes': -9.180735, '\n': -9.655082}
{' Yes': -0.44097912, ' No': -1.0512143, 'Yes': -5.6340804, 'No': -5.9174, ' The': -8.130232}
{' Yes': -0.0078132395, ' No': -5.4929967, 'Yes': -5.6434193, ' The': -9.872938, ' yes': -10.286045}
{' Yes': -0.010444658, 'Yes': -4.649704, ' No': -7.1898246, ' yes': -10.532152, ' ': -11.369983}
{' Yes': -0.09915836, ' No': -2.3856401, 'Yes': -6.311223, 'No': -8.121959, ' The': -8.9515915}
{' No': -0.3553483, ' Yes': -1.2247655, 'No': -5.5744314, 'Yes': -6.994844, ' The': -8.366696}
{' Yes': -0.02124506, 'Yes': -4.3089647, ' No': -4.92439, 'No': -8.9505, ' The': -9.810756}
{' Yes': -0.012103038, 'Yes': -4.438561, ' No': -8.892476, ' yes': -10.2164545, ' ': -11.071889}
{' Yes': -0.51982695, ' No': -0.9411908, 'Yes': -5.1962337, ' Grass': -5.3049717, 'No': -5.4945564}
{' No': -0.27078915, ' Yes': -1.499957, 'No': -4.535685, 'Yes': -5.775986, ' ': -8.940082}
{' Yes': -0.038758814, ' No': -3.3672001, 'Yes': -5.816644, ' The': -8.458127, 'No': -8.669625}
{' No': -0.2823984, ' Yes': -1.4236509, 'No': -5.6151714, 'Yes': -7.093029, ' The': -8.436291}
{' No': -0.03405137, ' Yes': -3.7937503, 'No': -4.791213, ' Unfortunately': -6.1855044, ' Not': -8.238655}
{' No': -0.041822284, ' Yes': -3.8669696, 'No': -3.9382207, 'Yes': -7.9479055, ' ': -9.264037}
{' No': -0.010623498, 'No': -4.6036043, ' Yes': -8.132039, ' Not': -8.868511, ' ': -10.347493}
{' No': -0.2436665, ' Yes': -1.5709962, 'No': -5.0615454, 'Yes': -6.476401, ' Not': -8.686855}
{' No': -0.4319598, ' Yes': -1.0617912, 'No': -5.8115335, 'Yes': -6.4692883, ' The': -8.38297}
{' No': -0.54985845, ' Yes': -0.867537, 'No': -6.4601307, 'Yes': -6.8964634, ' The': -8.230457}
{' No': -0.072174706, ' Yes': -2.7101429, 'No': -5.886765, 'Yes': -8.269073, ' ': -10.809768}
{' Yes': -0.0143008195, ' No': -4.6309576, 'Yes': -5.4601336, ' yes': -9.723044, 'No': -9.97342}
{' No': -0.019035691, ' Yes': -4.202238, 'No': -5.6541076, ' The': -8.957478, ' Not': -9.526722}
{' No': -0.13730389, ' Yes': -2.127641, 'No': -4.8966804, 'Yes': -6.7152553, ' The': -8.266035}
{' Yes': -0.19160978, ' No': -1.796285, 'Yes': -5.0793123, 'No': -6.280879, ' The': -8.6279955}
{' Yes': -0.05337574, ' No': -3.0044634, 'Yes': -6.522133, ' The': -7.2987022, 'No': -9.25252}
{' Yes': -0.006972827, 'Yes': -5.022786, ' No': -8.282472, ' The': -10.05936, ' yes': -10.491151}
{' Yes': -0.45036677, ' No': -1.0258977, 'Yes': -6.233993, 'No': -6.5233088, ' The': -7.5114317}
{' Yes': -0.14417231, ' Rough': -2.4310584, ' No': -3.1754148, 'Yes': -5.5846663, 'No': -8.1177225}
{' No': -0.087454304, 'No': -2.7801957, ' Yes': -3.8935397, 'Yes': -6.9338627, ' Rough': -8.926699}
{' No': -0.6733488, ' Yes': -0.7648289, 'No': -4.1989145, 'Yes': -4.710487, ' The': -8.997527}
{' No': -0.24706243, ' Yes': -1.5770088, 'No': -4.660604, 'Yes': -5.9425697, ' The': -9.420019}
{' Yes': -0.06793559, ' No': -2.8513978, 'Yes': -4.963962, 'No': -7.7006774, ' The': -8.300029}
{' No': -0.15951674, ' Yes': -1.9601473, 'No': -5.1968913, 'Yes': -7.0602927, ' The': -9.0599375}
{' No': -0.5159015, ' Yes': -0.9218215, 'Yes': -6.360424, 'No': -6.400354, ' The': -6.4982643}
{' No': -0.41102323, ' Yes': -1.101285, 'No': -6.1605215, 'Yes': -6.3819375, ' The': -7.615672}
{' Yes': -0.0074311956, 'Yes': -5.064808, ' No': -6.9747825, ' The': -9.441474, ' yes': -10.52106}
{' Yes': -0.0045424933, 'Yes': -5.6032662, ' No': -7.7076592, ' The': -8.166869, ' yes': -9.97823}
{' Yes': -0.011265941, ' No': -4.839965, 'Yes': -5.824864, ' The': -8.90637, ' yes': -9.589238}
{' Yes': -0.031613834, ' No': -3.691917, 'Yes': -5.174751, 'No': -8.315625, ' The': -8.955493}
{' No': -0.18348905, ' Yes': -1.8087695, 'No': -5.8394737, 'Yes': -7.496441, ' The': -9.092045}
{' Yes': -0.19793014, ' No': -1.7405403, 'Yes': -5.737314, 'No': -7.176054, ' The': -9.819561}
{' Yes': -0.02859747, ' No': -3.7468421, 'Yes': -5.6169114, ' The': -7.164076, 'No': -9.560387}
{' No': -0.683365, ' Yes': -0.73473567, 'No': -4.940325, 'Yes': -5.00667, ' The': -6.711162}
{' No': -0.6173505, ' Yes': -0.8370867, 'No': -4.1597795, 'Yes': -4.8381586, ' Sy': -5.7641573}
{' Yes': -0.42870104, ' No': -1.0781208, 'Yes': -5.3379793, 'No': -6.126209, ' The': -7.0973334}
{' Yes': -0.003127417, 'Yes': -5.828695, ' No': -9.08887, ' yes': -10.18987, ' The': -10.975539}
{' Yes': -0.004121592, 'Yes': -6.001051, ' No': -6.487198, ' yes': -9.698441, ' The': -10.783056}
{' No': -0.2224006, ' Yes': -1.66588, 'No': -4.7296977, 'Yes': -6.5932536, ' ': -9.682611}
{' Yes': -0.40446585, ' No': -1.1146824, 'Yes': -6.0177755, 'No': -6.272973, ' ': -9.227311}
{' Yes': -0.017541323, ' No': -4.4827414, 'Yes': -5.1353617, 'No': -8.814628, ' yes': -10.916656}
{' No': -0.273874, ' Yes': -1.494743, 'No': -4.3548846, 'Yes': -6.1362567, ' The': -9.516589}
{' No': -0.13921095, ' Yes': -2.231456, 'No': -3.8535492, 'Yes': -6.722072, ' The': -9.807522}
{' Yes': -0.5344782, ' No': -0.9189806, 'No': -4.754496, 'Yes': -5.168298, ' The': -7.664639}
{' Yes': -0.28302532, ' No': -1.4137818, 'Yes': -6.2677736, 'No': -6.8755255, ' The': -8.534745}
{' Yes': -0.5488447, ' No': -0.87497085, 'No': -5.9281664, 'Yes': -6.1277914, ' The': -7.897965}
{' Yes': -0.10451873, ' No': -2.3373907, 'Yes': -6.1905894, 'No': -8.082659, ' The': -9.061698}
{' Yes': -0.18748239, ' No': -1.774013, 'Yes': -7.1894617, 'No': -8.42517, ' The': -9.184535}
{' Yes': -0.0118863555, 'Yes': -4.692804, ' No': -6.132293, ' The': -8.553071, ' Heart': -9.20715}
{' Yes': -0.01976648, ' No': -4.644963, 'Yes': -4.8608785, ' Heart': -6.6990585, ' The': -7.579983}
{' Yes': -0.051560223, ' No': -3.1003578, 'Yes': -5.372636, 'No': -7.8843694, ' The': -9.106492}
{' Yes': -0.004958121, 'Yes': -5.372433, ' No': -8.232827, ' yes': -11.3300495, ' The': -11.69319}
{' No': -0.09928157, ' Yes': -2.42264, 'No': -5.3264103, 'Yes': -7.956619, ' Not': -8.268122}
{' Yes': -0.48538712, ' No': -0.975137, 'No': -5.84833, 'Yes': -5.8893857, ' The': -7.0149865}
{' No': -0.24863705, ' Yes': -1.561341, 'No': -4.89424, 'Yes': -6.495597, ' Not': -6.8502035}
{' No': -0.020641698, 'No': -3.9520226, ' Yes': -7.1960716, ' Not': -7.813803, ' ': -10.904211}
{' Yes': -0.0036868663, 'Yes': -5.6976337, ' No': -8.782269, ' The': -9.018873, ' yes': -10.344902}
{' Yes': -0.0029539154, 'Yes': -5.868039, ' No': -9.523797, ' yes': -10.465993, ' The': -11.617343}
{' Yes': -0.020870572, ' No': -4.022446, 'Yes': -5.9924393, ' ': -9.258614, 'No': -9.5484085}
{' Yes': -0.68255067, ' No': -0.71034646, 'No': -6.3836226, 'Yes': -6.6781507, ' The': -9.265883}
{' Yes': -0.080624335, ' No': -2.5922554, 'Yes': -6.160435, 'No': -8.235308, ' The': -9.054756}
{' No': -0.027583038, ' Yes': -3.8194566, 'No': -5.284026, 'Yes': -9.387602, ' ': -10.179981}
{' No': -0.1598042, ' Yes': -1.9837139, 'No': -4.75853, 'Yes': -7.1692495, ' The': -7.946517}
{' Yes': -0.50310326, ' No': -0.94211006, 'Yes': -6.0242977, 'No': -6.1096015, ' The': -7.638429}
{' Yes': -0.009118538, 'Yes': -5.1956396, ' No': -5.692136, ' The': -9.299874, ' yes': -10.537717}
{' Yes': -0.006949179, ' No': -5.650004, 'Yes': -5.715401, ' The': -9.953062, ' yes': -10.549208}
{' Yes': -0.12174825, ' No': -2.1944847, 'Yes': -6.080787, 'No': -7.6710315, ' The': -8.250181}
{' Yes': -0.08474932, ' No': -2.54554, 'Yes': -6.1086707, 'No': -7.952062, ' The': -8.793199}
{' Yes': -0.0036178904, 'Yes': -6.2617474, ' Uncle': -6.7104187, ' No': -8.196339, ' ': -9.043696}
{' No': -0.08458701, ' Yes': -2.55735, 'No': -5.7283645, 'Yes': -8.523773, ' ': -9.530668}
{' No': -0.051716447, ' Yes': -3.140181, 'No': -5.03233, ' The': -8.178536, 'Yes': -8.7902565}
{' No': -0.38971114, ' Yes': -1.1539496, 'No': -5.2548504, 'Yes': -6.4564123, ' Not': -7.8271594}
{' Yes': -0.011782555, ' No': -5.0691895, 'Yes': -5.244393, 'No': -9.824922, ' The': -9.93462}
{' Yes': -0.002094271, 'Yes': -6.2203555, ' The': -10.329258, ' yes': -10.345591, ' No': -10.520149}
{' No': -0.056348827, ' Yes': -3.075531, 'No': -4.8094177, 'Yes': -8.235245, ' The': -9.564728}
{' No': -0.6369885, ' Yes': -0.75840855, 'No': -6.663922, 'Yes': -6.9801607, ' The': -8.065197}
{' Yes': -0.0719309, ' No': -2.7863588, 'Yes': -5.0375147, 'No': -7.3867345, ' The': -7.708018}
{' Yes': -0.007806031, ' No': -5.4556227, 'Yes': -5.7994394, ' The': -7.910207, ' yes': -10.264067}
{' Yes': -0.19478622, ' No': -1.7556419, 'Yes': -5.877017, 'No': -6.8822327, ' Not': -8.41585}
{' Yes': -0.0048113777, 'Yes': -5.9530153, ' No': -6.164574, ' yes': -10.530879, ' The': -10.715353}
{' Yes': -0.30243912, ' No': -1.3845754, 'Yes': -4.946236, 'No': -5.911747, ' ': -7.6562405}
{' Yes': -0.13158628, ' No': -2.1599808, 'Yes': -5.0166035, 'No': -6.919945, ' The': -8.464294}
{' No': -0.19098572, ' Yes': -1.7704229, 'No': -5.8749566, 'Yes': -7.719323, ' The': -8.714965}
{' No': -0.111440636, ' Yes': -2.2932298, 'No': -5.707033, ' Unfortunately': -7.979036, 'Yes': -8.01118}
{' Yes': -0.0035252327, 'Yes': -6.2883244, ' No': -6.448822, ' The': -10.388259, ' yes': -10.529918}
{' Yes': -0.0026006114, 'Yes': -5.9689794, ' yes': -10.414745, ' The': -12.832707, ' ': -13.193376}
{' Yes': -0.16962227, ' No': -1.8722169, 'Yes': -6.521011, 'No': -7.783561, ' The': -8.763483}
{' No': -0.006297031, 'No': -5.7395277, ' Yes': -5.8769345, ' Not': -9.015652, ' ': -10.020202}
{' Yes': -0.002371458, 'Yes': -6.093069, ' No': -9.7952175, ' yes': -10.336, ' The': -11.407712}
{' Yes': -0.0026424443, 'Yes': -6.0097566, ' No': -8.837462, ' yes': -10.790965, ' The': -11.353523}
{' Yes': -0.0072813854, 'Yes': -5.2457075, ' No': -6.2842474, ' The': -10.002774, ' yes': -10.513717}
{' Yes': -0.011189385, ' No': -4.959811, 'Yes': -5.5465975, ' The': -9.638782, 'No': -9.733437}
{' Yes': -0.42715928, ' No': -1.0655699, 'Yes': -6.4533453, 'No': -6.7020254, ' The': -9.0143}
{' Yes': -0.3721751, ' No': -1.1815622, 'Yes': -6.3831058, 'No': -6.677028, ' The': -7.511047}
{' Yes': -0.03476835, ' No': -3.4951887, 'Yes': -5.6323934, 'No': -8.865036, ' The': -9.768056}
{' Yes': -0.0016814441, 'Yes': -6.4172997, ' yes': -11.159712, ' The': -11.229576, ' No': -11.383783}
{' No': -0.34750333, ' Yes': -1.2551495, 'No': -5.107601, 'Yes': -6.54498, ' Not': -7.2565794}
{' No': -0.39021018, ' Yes': -1.1495829, 'No': -5.5728498, 'Yes': -6.8868723, ' Not': -7.02163}
{' Yes': -0.00907409, ' No': -5.001712, 'Yes': -6.2977433, ' Shirt': -7.8822904, 'No': -10.357177}
{' Yes': -0.0022747312, 'Yes': -6.43521, ' No': -7.394021, ' yes': -10.410981, ' The': -11.52521}
{' Yes': -0.6575637, ' No': -0.73736525, 'Yes': -6.271365, 'No': -6.549371, ' The': -9.478782}
{' Yes': -0.38816002, ' No': -1.1437887, 'Yes': -6.241369, 'No': -7.2001853, ' The': -8.278683}
{' Yes': -0.014269437, ' No': -4.4596314, 'Yes': -6.0968747, ' The': -8.619917, ' yes': -9.751394}
{' No': -0.015287091, ' Yes': -4.8556724, 'No': -4.9221096, 'Yes': -10.1009245, ' Not': -10.43798}
{' Yes': -0.120273046, ' No': -2.2800956, 'Yes': -4.652543, 'No': -6.9272265, ' The': -7.8834605}
{' Yes': -0.02877676, ' No': -3.6757398, 'Yes': -5.9348736, ' The': -8.374664, 'No': -9.465416}
{' Yes': -0.040561605, ' No': -3.41156, 'Yes': -5.071232, 'No': -8.005376, ' The': -9.459714}
{' Yes': -0.017105702, ' No': -4.2921853, 'Yes': -5.8510823, ' The': -8.321094, 'No': -9.623818}
{' Yes': -0.0029306042, 'Yes': -6.5100484, ' No': -6.6013746, ' yes': -10.013595, ' The': -10.9077}
{' No': -0.4352862, ' Yes': -1.0564543, 'No': -5.600748, 'Yes': -6.9096985, ' The': -7.8883996}
{' Yes': -0.012092845, ' No': -4.59037, 'Yes': -6.328796, ' The': -10.176733, 'No': -10.769123}
{' Yes': -0.17118882, ' No': -1.8706002, 'Yes': -5.9842815, 'No': -7.314829, ' Not': -10.0734825}
{' No': -0.08556197, ' Yes': -2.5683978, 'No': -5.316448, 'Yes': -7.9811344, ' ': -9.640507}
{' Yes': -0.001878372, 'Yes': -6.5109344, ' No': -8.072171, ' The': -9.923566, ' yes': -11.325886}
{' Yes': -0.0026203315, 'Yes': -6.0480685, ' No': -8.402218, ' yes': -11.011287, ' The': -11.825829}
{' Yes': -0.0053550485, 'Yes': -5.5219088, ' No': -7.174863, ' Women': -7.738207, ' ': -9.355596}
{' No': -0.5144674, ' Yes': -1.0024645, 'No': -3.8040047, 'Yes': -4.5650406, ' yes': -7.6622915}
{' Yes': -0.09751677, ' No': -2.4225843, 'Yes': -5.675617, 'No': -7.7155695, ' The': -8.423552}
{' No': -0.5270211, ' Yes': -0.9025667, 'No': -6.067569, 'Yes': -6.7990484, ' Unfortunately': -8.077786}
{' Yes': -0.02105865, ' No': -3.9734187, 'Yes': -6.3606277, ' The': -8.864754, 'No': -9.9400835}
{' Yes': -0.19278203, ' No': -1.7581278, 'Yes': -6.1398125, 'No': -7.220642, ' The': -10.741271}
{' No': -0.42989653, ' Yes': -1.0647308, 'No': -5.794703, 'Yes': -6.665044, ' The': -8.934323}
{' Yes': -0.002045294, 'Yes': -6.264876, ' No': -9.337702, ' The': -10.702476, ' yes': -10.729268}
{' Yes': -0.003051366, 'Yes': -5.817531, ' yes': -10.346616, ' The': -11.204989, ' No': -11.586597}
{' Yes': -0.025829213, ' No': -3.7727008, 'Yes': -6.0635104, 'No': -9.304526, ' The': -10.063003}
{' Yes': -0.0154967625, ' No': -4.310243, 'Yes': -6.323829, 'No': -9.873209, ' The': -9.927022}
{' No': -0.009283546, 'No': -5.216938, ' Yes': -5.7482724, ' Not': -7.8204265, ' Unfortunately': -9.44209}
{' No': -0.019896405, ' Yes': -4.524943, 'No': -4.7857156, ' The': -8.736805, ' Unfortunately': -9.246942}
