{' No': -0.019491663, ' Yes': -4.188889, 'No': -5.6951966, ' The': -7.8454537, '\n': -8.467041}
{' No': -0.04829828, ' Yes': -3.5100482, 'No': -4.0961194, 'Yes': -8.325356, ' The': -8.90329}
{' No': -0.024644442, 'No': -4.0426607, ' Yes': -5.07986, '\n': -8.455565, ' The': -8.677125}
{' No': -0.06293005, ' Yes': -3.2702627, 'No': -3.9108796, '\n': -6.741711, ' The': -7.310101}
{' No': -0.057446904, 'No': -3.2208073, ' Yes': -4.3491735, ' Not': -6.4795184, ' The': -7.3507586}
{' No': -0.041297745, 'No': -3.882238, ' Yes': -3.9938731, '\n': -7.9555817, ' The': -8.140839}
{' No': -0.12450919, ' Yes': -2.4120038, 'No': -3.734874, 'Yes': -6.692633, ' The': -7.080489}
{' No': -0.024092266, 'No': -4.020474, ' Yes': -5.3052735, '\n': -8.09771, ' The': -8.273508}
{' No': -0.02838626, 'No': -4.2880087, ' Yes': -4.3118334, ' The': -8.056941, ' Not': -8.348096}
{' No': -0.09032421, ' Yes': -2.9940333, 'No': -3.3788621, 'Yes': -7.046848, '\n': -7.6955795}
{' No': -0.047818955, ' Yes': -3.7282333, 'No': -3.8588634, '\n': -7.722541, ' The': -7.91748}
{' No': -0.41075787, ' Yes': -1.1390446, 'No': -4.442185, 'Yes': -5.7190537, ' The': -7.4001913}
{' No': -0.14924881, ' Yes': -2.1163318, 'No': -4.228207, '\n': -6.724585, 'Yes': -6.7656407}
{' No': -0.034218203, 'No': -3.4121208, ' The': -8.325747, ' Yes': -8.755211, '\n': -9.386684}
{' No': -0.02557291, 'No': -3.7530832, ' Yes': -6.7922792, '\n': -8.242303, ' The': -8.494611}
{' Yes': -0.027375655, ' No': -3.9468398, 'Yes': -5.024951, ' The': -7.7132387, 'No': -7.779762}
{' Yes': -0.19691937, ' No': -1.7905663, 'Yes': -5.058633, 'No': -5.6030283, ' The': -7.1533184}
{' Yes': -0.40237796, ' No': -1.144289, 'No': -5.1048775, 'Yes': -5.179638, ' Not': -7.775186}
{' No': -0.05754122, 'No': -3.0763192, ' Yes': -4.8087673, '\n': -7.194145, ' The': -8.343037}
{' Yes': -0.61424005, ' No': -0.8057799, 'No': -5.1678305, 'Yes': -5.976451, ' The': -6.4759493}
{' Yes': -0.13119014, ' No': -2.162873, 'Yes': -5.410094, 'No': -6.4269323, ' The': -7.005894}
{' No': -0.030579574, ' Yes': -3.971076, 'No': -4.631915, '\n': -7.4536524, ' The': -7.7488127}
{' No': -0.107985295, ' Yes': -2.5918908, 'No': -3.750052, 'Yes': -6.8105793, ' "': -6.8473153}
{' No': -0.07368595, ' Yes': -3.1019545, 'No': -3.711614, 'Yes': -7.5636306, ' The': -7.5943556}
{' No': -0.04077311, 'No': -3.3197172, ' Yes': -5.817659, '\n': -8.127037, ' The': -8.13584}
{' No': -0.057977956, ' Yes': -3.4969428, 'No': -3.7271633, '\n': -7.4976444, 'Yes': -7.6072364}
{' No': -0.15501082, ' Yes': -2.0721612, 'No': -4.2579637, 'Yes': -6.531193, '\n': -6.9173717}
{' No': -0.024319062, 'No': -3.7493708, ' The': -8.636177, ' "': -9.229338, ' Yes': -9.412519}
{' No': -0.038231175, 'No': -3.300953, ' The': -8.202812, ' Yes': -8.796841, ' "': -9.365061}
{' No': -0.5498193, ' Yes': -0.92440736, 'No': -4.158626, 'Yes': -5.200263, '\n': -5.9976077}
{' No': -0.055430446, ' Yes': -3.4727886, 'No': -3.9601998, '\n': -6.476294, ' The': -6.943604}
{' No': -0.03141816, 'No': -3.5005171, ' Yes': -8.19438, '\n': -8.37241, ' ': -9.304739}
{' No': -0.026190087, 'No': -3.6982708, ' Yes': -7.4133277, ' The': -8.662563, '\n': -8.9058075}
{' No': -0.03115649, 'No': -3.8914163, ' Yes': -4.6522827, '\n': -8.437539, ' The': -8.650857}
{' No': -0.033535767, 'No': -3.6944473, ' Yes': -5.001614, '\n': -7.15652, ' The': -8.647777}
{' No': -0.19464391, ' Yes': -1.9670362, 'No': -3.6239173, ' The': -5.6615567, ' Not': -5.758501}
{' No': -0.05291555, ' Yes': -3.5021703, 'No': -3.9501815, ' The': -6.978525, '\n': -7.5343738}
{' Yes': -0.21887107, ' No': -1.6860875, 'Yes': -5.241271, 'No': -5.8950257, ' The': -6.031523}
{' No': -0.043839987, 'No': -3.8657775, ' Yes': -3.8881145, ' The': -7.579936, '\n': -7.878896}
{' No': -0.33880934, ' Yes': -1.3210576, 'No': -4.1574144, 'Yes': -6.0116796, ' The': -6.8666677}
{' No': -0.6471417, ' Yes': -0.7951615, 'No': -4.0458593, 'Yes': -5.1535964, ' The': -6.911174}
{' No': -0.018442642, 'No': -4.186007, ' Yes': -5.8568172, ' The': -9.760568, ' ': -10.232598}
{' No': -0.07289748, ' Yes': -3.1342397, 'No': -3.6941094, 'Yes': -7.461958, ' The': -7.588373}
{' No': -0.041388437, ' Yes': -3.8054872, 'No': -4.066607, ' The': -7.7683415, 'Yes': -8.233024}
{' No': -0.044122137, 'No': -3.7909214, ' Yes': -3.9935026, ' The': -6.9872146, '\n': -7.6979265}
{' No': -0.06435192, ' Yes': -3.1277997, 'No': -4.0711417, 'Yes': -7.571149, ' The': -8.01499}
{' No': -0.022883458, 'No': -4.1152143, ' Yes': -5.2250986, ' The': -7.3604703, '\n': -9.197503}
{' Yes': -0.06728216, ' No': -2.9306488, 'Yes': -4.970034, '\n': -6.234386, 'No': -6.707937}
{' No': -0.17054845, ' Yes': -2.0068598, 'No': -3.935464, 'Yes': -6.703036, ' The': -7.494603}
{' No': -0.054732446, 'No': -3.147275, ' Yes': -4.679173, '\n': -7.6706643, 'Yes': -8.581884}
{' No': -0.0975769, ' Yes': -2.6376731, 'No': -3.9164147, 'Yes': -7.3409643, '\n': -7.9309483}
{' No': -0.5098973, ' Yes': -0.95934683, 'No': -4.567667, 'Yes': -5.804556, ' The': -6.2774906}
{' No': -0.082493514, ' Yes': -2.9252114, 'No': -3.7661328, '\n': -6.9999394, 'Yes': -7.251635}
{' No': -0.06315109, 'No': -3.0861819, ' Yes': -4.2522926, '\n': -7.5282063, 'Yes': -7.7769165}
{' No': -0.12930816, ' Yes': -2.5443966, 'No': -3.2328863, 'Yes': -6.2023134, '\n': -7.296321}
{' No': -0.020971118, 'No': -4.034515, ' Yes': -6.07838, ' The': -7.942056, '\n': -8.475451}
{' No': -0.036766164, 'No': -3.5950565, ' Yes': -4.9178357, ' The': -7.349926, '\n': -8.150438}
{' No': -0.01754733, 'No': -4.240169, ' Yes': -6.0483584, ' The': -8.357244, '\n': -8.481921}
{' No': -0.046267707, 'No': -3.2904866, ' Yes': -5.0285616, ' The': -7.3632054, '\n': -8.2375555}
{' No': -0.05047213, 'No': -3.1759794, ' Yes': -5.1091366, '\n': -7.6248074, ' The': -7.70109}
{' No': -0.38249797, ' Yes': -1.2109566, 'No': -4.1832924, 'Yes': -5.7144694, ' The': -7.077106}
{' No': -0.13303801, ' Yes': -2.2205472, 'No': -4.2249017, 'Yes': -7.1023364, ' The': -8.002745}
{' Yes': -0.52851176, ' No': -0.9361522, 'No': -4.623343, 'Yes': -4.8709397, '\n': -7.9829354}
{' No': -0.19391556, ' Yes': -2.1264067, 'No': -3.0246553, 'Yes': -5.718095, ' "': -5.882886}
{' No': -0.051116303, 'No': -3.132087, ' Yes': -5.2462955, ' The': -7.8301845, '\n': -8.786218}
{' No': -0.02262248, 'No': -4.1304464, ' Yes': -5.201564, '\n': -8.249686, ' The': -8.376586}
{' No': -0.061591264, ' Yes': -3.4481096, 'No': -3.6118555, 'Yes': -7.5706983, ' Not': -9.02659}
{' No': -0.027222764, 'No': -3.920495, ' Yes': -5.0804963, ' The': -7.8108134, ' Not': -9.237491}
{' No': -0.0370869, 'No': -3.364344, ' Yes': -6.717261, ' The': -8.217142, '\n': -8.892551}
{' No': -0.100166805, ' Yes': -2.455996, 'No': -4.908928, ' Not': -7.157793, 'Yes': -7.465879}
{' No': -0.06417941, ' Yes': -3.0225, 'No': -4.389882, 'Yes': -7.6711836, ' The': -8.007312}
{' No': -0.20702252, ' Yes': -1.8363961, 'No': -3.7811227, 'Yes': -6.2097936, ' The': -6.933369}
{' No': -0.11511685, ' Yes': -2.5054328, 'No': -3.75018, 'Yes': -6.693656, ' The': -6.8358765}
{' No': -0.029579591, 'No': -4.087158, ' Yes': -4.507654, ' The': -7.7181973, '\n': -8.261158}
{' No': -0.03660404, 'No': -3.5529633, ' Yes': -5.110914, ' The': -7.7505355, '\n': -7.823501}
{' No': -0.02743085, 'No': -3.7382154, ' Yes': -6.073739, '\n': -7.6940775, ' The': -8.506022}
{' No': -0.014907144, 'No': -4.24039, ' Yes': -8.488353, ' The': -9.880366, ' "': -10.265845}
{' No': -0.04191433, 'No': -3.5339265, ' Yes': -4.527249, ' The': -7.9907146, '\n': -8.289537}
{' No': -0.033042796, 'No': -3.5621736, ' Yes': -5.7690806, '\n': -7.63886, ' The': -8.268497}
{' No': -0.03944836, 'No': -3.731833, ' Yes': -4.3435864, '\n': -7.193598, ' The': -7.65917}
{' No': -0.03632196, ' Yes': -4.044495, 'No': -4.081768, ' The': -7.374724, ' "': -8.643565}
{' Yes': -0.59994566, ' No': -0.82400197, 'No': -5.0890336, 'Yes': -5.608921, '\n': -6.9346337}
{' No': -0.27125716, ' Yes': -1.5179346, 'No': -4.378118, 'Yes': -6.1464005, '\n': -6.1731806}
{' Yes': -0.2626318, ' No': -1.5039915, 'Yes': -5.2623363, 'No': -5.9226446, ' The': -7.9695125}
{' No': -0.036297917, ' Yes': -3.6388235, 'No': -4.8333883, ' The': -7.583804, '\n': -7.7757406}
{' No': -0.01865225, 'No': -4.0273323, ' Yes': -7.688667, '\n': -9.372643, ' ': -10.221839}
{' No': -0.027095867, 'No': -4.0358257, ' Yes': -4.7896094, '\n': -8.337215, ' The': -8.913139}
{' No': -0.11577795, ' Yes': -2.6945038, 'No': -3.2350636, 'Yes': -6.4696674, ' The': -7.912134}
{' No': -0.029978542, 'No': -3.6641126, ' Yes': -6.108372, '\n': -7.4091053, ' The': -7.779984}
{' No': -0.022828024, 'No': -4.204669, ' Yes': -4.9196496, '\n': -9.279693, ' The': -9.439764}
{' No': -0.044324424, 'No': -3.1767154, ' Yes': -6.807942, '\n': -8.384599, ' ': -9.222465}
{' No': -0.03769403, 'No': -3.3100023, ' The': -8.667285, '\n': -9.0553, ' "': -9.705218}
{' No': -0.042039707, 'No': -3.2037199, '\n': -8.586919, ' The': -8.735311, ' ': -9.484829}
{' No': -0.3664703, ' Yes': -1.2888697, 'No': -3.722387, 'Yes': -5.2204113, '\n': -7.1494937}
{' No': -0.017809048, 'No': -4.3363743, ' Yes': -5.5093822, ' The': -8.793669, ' Not': -9.036818}
{' No': -0.03150052, 'No': -3.4854686, ' The': -8.93556, '\n': -9.459982, ' Yes': -10.180562}
{' No': -0.035973106, 'No': -3.3522286, '\n': -8.813374, ' The': -9.605783, ' ': -9.840603}
{' Yes': -0.57702875, ' No': -0.854178, 'No': -5.0398145, 'Yes': -5.497359, ' The': -6.721012}
{' No': -0.04622263, 'No': -3.1072388, ' The': -9.011354, '\n': -9.073889, ' Yes': -9.45296}
{' No': -0.053539723, 'No': -3.1157744, ' Yes': -4.9959774, ' The': -8.08975, ' Not': -8.498678}
{' No': -0.04130458, 'No': -3.2879438, ' Yes': -5.963229, '\n': -8.8723545, ' "': -8.984517}
{' No': -0.24890532, ' Yes': -1.7082825, 'No': -3.609089, '\n': -4.955448, 'Yes': -5.783104}
{' No': -0.036184322, 'No': -3.54623, ' Yes': -5.2647038, '\n': -7.0506315, ' The': -8.328515}
{' No': -0.030204464, 'No': -4.1233954, ' Yes': -4.339895, 'Yes': -8.8696165, ' The': -9.011172}
{' No': -0.094125256, ' Yes': -2.6179993, 'No': -4.184249, 'Yes': -7.2133975, ' The': -7.667911}
{' No': -0.048098374, ' Yes': -3.3328753, 'No': -4.5533056, 'Yes': -8.053365, ' The': -8.685099}
{' Yes': -0.16023828, ' No': -1.992569, 'Yes': -4.9337444, 'No': -6.0442576, ' The': -7.1643405}
{' No': -0.06249964, ' Yes': -3.4467463, 'No': -3.699138, '\n': -6.596559, ' The': -6.9254756}
{' No': -0.036796715, 'No': -3.6570263, ' Yes': -4.945797, ' The': -6.83556, '\n': -6.992407}
{' No': -0.18089378, ' Yes': -2.015599, 'No': -3.6472633, 'Yes': -6.0800366, ' The': -6.3445706}
{' Yes': -0.44343764, ' No': -1.0742741, 'Yes': -5.2151775, 'No': -5.2879043, ' The': -5.5973835}
{' Yes': -0.66110593, ' No': -0.77607334, 'No': -4.3311667, 'Yes': -5.017698, ' The': -6.354816}
{' Yes': -0.20366502, ' No': -1.7544366, 'Yes': -5.24666, 'No': -5.955478, ' The': -6.41114}
{' No': -0.08161842, ' Yes': -3.2093723, 'No': -3.3357573, 'Yes': -7.185717, ' The': -7.6436357}
{' No': -0.053978622, ' Yes': -3.4480026, 'No': -3.9905155, ' The': -7.302765, '\n': -7.330559}
{' No': -0.073583946, ' Yes': -3.041454, 'No': -3.939434, ' The': -6.5717025, ' "': -6.9310017}
{' No': -0.06428453, ' Yes': -3.145671, 'No': -4.079957, ' The': -6.9986086, 'Yes': -7.755363}
{' No': -0.033254992, 'No': -3.7373333, ' Yes': -4.840193, '\n': -7.743679, 'Yes': -8.438774}
{' No': -0.020014673, 'No': -4.1450586, ' Yes': -5.695214, ' Not': -8.692053, ' The': -8.706808}
{' No': -0.20791498, ' Yes': -1.7787977, 'No': -4.2184815, 'Yes': -5.9813004, '\n': -7.2263894}
{' No': -0.050386116, 'No': -3.3644176, ' Yes': -4.360725, ' The': -7.3921804, '\n': -7.784213}
{' No': -0.030714046, 'No': -3.584692, ' Yes': -6.532284, ' The': -8.1985855, '\n': -8.390966}
{' No': -0.040680543, 'No': -3.4992049, ' Yes': -4.766157, ' The': -7.857998, '\n': -8.452929}
{' No': -0.056767117, ' Yes': -3.3610997, 'No': -3.9866226, ' The': -7.538425, '\n': -7.5622997}
{' No': -0.04543459, 'No': -3.2553878, ' Yes': -5.359515, ' The': -7.7219934, '\n': -8.417692}
{' No': -0.043440443, 'No': -3.3449197, ' Yes': -5.3490357, '\n': -6.483507, ' "': -7.9384804}
{' No': -0.14485854, ' Yes': -2.3596776, 'No': -3.357816, 'Yes': -6.2565184, '\n': -6.310181}
{' No': -0.20248826, ' Yes': -1.7739108, 'No': -4.491564, 'Yes': -6.811756, ' The': -7.2471294}
{' No': -0.029226396, 'No': -4.140299, ' Yes': -4.4050846, '\n': -8.547918, ' The': -8.640364}
{' No': -0.031646866, 'No': -3.4968796, '\n': -8.183566, ' Yes': -8.302784, ' The': -9.047889}
{' No': -0.050424542, 'No': -3.040327, '\n': -7.2252617, ' Yes': -8.053953, ' ': -8.945665}
{' Yes': -0.048635263, ' No': -3.3565617, 'Yes': -4.5708213, 'No': -6.9458714, ' The': -7.687839}
{' No': -0.5456314, ' Yes': -0.92112726, 'No': -4.1789837, 'Yes': -5.395521, ' The': -6.8311534}
{' No': -0.03235957, 'No': -3.4890473, ' Yes': -7.143399, '\n': -8.726237, ' The': -8.747094}
{' No': -0.017323883, 'No': -4.086459, ' Yes': -8.814399, ' ': -9.65095, ' The': -9.760831}
{' No': -0.056161333, 'No': -2.926616, ' Yes': -7.44946, '\n': -8.609899, ' The': -9.267064}
{' No': -0.072010905, ' Yes': -3.2554994, 'No': -3.559216, ' The': -7.1806993, 'Yes': -7.3389287}
{' No': -0.7177518, ' Yes': -0.7337144, 'No': -4.3228407, 'Yes': -4.7079496, '\n': -5.001689}
{' No': -0.5028411, ' Yes': -0.99725634, 'No': -4.053071, 'Yes': -5.008445, '\n': -7.051223}
{' No': -0.16361631, ' Yes': -2.0315094, 'No': -4.0551853, 'Yes': -6.710884, ' Not': -7.9983826}
{' No': -0.10068379, ' Yes': -2.5717664, 'No': -4.0931244, ' Not': -7.0844617, ' The': -7.242158}
{' No': -0.016477747, 'No': -4.482031, ' Yes': -5.3782673, ' The': -8.50741, ' "': -9.342379}
{' No': -0.020491658, 'No': -4.4593115, ' Yes': -4.8013296, ' The': -8.284896, 'Yes': -9.681445}
{' Yes': -0.055602454, ' No': -3.2558036, 'Yes': -4.29779, 'No': -6.8258433, ' The': -7.9632483}
{' No': -0.4000852, ' Yes': -1.1749667, 'No': -4.1528797, 'Yes': -5.6582694, '\n': -7.183641}
{' No': -0.06114154, 'No': -2.8319886, ' The': -8.649537, '\n': -9.275939, ' ': -9.893695}
{' No': -0.026202446, 'No': -3.6757536, ' Yes': -8.342576, ' The': -8.835998, '\n': -9.617059}
{' No': -0.029807754, 'No': -3.567516, ' Yes': -7.406402, '\n': -8.29852, ' The': -9.339}
{' No': -0.035671193, 'No': -3.4532642, ' Yes': -5.7954054, '\n': -9.267734, ' The': -9.449656}
{' No': -0.040701155, 'No': -3.3311386, ' Yes': -5.793009, '\n': -7.7491813, ' The': -8.234333}
{' No': -0.047713608, 'No': -3.1034327, ' Yes': -6.805305, ' Not': -8.588592, ' The': -8.752723}
{' No': -0.05894595, 'No': -3.0908482, ' Yes': -5.1581836, '\n': -5.4105215, ' "': -7.4479933}
{' No': -0.04462298, 'No': -3.4629807, ' Yes': -4.5058904, ' The': -7.7718678, '\n': -8.152868}
{' Yes': -0.011784666, 'Yes': -4.839576, ' No': -5.723317, ' The': -8.709166, '\n': -8.7133665}
{' No': -0.37592387, ' Yes': -1.3246773, 'No': -3.4083676, 'Yes': -5.1155405, '\n': -5.290322}
{' No': -0.6362431, ' Yes': -0.794225, 'No': -4.375209, 'Yes': -5.195388, ' The': -8.390527}
{' No': -0.36623704, ' Yes': -1.2420324, 'No': -4.2782145, 'Yes': -5.9006705, ' The': -7.2961817}
{' No': -0.020289935, ' Yes': -4.284864, 'No': -5.1616435, ' The': -8.101386, '\n': -9.060675}
{' No': -0.21338375, ' Yes': -1.6996185, 'No': -4.8904543, 'Yes': -6.9700036, ' The': -7.574406}
{' No': -0.32437158, ' Yes': -1.3259985, 'No': -4.763016, 'Yes': -6.571541, ' The': -7.058363}
{' No': -0.021702653, 'No': -4.026442, ' Yes': -5.7810807, ' The': -8.25956, '\n': -9.531548}
{' No': -0.047397766, ' Yes': -3.3448064, 'No': -4.7223873, ' The': -6.9676056, '\n': -7.3968067}
{' No': -0.16467375, ' Yes': -1.9678676, 'No': -4.583852, 'Yes': -7.1200895, ' The': -7.5026193}
{' No': -0.018599724, 'No': -4.1509924, ' Yes': -6.0420046, '\n': -9.334182, ' The': -9.735478}
{' Yes': -0.61318606, ' No': -0.80327237, 'No': -5.178993, 'Yes': -5.8330345, ' The': -6.567388}
{' No': -0.12136951, ' Yes': -2.2517424, 'No': -4.822854, 'Yes': -7.696425, ' The': -8.38389}
{' No': -0.0180587, 'No': -4.080629, ' Yes': -7.167932, ' The': -9.352151, ' Not': -10.246842}
{' No': -0.2857882, ' Yes': -1.430598, 'No': -4.957858, 'Yes': -6.702387, ' The': -7.5773034}
{' No': -0.065685906, ' Yes': -3.0025716, 'No': -4.3560014, ' The': -7.680894, 'Yes': -8.13267}
{' No': -0.01698184, 'No': -4.5276265, ' Yes': -5.1514344, ' The': -9.690699, ' Not': -10.1042595}
{' No': -0.07310675, ' Yes': -3.1029603, 'No': -3.7235029, ' The': -7.363485, 'Yes': -7.781103}
{' No': -0.1288477, ' Yes': -2.2505078, 'No': -4.3544164, ' The': -6.7834015, 'Yes': -7.373678}
{' Yes': -0.39229718, ' No': -1.1494898, 'No': -5.9111986, 'Yes': -5.996694, ' Not': -6.3589373}
{' No': -0.6575606, ' Yes': -0.75212884, 'No': -5.103092, 'Yes': -5.9045053, ' Not': -7.238447}
{' No': -0.08321746, ' Yes': -2.8135812, 'No': -4.039743, ' The': -6.8765078, 'Yes': -7.4605103}
{' No': -0.017254446, 'No': -4.2098126, ' Yes': -6.276017, '\n': -8.9671, ' The': -8.970493}
{' No': -0.054902066, 'No': -3.3581476, ' Yes': -4.036214, 'Yes': -7.9931855, ' The': -8.155661}
{' No': -0.01827794, 'No': -4.6455646, ' Yes': -4.791206, '\n': -9.801103, 'Yes': -10.052222}
{' Yes': -0.36766917, ' No': -1.201831, 'No': -5.79579, 'Yes': -5.9405794, ' The': -7.4293804}
{' No': -0.02242478, 'No': -3.8148038, ' The': -10.1835575, ' ': -10.410717, '\n': -10.590507}
{' No': -0.029241798, 'No': -3.5545466, ' The': -9.675657, '\n': -10.074921, ' Not': -10.277176}
{' No': -0.043070305, ' Yes': -3.8514082, 'No': -3.9077036, ' The': -8.25787, ' Not': -8.531475}
{' No': -0.028701926, 'No': -3.9654713, ' Yes': -4.7586727, ' The': -7.8081017, ' Not': -9.416037}
{' Yes': -0.02421018, ' No': -3.9360294, 'Yes': -5.5746894, ' The': -8.530977, 'No': -8.6132145}
{' No': -0.0647548, ' Yes': -3.1430132, 'No': -3.9886913, 'Yes': -7.788183, ' The': -8.079174}
{' No': -0.05778969, ' Yes': -3.1132493, 'No': -4.5389695, 'Yes': -8.179811, ' The': -8.187784}
{' No': -0.01837865, 'No': -4.0864234, ' Yes': -6.6755567, ' The': -9.599854, ' ': -10.820451}
{' No': -0.07160373, ' Yes': -2.8045099, 'No': -4.899162, ' Not': -7.765634, 'Yes': -8.195259}
{' Yes': -0.24754563, ' No': -1.5689453, 'Yes': -5.118609, 'No': -5.754402, ' The': -7.2284794}
{' Yes': -0.029317781, ' No': -3.663719, 'Yes': -5.988563, ' The': -7.752336, 'No': -8.911613}
{' No': -0.0224452, ' Yes': -4.3098273, 'No': -4.7927694, ' The': -8.699891, ' Not': -9.020505}
{' No': -0.2808375, ' Yes': -1.5126071, 'No': -3.8675225, 'Yes': -6.425979, ' The': -6.792253}
{' No': -0.048125833, 'No': -3.0784888, ' Yes': -7.491679, ' The': -8.767392, ' ': -9.674386}
{' No': -0.07449125, ' Yes': -2.8959424, 'No': -4.351608, ' Not': -6.9034147, ' The': -6.907949}
{' No': -0.045289017, ' Yes': -3.5006912, 'No': -4.3561716, ' The': -7.7048254, ' Not': -7.8434553}
{' No': -0.008019113, 'No': -4.9130845, ' Yes': -7.5361123, ' ': -9.8594, ' The': -10.967702}
{' No': -0.02762164, 'No': -3.6622653, ' Yes': -6.6710405, ' The': -8.977817, ' ': -10.020024}
{' No': -0.13600467, ' Yes': -2.2307923, 'No': -4.023906, 'Yes': -7.141516, ' The': -7.277526}
{' No': -0.10118622, ' Yes': -2.5615363, 'No': -4.082801, ' The': -6.8028426, 'Yes': -7.4853606}
{' No': -0.009612619, 'No': -4.7422576, ' Not': -7.622964, ' Yes': -8.330537, ' The': -9.695678}
{' No': -0.013694741, 'No': -4.3226223, ' Yes': -8.892519, ' The': -9.617451, '\n': -10.032497}
{' No': -0.018355828, 'No': -4.5622015, ' Yes': -4.892377, ' The': -9.382379, ' Not': -9.467291}
{' No': -0.024134154, ' Yes': -4.077145, 'No': -5.0430284, ' The': -8.674095, '\n': -9.568968}
{' No': -0.04958957, ' Yes': -3.3472197, 'No': -4.465445, ' The': -7.4414306, '\n': -7.8350387}
{' No': -0.034437496, 'No': -3.8080733, ' Yes': -4.6365266, ' Not': -6.71089, ' The': -7.9054017}
{' No': -0.019135326, 'No': -4.2448564, ' Yes': -5.4992933, ' Not': -8.8414, ' The': -8.9022875}
{' No': -0.2904989, ' Yes': -1.4325906, 'No': -4.5776005, 'Yes': -6.3927283, ' The': -7.203928}
{' No': -0.02318464, ' Yes': -4.3695097, 'No': -4.667191, ' The': -7.88786, ' Not': -8.782998}
{' No': -0.04290566, ' Yes': -3.5016534, 'No': -4.546592, ' Not': -7.457633, ' The': -7.937022}
{' No': -0.3743068, ' Yes': -1.2082874, 'No': -4.5366735, 'Yes': -6.23685, ' The': -7.7128706}
{' No': -0.05778818, ' Yes': -3.1506646, 'No': -4.3990436, ' The': -7.932412, 'Yes': -8.186078}
{' No': -0.375035, ' Yes': -1.1932455, 'No': -4.9771695, 'Yes': -6.390415, ' The': -7.5079136}
{' No': -0.061220743, ' Yes': -3.0356314, 'No': -4.6007543, ' The': -7.7898717, 'Yes': -8.11784}
{' No': -0.015579941, 'No': -4.1999135, ' The': -8.734173, ' Yes': -8.747343, ' ': -10.017759}
{' No': -0.015484779, 'No': -4.3467417, ' Yes': -6.1882086, ' The': -8.66632, '\n': -9.682952}
{' Yes': -0.043662082, ' No': -3.261569, 'Yes': -5.687163, ' The': -7.815424, 'No': -7.852624}
{' Yes': -0.08717013, ' No': -2.5433583, 'Yes': -5.7043056, 'No': -7.203405, ' The': -7.8473396}
{' Yes': -0.32540017, ' No': -1.3139083, 'Yes': -5.456784, 'No': -5.5701184, ' Not': -7.7441673}
{' No': -0.043596707, ' Yes': -3.6588213, 'No': -4.139134, ' The': -8.198426, 'Yes': -8.409798}
{' Yes': -0.3574972, ' No': -1.2267942, 'No': -5.885554, 'Yes': -6.084065, ' The': -6.7693524}
{' Yes': -0.044051375, ' No': -3.2413206, 'Yes': -5.820866, ' The': -7.822312, 'No': -8.212554}
{' No': -0.048592713, ' Yes': -3.1624844, 'No': -5.4739733, ' The': -7.6474633, 'Yes': -8.841431}
{' No': -0.048396688, ' Yes': -3.422872, 'No': -4.294978, ' The': -7.804443, 'Yes': -8.199615}
{' No': -0.060022093, ' Yes': -3.1466234, 'No': -4.2634788, ' The': -7.6478195, 'Yes': -8.226148}
{' No': -0.020136911, 'No': -4.051059, ' Yes': -6.1883173, ' The': -8.30965, '\n': -9.336926}
{' No': -0.04807142, ' Yes': -3.4875512, 'No': -4.1710267, 'Yes': -8.163036, ' The': -8.538955}
{' No': -0.10169095, ' Yes': -2.459893, 'No': -4.62835, 'Yes': -7.502552, ' The': -7.727007}
{' No': -0.013830163, 'No': -4.3137584, ' The': -8.63344, ' Yes': -10.063864, ' "': -10.127981}
{' No': -0.01892319, 'No': -3.9975932, ' The': -8.729067, ' Yes': -8.898985, ' ': -10.53624}
{' No': -0.6597022, ' Yes': -0.7570075, 'No': -4.8373313, 'Yes': -5.64537, ' The': -6.865921}
{' No': -0.067016214, ' Yes': -2.9639583, 'No': -4.4757037, ' The': -7.312377, 'Yes': -7.885139}
{' No': -0.014490812, 'No': -4.3763947, ' Yes': -6.537104, ' The': -8.95028, '\n': -9.558695}
{' No': -0.014803996, 'No': -4.3208876, ' Yes': -6.814919, ' The': -8.858714, '\n': -9.978391}
{' No': -0.018509794, ' Yes': -4.624779, 'No': -4.8066225, ' The': -8.914969, '\n': -9.590457}
{' No': -0.017526705, 'No': -4.49942, ' Yes': -5.1512966, '\n': -8.604717, ' The': -9.252024}
{' No': -0.2837801, ' Yes': -1.485242, 'No': -4.322831, ' The': -5.82391, ' Not': -6.162783}
{' No': -0.03633426, ' Yes': -3.8549986, 'No': -4.3056064, ' The': -7.516053, 'Yes': -8.647794}
{' Yes': -0.035007454, ' No': -3.5116062, 'Yes': -5.6311717, ' The': -7.5766177, 'No': -8.1943035}
{' No': -0.05393521, ' Yes': -3.3382292, 'No': -4.158639, ' The': -7.320859, 'Yes': -8.308366}
{' No': -0.124825224, ' Yes': -2.255633, 'No': -4.5269628, 'Yes': -7.458023, ' The': -7.5027814}
{' Yes': -0.5300994, ' No': -0.9273296, 'No': -4.642177, 'Yes': -5.24372, ' The': -7.4293265}
{' No': -0.012849849, 'No': -4.6419888, ' Yes': -5.8394365, ' The': -9.5042095, ' Not': -10.134573}
{' No': -0.08310054, ' Yes': -2.7615423, 'No': -4.182685, 'Yes': -7.5843287, ' The': -7.6486464}
{' No': -0.052245162, ' Yes': -3.1555204, 'No': -4.901433, ' The': -7.843947, 'Yes': -8.539077}
{' No': -0.031282738, ' Yes': -4.032112, 'No': -4.416847, ' The': -7.5988326, '\n': -8.975829}
