{' No': -0.07183919, ' Yes': -2.7906997, 'No': -4.9420385, 'Yes': -8.206423, '\n': -8.27543}
{' Yes': -0.039018895, ' No': -3.4842796, 'Yes': -5.016514, 'No': -7.995388, '\n': -8.154333}
{' Yes': -0.03162921, ' No': -3.8800235, 'Yes': -4.8489623, ' The': -6.6195526, '\n': -7.3036747}
{' No': -0.31029752, ' Yes': -1.3856587, 'No': -4.309035, 'Yes': -6.3501186, ' The': -7.2464433}
{' No': -0.04506758, 'No': -3.1515644, ' Yes': -7.2109456, '\n': -8.655142, ' The': -8.766012}
{' Yes': -0.008180151, 'Yes': -4.994645, ' No': -7.565293, '\n': -7.6523104, ' yes': -8.347106}
{' No': -0.6661715, ' Yes': -0.7531791, 'No': -4.627458, 'Yes': -5.569421, ' The': -7.2456293}
{' No': -0.2412303, ' Yes': -1.5990069, 'No': -5.0542393, '\n': -5.9485683, 'Yes': -6.591807}
{' No': -0.18654008, ' Yes': -1.8188146, 'No': -5.166452, 'Yes': -6.5064516, ' The': -7.70845}
{' No': -0.22875804, ' Yes': -1.679167, 'No': -4.2245293, 'Yes': -6.3514557, ' The': -7.364799}
{' No': -0.013436692, 'No': -4.647134, ' Yes': -5.7079, '\n': -8.768237, ' ': -9.364291}
{' No': -0.22040999, ' Yes': -1.681321, 'No': -5.0096936, '\n': -6.2468553, 'Yes': -6.5978956}
{' No': -0.083869256, ' Yes': -2.6775694, 'No': -4.763953, '\n': -6.4219146, ' The': -7.4227667}
{' No': -0.090702206, ' Yes': -2.605835, 'No': -4.4272842, 'Yes': -7.5999107, '\n': -8.899334}
{' No': -0.13149443, ' Yes': -2.1704674, 'No': -4.9217315, 'Yes': -7.1463594, ' The': -7.6063704}
{' No': -0.05192097, ' Yes': -3.2983942, 'No': -4.443616, ' The': -7.0176682, 'Yes': -8.120861}
{' No': -0.2837536, ' Yes': -1.429723, 'No': -5.196128, 'Yes': -6.853329, ' The': -7.028632}
{' No': -0.12922664, ' Yes': -2.20528, 'No': -4.6864047, 'Yes': -7.1903834, '\n': -7.454412}
{' No': -0.18680896, ' Yes': -1.8180174, 'No': -5.1001296, 'Yes': -7.062124, '\n': -7.6107836}
{' No': -0.17902517, ' Yes': -1.8697581, 'No': -4.92629, ' The': -7.0772924, 'Yes': -7.2123113}
{' No': -0.03044463, 'No': -4.085019, ' Yes': -4.3922396, '\n': -8.002097, ' The': -8.903723}
{' Yes': -0.23221096, ' No': -1.617257, 'Yes': -5.169831, 'No': -5.908505, '\n': -8.962373}
{' Yes': -0.01085895, 'Yes': -5.2408485, ' No': -5.3358617, ' The': -8.0080185, ' yes': -9.013176}
{' No': -0.05353834, ' Yes': -3.0472095, 'No': -5.5617228, ' The': -8.371888, '\n': -8.503853}
{' No': -0.036494736, ' Yes': -3.9033957, 'No': -4.234742, ' Not': -7.9646087, ' The': -8.224038}
{' Yes': -0.48511994, ' No': -0.98889476, 'No': -5.200364, 'Yes': -5.5473046, ' "': -6.8519335}
{' No': -0.5349763, ' Yes': -0.9236712, 'No': -4.6643476, 'Yes': -5.8015323, '\n': -6.3432994}
{' No': -0.084307864, ' Yes': -2.6171257, 'No': -4.956277, 'Yes': -7.830596, '\n': -8.668286}
{' No': -0.027856896, 'No': -4.141611, ' Yes': -4.510315, ' The': -8.125929, 'Yes': -9.162773}
{' Yes': -0.008228768, 'Yes': -5.0517907, ' No': -7.0987935, '\n': -7.6687036, ' The': -8.479683}
{' Yes': -0.010971152, 'Yes': -5.1307807, ' No': -5.841931, '\n': -6.6346483, ' yes': -7.854359}
{' No': -0.04162218, 'No': -3.4991834, ' Yes': -4.604574, 'Yes': -8.792446, '\n': -8.816557}
{' Yes': -0.28772587, ' No': -1.4675527, 'Yes': -4.682831, 'No': -4.820431, ' The': -6.8877044}
{' No': -0.025158962, 'No': -4.013638, ' Yes': -5.1518774, ' Not': -7.749989, ' The': -8.441973}
{' No': -0.051288135, 'No': -3.12865, ' Yes': -5.3785987, '\n': -6.9969435, ' ': -8.333438}
{' No': -0.17236, ' Yes': -2.0406976, 'No': -3.7346008, 'Yes': -6.1478868, ' "': -6.88966}
{' No': -0.3343282, ' Yes': -1.3777357, 'No': -3.766724, 'Yes': -5.499924, '\n': -6.0586376}
{' No': -0.113988936, ' Yes': -2.3270683, 'No': -4.87339, ' The': -6.7940707, '\n': -7.6507735}
{' Yes': -0.41261145, ' No': -1.1146073, 'No': -5.647564, 'Yes': -5.6882, ' The': -6.317946}
{' No': -0.11185983, ' Yes': -2.4894958, 'No': -3.9400456, 'Yes': -6.713392, ' The': -7.187497}
{' No': -0.014883426, 'No': -4.2991757, ' Yes': -7.2027454, '\n': -8.826719, ' The': -8.913429}
{' No': -0.021528825, 'No': -3.8599038, ' "': -9.130241, ' ': -9.958288, '\n': -10.347402}
{' No': -0.029811377, 'No': -3.5422873, '\n': -9.08225, ' The': -9.2177515, ' Yes': -9.685397}
{' No': -0.15065023, ' Yes': -2.069029, 'No': -4.4622574, 'Yes': -6.965672, ' Not': -7.9411697}
{' No': -0.13620444, ' Yes': -2.1483219, 'No': -4.687983, 'Yes': -7.235111, ' The': -8.318342}
{' No': -0.30554, ' Yes': -1.3908787, 'No': -4.530813, 'Yes': -6.498935, ' The': -6.6012983}
{' No': -0.3650687, ' Yes': -1.2371734, 'No': -4.523327, 'Yes': -6.2766457, '\n': -6.854607}
{' No': -0.01965414, 'No': -3.9593055, ' Yes': -8.458795, ' The': -9.870439, ' ': -10.145855}
{' No': -0.015901053, 'No': -4.239251, ' Yes': -7.0618277, '\n': -8.2330675, ' The': -9.452434}
{' No': -0.031367913, ' Yes': -4.048263, 'No': -4.347255, 'Yes': -8.9786825, ' The': -9.208774}
{' No': -0.10252397, ' Yes': -2.9162846, 'No': -3.2002835, 'Yes': -6.740337, ' Not': -7.6458983}
{' No': -0.01690897, 'No': -4.2716446, ' Yes': -5.956669, ' The': -9.7987, ' Not': -9.825495}
{' No': -0.049253397, ' Yes': -3.2321355, 'No': -4.975759, ' The': -6.8960357, 'Yes': -8.682541}
{' No': -0.12917393, ' Yes': -2.3254704, 'No': -3.84203, 'Yes': -6.9475694, ' The': -7.499546}
{' No': -0.0667246, ' Yes': -3.320066, 'No': -3.6209846, 'Yes': -7.557939, '\n': -7.750793}
{' Yes': -0.019351702, ' No': -4.2960505, 'Yes': -5.3992877, ' The': -7.694865, ' yes': -8.711316}
{' Yes': -0.008558216, 'Yes': -5.1209445, ' No': -6.2098265, '\n': -8.723365, ' yes': -8.947881}
{' Yes': -0.17786288, ' No': -1.8698776, 'Yes': -5.136624, 'No': -6.440552, '\n': -7.73655}
{' No': -0.0060156374, 'No': -5.57369, ' Yes': -6.1962633, ' The': -9.926723, '\n': -10.411463}
{' No': -0.047520388, ' Yes': -3.4833152, 'No': -4.3271794, '\n': -6.519041, ' The': -7.6887627}
{' Yes': -0.3804192, ' No': -1.2048305, 'Yes': -4.844504, 'No': -5.092451, ' The': -6.56974}
{' No': -0.03399273, 'No': -4.068571, ' Yes': -4.171972, '\n': -7.7564483, ' ': -8.943022}
{' No': -0.056239992, 'No': -3.3683586, ' Yes': -3.9672124, '\n': -7.789251, 'Yes': -8.049187}
{' No': -0.042427815, 'No': -3.5409954, ' Yes': -4.4631505, ' The': -8.040358, '\n': -8.236179}
{' No': -0.018492125, 'No': -4.419491, ' Yes': -5.2006745, '\n': -8.006084, ' The': -8.74188}
{' Yes': -0.07039606, ' No': -2.7789245, 'Yes': -5.7380633, ' The': -6.827169, ' yes': -7.4654474}
{' No': -0.53638947, ' Yes': -0.9149714, 'No': -4.707402, 'Yes': -5.8633986, ' The': -6.617463}
{' Yes': -0.009362902, 'Yes': -4.6981063, ' yes': -9.318006, '\n': -9.855892, ' No': -10.910847}
{' Yes': -0.01709764, 'Yes': -4.5913696, ' No': -5.0475407, 'No': -8.676279, ' yes': -9.06008}
{' Yes': -0.078404315, ' No': -2.6981325, 'Yes': -5.3050256, ' The': -6.404052, 'No': -7.281958}
{' No': -0.19838247, ' Yes': -1.7956002, 'No': -4.5577726, 'Yes': -6.4839163, ' The': -6.7762384}
{' No': -0.011925319, 'No': -4.8130054, ' Yes': -5.629925, ' ': -10.268779, ' The': -10.569076}
{' No': -0.0115652755, 'No': -4.5975485, ' Yes': -7.1706033, '\n': -7.9429803, ' ': -8.934034}
{' Yes': -0.10939815, ' No': -2.4000323, 'Yes': -4.6258564, 'No': -6.332899, ' The': -7.439665}
{' No': -0.18669724, ' Yes': -1.995127, 'No': -3.5335906, 'Yes': -6.0221677, '\n': -6.7040086}
{' No': -0.024850277, 'No': -3.7915642, ' Yes': -6.4744, ' The': -8.837371, '\n': -9.013231}
{' No': -0.03578072, 'No': -3.369553, ' The': -8.283728, '\n': -8.384127, ' Yes': -9.356929}
{' No': -0.06337874, ' Yes': -2.9984047, 'No': -4.6464458, '\n': -7.0731015, 'Yes': -7.739083}
{' No': -0.088057704, ' Yes': -2.6416466, 'No': -4.6507616, '\n': -6.422059, ' The': -7.156609}
{' Yes': -0.17328125, ' No': -1.9214064, 'Yes': -5.067702, 'No': -5.94923, ' The': -6.0846076}
{' No': -0.37223226, ' Yes': -1.2027681, 'No': -4.9239745, 'Yes': -6.6010427, ' The': -6.9064}
{' No': -0.17826642, ' Yes': -1.8930357, 'No': -4.645239, 'Yes': -6.7376194, ' The': -6.8002243}
{' No': -0.47506595, ' Yes': -1.0044315, 'No': -5.1344895, 'Yes': -6.0320516, '\n': -6.812991}
{' Yes': -0.007010942, 'Yes': -5.7302504, ' No': -6.42624, '\n': -6.652394, ' yes': -7.981633}
{' Yes': -0.513144, ' No': -0.9496464, 'No': -4.974646, 'Yes': -5.1906266, '\n': -6.7958927}
{' No': -0.033289805, ' Yes': -4.158763, 'No': -4.204129, '\n': -6.6320143, ' The': -8.084718}
{' No': -0.018958602, 'No': -4.236709, ' Yes': -5.5723567, ' The': -8.422746, '\n': -9.291272}
{' No': -0.098969735, ' Yes': -2.5688145, 'No': -4.193723, '\n': -7.255901, 'Yes': -7.265212}
{' Yes': -0.3905613, ' No': -1.1599762, 'Yes': -5.3829393, 'No': -5.541726, ' The': -7.1720667}
{' No': -0.06760806, ' Yes': -2.943859, 'No': -4.4498615, ' The': -7.9296513, 'Yes': -7.9976573}
{' No': -0.07662471, ' Yes': -2.815974, 'No': -4.403054, ' The': -7.2424307, 'Yes': -7.8526793}
{' No': -0.41222775, ' Yes': -1.1776716, 'No': -3.7934458, 'Yes': -5.224537, '\n': -6.6181664}
{' Yes': -0.0933265, ' No': -2.5102901, 'Yes': -5.0608935, 'No': -6.8019867, ' The': -8.966445}
{' No': -0.15171005, ' Yes': -2.0408626, 'No': -4.763868, 'Yes': -7.187074, '\n': -7.4607115}
{' No': -0.09195258, ' Yes': -2.6848955, 'No': -3.997655, 'Yes': -7.300631, '\n': -8.395968}
{' No': -0.016582943, 'No': -4.1441593, ' Yes': -7.9742703, '\n': -9.427252, ' The': -9.471336}
{' No': -0.018309321, 'No': -4.047272, ' Yes': -8.246725, ' The': -8.480173, '\n': -9.286325}
{' No': -0.045137666, 'No': -3.4250715, ' Yes': -4.6082363, ' The': -7.4695816, ' Not': -7.705784}
{' No': -0.037148144, 'No': -3.4191916, ' Yes': -5.792692, '\n': -8.209608, ' ': -8.911129}
{' No': -0.036096133, ' Yes': -3.599382, 'No': -4.8850985, 'Yes': -8.673448, ' The': -9.005923}
{' Yes': -0.26912338, ' No': -1.490004, 'Yes': -5.20031, 'No': -5.677887, ' The': -7.192589}
{' Yes': -0.01664203, 'Yes': -4.8230724, ' No': -4.9506574, '\n': -7.516798, ' The': -8.0507965}
{' Yes': -0.070131846, ' No': -2.8459895, 'Yes': -4.8323216, 'No': -7.0239754, ' The': -8.130756}
{' Yes': -0.49850336, ' No': -0.9501197, 'No': -5.92491, 'Yes': -6.187918, '\n': -7.859669}
{' No': -0.060396977, ' Yes': -2.9602077, 'No': -5.170565, '\n': -7.7709303, ' The': -8.287551}
{' Yes': -0.0378767, ' No': -3.6369138, 'Yes': -4.7188134, '\n': -7.5250225, 'No': -7.5432982}
{' Yes': -0.044413283, ' No': -3.4373765, 'Yes': -4.6443906, 'No': -7.5264153, '\n': -7.7121315}
{' Yes': -0.62483394, ' No': -0.81191826, 'No': -4.4375057, 'Yes': -5.02639, ' The': -7.0361495}
{' No': -0.056061596, ' Yes': -3.3430336, 'No': -4.0433836, '\n': -7.432736, ' The': -7.787989}
{' No': -0.34822288, ' Yes': -1.2845136, 'No': -4.3372364, 'Yes': -5.790695, ' "': -7.941536}
{' No': -0.27374178, ' Yes': -1.5796804, 'No': -3.6473114, 'Yes': -5.4827833, '\n': -6.5467}
{' No': -0.08756495, ' Yes': -2.739504, 'No': -4.2044873, '\n': -5.9130425, 'Yes': -7.2215962}
{' No': -0.01135124, 'No': -4.6709156, ' Yes': -6.4700756, ' The': -8.784273, ' Not': -9.44969}
{' Yes': -0.23367526, ' No': -1.7209342, 'Yes': -4.250597, '\n': -4.9852676, 'No': -5.0415554}
{' No': -0.104544796, ' Yes': -2.4403563, 'No': -4.69209, '\n': -6.898102, 'Yes': -7.4770036}
{' No': -0.17557915, ' Yes': -1.9638768, 'No': -4.0481467, 'Yes': -6.4896216, ' The': -6.859739}
{' No': -0.3083193, ' Yes': -1.402136, 'No': -4.2112713, 'Yes': -5.9358916, ' The': -6.8669205}
{' No': -0.076701805, ' Yes': -2.9251685, 'No': -4.0227275, 'Yes': -7.250615, ' The': -7.342517}
{' No': -0.20040871, ' Yes': -1.7770363, 'No': -4.623588, 'Yes': -6.6282387, ' The': -7.1956115}
{' No': -0.036200207, 'No': -3.8373609, ' Yes': -4.3919015, ' The': -7.3147945, '\n': -8.0382}
{' Yes': -0.39655185, ' No': -1.160506, 'Yes': -4.8210645, 'No': -5.413779, ' The': -7.187168}
{' No': -0.052293837, ' Yes': -3.557121, 'No': -3.9658697, '\n': -6.008344, ' ': -7.8748527}
{' Yes': -0.5260036, ' No': -0.9246853, 'No': -5.349196, 'Yes': -5.504002, '\n': -6.2926087}
{' Yes': -0.051423986, ' No': -3.195526, 'Yes': -4.9350014, ' The': -6.945144, 'No': -7.541341}
{' No': -0.29893288, ' Yes': -1.455696, 'No': -3.942455, 'Yes': -5.836551, '\n': -6.642444}
{' No': -0.53332204, ' Yes': -0.9475293, 'No': -4.1476674, 'Yes': -5.2707906, '\n': -5.88827}
{' No': -0.07061882, ' Yes': -2.975043, 'No': -4.1553526, 'Yes': -7.6227727, ' The': -7.8709383}
{' Yes': -0.6362027, ' No': -0.7758798, 'No': -5.224808, 'Yes': -5.5822873, '\n': -7.3904724}
{' No': -0.025167212, 'No': -4.061317, ' Yes': -4.985599, ' The': -7.9732623, '\n': -8.6148205}
{' No': -0.49497852, ' Yes': -0.9676996, 'No': -5.2443924, 'Yes': -6.081698, ' The': -6.5249004}
{' No': -0.45595458, ' Yes': -1.0495882, 'No': -4.5185213, 'Yes': -5.513491, '\n': -7.7731977}
{' No': -0.13803694, ' Yes': -2.1215575, 'No': -5.031658, ' The': -6.8054776, 'Yes': -6.9345603}
{' No': -0.04058209, 'No': -3.3656018, ' Yes': -5.606869, '\n': -7.135434, ' The': -8.138206}
{' Yes': -0.007817865, 'Yes': -5.4349036, ' No': -5.915632, ' The': -7.9872546, ' yes': -8.85789}
{' Yes': -0.16398649, ' No': -1.9384272, 'Yes': -5.2946205, 'No': -6.3763537, ' The': -8.129244}
{' Yes': -0.27760616, ' No': -1.473279, 'Yes': -5.252433, 'No': -5.7448316, '\n': -5.8205533}
{' Yes': -0.250876, ' No': -1.5809466, 'Yes': -4.9559007, '\n': -5.684336, 'No': -5.7608643}
{' No': -0.07958228, ' Yes': -2.6536179, 'No': -5.2437286, 'Yes': -7.9904118, '\n': -8.617502}
{' No': -0.03247501, 'No': -3.7414765, ' Yes': -4.85105, 'Yes': -8.940584, '\n': -9.633255}
{' No': -0.39808458, ' Yes': -1.2292365, 'No': -3.835262, 'Yes': -5.093233, '\n': -5.1105404}
{' No': -0.15098374, ' Yes': -2.129982, 'No': -4.2165203, ' The': -5.998901, '\n': -6.293169}
{' No': -0.057354614, ' Yes': -3.1134915, 'No': -4.699843, ' The': -7.2288933, '\n': -7.566992}
{' No': -0.073547505, ' Yes': -2.8734474, 'No': -4.3399887, 'Yes': -7.5490947, '\n': -7.7863646}
{' Yes': -0.0228165, ' No': -4.195981, 'Yes': -5.048598, ' yes': -8.030897, ' The': -8.276116}
{' Yes': -0.15575127, ' No': -2.0345316, 'Yes': -4.8465104, 'No': -5.932295, ' "': -7.068375}
{' No': -0.03280508, 'No': -3.9348168, ' Yes': -4.3968854, 'Yes': -8.884729, '\n': -9.160219}
{' No': -0.23622283, ' Yes': -1.6746573, 'No': -4.0506988, '\n': -6.0517497, 'Yes': -6.1909876}
{' Yes': -0.67987025, ' No': -0.7492406, 'No': -4.774339, '\n': -5.08583, 'Yes': -5.3389354}
{' No': -0.1525585, ' Yes': -2.209758, 'No': -3.560153, 'Yes': -6.2872453, ' The': -7.6455674}
{' No': -0.18031178, ' Yes': -1.8900324, 'No': -4.4215245, 'Yes': -7.017594, ' The': -7.990404}
{' No': -0.12547015, ' Yes': -2.3488207, 'No': -4.211722, '\n': -5.225358, 'Yes': -7.1182947}
{' No': -0.16239165, ' Yes': -2.0193803, 'No': -4.2221622, 'Yes': -6.708099, ' The': -7.114313}
{' No': -0.37084782, ' Yes': -1.2257444, 'No': -4.4098964, 'Yes': -5.9825954, ' The': -6.97365}
{' Yes': -0.13872516, ' No': -2.0995767, 'Yes': -5.436939, 'No': -6.630113, ' The': -7.5090785}
{' No': -0.5452253, ' Yes': -0.8888494, 'No': -5.1841393, 'Yes': -6.287525, ' The': -7.026493}
{' Yes': -0.018760713, ' No': -4.5122604, 'Yes': -5.2653174, '\n': -6.936801, ' The': -7.280315}
{' Yes': -0.15608482, ' No': -2.0001628, 'Yes': -5.6537957, ' The': -5.9117513, 'No': -6.399325}
{' Yes': -0.032209057, ' No': -3.7740493, 'Yes': -5.1177955, '\n': -6.365024, ' The': -7.8517795}
{' Yes': -0.0092318095, 'Yes': -4.7336197, '\n': -8.537102, ' yes': -9.422764, ' No': -9.796747}
{' No': -0.049046345, ' Yes': -3.252461, 'No': -4.7634783, 'Yes': -8.491035, '\n': -8.946975}
{' No': -0.18139452, ' Yes': -1.8885553, 'No': -4.360311, 'Yes': -6.9011917, ' The': -7.7810707}
{' No': -0.021264669, 'No': -4.3090777, ' Yes': -4.9909434, ' The': -8.133599, ' Not': -8.234479}
{' No': -0.016380679, 'No': -4.4092026, ' Yes': -5.545134, ' The': -9.333309, 'Yes': -10.388636}
{' Yes': -0.004096335, 'Yes': -5.611481, ' No': -8.199658, ' yes': -9.509768, ' The': -9.840246}
{' Yes': -0.009231207, ' No': -5.021238, 'Yes': -6.0199385, ' yes': -9.616937, ' The': -10.220647}
{' No': -0.0142736705, 'No': -4.8830895, ' Yes': -5.110791, ' The': -8.480409, ' Unfortunately': -9.35039}
{' Yes': -0.2242988, ' No': -1.6272606, 'Yes': -6.0447116, 'No': -6.820148, ' The': -7.548687}
{' No': -0.10968472, ' Yes': -2.4044845, 'No': -4.3778405, 'Yes': -7.33344, ' The': -8.6361475}
{' No': -0.02339646, ' Yes': -4.168303, 'No': -4.905122, ' The': -9.10157, 'Yes': -9.541304}
{' No': -0.031304263, ' Yes': -3.9055355, 'No': -4.578017, 'Yes': -9.110754, '\n': -9.502794}
{' Yes': -0.6108643, ' No': -0.8094173, 'No': -5.005676, 'Yes': -5.647033, ' The': -6.7461786}
{' Yes': -0.017119102, ' No': -4.4860654, 'Yes': -5.2253594, 'No': -8.980246, ' The': -9.189613}
{' Yes': -0.6005195, ' No': -0.80821824, 'No': -5.812378, 'Yes': -6.2090554, ' The': -7.4991474}
{' Yes': -0.13686213, ' No': -2.093588, 'Yes': -5.891815, 'No': -6.9838142, ' "': -7.9486213}
{' No': -0.025330182, ' Yes': -4.005675, 'No': -5.067984, ' The': -8.393969, '\n': -9.2503605}
{' No': -0.097133696, ' Yes': -2.4818249, 'No': -4.813001, 'Yes': -7.963672, ' The': -8.68746}
{' No': -0.006552402, 'No': -5.2909284, ' Yes': -6.5893726, ' The': -10.196792, ' Not': -10.750069}
{' Yes': -0.21511412, ' No': -1.672193, 'Yes': -6.024831, 'No': -6.4410415, ' The': -6.7463565}
{' No': -0.023579521, ' Yes': -4.3442316, 'No': -4.6301184, ' The': -8.102127, ' Not': -9.27525}
{' Yes': -0.13986076, ' No': -2.0608795, 'Yes': -6.3144703, 'No': -7.721635, ' The': -7.892468}
{' Yes': -0.042409778, ' No': -3.26737, 'Yes': -5.865175, 'No': -8.481346, ' The': -8.855915}
{' Yes': -0.031087132, ' No': -3.6513493, 'Yes': -5.45716, 'No': -8.24303, ' yes': -9.714214}
{' No': -0.012433826, 'No': -4.5616493, ' Yes': -6.3717723, ' The': -8.922103, ' Not': -10.891955}
{' No': -0.16435096, ' Yes': -1.9465965, 'No': -4.984202, ' The': -7.20279, 'Yes': -7.4032655}
{' No': -0.2640455, ' Yes': -1.5100381, 'No': -4.8527675, ' The': -6.4456244, 'Yes': -6.718837}
{' Yes': -0.07148951, ' No': -2.7126446, 'Yes': -6.2259154, 'No': -7.9992847, ' The': -9.110437}
{' Yes': -0.11852806, ' No': -2.2363756, 'Yes': -5.726398, 'No': -6.9734664, ' The': -7.9944186}
{' No': -0.29771712, ' Yes': -1.3739346, 'No': -5.8948812, ' The': -7.168441, 'Yes': -7.5556417}
{' No': -0.021095905, ' Yes': -4.1733365, 'No': -5.304072, ' The': -8.410555, ' ': -9.544649}
{' No': -0.037540667, ' Yes': -3.8012695, 'No': -4.3004627, '\n': -8.157042, ' The': -8.261131}
{' No': -0.010810083, 'No': -4.934804, ' Yes': -5.6921945, ' The': -9.494981, ' ': -10.310187}
{' Yes': -0.0036805847, 'Yes': -5.7385974, ' No': -8.010425, ' yes': -9.60164, ' The': -10.383972}
{' Yes': -0.034076598, ' No': -3.5040166, 'Yes': -5.814396, 'No': -8.40823, ' The': -9.288256}
{' No': -0.33610675, ' Yes': -1.2815946, 'No': -5.1777244, 'Yes': -6.608129, ' The': -7.731908}
{' No': -0.0096107535, 'No': -4.788572, ' Yes': -6.7835307, ' The': -10.130399, ' Not': -10.679656}
{' No': -0.056760684, ' Yes': -3.067331, 'No': -4.831323, 'Yes': -8.349671, ' Not': -8.67605}
{' Yes': -0.010083159, 'Yes': -4.962392, ' No': -5.861781, ' The': -9.70778, ' yes': -9.812209}
{' Yes': -0.0035872043, 'Yes': -5.719697, ' No': -8.527429, ' yes': -9.689599, ' The': -10.657138}
{' No': -0.024946522, ' Yes': -4.0914555, 'No': -4.9738545, ' Not': -7.700182, ' The': -8.4897175}
{' No': -0.103666395, ' Yes': -2.4125385, 'No': -4.8190303, 'Yes': -7.785389, ' Not': -9.015657}
{' Yes': -0.27272853, ' No': -1.454394, 'Yes': -5.948027, 'No': -6.4129033, ' The': -7.3368764}
{' Yes': -0.085504316, ' No': -2.5498846, 'Yes': -5.792306, 'No': -7.7000666, ' The': -8.828038}
{' Yes': -0.0050433073, 'Yes': -5.721281, ' No': -6.5708537, ' The': -8.377932, ' yes': -9.462179}
{' No': -0.27828172, ' Yes': -1.4429469, 'No': -5.267839, 'Yes': -7.1371145, ' The': -7.9078283}
{' No': -0.016546585, 'No': -4.218378, ' Yes': -6.600006, ' The': -8.928801, ' Not': -9.489098}
{' Yes': -0.003483782, 'Yes': -5.982703, ' No': -7.1671968, ' yes': -9.097091, '\n': -10.646724}
{' Yes': -0.21268234, ' No': -1.6827867, 'Yes': -5.7362456, 'No': -6.322606, ' The': -8.084287}
{' No': -0.0535125, ' Yes': -3.0421958, 'No': -5.713798, ' The': -7.7293525, '\n': -8.311025}
{' No': -0.10183051, ' Yes': -2.3773088, 'No': -5.7262597, 'Yes': -7.75063, ' The': -8.598584}
{' No': -0.43013242, ' Yes': -1.0756383, 'No': -5.2043533, 'Yes': -6.4874, ' The': -7.159368}
{' No': -0.021360688, ' Yes': -4.147362, 'No': -5.299362, ' The': -9.341985, ' ': -9.722681}
{' No': -0.24538672, ' Yes': -1.5505853, 'No': -5.8132443, ' The': -6.8815885, 'Yes': -7.3061013}
{' No': -0.101701505, ' Yes': -2.378948, 'No': -5.7535276, ' The': -7.938407, 'Yes': -8.224439}
{' No': -0.053980507, ' Yes': -3.084807, 'No': -5.066647, 'Yes': -8.706075, ' Not': -9.384142}
{' No': -0.17296673, ' Yes': -1.8783083, 'No': -5.35826, 'Yes': -7.4176846, ' The': -7.735676}
{' No': -0.17124002, ' Yes': -1.9120829, 'No': -5.1542873, ' Not': -6.4845805, ' The': -6.5077453}
{' No': -0.44336912, ' Yes': -1.038708, 'No': -5.953898, 'Yes': -7.152666, ' The': -7.262523}
{' No': -0.0716814, ' Yes': -2.7501996, 'No': -5.3747835, 'Yes': -8.511156, ' The': -8.876407}
{' No': -0.6167995, ' Yes': -0.786071, 'No': -5.990952, 'Yes': -6.6211443, '\n': -8.030404}
{' No': -0.14527537, ' Yes': -2.0569348, 'No': -5.1033916, ' The': -7.611737, 'Yes': -7.728037}
{' No': -0.028903263, ' Yes': -3.9674654, 'No': -4.6925077, ' The': -8.837016, 'Yes': -9.232459}
{' No': -0.4501589, ' Yes': -1.0306585, 'No': -5.5077815, 'Yes': -6.6815505, ' The': -8.954295}
{' Yes': -0.005941825, ' No': -5.8333397, 'Yes': -5.8944798, ' The': -9.072403, ' yes': -9.594307}
{' No': -0.034149736, ' Yes': -3.5020754, 'No': -5.846033, ' The': -8.1452675, 'Yes': -9.613337}
{' No': -0.040857237, ' Yes': -3.416534, 'No': -5.07838, ' Not': -7.9031534, ' The': -8.261069}
{' No': -0.18330339, ' Yes': -1.8335662, 'No': -5.0617404, 'Yes': -7.513528, ' The': -8.001521}
{' No': -0.3457635, ' Yes': -1.2559769, 'No': -5.293418, 'Yes': -6.819171, ' The': -7.3180604}
{' No': -0.16623239, ' Yes': -1.9006759, 'No': -5.7738676, 'Yes': -7.9351034, ' The': -9.211465}
{' No': -0.013748946, ' Yes': -4.812468, 'No': -5.2238946, ' The': -9.670964, 'Yes': -10.387569}
{' Yes': -0.010317398, ' No': -5.07465, 'Yes': -5.645546, ' The': -8.400417, ' yes': -9.192155}
{' Yes': -0.008906108, ' No': -5.2231603, 'Yes': -5.8362813, ' The': -8.430068, '\n': -8.872384}
{' No': -0.026204647, ' Yes': -4.2008567, 'No': -4.5475917, 'Yes': -9.317134, ' The': -9.59986}
{' Yes': -0.34712812, ' No': -1.265421, 'No': -5.218969, 'Yes': -5.3179283, ' The': -7.642527}
{' No': -0.014312368, 'No': -4.6945434, ' Yes': -5.392417, ' Not': -8.445506, ' The': -8.815516}
{' No': -0.026603237, 'No': -3.9001324, ' Yes': -5.2125926, ' The': -8.795426, '\n': -8.935182}
{' No': -0.1059319, ' Yes': -2.424253, 'No': -4.5370917, 'Yes': -7.374416, ' "': -8.446917}
{' No': -0.09928184, ' Yes': -2.5576825, 'No': -4.1757855, 'Yes': -7.1901765, ' The': -7.7076116}
{' No': -0.17806983, ' Yes': -1.8477015, 'No': -5.5090537, ' The': -7.2528434, 'Yes': -7.86873}
{' Yes': -0.49999586, ' No': -0.9496475, 'No': -5.9418674, 'Yes': -6.2641764, ' The': -6.4773474}
{' No': -0.28247666, ' Yes': -1.4605564, 'No': -4.558014, 'Yes': -6.2608852, ' The': -7.1008735}
{' No': -0.008081065, 'No': -4.993604, ' Yes': -6.9267554, ' The': -9.072167, '\n': -9.772183}
{' No': -0.01027398, 'No': -4.593852, ' ': -10.098983, ' "': -10.824616, '\n': -11.080642}
{' No': -0.011096748, 'No': -4.519483, ' The': -9.836471, ' ': -10.770808, '\n': -11.005296}
