{' Yes': -0.0048690545, 'Yes': -5.7965517, ' No': -6.421077, ' The': -9.055835, ' yes': -10.524884}
{' Yes': -0.022047168, ' No': -4.403803, 'Yes': -4.7190266, 'No': -8.413567, ' The': -8.5567875}
{' No': -0.64523077, ' False': -1.0753627, 'No': -2.1255202, 'False': -4.216573, ' ': -8.782586}
{' No': -0.021217361, 'No': -3.8817825, ' Yes': -8.244467, ' ': -9.769257, ' Not': -10.717012}
{' Yes': -0.0089621, 'Yes': -4.7963347, ' No': -7.918389, ' The': -9.285516, ' ': -9.716943}
{' Yes': -0.008730764, 'Yes': -4.863862, ' No': -7.2189717, ' Rain': -9.384218, ' yes': -10.27453}
{' No': -0.013857361, 'No': -4.505568, ' Yes': -6.0387483, ' ': -9.244358, '\n': -9.453491}
{' No': -0.016589247, 'No': -4.125121, ' Yes': -8.385893, ' ': -10.684196, ' Not': -11.041263}
{' Yes': -0.03595828, ' No': -3.6808498, 'Yes': -4.6929517, 'No': -7.854916, ' Sure': -8.409481}
{' Yes': -0.051006652, ' No': -3.0763037, 'Yes': -5.752651, 'No': -8.655279, ' The': -8.843029}
{' Yes': -0.285226, ' No': -1.4253818, 'Yes': -5.554629, 'No': -5.950849, ' The': -7.0595345}
{' Yes': -0.070912786, ' No': -2.7512295, 'Yes': -5.799585, ' The': -7.3117023, 'No': -7.788732}
{' Yes': -0.484836, ' No': -0.9683528, 'No': -6.122148, 'Yes': -6.223947, ' The': -8.845054}
{' Yes': -0.005747095, 'Yes': -5.812168, ' No': -5.973778, ' The': -9.108374, ' yes': -10.157791}
{' No': -0.3099734, ' Yes': -1.3531463, 'No': -5.109139, 'Yes': -6.5383286, ' The': -8.2334}
{' Yes': -0.3708623, ' No': -1.1908925, 'Yes': -5.769952, 'No': -6.1636634, ' Not': -8.356256}
{' Yes': -0.0034416723, 'Yes': -5.7480874, ' No': -9.128139, ' yes': -9.732767, ' The': -10.232916}
{' Yes': -0.084892124, ' No': -2.624422, 'Yes': -4.8713264, 'No': -6.9220786, ' ': -8.967172}
{' Yes': -0.0016459792, 'Yes': -6.8742847, ' The': -7.689392, ' yes': -9.407888, ' No': -10.097097}
{' Yes': -0.0024396903, 'Yes': -6.317613, ' No': -7.684526, ' The': -9.57516, ' yes': -9.751577}
{' No': -0.01735633, 'No': -4.5453806, ' Yes': -5.055616, ' Not': -9.367987, 'Yes': -9.795903}
{' Yes': -0.14794117, ' No': -2.0224261, 'Yes': -5.5647593, 'No': -6.8515973, ' The': -9.232421}
{' Yes': -0.007964377, 'Yes': -5.015414, ' No': -7.4537725, ' The': -7.8394365, ' ': -9.507724}
{' Yes': -0.0050165895, 'Yes': -5.3230386, ' yes': -9.502899, '\n': -10.813196, ' ': -10.945101}
{' Yes': -0.0052473703, 'Yes': -5.36793, ' No': -7.6796093, ' The': -10.012903, ' yes': -10.166195}
{' Yes': -0.005037255, 'Yes': -5.641218, ' No': -6.5590987, ' yes': -10.38618, 'No': -11.492946}
{' Yes': -0.0071679144, 'Yes': -5.2106814, ' No': -6.6394973, ' Deer': -8.58069, ' yes': -9.605257}
{' Yes': -0.0058998517, 'Yes': -5.174216, ' yes': -9.769952, ' The': -9.814278, ' No': -10.054646}
{' Yes': -0.0029012514, 'Yes': -5.946242, ' No': -8.58358, ' yes': -10.042118, ' The': -10.4464245}
{' Yes': -0.0042422, 'Yes': -5.5410676, ' No': -8.523487, ' The': -9.968445, ' yes': -10.060377}
{' Yes': -0.006665864, 'Yes': -5.5663695, ' No': -5.925383, ' The': -9.702429, ' yes': -9.983979}
{' Yes': -0.1348446, ' No': -2.1222122, 'Yes': -5.278559, 'No': -7.1426716, ' The': -8.404324}
{' Yes': -0.0056629293, 'Yes': -5.521688, ' No': -6.5198183, ' The': -9.532205, ' yes': -10.100056}
{' Yes': -0.0048085027, 'Yes': -5.431064, ' No': -8.063011, ' yes': -9.917759, ' ': -11.000685}
{' Yes': -0.23701406, ' No': -1.5882903, 'Yes': -5.81335, 'No': -6.4878645, ' The': -6.869681}
{' Yes': -0.014574148, 'Yes': -4.9334087, ' No': -4.9608517, 'No': -9.558501, ' The': -9.828743}
{' Yes': -0.0015478921, 'Yes': -6.5160737, ' No': -10.4212, ' The': -11.129511, ' yes': -11.225734}
{' Yes': -0.011243636, 'Yes': -4.5242286, ' No': -8.29192, ' ': -10.224424, ' yes': -10.713152}
{' Yes': -0.3931804, ' No': -1.138536, 'Yes': -5.97886, 'No': -6.269956, ' The': -8.750236}
{' No': -0.16130807, ' Yes': -1.9775025, 'No': -4.699857, 'Yes': -6.83014, ' The': -8.933775}
{' Yes': -0.026133, ' No': -4.088694, 'Yes': -5.134306, ' Lion': -5.917059, 'No': -8.057941}
{' Yes': -0.06869951, ' No': -2.761685, 'Yes': -5.940015, 'No': -7.8946595, ' The': -9.032576}
{' Yes': -0.008685972, 'Yes': -4.8570786, ' No': -7.684782, ' The': -8.636601, ' yes': -9.620305}
{' Yes': -0.012941081, ' No': -4.9724693, 'Yes': -5.1986117, ' The': -8.923119, ' yes': -9.354537}
{' Yes': -0.011155692, 'Yes': -4.519323, ' The': -9.20988, ' No': -10.460963, ' yes': -10.461245}
{' Yes': -0.0037019427, 'Yes': -5.7152233, ' No': -8.359617, ' The': -9.286829, ' yes': -10.301305}
{' Yes': -0.0062182783, 'Yes': -5.6531253, ' No': -5.990814, ' The': -9.595242, ' yes': -10.240212}
{' Yes': -0.04242122, ' No': -3.457445, 'Yes': -4.720472, 'No': -7.459522, ' Wind': -7.971164}
{' Yes': -0.15310372, ' No': -1.9894435, 'Yes': -5.642859, 'No': -6.86476, ' The': -7.7675767}
{' Yes': -0.0025829817, 'Yes': -6.060438, ' No': -8.897192, ' The': -10.06702, ' yes': -10.250137}
{' No': -0.06305161, 'No': -2.944666, ' Yes': -4.8732395, 'Yes': -8.0744705, ' ': -8.920252}
{' Yes': -0.24565132, ' No': -1.5506821, 'Yes': -5.738304, 'No': -6.412098, ' The': -7.562914}
{' No': -0.18057935, ' Yes': -1.8350003, 'No': -5.417199, 'Yes': -7.279393, ' The': -8.26448}
{' Yes': -0.40130818, ' No': -1.1264918, 'Yes': -5.6493106, 'No': -6.026591, ' The': -8.501276}
{' Yes': -0.0028286227, 'Yes': -6.0383625, ' No': -8.065975, ' yes': -10.276985, ' ': -10.346724}
{' Yes': -0.043261673, ' No': -3.257804, 'Yes': -5.7013307, 'No': -7.730241, ' ': -10.523879}
{' Yes': -0.0044922004, 'Yes': -5.510937, ' No': -7.932646, ' yes': -10.163284, ' The': -10.913729}
{' Yes': -0.0030202158, 'Yes': -5.8305326, ' yes': -9.976602, ' ': -11.138665, ' No': -11.935419}
{' Yes': -0.006557983, 'Yes': -5.1690087, ' No': -7.277567, ' The': -9.853674, ' yes': -10.412113}
{' Yes': -0.026219942, ' No': -3.7362244, 'Yes': -6.3675337, ' The': -8.706937, 'No': -9.66154}
{' Yes': -0.016113458, ' No': -4.5504684, 'Yes': -5.3228416, ' The': -8.350019, 'No': -9.271063}
{' Yes': -0.0095979925, 'Yes': -4.6858997, ' No': -8.930691, ' yes': -9.520454, ' The': -9.913559}
{' Yes': -0.049632914, ' No': -3.0741305, 'Yes': -6.392289, ' The': -8.857674, 'No': -9.027939}
{' No': -0.26436475, ' Yes': -1.5047307, 'No': -4.792498, 'Yes': -6.317066, ' ': -10.143036}
{' Yes': -0.015166418, ' No': -4.5260878, 'Yes': -5.6008134, ' The': -7.875575, 'No': -9.808482}
{' Yes': -0.015014233, 'Yes': -4.299625, ' No': -7.306417, ' So': -7.7187605, ' yes': -9.461804}
{' Yes': -0.009026032, 'Yes': -4.790653, ' No': -7.5787697, ' ': -9.952873, ' yes': -10.066402}
{' Yes': -0.010388283, 'Yes': -4.5865374, ' The': -9.813152, ' yes': -10.31596, ' ': -10.505913}
{' No': -0.020773076, 'No': -4.145403, ' Yes': -5.374679, 'Yes': -9.757778, ' ': -10.91681}
{' No': -0.040928762, ' Yes': -3.9202888, 'No': -3.9228487, 'Yes': -7.910739, ' ': -10.208467}
{' Yes': -0.099241816, ' No': -2.39926, 'Yes': -5.82691, 'No': -7.918034, ' The': -8.237976}
{' Yes': -0.009184225, ' No': -5.298311, 'Yes': -5.546114, ' The': -9.380516, ' yes': -9.949318}
{' Yes': -0.34856212, ' No': -1.2419755, 'Yes': -5.6579604, 'No': -6.3282905, ' The': -9.141934}
{' Yes': -0.053466722, ' No': -3.0215015, 'Yes': -5.799495, 'No': -8.523422, ' The': -10.11931}
{' Yes': -0.3193289, ' No': -1.316794, 'Yes': -5.814387, 'No': -6.4836645, ' The': -7.5865874}
{' No': -0.09382177, ' Yes': -2.4772084, 'No': -5.3253794, 'Yes': -7.752162, ' The': -9.041236}
{' Yes': -0.00256834, 'Yes': -6.3790116, ' No': -7.124402, ' yes': -10.684764, ' The': -11.069617}
{' Yes': -0.007315008, ' No': -5.266651, 'Yes': -6.2915745, ' The': -8.609631, ' yes': -10.099276}
{' Yes': -0.16274446, ' No': -1.940586, 'Yes': -5.361654, 'No': -6.4857006, ' The': -8.883231}
{' No': -0.467057, ' Yes': -1.0388572, 'No': -4.240874, 'Yes': -5.425383, ' The': -8.621111}
{' Yes': -0.5345169, ' No': -0.8967588, 'No': -5.7417345, 'Yes': -6.19066, ' The': -7.627073}
{' Yes': -0.6830981, ' No': -0.7131638, 'No': -5.9252777, 'Yes': -6.3837514, ' The': -8.290813}
{' Yes': -0.20061973, ' No': -1.7274884, 'Yes': -5.930981, 'No': -7.0420117, ' The': -7.9909577}
{' No': -0.021521091, 'No': -3.9118216, ' Yes': -6.743365, 'Yes': -10.241367, '\n': -10.85754}
{' Yes': -0.38682464, ' No': -1.1619483, 'Yes': -5.7190213, 'No': -6.16247, ' The': -6.3935723}
{' Yes': -0.25252643, ' No': -1.549203, 'Yes': -4.87996, 'No': -6.0183377, ' The': -7.885201}
{' Yes': -0.009613339, 'Yes': -5.1701126, ' No': -6.028061, ' Dive': -6.73401, ' The': -9.279009}
{' Yes': -0.10107319, ' No': -2.8989036, 'Yes': -3.5112371, ' Dive': -4.793725, 'No': -6.306758}
{' Yes': -0.00878085, 'Yes': -4.771936, ' The': -8.611827, ' yes': -10.0628195, ' No': -10.795831}
{' Yes': -0.0038470936, 'Yes': -5.6224475, ' No': -8.913568, ' yes': -10.01452, ' ': -10.762114}
{' Yes': -0.022820644, 'Yes': -3.9285307, ' No': -6.0261545, 'No': -9.312514, ' Bush': -9.433675}
{' Yes': -0.006855433, 'Yes': -5.1883473, ' No': -6.9341025, ' Bush': -9.329805, ' The': -9.507425}
{' Yes': -0.07258114, ' No': -2.7397869, 'Yes': -5.493853, 'No': -7.1230435, ' The': -8.068203}
{' Yes': -0.0014937479, 'Yes': -6.8090186, ' No': -8.3171015, ' The': -9.670649, ' yes': -10.426639}
{' No': -0.1779526, ' Yes': -1.9124342, 'No': -4.304421, 'Yes': -6.6424737, ' The': -8.249867}
{' Yes': -0.018679516, 'Yes': -4.182685, ' No': -5.809386, 'No': -9.537064, ' ': -9.930836}
{' Yes': -0.013837234, ' No': -4.7242312, 'Yes': -5.3663855, 'No': -9.508029, ' yes': -10.059146}
{' Yes': -0.0067687146, 'Yes': -5.121383, ' No': -7.3204904, ' The': -10.074861, ' yes': -10.444102}
{' No': -0.16508508, 'No': -1.9041388, ' Not': -5.887445, ' Yes': -8.664833, ' Unfortunately': -9.211622}
{' No': -0.007502056, 'No': -5.1298833, ' Yes': -6.9772544, ' Not': -8.306459, ' Unfortunately': -8.632906}
{' No': -0.0444296, ' Yes': -3.4230206, 'No': -4.56472, 'Yes': -8.433525, ' The': -9.18715}
{' Yes': -0.052735332, ' No': -3.134524, 'Yes': -4.9682264, 'No': -7.336558, '\n': -9.049879}
{' No': -0.16155057, ' Yes': -2.0478876, 'No': -4.0900135, ' The': -6.6815715, 'Yes': -6.6904984}
{' No': -0.25291917, ' Yes': -1.520978, 'No': -5.7285814, 'Yes': -6.9723577, ' The': -7.4586897}
{' Yes': -0.0066376617, 'Yes': -5.15679, ' No': -7.1629615, ' yes': -10.143454, ' The': -11.151775}
{' Yes': -0.11299528, ' No': -2.2859251, 'Yes': -5.5374794, 'No': -7.0949497, ' The': -8.41596}
{' No': -0.118954405, ' Yes': -2.2690742, 'No': -4.857363, 'Yes': -7.34788, ' The': -8.809715}
{' Yes': -0.16587849, ' No': -1.9081765, 'Yes': -5.7508707, 'No': -7.046488, ' The': -8.222883}
{' Yes': -0.004119017, 'Yes': -5.7078676, ' No': -7.283082, ' The': -10.139876, ' yes': -10.323346}
{' Yes': -0.0063474774, ' No': -5.6063337, 'Yes': -6.0014496, ' The': -9.572304, ' yes': -9.7993355}
{' Yes': -0.008452895, 'Yes': -4.789718, ' yes': -10.219226, ' The': -10.814815, ' ': -10.95268}
{' Yes': -0.009767895, 'Yes': -4.6403317, ' yes': -10.295603, ' ': -11.307685, ' YES': -11.471354}
{' Yes': -0.02587674, ' No': -3.8710132, 'Yes': -5.413112, 'No': -8.850589, ' yes': -10.345471}
{' Yes': -0.044798255, ' No': -3.2551365, 'Yes': -5.4394035, 'No': -7.9826946, ' The': -8.355919}
{' Yes': -0.007150147, 'Yes': -5.2355394, ' No': -6.503831, ' yes': -9.002513, ' ': -9.508073}
{' Yes': -0.0035229605, 'Yes': -5.8000984, ' No': -7.989151, ' The': -9.678368, ' yes': -9.939155}
{' No': -0.04093243, ' Yes': -3.498406, 'No': -4.8636823, ' The': -7.266823, ' Unfortunately': -7.788359}
{' Yes': -0.03862635, ' No': -3.4480462, 'Yes': -5.2246175, 'No': -8.044292, ' The': -8.630935}
{' Yes': -0.0016848478, 'Yes': -6.4412193, ' No': -10.336166, ' yes': -10.346745, ' The': -11.487093}
{' Yes': -0.0055302843, 'Yes': -5.219308, ' yes': -9.838361, ' ': -10.48705, '\n': -11.5500965}
{' No': -0.59746516, ' Yes': -0.8326489, 'No': -4.620813, 'Yes': -5.481895, ' The': -7.7700033}
{' Yes': -0.018805595, 'Yes': -4.4337873, ' No': -5.2921476, ' Last': -6.78023, ' The': -8.075731}
{' No': -0.38608164, ' Yes': -1.2006646, 'No': -4.3534966, 'Yes': -6.046651, ' Door': -6.1457744}
{' No': -0.57864827, ' Yes': -0.8710983, ' Door': -4.70031, 'No': -4.8132234, 'Yes': -6.0064}
{' No': -0.15328732, ' Yes': -2.0144973, 'No': -5.0668383, 'Yes': -6.2648096, ' The': -8.445735}
{' No': -0.22778338, ' Yes': -1.6247712, 'No': -5.3872395, 'Yes': -6.2818527, ' The': -8.978861}
{' No': -0.20500879, ' Yes': -1.7187872, 'No': -5.351157, 'Yes': -7.0934153, ' The': -8.479753}
{' Yes': -0.2924147, ' No': -1.4008454, 'Yes': -5.447812, 'No': -6.2871575, ' The': -7.65597}
{' Yes': -0.00946705, ' No': -5.173192, 'Yes': -5.638611, ' yes': -9.6377535, ' The': -9.732746}
{' Yes': -0.071481764, ' No': -2.7664127, 'Yes': -5.29404, 'No': -7.2894125, ' The': -8.48507}
{' Yes': -0.0128255775, ' No': -4.855307, 'Yes': -5.340464, 'No': -9.641195, ' yes': -10.017472}
{' Yes': -0.0054958225, ' No': -5.909598, 'Yes': -5.9281583, ' yes': -10.069895, ' The': -10.744691}
{' Yes': -0.00593493, 'Yes': -5.3353224, ' No': -7.2554064, ' Most': -8.160224, ' The': -10.209592}
{' Yes': -0.012562442, 'Yes': -5.187762, ' Most': -5.3636994, ' No': -6.229777, ' The': -9.192482}
{' Yes': -0.23247918, ' No': -1.5989226, 'Yes': -5.7614384, 'No': -6.3688426, ' The': -8.613237}
{' Yes': -0.012985884, ' No': -4.6131234, 'Yes': -5.8844566, ' yes': -9.559034, 'No': -10.038195}
{' No': -0.13771258, ' Yes': -2.1068385, 'No': -5.1106205, 'Yes': -7.3940144, ' The': -8.648836}
{' Yes': -0.106093794, ' No': -2.3595898, 'Yes': -5.276441, 'No': -7.0411596, ' The': -9.258029}
{' Yes': -0.013931278, ' No': -4.4756775, 'Yes': -6.260297, ' The': -8.242082, ' ': -9.620074}
{' Yes': -0.003688781, 'Yes': -5.7012362, ' No': -8.36779, ' yes': -10.18959, '\n': -10.679161}
{' Yes': -0.60447216, ' No': -0.8210306, 'No': -4.882216, 'Yes': -5.3612413, ' Lawn': -7.219773}
{' Yes': -0.61377794, ' No': -0.79369813, 'No': -5.6322355, 'Yes': -5.966389, ' The': -8.767024}
{' No': -0.25246572, ' Yes': -1.5567449, 'No': -4.578489, 'Yes': -6.4902925, ' ': -8.881101}
{' No': -0.101018384, ' Yes': -2.4571338, 'No': -4.7020545, 'Yes': -7.671907, ' The': -7.700948}
{' Yes': -0.004601355, 'Yes': -5.6257997, ' No': -6.9875073, ' yes': -10.59506, ' The': -11.070528}
{' Yes': -0.0027871416, 'Yes': -5.9055004, ' yes': -10.482714, ' The': -11.215265, ' No': -12.038843}
{' Yes': -0.016557733, ' No': -4.3945904, 'Yes': -5.6455054, ' The': -8.170225, ' yes': -9.399977}
{' Yes': -0.005035218, 'Yes': -5.4081054, ' No': -7.897638, ' yes': -9.664378, '\n': -9.9522505}
{' Yes': -0.038245477, ' No': -3.3873856, 'Yes': -5.6711283, 'No': -8.63336, ' The': -10.024343}
{' Yes': -0.0077998433, 'Yes': -5.2878385, ' No': -5.9583592, ' The': -9.968362, ' yes': -10.370375}
{' Yes': -0.009421444, 'Yes': -4.7414503, ' No': -7.417275, ' yes': -10.867972, 'No': -11.336648}
{' Yes': -0.050527237, ' No': -3.070274, 'Yes': -5.987724, 'No': -8.474143, ' The': -9.583039}
{' Yes': -0.45923993, ' No': -1.0198976, 'Yes': -5.670128, 'No': -6.125179, ' The': -6.3819733}
{' No': -0.09155882, ' Yes': -2.7318575, 'No': -3.8621063, 'Yes': -6.916859, ' ': -8.941584}
{' Yes': -0.10436329, ' No': -2.3907554, 'Yes': -5.0884886, 'No': -6.7932935, ' ': -9.27629}
{' Yes': -0.26452774, ' No': -1.5153879, 'Yes': -4.7748733, 'No': -5.5068216, ' ': -9.776768}
{' Yes': -0.07984571, ' No': -2.6172736, 'Yes': -5.7753463, 'No': -7.761133, ' The': -9.095942}
{' Yes': -0.18314838, ' No': -1.8169031, 'Yes': -5.7021837, 'No': -6.852856, ' The': -8.4028015}
{' Yes': -0.006934473, 'Yes': -5.6124525, ' No': -5.7657156, ' The': -9.748393, ' yes': -10.835637}
{' Yes': -0.053617455, ' No': -3.0994473, 'Yes': -5.071823, 'No': -7.5806694, ' The': -8.729385}
{' Yes': -0.0020006802, 'Yes': -6.3440566, ' No': -8.634192, ' yes': -10.666446, ' The': -10.720897}
{' Yes': -0.0033132678, ' No': -6.4672227, 'Yes': -6.57864, ' The': -8.355989, ' yes': -9.985947}
{' Yes': -0.0033073458, 'Yes': -5.847664, ' The': -8.632286, ' No': -8.882992, ' yes': -9.632914}
{' Yes': -0.022957677, ' No': -4.2952757, 'Yes': -4.82536, ' The': -7.8967805, ' yes': -8.5770035}
{' Yes': -0.011303071, ' No': -4.9922657, 'Yes': -5.535709, ' The': -7.8175106, 'No': -10.098749}
{' Yes': -0.0024557628, 'Yes': -6.0423346, ' The': -10.293008, ' yes': -10.719668, ' No': -11.583595}
{' No': -0.7036332, ' Yes': -0.71259016, 'No': -4.7386656, 'Yes': -5.374402, ' The': -6.7791166}
{' Yes': -0.0033855138, ' No': -6.2151637, 'Yes': -6.650432, ' The': -9.878338, ' yes': -11.757352}
{' Yes': -0.01943496, 'Yes': -4.2372866, ' No': -5.401147, 'No': -8.955373, ' ': -9.270473}
{' Yes': -0.0034415522, 'Yes': -5.9206796, ' No': -7.3562665, ' The': -9.511311, ' yes': -10.884237}
{' No': -0.22907788, ' Yes': -1.6706136, 'No': -4.406215, ' Not': -6.609597, 'Yes': -6.6333404}
{' Yes': -0.003991243, 'Yes': -5.5529103, ' The': -10.143933, ' No': -10.48555, ' yes': -10.536956}
{' Yes': -0.0060326084, 'Yes': -5.1254835, ' No': -10.553311, ' yes': -11.298663, ' Wife': -11.387078}
{' Yes': -0.36904672, ' No': -1.1859223, 'Yes': -6.4534254, 'No': -6.709613, ' The': -8.248397}
{' Yes': -0.0014089859, 'Yes': -6.6061373, ' yes': -10.521165, ' The': -11.420269, ' No': -11.792044}
{' Yes': -0.0021705495, 'Yes': -6.258716, ' No': -8.736387, ' The': -9.949985, ' yes': -10.39079}
{' Yes': -0.050818373, ' No': -3.1163414, 'Yes': -5.425292, 'No': -7.777998, ' The': -8.333306}
{' Yes': -0.0034212791, 'Yes': -5.7635045, ' No': -8.353925, ' yes': -10.784152, ' ': -11.693548}
{' Yes': -0.0012046933, 'Yes': -6.7604876, ' yes': -10.720078, ' The': -11.374744, ' No': -11.938504}
{' Yes': -0.7776687, ' No': -0.84894264, 'No': -2.7954051, 'Yes': -3.3362184, ' Possible': -5.2526107}
{' Yes': -0.0013874401, 'Yes': -6.7683735, ' No': -8.542915, ' yes': -10.746771, ' ': -11.466473}
{' Yes': -0.014398108, ' No': -4.556501, 'Yes': -5.804382, ' The': -7.517116, 'No': -9.511304}
{' Yes': -0.0027542054, 'Yes': -5.936998, ' No': -9.622775, ' The': -10.834365, ' yes': -11.032737}
{' Yes': -0.0026789606, 'Yes': -5.9444437, ' yes': -10.333811, ' The': -11.502708, ' ': -11.988991}
{' Yes': -0.0149786575, ' No': -4.635622, 'Yes': -5.3449764, ' The': -8.32321, 'No': -9.2735}
{' Yes': -0.006468892, 'Yes': -5.1513376, ' No': -7.702384, ' yes': -9.45728, ' The': -9.790479}
{' No': -0.04288818, ' Yes': -3.8585467, 'No': -3.9116967, ' Not': -7.8666167, 'Yes': -8.240018}
{' Yes': -0.021282503, ' No': -4.096903, 'Yes': -5.471258, 'No': -8.905424, ' The': -10.000298}
{' Yes': -0.048920147, ' No': -3.0896037, 'Yes': -6.750349, ' The': -7.186325, 'No': -8.767576}
{' Yes': -0.005150125, 'Yes': -5.7527885, ' No': -6.2788916, ' The': -10.290184, ' yes': -10.653419}
{' Yes': -0.0012918236, 'Yes': -6.6800537, ' yes': -11.143607, ' The': -11.4883175, ' No': -12.025789}
{' Yes': -0.003777627, 'Yes': -5.814173, ' No': -7.3272333, ' The': -9.398647, ' yes': -10.737695}
{' Yes': -0.0023630937, 'Yes': -6.2342386, ' No': -8.059835, ' The': -9.7453375, ' yes': -11.016347}
{' Yes': -0.0016996549, 'Yes': -6.410536, ' The': -10.645082, ' yes': -10.915745, ' No': -11.958517}
{' Yes': -0.06618104, 'Yes': -2.7660787, ' No': -6.878011, 'No': -9.528652, ' yes': -11.845266}
{' Yes': -0.0073436485, ' No': -5.3393784, 'Yes': -6.0272846, ' The': -9.813675, 'No': -10.861063}
{' Yes': -0.0018301817, 'Yes': -6.3415914, ' yes': -10.265275, ' The': -10.838391, ' ': -11.931996}
{' Yes': -0.0016290843, 'Yes': -6.461357, ' No': -10.156206, ' yes': -11.09435, ' ': -12.254416}
{' Yes': -0.0050464817, ' No': -5.8196344, 'Yes': -6.2504473, ' The': -9.692179, ' yes': -10.426703}
{' Yes': -0.033757195, ' No': -3.5249777, 'Yes': -5.7292867, 'No': -8.32758, ' The': -8.90676}
{' Yes': -0.0018953899, 'Yes': -6.354585, ' The': -9.337848, ' No': -10.29798, ' yes': -10.639304}
{' Yes': -0.0069719264, ' No': -5.295784, 'Yes': -6.2822976, 'No': -10.6612835, ' The': -11.280329}
{' No': -0.058997415, ' False': -3.3181677, 'No': -3.8777323, 'False': -8.109975, ' ': -9.567437}
{' No': -0.016212016, 'No': -4.2279277, ' Yes': -6.575763, ' ': -10.387279, ' Not': -10.630818}
{' Yes': -0.00374101, 'Yes': -5.668162, ' No': -8.927309, ' The': -9.396568, ' Rain': -10.674886}
{' Yes': -0.0046233316, 'Yes': -5.397754, ' No': -10.375574, ' Rain': -11.038704, ' yes': -11.03878}
{' No': -0.035203155, ' Yes': -3.5583563, 'No': -5.235976, ' The': -8.476064, ' Verb': -8.806522}
{' No': -0.00808509, 'No': -5.298256, ' Yes': -5.811636, ' ': -10.816691, ' Not': -11.028525}
{' Yes': -0.004060604, 'Yes': -5.692151, ' No': -7.56335, ' Sure': -9.395638, ' Absolutely': -10.376161}
{' Yes': -0.011518124, ' No': -4.6381946, 'Yes': -6.4558783, ' The': -8.816331, 'No': -10.594512}
{' Yes': -0.005340487, 'Yes': -5.5682316, ' No': -6.7367682, ' The': -8.301573, ' yes': -10.605981}
{' Yes': -0.0036728673, 'Yes': -5.909721, ' No': -7.173857, ' The': -9.306079, ' yes': -9.962577}
{' Yes': -0.04387823, ' No': -3.21326, 'Yes': -6.098485, 'No': -8.491015, ' The': -8.774545}
{' Yes': -0.002704122, 'Yes': -6.215951, ' No': -7.4508905, ' The': -9.45758, ' yes': -10.840491}
{' Yes': -0.041748762, ' No': -3.3005435, 'Yes': -5.660052, 'No': -8.299055, ' The': -8.608567}
{' Yes': -0.013849142, ' No': -4.526394, 'Yes': -5.9425344, ' The': -8.929709, 'No': -9.862266}
{' Yes': -0.0023359074, 'Yes': -6.1009736, ' yes': -10.002448, ' The': -10.525382, ' ': -11.834573}
{' Yes': -0.0057966737, 'Yes': -5.466074, ' No': -6.5726504, ' yes': -9.98016, ' The': -10.014}
{' Yes': -0.001600725, 'Yes': -6.6840267, ' The': -8.263174, ' yes': -9.671257, ' ': -11.616544}
{' Yes': -0.0016745188, 'Yes': -6.479099, ' The': -9.634645, ' yes': -10.369278, ' No': -10.439507}
{' No': -0.1575717, ' Yes': -1.9770736, 'No': -5.072225, 'Yes': -7.170587, ' Not': -9.249979}
{' Yes': -0.008365318, ' No': -5.4962497, 'Yes': -5.522651, ' The': -9.183051, 'No': -10.022952}
{' Yes': -0.005113999, 'Yes': -5.366684, ' The': -8.925673, ' No': -9.221302, ' ': -9.546698}
{' Yes': -0.0019386887, 'Yes': -6.285183, ' yes': -10.115927, ' The': -10.848652, ' ': -12.309114}
{' Yes': -0.0028524145, 'Yes': -5.8939424, ' No': -10.093148, ' yes': -10.512601, ' The': -11.017409}
{' Yes': -0.0026928245, 'Yes': -6.1127634, ' No': -7.73993, ' yes': -10.715695, ' The': -11.733816}
{' Yes': -0.0033045956, 'Yes': -5.792138, ' No': -8.876704, ' The': -9.79411, ' yes': -10.322894}
{' Yes': -0.002813498, 'Yes': -5.893438, ' yes': -10.493032, ' The': -11.172334, ' ': -12.284959}
{' Yes': -0.0021171486, 'Yes': -6.198997, ' yes': -10.359277, ' The': -10.48318, ' No': -11.082256}
{' Yes': -0.0025262723, 'Yes': -6.0416336, ' The': -9.643349, ' No': -10.015908, ' yes': -10.528408}
{' Yes': -0.0031769865, 'Yes': -5.890352, ' No': -8.029273, ' The': -10.01307, ' yes': -10.58261}
{' Yes': -0.004415625, 'Yes': -5.8144526, ' No': -6.647753, ' The': -9.538959, ' yes': -10.631489}
{' Yes': -0.0025153363, 'Yes': -6.0632033, ' No': -8.947294, ' The': -10.417671, ' yes': -11.251525}
{' Yes': -0.0015000162, 'Yes': -6.533566, ' yes': -10.964911, ' No': -10.971829, ' The': -12.590466}
{' Yes': -0.04632895, ' No': -3.1865113, 'Yes': -5.7253733, 'No': -8.048362, ' The': -8.569211}
{' Yes': -0.0035595666, 'Yes': -5.8047066, ' No': -7.8459716, ' The': -9.232733, ' yes': -10.757481}
{' Yes': -0.0014543528, 'Yes': -6.5776415, ' The': -10.654401, ' No': -10.949809, ' yes': -11.159087}
{' Yes': -0.00698009, 'Yes': -4.977576, ' No': -10.622689, ' The': -11.199846, ' yes': -11.271942}
{' Yes': -0.043305553, ' No': -3.223718, 'Yes': -6.107751, 'No': -8.62511, ' The': -9.149226}
{' Yes': -0.29717824, ' No': -1.3732966, 'Yes': -6.084501, 'No': -6.711471, ' The': -8.702577}
