{' Yes': -0.0011963383, 'Yes': -7.0440254, ' The': -8.79854, ' yes': -9.431768, ' No': -9.676268}
{' Yes': -0.005931272, 'Yes': -5.150186, ' yes': -9.361772, '\n': -11.754886, ' ': -11.799661}
{' Yes': -0.0054225256, 'Yes': -5.253374, ' yes': -9.2053585, '\n': -10.898485, ' The': -11.07909}
{' Yes': -0.0064003235, 'Yes': -5.3035, ' No': -6.711547, ' yes': -9.3814, ' The': -10.177012}
{' Yes': -0.004286376, 'Yes': -5.6852136, ' No': -7.630831, ' yes': -8.702946, ' The': -9.058678}
{' Yes': -0.0047837053, 'Yes': -5.4141827, ' yes': -8.635471, '\n': -9.989111, ' The': -10.008629}
{' Yes': -0.0038815588, 'Yes': -5.68181, ' yes': -8.640489, ' No': -9.413697, '\n': -9.608948}
{' Yes': -0.0054142564, 'Yes': -5.2887907, ' yes': -8.83426, '\n': -9.704246, ' No': -9.769164}
{' Yes': -0.0024852215, 'Yes': -6.151851, ' The': -8.675613, ' yes': -9.177952, ' No': -10.067515}
{' Yes': -0.005977262, 'Yes': -5.354097, ' No': -6.9214015, ' yes': -9.4938135, ' The': -9.564807}
{' Yes': -0.063656166, ' No': -2.9082606, 'Yes': -5.2560563, 'No': -7.23196, ' The': -7.6151633}
{' No': -0.4403669, ' Yes': -1.0483972, 'No': -5.9931545, ' The': -6.4933414, 'Yes': -7.010837}
{' Yes': -0.021107534, ' No': -4.19617, 'Yes': -5.295127, ' The': -8.014463, ' yes': -8.445601}
{' Yes': -0.007417383, 'Yes': -5.0625415, '\n': -7.9011183, ' yes': -8.005664, ' "': -9.19654}
{' Yes': -0.0076182648, 'Yes': -5.012951, ' No': -7.617584, ' yes': -8.454269, ' The': -9.217651}
{' Yes': -0.013187224, ' No': -5.0568976, 'Yes': -5.070976, ' yes': -9.024058, ' The': -9.415869}
{' Yes': -0.00608556, 'Yes': -5.602174, ' No': -6.324523, ' The': -8.258128, '\n': -9.036952}
{' Yes': -0.0055344803, 'Yes': -5.223937, ' yes': -9.449336, ' The': -10.860627, ' YES': -11.549133}
{' Yes': -0.004523634, 'Yes': -5.438796, ' yes': -9.178239, '\n': -10.8000555, ' ': -11.29063}
{' Yes': -0.003935291, 'Yes': -5.595633, ' yes': -9.364262, ' The': -10.077518, '\n': -10.104788}
{' Yes': -0.0039369646, 'Yes': -5.7258315, ' No': -7.966026, ' yes': -9.056547, '\n': -9.29386}
{' Yes': -0.23121443, ' No': -1.696743, 'Yes': -4.395664, 'No': -4.9973946, ' The': -6.299243}
{' No': -0.13717274, ' Yes': -2.2350292, 'No': -4.1726837, '\n': -5.6932254, 'Yes': -6.62533}
{' No': -0.0495146, ' Yes': -3.3654377, 'No': -4.478727, '\n': -6.728935, ' The': -7.6722407}
{' Yes': -0.020303622, 'Yes': -4.103952, ' No': -5.786618, ' yes': -8.847913, ' The': -9.089612}
{' Yes': -0.005295305, 'Yes': -5.290592, ' yes': -8.821272, ' The': -9.987814, ' No': -11.274328}
{' Yes': -0.009436606, 'Yes': -4.8110476, ' yes': -8.040177, ' No': -8.156987, '\n': -8.379945}
{' Yes': -0.0068326867, 'Yes': -5.521088, ' No': -6.262175, ' The': -7.7475452, ' yes': -8.622673}
{' Yes': -0.25186723, ' No': -1.5536003, 'Yes': -5.047859, 'No': -5.622602, ' The': -7.5952907}
{' Yes': -0.030998964, ' No': -3.8624182, 'Yes': -4.757458, 'No': -7.706688, '\n': -8.773128}
{' Yes': -0.17321293, ' No': -1.9067353, 'Yes': -5.0818524, 'No': -6.087071, ' The': -6.703984}
{' Yes': -0.050425235, 'Yes': -4.0531526, ' No': -4.1582117, '\n': -4.3411913, ' "': -6.856623}
{' Yes': -0.01658234, 'Yes': -4.32204, ' No': -5.989988, ' The': -8.664415, ' yes': -8.729171}
{' Yes': -0.037883755, 'Yes': -4.1431675, ' No': -4.5318546, '\n': -4.794628, ' "': -7.0145736}
{' Yes': -0.07638696, ' No': -2.833391, 'Yes': -4.611707, '\n': -6.250871, 'No': -6.8924766}
{' Yes': -0.004661416, 'Yes': -5.5363727, ' No': -7.532146, ' yes': -9.434773, ' The': -10.05992}
{' Yes': -0.012406183, 'Yes': -4.44834, ' No': -7.7891088, '\n': -9.664846, ' yes': -9.744278}
{' No': -0.61894107, ' Yes': -0.78872365, 'No': -5.7583528, 'Yes': -6.4243894, ' The': -7.162508}
{' No': -0.060376786, ' Yes': -3.0393617, 'No': -4.657558, '\n': -7.883989, ' The': -7.98418}
{' Yes': -0.0060118604, 'Yes': -5.3312054, '\n': -7.752767, ' yes': -8.151763, ' "': -8.611159}
{' Yes': -0.0057269526, 'Yes': -5.289529, ' No': -8.348819, ' "': -9.14, ' The': -9.148796}
{' Yes': -0.01916425, ' No': -4.2195997, 'Yes': -5.5622435, ' yes': -8.711123, 'No': -9.196368}
{' Yes': -0.12154854, ' No': -2.2173183, 'Yes': -5.4981694, 'No': -6.902624, ' The': -8.533688}
{' Yes': -0.009022843, 'Yes': -4.7465353, ' yes': -9.127601, '\n': -9.252507, ' No': -10.209123}
{' Yes': -0.010801465, 'Yes': -4.5569515, ' yes': -8.915047, '\n': -10.043146, ' No': -10.427452}
{' Yes': -0.06365687, ' No': -2.8432188, 'Yes': -5.919711, 'No': -7.9807744, ' The': -8.649155}
{' Yes': -0.24182881, ' No': -1.5759846, 'Yes': -5.4219146, 'No': -5.8178115, ' The': -8.509376}
{' Yes': -0.667306, ' No': -0.76825243, 'No': -4.5161047, 'Yes': -5.1508074, '\n': -5.7598424}
{' Yes': -0.49677578, ' No': -0.9676048, 'Yes': -5.5442, 'No': -5.628112, ' The': -5.685498}
{' Yes': -0.058323327, ' No': -3.2107127, 'Yes': -4.4276814, '\n': -6.216828, ' The': -6.98177}
{' Yes': -0.031337164, ' No': -3.7710354, 'Yes': -5.049934, ' The': -7.073158, 'No': -8.442154}
{' Yes': -0.0048104194, 'Yes': -5.4290924, ' The': -8.565588, ' yes': -9.173477, '\n': -9.837004}
{' Yes': -0.010803395, 'Yes': -4.7198944, '\n': -6.9697113, ' No': -7.836157, ' The': -8.298628}
{' Yes': -0.008964926, 'Yes': -4.731901, ' yes': -9.524447, '\n': -11.147185, ' ': -11.466253}
{' Yes': -0.033857442, ' No': -3.7195377, 'Yes': -4.9582424, ' The': -7.0549006, 'No': -7.6705494}
{' Yes': -0.0155940475, 'Yes': -4.2021117, '\n': -8.11737, ' yes': -9.455539, ' ': -10.033975}
{' Yes': -0.24334607, ' No': -1.5675057, 'Yes': -5.6248093, 'No': -6.0769715, ' The': -7.3084736}
{' Yes': -0.008406189, 'Yes': -5.2432103, ' No': -5.8907204, '\n': -9.209478, ' yes': -9.3859825}
{' Yes': -0.008759807, 'Yes': -4.781434, '\n': -9.140145, ' No': -9.551595, ' yes': -9.692067}
{' Yes': -0.00893672, 'Yes': -5.2130857, ' No': -5.7746663, ' yes': -8.738797, ' The': -9.107156}
{' Yes': -0.008880491, 'Yes': -4.99398, ' No': -6.501711, ' yes': -8.356375, ' The': -8.4434805}
{' No': -0.51215297, ' Yes': -0.94045967, 'No': -5.5624537, ' The': -5.9935985, '\n': -6.35555}
{' No': -0.07929931, ' Yes': -2.899999, 'No': -4.0080237, '\n': -6.5587955, 'Yes': -7.3645396}
{' No': -0.06527143, ' Yes': -3.202797, 'No': -3.8540568, 'Yes': -7.453497, '\n': -8.125229}
{' No': -0.03880355, 'No': -3.3530354, ' Yes': -6.030098, '\n': -8.296914, ' The': -8.9262}
{' Yes': -0.010688863, 'Yes': -4.6652427, '\n': -7.5233335, ' No': -8.071115, ' yes': -8.415489}
{' Yes': -0.006197767, 'Yes': -5.1876416, '\n': -8.533588, ' yes': -8.710918, ' No': -9.044777}
{' Yes': -0.01230396, 'Yes': -4.4814906, ' No': -7.4849563, ' yes': -8.817344, '\n': -9.5435295}
{' Yes': -0.007261031, 'Yes': -5.0076804, ' yes': -8.589207, '\n': -8.801402, ' The': -9.166024}
{' No': -0.6309916, ' Yes': -0.78101796, 'No': -5.30419, 'Yes': -6.0617566, ' The': -6.8355985}
{' No': -0.20119882, ' Yes': -1.7848836, 'No': -4.685137, '\n': -5.997131, 'Yes': -6.741926}
{' Yes': -0.0087693045, 'Yes': -5.044126, ' No': -6.2065845, ' The': -9.378854, ' yes': -9.791213}
{' Yes': -0.03424886, ' No': -3.7337744, 'Yes': -4.826269, ' The': -7.5441313, '\n': -7.7262816}
{' Yes': -0.28610674, ' No': -1.41565, 'Yes': -6.1796384, 'No': -6.8690434, ' The': -6.873648}
{' No': -0.015279829, 'No': -4.3550816, ' Yes': -6.2329636, ' The': -8.970399, '\n': -9.232794}
{' Yes': -0.10091684, ' No': -2.3902674, 'Yes': -5.884864, 'No': -7.138457, ' The': -7.927497}
{' Yes': -0.3282325, ' No': -1.3266704, 'Yes': -4.8877397, 'No': -5.041708, '\n': -8.973137}
{' Yes': -0.051299114, ' No': -3.147809, 'Yes': -5.1585436, 'No': -7.507811, ' Not': -8.497535}
{' Yes': -0.1150941, ' No': -2.2874117, 'Yes': -5.232938, 'No': -6.685717, ' The': -8.123239}
{' Yes': -0.15637386, ' No': -1.9947107, 'Yes': -5.383154, 'No': -6.374364, '\n': -6.969884}
{' No': -0.42711478, ' Yes': -1.1517814, 'No': -4.163525, '\n': -4.955473, 'Yes': -5.669775}
{' Yes': -0.053183492, ' No': -3.0452125, 'Yes': -5.7046266, 'No': -7.8574452, ' The': -8.557447}
{' Yes': -0.042813957, ' No': -3.3087113, 'Yes': -5.506004, 'No': -7.910028, '\n': -7.981676}
{' Yes': -0.050521407, ' No': -3.1960897, 'Yes': -5.002462, 'No': -7.439492, ' The': -7.877755}
{' Yes': -0.018931692, ' No': -4.339132, 'Yes': -5.3105173, ' The': -7.916383, 'No': -8.901956}
{' Yes': -0.01816358, ' No': -4.525131, 'Yes': -5.0602202, ' The': -7.9794364, 'No': -8.782669}
{' Yes': -0.0060918555, 'Yes': -5.5376353, ' No': -6.295341, ' The': -8.758441, ' yes': -9.365432}
{' No': -0.7148327, ' Yes': -0.7279629, 'No': -4.3638654, 'Yes': -5.0595207, '\n': -5.1747975}
{' Yes': -0.16433157, ' No': -1.9495126, 'Yes': -5.1682816, 'No': -6.102773, ' The': -7.7136455}
{' Yes': -0.099548526, ' No': -2.4536936, 'Yes': -5.192627, '\n': -6.841783, 'No': -6.9371448}
{' No': -0.06397942, ' Yes': -3.2824986, 'No': -3.9297307, '\n': -5.754775, ' The': -7.544274}
{' No': -0.09384854, ' Yes': -2.7447503, 'No': -3.8933651, ' The': -6.1889215, '\n': -6.6861424}
{' No': -0.019713167, 'No': -4.2844567, ' Yes': -5.3234677, ' The': -7.657507, '\n': -8.822813}
{' No': -0.2654142, ' Yes': -1.567771, 'No': -4.0698767, '\n': -5.597638, 'Yes': -6.015034}
{' No': -0.44911268, ' Yes': -1.0444764, 'No': -4.999451, 'Yes': -6.365301, ' The': -7.0010986}
{' Yes': -0.07393025, ' No': -2.9022956, 'Yes': -4.460042, '\n': -6.103953, ' The': -6.690509}
{' No': -0.0707252, ' Yes': -3.01331, 'No': -4.1993756, '\n': -6.321501, 'Yes': -6.9384274}
{' Yes': -0.3249882, ' No': -1.3511513, ' The': -4.810786, 'Yes': -5.1361375, 'No': -5.7468038}
{' No': -0.097586624, ' Yes': -2.484542, 'No': -4.9374857, ' The': -6.526793, 'Yes': -7.600268}
{' Yes': -0.008359126, 'Yes': -4.921773, '\n': -7.4794374, ' No': -8.621276, ' yes': -8.87293}
{' Yes': -0.01607748, 'Yes': -4.2329755, '\n': -7.1717496, ' yes': -8.158844, ' The': -8.660694}
{' Yes': -0.0502506, ' No': -3.1458871, 'Yes': -5.2786746, 'No': -7.6523027, ' yes': -8.64037}
{' Yes': -0.004735914, 'Yes': -6.0327296, ' No': -6.146562, ' yes': -9.472116, ' The': -10.051811}
{' Yes': -0.0055940584, 'Yes': -5.231529, ' yes': -8.854737, ' No': -10.4332285, '\n': -10.707002}
{' Yes': -0.017620366, 'Yes': -4.6719418, ' No': -4.947872, '\n': -7.7311306, 'No': -8.678118}
{' Yes': -0.012734719, ' No': -5.0063486, 'Yes': -5.539214, '\n': -7.4507947, ' yes': -7.758561}
{' Yes': -0.07256307, ' No': -2.8018816, 'Yes': -5.0999846, '\n': -6.89478, 'No': -7.086118}
{' Yes': -0.011668028, 'Yes': -4.4912496, ' No': -8.4425535, ' yes': -9.547295, '\n': -10.14619}
{' Yes': -0.009530354, ' No': -5.3959746, 'Yes': -5.4084635, ' The': -8.8754015, '\n': -9.0724535}
{' Yes': -0.009935719, 'Yes': -4.910168, ' No': -6.221004, ' yes': -8.697395, '\n': -8.939419}
{' Yes': -0.008648512, 'Yes': -4.9827332, ' No': -6.7403703, '\n': -8.251083, ' yes': -8.840628}
{' Yes': -0.005700395, 'Yes': -5.221107, ' No': -9.035941, ' yes': -9.293937, '\n': -10.244336}
{' Yes': -0.024848996, 'Yes': -3.907667, ' No': -5.5631537, '\n': -8.55196, 'No': -8.656603}
{' No': -0.5084871, ' Yes': -0.9349035, 'No': -5.857339, 'Yes': -6.701928, ' The': -7.367932}
{' No': -0.0185441, 'No': -4.5419087, ' Yes': -5.0205984, '\n': -7.924275, ' The': -8.163663}
{' Yes': -0.33524752, ' No': -1.3023152, 'Yes': -5.167567, 'No': -5.6146107, '\n': -6.071089}
{' No': -0.34005326, ' Yes': -1.2849709, 'No': -4.7454753, 'Yes': -6.317159, '\n': -7.7130523}
{' Yes': -0.008202267, 'Yes': -4.870257, ' No': -8.755771, ' yes': -9.0102005, '\n': -9.323536}
{' Yes': -0.006109729, 'Yes': -5.1876817, '\n': -8.430632, ' yes': -9.246492, ' No': -9.487074}
{' Yes': -0.009635427, 'Yes': -4.87066, ' No': -6.456121, ' yes': -8.904914, '\n': -9.370244}
{' Yes': -0.006975948, 'Yes': -5.0100317, ' The': -9.334141, ' yes': -9.357409, '\n': -10.068585}
{' No': -0.02550192, 'No': -4.1598153, ' Yes': -4.7384133, ' The': -7.6676483, 'Yes': -9.406435}
{' No': -0.10021793, ' Yes': -2.5494845, 'No': -4.3220234, '\n': -6.443701, 'Yes': -7.046814}
{' Yes': -0.26551774, ' No': -1.4787802, 'Yes': -5.8263063, 'No': -6.3192472, ' The': -8.399201}
{' No': -0.040277913, ' Yes': -3.897787, 'No': -4.081091, ' The': -6.94813, '\n': -7.2673936}
{' Yes': -0.008612438, 'Yes': -4.8108754, ' No': -8.309103, ' yes': -9.727884, '\n': -10.003912}
{' Yes': -0.005793077, 'Yes': -5.1822286, ' yes': -9.681555, ' No': -9.834278, ' The': -10.9831295}
{' Yes': -0.03626714, ' No': -3.7242975, 'Yes': -4.669247, ' The': -7.44454, 'No': -7.460019}
{' Yes': -0.006779277, 'Yes': -5.039967, ' No': -8.937483, ' yes': -9.773638, ' The': -10.234207}
{' Yes': -0.22768398, ' No': -1.624897, 'Yes': -5.614635, 'No': -6.410156, ' The': -7.6725345}
{' Yes': -0.021598801, ' No': -4.4226513, 'Yes': -4.75691, ' The': -8.393303, 'No': -8.522423}
{' Yes': -0.044459205, ' No': -3.2206216, 'Yes': -5.838909, 'No': -8.452692, '\n': -8.785929}
{' Yes': -0.22800002, ' No': -1.6874592, 'Yes': -4.449769, 'No': -5.1187353, '\n': -7.4196095}
{' Yes': -0.12291293, ' No': -2.2249846, 'Yes': -5.2920585, 'No': -6.7192316, ' The': -7.1586614}
{' Yes': -0.09499931, ' No': -2.4681034, 'Yes': -5.4089375, 'No': -7.0414577, ' The': -8.382173}
{' Yes': -0.019597063, 'Yes': -4.092883, '\n': -6.7909746, ' No': -6.8425894, ' yes': -8.583571}
{' Yes': -0.027383434, ' No': -4.049464, 'Yes': -4.824664, '\n': -7.2974086, 'No': -7.9122105}
{' Yes': -0.010134699, 'Yes': -5.307843, ' No': -5.661017, '\n': -6.9187093, ' "': -8.272392}
{' Yes': -0.23278846, ' No': -1.6018814, 'Yes': -5.8645473, 'No': -6.14188, ' The': -7.450144}
{' Yes': -0.0038269286, 'Yes': -5.6381598, ' No': -9.193796, ' yes': -9.302635, ' The': -10.6137295}
{' Yes': -0.011432205, 'Yes': -4.7043314, ' No': -6.4798365, ' yes': -8.242467, ' The': -8.391391}
{' Yes': -0.007969183, 'Yes': -4.9820595, ' No': -7.6352477, '\n': -8.514261, ' yes': -8.604679}
{' Yes': -0.011806255, ' No': -5.193456, 'Yes': -5.243196, ' yes': -8.238168, '\n': -8.254876}
{' Yes': -0.04077025, ' No': -3.3951917, 'Yes': -5.227219, 'No': -7.7405667, ' The': -8.329099}
{' Yes': -0.09981464, ' No': -2.4568417, 'Yes': -4.9365187, 'No': -6.548484, ' The': -8.572314}
{' Yes': -0.004436398, 'Yes': -6.0182915, ' No': -6.4883327, ' The': -8.497559, ' yes': -8.651928}
{' Yes': -0.19504315, ' No': -1.7876964, 'Yes': -5.1373167, 'No': -6.162406, ' The': -7.12642}
{' Yes': -0.40416473, ' No': -1.1706614, '\n': -4.701967, 'Yes': -5.188144, 'No': -5.443738}
{' No': -0.43789834, ' Yes': -1.060661, 'No': -5.1723304, 'Yes': -6.23377, ' The': -8.107569}
{' Yes': -0.012761706, 'Yes': -5.1305823, ' No': -5.312835, '\n': -7.3939505, ' The': -7.4140882}
{' No': -0.037519317, ' Yes': -4.0326495, 'No': -4.0516467, '\n': -7.2798324, ' The': -7.520422}
{' Yes': -0.0136832, 'Yes': -4.7804184, ' No': -5.6493316, '\n': -6.726762, ' The': -8.872663}
{' Yes': -0.0659655, ' No': -3.0107098, 'Yes': -4.53281, 'No': -6.6034884, '\n': -6.635071}
{' No': -0.019621495, 'No': -4.198214, ' Yes': -5.679088, ' Not': -7.897005, ' The': -7.994815}
{' Yes': -0.104406826, ' No': -2.4528146, 'Yes': -4.578776, 'No': -6.2398305, ' The': -7.8843217}
{' Yes': -0.02367613, ' No': -4.0348225, 'Yes': -5.458309, ' "': -7.701559, '\n': -7.795765}
{' Yes': -0.013784355, 'Yes': -4.443155, ' No': -6.3886957, ' yes': -9.130961, 'No': -10.062043}
{' Yes': -0.098664455, ' No': -2.4495213, 'Yes': -5.2503653, 'No': -6.896567, ' The': -7.348544}
{' Yes': -0.0884917, ' No': -2.5376933, 'Yes': -5.5015965, 'No': -7.382942, ' The': -7.592112}
{' Yes': -0.01014903, 'Yes': -4.7917194, '\n': -6.9281864, ' yes': -7.999374, ' "': -8.584958}
{' Yes': -0.005802908, 'Yes': -5.263245, ' No': -8.1867485, ' yes': -8.730898, '\n': -9.373152}
{' Yes': -0.003139795, 'Yes': -5.9829707, ' No': -8.12709, ' The': -8.664135, ' yes': -9.293697}
{' Yes': -0.0027791916, 'Yes': -6.027832, ' yes': -8.741404, ' The': -9.625111, ' No': -9.805914}
{' Yes': -0.0038804815, 'Yes': -5.839631, ' No': -7.1359835, ' yes': -9.598458, ' The': -10.029656}
{' Yes': -0.0030058676, 'Yes': -5.859983, ' No': -9.799538, ' yes': -9.865736, ' The': -11.096953}
{' No': -0.104930654, ' Yes': -2.3545663, 'No': -5.6705813, ' The': -7.1995063, 'Yes': -8.488694}
{' No': -0.29399237, ' Yes': -1.4263965, 'No': -4.53518, 'Yes': -6.502746, ' The': -6.883992}
{' Yes': -0.007127214, 'Yes': -5.6419644, ' No': -5.765973, ' The': -8.544229, ' yes': -9.001152}
{' No': -0.15265265, ' Yes': -2.0210283, 'No': -4.9012885, 'Yes': -7.404884, ' The': -7.407425}
{' Yes': -0.00400429, 'Yes': -5.613432, ' No': -8.539194, ' yes': -9.013412, ' The': -11.2305765}
{' Yes': -0.0070060184, 'Yes': -5.533793, ' No': -5.8662167, ' yes': -9.67988, ' The': -9.779177}
{' No': -0.018590797, 'No': -4.6422806, ' Yes': -4.781347, ' The': -8.51964, ' Not': -9.637171}
{' Yes': -0.06976888, ' No': -2.769453, 'Yes': -5.538728, 'No': -7.713937, ' The': -8.917275}
{' Yes': -0.010945963, ' No': -4.787687, 'Yes': -6.153196, ' The': -8.326213, ' yes': -9.484084}
{' No': -0.31524226, ' Yes': -1.3321165, 'No': -5.317849, 'Yes': -7.1139994, ' The': -7.702641}
{' Yes': -0.015825115, ' No': -4.281791, 'Yes': -6.414228, ' yes': -9.441987, ' The': -9.4592905}
{' Yes': -0.0021489256, 'Yes': -6.2560973, ' No': -8.959109, ' yes': -9.866578, ' The': -10.464719}
{' Yes': -0.21120845, ' No': -1.6892129, 'Yes': -5.610164, 'No': -6.430422, ' The': -8.874247}
{' Yes': -0.085625336, ' No': -2.5902162, 'Yes': -5.211201, 'No': -6.954485, ' The': -8.429714}
{' Yes': -0.07735323, ' No': -2.70266, 'Yes': -5.1609983, 'No': -6.6375394, ' The': -8.806283}
{' No': -0.020791268, 'No': -4.3798914, ' Yes': -4.8533163, ' ': -9.568047, ' The': -9.732942}
{' Yes': -0.003726293, 'Yes': -5.8009715, ' No': -7.7329993, ' The': -9.090425, ' yes': -9.525389}
{' No': -0.23446436, ' Yes': -1.6527821, 'No': -4.2643256, 'Yes': -6.6699276, ' The': -6.948692}
{' Yes': -0.0031973156, 'Yes': -5.774805, ' yes': -9.672295, '\n': -11.351105, ' ': -12.033661}
{' Yes': -0.004218975, 'Yes': -5.4851527, ' yes': -9.995275, ' ': -12.368441, ' YES': -12.608181}
{' Yes': -0.005116216, 'Yes': -5.523474, ' No': -7.002741, ' The': -9.095144, ' yes': -10.105846}
{' Yes': -0.35832497, ' No': -1.224309, 'No': -5.777945, 'Yes': -5.8864655, ' The': -7.002957}
{' Yes': -0.014090914, ' No': -4.7003584, 'Yes': -5.394637, ' The': -9.058322, 'No': -9.261392}
{' Yes': -0.0069758277, 'Yes': -5.017792, ' No': -8.465212, ' yes': -9.817902, '\n': -10.430628}
{' No': -0.040115282, ' Yes': -3.3792648, 'No': -5.3365664, ' The': -9.292626, '\n': -9.327092}
{' Yes': -0.042185247, ' No': -3.2703764, 'Yes': -5.9070516, 'No': -8.3371525, ' The': -9.227121}
{' No': -0.023119247, 'No': -4.3251324, ' Yes': -4.669878, ' The': -9.378334, 'Yes': -9.599413}
{' No': -0.20250666, ' Yes': -1.7459656, 'No': -4.8828254, 'Yes': -7.1041536, ' The': -8.735896}
{' Yes': -0.007869153, ' No': -5.5089808, 'Yes': -5.715978, ' The': -8.402261, ' yes': -9.172488}
{' Yes': -0.09952806, ' No': -2.3863666, 'Yes': -6.2402577, 'No': -7.750225, ' The': -8.613468}
{' Yes': -0.014071993, ' No': -4.986421, 'Yes': -5.000495, ' The': -8.451751, ' yes': -9.579446}
{' Yes': -0.10117937, ' No': -2.4545388, 'Yes': -4.7240105, 'No': -6.909212, ' The': -8.280014}
{' No': -0.6543635, ' Yes': -0.7512474, 'No': -5.308193, 'Yes': -6.189302, ' The': -7.002729}
{' Yes': -0.4993032, ' No': -0.9572404, 'No': -5.3907123, 'Yes': -5.695863, ' The': -7.287698}
{' Yes': -0.0028243188, 'Yes': -5.9388704, ' yes': -9.343776, ' No': -9.929061, ' The': -10.526584}
{' Yes': -0.0063654734, 'Yes': -5.098103, ' No': -9.184992, ' yes': -9.571545, '\n': -10.652382}
{' Yes': -0.002995523, 'Yes': -5.842606, ' yes': -9.6832905, ' No': -11.27717, ' ': -12.397489}
{' Yes': -0.0028936595, 'Yes': -5.883903, ' yes': -9.908947, ' No': -10.6224785, ' The': -11.12713}
{' Yes': -0.004762507, 'Yes': -6.0622725, ' No': -6.0671763, ' yes': -10.16621, ' The': -10.370587}
{' Yes': -0.004316306, 'Yes': -5.9827685, ' No': -6.4666724, ' The': -9.237833, ' yes': -9.472521}
{' Yes': -0.0024202124, 'Yes': -6.083811, ' yes': -9.440661, ' The': -10.710224, ' No': -10.883066}
{' Yes': -0.0025296176, 'Yes': -6.1972404, ' No': -8.295654, ' yes': -9.330418, ' The': -9.5743885}
{' Yes': -0.0023471995, 'Yes': -6.1227174, ' yes': -9.565382, ' No': -10.014276, ' The': -10.986599}
{' Yes': -0.0017002518, 'Yes': -6.4458704, ' yes': -9.988573, ' The': -9.996709, ' No': -11.439333}
{' Yes': -0.0030383917, 'Yes': -6.0837975, ' No': -7.325748, ' yes': -10.161188, ' The': -10.481726}
{' Yes': -0.042632997, ' No': -3.2507684, 'Yes': -6.1941338, ' The': -7.6051555, 'No': -8.371613}
{' Yes': -0.687521, ' No': -0.7063847, 'No': -6.395126, 'Yes': -6.9127865, ' The': -7.2702823}
{' Yes': -0.0049860985, ' No': -6.031301, 'Yes': -6.0566897, ' yes': -9.064596, ' The': -9.446298}
{' Yes': -0.0019056023, 'Yes': -6.378471, ' yes': -9.04122, ' No': -10.190746, ' The': -10.774402}
{' Yes': -0.0030434139, 'Yes': -6.059399, ' No': -7.441903, ' yes': -9.546239, ' The': -10.556939}
{' Yes': -0.025514944, ' No': -3.9191952, 'Yes': -5.3630047, ' Not': -8.334084, 'No': -8.615824}
{' Yes': -0.010959522, ' No': -4.7677436, 'Yes': -6.199487, ' The': -8.452733, ' yes': -9.920951}
{' Yes': -0.002985422, 'Yes': -5.84058, ' yes': -9.998047, ' No': -11.568024, ' The': -11.832707}
{' Yes': -0.0023111152, 'Yes': -6.1094317, ' yes': -9.739486, ' No': -11.662227, ' ': -12.276141}
{' Yes': -0.0025012947, 'Yes': -6.030838, ' yes': -10.046696, ' The': -10.710388, ' No': -11.428927}
{' Yes': -0.0023663188, 'Yes': -6.316827, ' No': -7.7761655, ' yes': -9.6897745, ' The': -10.061785}
{' Yes': -0.15307648, ' No': -2.0160906, 'Yes': -5.2433624, 'No': -6.2340717, ' The': -6.802103}
{' No': -0.0782458, ' Yes': -2.7411065, 'No': -4.647269, 'Yes': -7.8049107, ' The': -8.051863}
{' No': -0.04848672, ' Yes': -3.22658, 'No': -5.0119853, ' The': -7.9007335, '\n': -8.510839}
{' Yes': -0.010327636, 'Yes': -4.938432, ' No': -5.845088, ' yes': -9.586217, ' The': -9.677272}
{' Yes': -0.0030061672, 'Yes': -5.8529162, ' yes': -9.365455, ' The': -10.7807455, ' No': -11.577408}
{' Yes': -0.003546465, 'Yes': -5.864201, ' No': -7.840661, ' yes': -8.873953, ' The': -9.311876}
{' Yes': -0.005147669, ' No': -5.9530554, 'Yes': -6.121438, ' The': -8.644058, ' yes': -9.364363}
{' No': -0.6293424, ' Yes': -0.77767694, 'No': -5.3063293, 'Yes': -6.1974535, ' The': -7.9046183}
{' Yes': -0.25342876, ' No': -1.5233967, 'Yes': -5.6951203, 'No': -6.144117, ' The': -8.732358}
{' Yes': -0.1907866, ' No': -1.7870638, 'Yes': -5.621395, 'No': -6.547718, ' The': -7.00148}
{' Yes': -0.039712157, ' No': -3.440711, 'Yes': -5.158782, 'No': -7.708163, '\n': -8.160843}
{' Yes': -0.007557126, 'Yes': -5.2097435, ' No': -6.2710075, ' yes': -9.548422, ' The': -9.971109}
{' Yes': -0.029189695, ' No': -3.7859855, 'Yes': -5.252609, 'No': -8.341653, '\n': -8.494267}
{' Yes': -0.07817458, ' No': -2.6437778, 'Yes': -5.776901, 'No': -7.8413215, ' The': -7.9945574}
{' Yes': -0.0028448817, 'Yes': -6.0694547, ' No': -7.686379, ' yes': -10.156792, ' The': -11.153566}
{' Yes': -0.0064999075, 'Yes': -5.087882, ' No': -8.414565, ' yes': -10.1383295, ' The': -10.77357}
{' Yes': -0.16743635, ' No': -1.8879601, 'Yes': -6.534627, 'No': -7.696656, ' The': -7.9597793}
{' No': -0.072491296, ' Yes': -2.7613091, 'No': -5.157376, ' The': -7.7617154, 'Yes': -8.455417}
{' Yes': -0.003440775, 'Yes': -5.8276424, ' yes': -8.738726, '\n': -9.205538, ' No': -9.412359}
{' Yes': -0.003613583, 'Yes': -5.6809525, ' No': -9.376698, ' yes': -10.144591, ' The': -10.285464}
