{' Yes': -0.04511578, ' Generally': -3.6469321, ' No': -4.4161234, 'Yes': -5.597255, ' Typically': -7.983192}
{' Yes': -0.0041342196, 'Yes': -5.8820047, ' No': -7.7738733, ' yes': -8.014506, ' Generally': -8.769307}
{' Yes': -0.013864371, ' No': -5.4885807, 'Yes': -5.6444616, ' Generally': -6.2834105, '\n': -6.728074}
{' No': -0.15815464, 'No': -2.7916896, ' Yes': -2.9033597, ' A': -4.561017, ' Generally': -4.8958616}
{' No': -0.092861295, 'No': -3.0002766, ' A': -4.327223, '\n': -5.0503864, ' Generally': -5.102478}
{' Yes': -0.43139172, ' No': -1.312213, ' Go': -3.07952, 'No': -4.5360804, 'Yes': -4.5839124}
{' No': -0.19782206, ' Yes': -2.6958117, 'No': -3.3554869, ' Go': -3.5287888, ' Generally': -4.1415873}
{' No': -0.47186437, ' Yes': -1.8305011, '\n': -2.52515, 'No': -2.6970687, ' A': -3.286075}
{' No': -0.18903594, 'No': -2.3898284, '\n': -2.885237, ' A': -4.501057, ' ': -4.5665135}
{' No': -0.37036186, '\n': -2.4002042, ' Yes': -2.5510259, 'No': -2.810553, ' Go': -3.0216792}
{' No': -0.20018114, '\n': -2.5627453, 'No': -2.6917276, ' ': -3.991635, ' Go': -4.498414}
{' Yes': -0.0074054343, ' No': -5.708714, 'Yes': -5.7897916, ' A': -7.7911344, ' ': -8.356292}
{' No': -0.07086128, ' Yes': -3.0438302, 'No': -4.5513473, ' A': -5.1255693, ' Generally': -6.4468665}
{' Yes': -0.2493759, ' No': -1.606609, ' Go': -4.3967414, 'Yes': -5.609927, 'No': -6.139697}
{' No': -0.6088306, ' Yes': -0.9522316, ' Go': -3.0470018, 'No': -5.0072603, ' Generally': -5.2107935}
{' No': -0.3843295, 'No': -1.324679, '\n': -4.0761952, ' ': -4.4474826, ' A': -4.477732}
{' No': -0.25480166, 'No': -1.6388406, '\n': -4.3865995, ' A': -4.769447, ' ': -4.9050198}
{' No': -0.26728263, 'No': -1.8551407, ' Go': -3.5547562, '\n': -4.0600452, ' ': -4.2642574}
{' No': -0.31060264, 'No': -1.6823773, ' Go': -3.597941, '\n': -3.727614, ' ': -4.0071855}
{' Yes': -0.13402535, ' No': -2.4633443, 'Yes': -4.359245, ' A': -4.886131, ' Generally': -5.4008937}
{' No': -0.36583683, ' Yes': -1.7742269, ' A': -2.7521532, 'No': -3.5226552, ' Generally': -3.9884794}
{' Yes': -0.07763263, ' No': -3.4694304, 'Yes': -4.126798, ' Go': -4.4822993, ' yes': -5.3517947}
{' Yes': -0.4357342, ' No': -1.6355386, ' Go': -2.845322, ' Generally': -3.8728166, ' GO': -3.9645057}
{' Yes': -0.19173636, ' No': -2.8842335, ' Generally': -3.384823, 'Yes': -3.654495, ' A': -3.9322243}
{' No': -0.627843, ' Yes': -1.8344604, ' A': -2.5883858, 'No': -2.761492, ' It': -2.7670736}
{' Yes': -0.1182113, 'Yes': -3.3507037, ' No': -3.5864937, ' yes': -4.347507, ' Go': -4.4580283}
{' Yes': -1.118916, ' Go': -1.4046522, ' No': -1.8277001, ' It': -2.8780942, ' GO': -2.9838662}
{' Yes': -0.19004722, ' No': -2.3520288, 'Yes': -3.0419014, 'No': -3.9811542, ' yes': -4.9728785}
{' Yes': -0.66468424, ' No': -0.9134578, 'No': -3.3310506, 'Yes': -3.9590054, ' Generally': -4.333622}
{' Yes': -0.089895874, 'Yes': -2.9712338, ' No': -3.8120291, ' Generally': -5.281214, 'No': -5.453015}
{' Yes': -0.25830567, ' No': -2.0761023, 'Yes': -3.2114112, ' Generally': -3.7709458, 'No': -3.8322172}
{' Yes': -0.19961005, ' No': -2.1810534, 'Yes': -3.1533203, 'No': -3.990311, ' Generally': -6.2387433}
{' No': -0.23423909, 'No': -1.7585232, ' Yes': -3.897655, ' Generally': -5.544566, ' GO': -6.1140895}
{' Yes': -0.11694125, 'Yes': -2.9407518, ' No': -3.2177215, 'No': -4.791828, ' Go': -5.734167}
{' Yes': -0.48859206, ' No': -1.3530768, 'No': -2.955288, 'Yes': -3.1578007, ' Generally': -4.2607136}
{' Yes': -0.14882706, ' No': -2.0938916, 'Yes': -4.666432, 'No': -5.9430766, ' Generally': -6.865865}
{' Yes': -0.061776325, ' No': -3.400344, 'Yes': -4.209649, ' Generally': -5.198081, ' A': -6.661143}
{' Yes': -0.031569354, 'Yes': -4.0754056, ' No': -4.5521173, ' Generally': -6.555227, 'No': -7.3576126}
{' Yes': -0.038787812, 'Yes': -3.9865797, ' No': -4.6065784, ' Generally': -5.5619197, ' Go': -5.8200207}
{' No': -0.5891871, 'No': -0.9794363, ' Go': -3.2007725, 'Go': -4.834356, ' Generally': -4.9749045}
{' No': -0.444005, 'No': -1.1475707, ' GO': -4.5877924, ' A': -4.6711206, ' Generally': -4.679059}
{' Yes': -1.3295414, ' Go': -1.3937331, ' No': -1.6781665, 'No': -1.8251582, 'Yes': -2.769439}
{' No': -1.0301628, 'No': -1.5530242, ' Go': -2.0119512, ' Yes': -2.4037683, ' Generally': -2.9198883}
{' Yes': -0.19082311, ' No': -2.1878743, 'Yes': -3.7134976, 'No': -4.400536, ' Go': -5.1704183}
{' No': -0.32480583, 'No': -2.2956674, ' GO': -2.313743, ' A': -3.9286702, ' Generally': -4.31813}
{' Yes': -0.10719618, 'Yes': -3.2192414, ' No': -3.3896036, ' Go': -4.595889, ' Generally': -5.0025454}
{' Yes': -0.35421136, ' Go': -2.5006137, ' No': -2.7946544, ' Generally': -2.8404806, ' GO': -3.3514893}
{' Yes': -0.030456549, ' yes': -3.675623, 'Yes': -5.8612676, ' No': -7.349323, ' ': -7.3803263}
{' Yes': -0.0638404, ' yes': -3.3237736, ' No': -4.265552, 'Yes': -5.179111, ' ': -5.9659543}
{' Yes': -0.025330305, ' yes': -3.857415, 'Yes': -5.860028, ' ': -8.097789, ' No': -8.501755}
{' Yes': -0.055258468, ' yes': -3.132983, 'Yes': -5.113507, ' No': -6.55012, ' ': -7.0501075}
{' Yes': -0.4514259, ' No': -1.222981, 'No': -3.7839894, 'Yes': -4.1715016, ' A': -4.776314}
{' No': -0.1994894, ' Yes': -2.762718, 'No': -2.807184, ' A': -3.6053941, ' Generally': -4.649099}
{' Yes': -0.054520488, 'Yes': -3.8877838, ' No': -4.126277, ' yes': -5.1388783, ' Go': -5.7896376}
{' Yes': -0.15215224, ' No': -2.7947073, 'Yes': -3.7490644, ' Generally': -4.340329, ' Go': -4.670892}
{' No': -0.735269, ' Yes': -1.1460453, '\n': -2.5902038, 'No': -2.6662364, 'Yes': -3.8533626}
{' No': -0.38135064, 'No': -1.8972692, '\n': -2.2194738, ' A': -3.6372955, ' ': -4.1568575}
{' Yes': -0.41920877, ' No': -1.842625, ' Go': -2.5877593, 'Yes': -3.3488162, '\n': -3.4500904}
{' No': -1.1577511, '\n': -1.6051348, ' Yes': -1.7321033, ' Go': -1.9574984, 'No': -2.7170696}
{' Yes': -0.01409575, 'Yes': -4.9658246, ' No': -5.5843506, ' yes': -6.364145, ' A': -7.5929294}
{' Yes': -0.26050326, ' No': -1.6490014, 'Yes': -4.6602263, ' A': -4.847261, ' Generally': -5.1261015}
{' Yes': -0.015627706, 'Yes': -4.7964787, ' No': -5.704285, ' yes': -6.257695, ' Go': -7.2514405}
{' Yes': -0.024862498, 'Yes': -4.5717354, ' No': -4.9012833, ' yes': -6.113981, ' Go': -6.500578}
{' No': -0.32915804, 'No': -1.4224255, '\n': -3.8380556, ' ': -5.022606, ' no': -5.201255}
{' No': -0.36783072, 'No': -1.3066258, '\n': -3.6374533, ' ': -5.271353, ' A': -6.2066536}
{' No': -0.32537615, 'No': -1.5735947, '\n': -3.667833, ' Yes': -4.2000194, ' ': -4.502399}
{' No': -0.36884457, 'No': -1.4634299, '\n': -3.10004, ' ': -4.448034, ' Yes': -4.695686}
{' Yes': -0.13455708, ' yes': -2.5442593, ' No': -3.830951, 'Yes': -4.3129225, ' ': -5.6736393}
{' No': -0.51173764, ' Yes': -1.4530373, ' A': -2.8205338, 'No': -3.8355901, ' yes': -4.1263213}
{' Yes': -0.11147795, ' yes': -2.5854943, 'Yes': -4.0110006, '\n': -5.9315248, 'yes': -6.162669}
{' Yes': -0.14810346, ' yes': -2.7610583, ' No': -4.072805, 'Yes': -4.208999, ' GO': -4.7789645}
{' Yes': -0.0056315186, 'Yes': -5.890031, '\n': -7.165417, ' No': -7.3573804, ' yes': -7.6352777}
{' Yes': -0.020514108, ' No': -4.6083207, 'Yes': -5.941145, '\n': -6.113503, ' Generally': -6.288195}
{' Yes': -0.012722162, ' No': -5.1086063, 'Yes': -6.036552, '\n': -6.325479, ' ': -7.034652}
{' Yes': -0.012464908, 'Yes': -5.840265, ' No': -5.955904, '\n': -6.031147, ' Generally': -6.6015835}
{' No': -0.29078412, ' Yes': -1.8527595, 'No': -2.988214, '\n': -3.9418707, ' ': -4.77305}
{' No': -0.15799038, 'No': -3.0906074, ' Yes': -3.4430838, '\n': -3.7067535, ' A': -3.918065}
{' No': -0.60497046, ' Yes': -1.1733317, '\n': -3.0549004, ' Go': -3.2449946, 'No': -3.5432045}
{' Yes': -0.7605882, ' No': -1.027245, ' Go': -2.827128, '\n': -3.1359487, 'No': -3.805592}
{' No': -0.33995396, ' Yes': -1.9161906, 'No': -2.9680438, '\n': -3.057111, ' A': -3.9050841}
{' No': -0.20002212, 'No': -2.9336665, ' A': -3.1398947, '\n': -3.3261914, ' Yes': -3.7686312}
{' Yes': -0.6443922, ' No': -1.2658198, ' Go': -2.414183, '\n': -3.0627234, ' ': -3.8522797}
{' No': -0.57498085, ' Yes': -1.4689896, ' Go': -2.3570795, 'No': -3.3313935, '\n': -3.6102803}
{' Yes': -0.30193058, ' No': -1.4714843, ' ': -4.814929, ' A': -4.863536, '\n': -5.0921507}
{' Yes': -0.37130582, ' No': -1.3205111, ' A': -4.2813797, ' ': -4.566004, '\n': -4.8414745}
{' No': -0.6171204, ' Yes': -0.9625545, ' Go': -3.6604495, '\n': -3.76086, ' ': -4.39743}
{' Yes': -0.10747874, ' No': -2.8855379, ' Go': -3.9248211, '\n': -4.729667, ' ': -4.859735}
{' No': -0.09728288, 'No': -2.784426, ' ': -4.5812225, ' Yes': -4.842079, '\n': -4.8544865}
{' No': -0.066133544, 'No': -2.972433, ' ': -5.352516, '\n': -5.6637383, ' A': -5.666221}
{' No': -0.63585126, ' Yes': -0.9742568, 'No': -3.4467356, ' Go': -3.8024924, ' ': -4.3640885}
{' No': -0.1591207, ' Yes': -2.9884188, 'No': -3.2279952, ' Go': -3.6308384, ' ': -4.29121}
{' Yes': -0.055993076, ' No': -3.7289722, 'Yes': -4.6515946, ' ': -5.100526, '\n': -5.349789}
{' Yes': -0.5037288, ' No': -1.1936835, ' A': -3.366058, ' ': -4.178047, ' Generally': -4.4008303}
{' Yes': -0.029798849, ' No': -4.5706825, 'Yes': -4.8233356, ' ': -5.6334233, '\n': -5.978386}
{' Yes': -0.05712286, ' No': -4.249965, 'Yes': -4.3595824, ' Go': -4.802034, ' ': -5.241341}
{' No': -0.2780623, ' Yes': -2.0445209, ' Generally': -2.450044, 'No': -4.154344, ' A': -4.9577518}
{' Yes': -0.5102409, ' Generally': -1.2232499, ' No': -2.5185876, ' A': -5.0118318, 'Yes': -5.3686852}
{' No': -0.27187708, ' Generally': -2.102222, ' Go': -2.640865, ' Yes': -3.9221418, 'No': -4.1159935}
{' No': -0.5171441, ' Generally': -1.4173458, ' Go': -2.1363056, 'No': -4.142939, ' It': -4.6603894}
{' No': -0.06844928, 'No': -3.3870258, ' Generally': -4.2707005, ' Yes': -4.738676, ' A': -4.949524}
{' No': -0.2014028, ' Generally': -2.365097, 'No': -3.291973, ' Yes': -3.9964733, ' A': -4.0444374}
{' No': -0.104122154, 'No': -2.8494298, ' Go': -3.8331618, ' Yes': -4.7152863, ' Generally': -4.8384376}
{' No': -0.07866524, 'No': -2.7641966, ' Generally': -5.2094765, ' Go': -5.420597, ' ': -7.0465946}
{' No': -0.08513891, 'No': -2.5941243, ' A': -6.077742, '\n': -6.3405914, ' Generally': -6.8670907}
{' No': -0.11753324, 'No': -2.5430055, ' Generally': -4.538, '\n': -4.954106, ' A': -5.225716}
{' No': -0.10728689, 'No': -2.759968, ' Go': -3.6114638, ' Generally': -5.5245786, '\n': -6.1381445}
{' No': -0.11934842, 'No': -2.5262697, ' Go': -4.2281375, ' Generally': -5.190666, ' GO': -5.448087}
{' No': -0.14369622, ' Generally': -2.5405142, 'No': -3.9187586, ' A': -4.2400804, ' Yes': -4.7625337}
{' No': -0.32079902, ' Generally': -1.9586641, ' Yes': -3.2584913, ' A': -3.2711866, 'No': -3.8219335}
{' No': -0.4242293, ' Go': -1.3412673, ' Generally': -3.1493344, 'No': -3.8390968, ' Yes': -4.2627587}
{' No': -0.06085309, 'No': -3.6307821, ' Go': -3.8231897, ' Generally': -4.7109537, ' ': -8.082284}
{' No': -0.14725372, 'No': -2.1505055, ' Generally': -4.6580205, '\n': -5.7149863, ' ': -6.12166}
{' No': -0.1385815, 'No': -2.2772915, ' Generally': -4.7944117, ' A': -5.1438646, '\n': -5.356902}
{' No': -0.1483188, 'No': -2.4521232, ' Go': -3.50613, ' Generally': -4.887897, ' ': -5.451898}
{' No': -0.15979671, 'No': -2.273036, ' Go': -4.57483, ' Generally': -4.736536, ' ': -4.8674784}
{' No': -0.20141707, ' Generally': -2.5837278, 'No': -3.014182, ' Yes': -3.5149715, ' A': -4.209754}
{' No': -0.5010266, ' Generally': -1.8004497, 'No': -2.8683572, ' A': -2.952515, ' Yes': -3.1870825}
{' No': -0.19177318, 'No': -2.6246345, ' Go': -2.8688743, ' Generally': -3.8148427, ' Yes': -4.2032895}
{' No': -0.20476297, 'No': -2.7255623, ' Go': -3.002061, ' Generally': -3.5337343, ' GO': -3.8463528}
{' No': -0.009098208, 'No': -5.2549872, ' A': -6.281915, ' Yes': -7.256584, ' ': -7.4340644}
{' No': -0.18494678, ' Yes': -2.015498, ' A': -4.554415, ' Generally': -4.74212, 'No': -4.9013467}
{' No': -0.011447218, 'No': -5.238967, ' Yes': -5.8378158, ' Go': -6.8861017, '\n': -7.0698624}
{' No': -0.010696876, 'No': -4.982468, ' ': -6.7395854, '\n': -7.0978436, ' Go': -7.146618}
{' No': -0.060089696, 'No': -2.9721398, '\n': -6.007181, ' ': -6.151785, ' A': -6.323294}
{' No': -0.06997023, 'No': -3.0794916, ' A': -4.6691217, '\n': -5.261504, ' ': -5.760955}
{' No': -0.04180345, 'No': -3.5224476, ' Go': -5.067175, ' ': -5.9007664, '\n': -6.9804573}
{' No': -0.042000733, 'No': -3.3936546, ' ': -5.908665, ' Go': -6.365488, '\n': -6.758705}
{' No': -0.19907561, 'No': -2.3866863, '\n': -2.633152, ' ': -4.573475, ' A': -5.2717624}
{' No': -0.19030896, 'No': -2.3896365, '\n': -2.8106265, ' A': -4.6431456, ' ': -4.6514254}
{' No': -0.22683297, '\n': -2.2317045, 'No': -2.6179922, ' ': -4.1608686, ' Go': -5.271215}
{' No': -0.18174908, '\n': -2.6026971, 'No': -2.620775, ' ': -4.340429, ' Go': -5.714351}
{' No': -0.00864166, 'No': -4.8519564, ' ': -7.8057675, ' A': -8.155639, '\n': -10.21216}
{' No': -0.012914332, 'No': -4.609552, ' A': -6.31508, ' ': -7.2813864, ' Generally': -8.850974}
{' No': -0.010857745, 'No': -4.742255, ' Go': -6.505788, ' ': -7.869117, ' Generally': -9.679851}
{' No': -0.011740578, 'No': -4.5416875, ' Go': -7.7845573, ' ': -7.9424157, '\n': -9.582729}
{' No': -0.28031528, 'No': -1.521734, '\n': -4.4623423, ' ': -4.835314, ' A': -5.4528503}
{' No': -0.262304, 'No': -1.6196152, '\n': -4.248916, ' ': -4.783378, ' A': -4.826434}
{' No': -0.20816463, 'No': -1.8565238, '\n': -4.426032, ' ': -4.52608, ' Go': -5.0890126}
{' No': -0.18643408, 'No': -1.9332448, '\n': -4.6147585, ' ': -4.675848, ' Go': -5.6020107}
{' No': -0.048854493, 'No': -3.3877637, ' A': -4.906582, ' ': -5.7946644, ' Generally': -6.782961}
{' No': -0.11230776, ' A': -2.9750435, 'No': -3.337606, ' ': -5.071309, ' Generally': -5.4054956}
{' No': -0.07433246, 'No': -3.0641792, ' Go': -4.347371, ' ': -5.2345304, '\n': -6.2490535}
{' No': -0.06449635, 'No': -3.2481987, ' Go': -4.9197173, ' ': -5.233634, ' GO': -5.5132656}
{' No': -0.15202323, 'No': -2.2844982, ' A': -3.97641, ' Generally': -4.6611824, ' Yes': -6.0511913}
{' No': -0.21171236, 'No': -2.5806642, ' A': -2.637202, ' Generally': -4.0747495, ' GO': -5.1252527}
{' No': -0.26146916, 'No': -2.140715, ' Go': -2.9832277, ' Yes': -3.8097925, ' Generally': -4.056074}
{' No': -0.2414743, 'No': -2.2329578, ' Go': -2.6556342, ' GO': -4.497989, ' Generally': -4.927827}
{' No': -0.18093042, 'No': -1.826196, ' A': -7.043708, ' Go': -7.348684, ' Goat': -7.4161835}
{' No': -0.09781593, 'No': -2.4123166, ' GO': -7.126032, ' Generally': -7.6032515, ' A': -7.608829}
{' No': -0.16777423, 'No': -1.9513186, ' Yes': -5.189937, ' Generally': -5.8782635, ' Go': -6.0804267}
{' No': -0.12320225, 'No': -2.2192638, ' Generally': -5.817664, ' Go': -6.699557, ' GO': -7.2518845}
{' No': -0.1807046, 'No': -1.8218807, ' Yes': -7.1595435, ' A': -7.333539, '\n': -7.3476896}
{' No': -0.23560865, 'No': -1.5832877, '\n': -6.829736, ' ': -7.0695295, ' A': -7.182591}
{' No': -0.22301643, 'No': -1.7859762, ' Go': -4.10782, ' Yes': -4.7467, ' Generally': -6.27375}
{' No': -0.1636081, 'No': -1.9685739, ' Generally': -5.8102875, ' Go': -6.230316, ' GO': -6.264349}
{' No': -0.022945479, 'No': -3.8500652, ' A': -7.42292, ' Generally': -8.365234, ' ': -8.370871}
{' No': -0.026158208, 'No': -3.804204, ' A': -6.413504, ' GO': -7.4697294, ' Generally': -7.7627974}
{' No': -0.092423834, 'No': -3.3184295, ' Yes': -3.3648179, ' Go': -4.3834643, ' Generally': -5.823282}
{' No': -0.04034593, 'No': -3.4603782, ' Go': -5.261623, ' Generally': -6.8706064, ' GO': -7.6026483}
{' No': -0.59075874, 'No': -0.856542, ' Go': -4.68275, '\n': -5.6604667, 'Go': -5.904364}
{' No': -0.4660589, 'No': -1.0450765, ' GO': -5.180979, ' A': -5.226757, ' Generally': -5.671274}
{' No': -0.6690732, 'No': -1.0422955, ' Go': -2.2508488, ' Generally': -4.6671, 'Go': -4.9025126}
{' No': -0.48037967, 'No': -1.1390425, ' Go': -3.619084, ' Generally': -4.3971677, ' GO': -5.2729564}
{' No': -0.17963822, 'No': -2.4108717, ' Go': -3.6818037, ' A': -4.111513, ' Yes': -4.6093426}
{' No': -0.36272722, ' GO': -1.9211189, 'No': -2.343482, ' A': -3.8572528, '\n': -4.498181}
{' No': -0.23261808, 'No': -2.1468256, ' Go': -3.0213068, ' Yes': -3.7809293, ' Generally': -4.4830165}
{' No': -0.18709482, 'No': -2.5053475, ' Go': -3.1335862, ' GO': -3.8724966, ' Generally': -4.4325457}
{' No': -0.011132727, 'No': -5.4130945, ' no': -5.6592097, ' ': -6.8305964, ' Yes': -6.87655}
{' No': -0.2754671, ' Yes': -1.7919257, ' A': -3.035416, ' ': -4.625562, 'No': -5.054186}
{' No': -0.02454939, ' Yes': -4.6103706, 'No': -5.1794524, ' Go': -5.449465, ' no': -6.202331}
{' No': -0.019422077, 'No': -4.5543017, ' no': -5.8206797, ' ': -6.1065655, ' Go': -6.724311}
{' No': -0.073733054, 'No': -2.743363, ' ': -6.0825143, '\n': -6.297949, ' A': -6.7359433}
{' No': -0.10205215, 'No': -2.6713917, ' A': -4.247598, '\n': -5.469527, ' ': -5.517078}
{' No': -0.07390432, 'No': -2.8245277, ' ': -5.558079, '\n': -5.571214, ' Go': -6.237736}
{' No': -0.086454555, 'No': -2.7151585, '\n': -5.0474834, ' ': -5.299345, ' Go': -6.2729173}
{' No': -0.16339949, 'No': -2.2464702, '\n': -3.4255795, ' ': -5.065312, ' A': -5.6772246}
{' No': -0.30934387, 'No': -1.8891797, '\n': -2.4404569, ' A': -4.342068, ' ': -4.474549}
{' No': -0.14794035, 'No': -2.487908, '\n': -3.340138, ' ': -4.6793694, ' Go': -4.9332604}
{' No': -0.24346907, 'No': -2.1094816, '\n': -2.6019552, ' ': -4.512808, ' Go': -5.087248}
{' No': -0.015252471, 'No': -4.313438, ' ': -7.272008, ' A': -7.611432, ' no': -8.316781}
{' No': -0.025948063, 'No': -3.8504794, ' A': -6.0639043, ' ': -6.9807224, '\n': -7.9387584}
{' No': -0.02346364, 'No': -3.9590545, ' Go': -6.359332, ' ': -6.981482, '\n': -7.7891803}
{' No': -0.022524936, 'No': -3.9052916, ' ': -7.011117, ' Go': -7.8509417, '\n': -7.8583345}
{' No': -0.34597924, 'No': -1.3477224, '\n': -4.0109344, ' ': -5.100671, ' no': -5.3155184}
{' No': -0.36542934, 'No': -1.3394895, '\n': -3.4211354, ' ': -5.129339, ' A': -6.2317467}
{' No': -0.29588696, 'No': -1.5481509, '\n': -3.6952379, ' ': -4.6947575, ' no': -5.285216}
{' No': -0.27656385, 'No': -1.5969925, '\n': -3.615606, ' ': -4.8934155, ' no': -6.1383433}
{' No': -0.070748426, 'No': -3.283971, ' no': -4.346759, ' A': -4.947345, ' ': -5.68679}
{' No': -0.36075708, ' A': -2.0812483, ' Yes': -2.3701203, 'No': -3.6162586, ' ': -4.337912}
{' No': -0.12606654, 'No': -2.8559802, ' Go': -3.9391522, ' no': -3.9689646, '\n': -4.846722}
{' No': -0.12668322, 'No': -2.9957216, ' no': -4.061234, ' GO': -4.212186, '\n': -4.4030566}
{' No': -0.014749738, 'No': -4.9560876, '\n': -6.179833, ' A': -6.206848, ' ': -6.5277305}
{' No': -0.5531026, ' Yes': -1.0079614, ' A': -3.4955559, ' Generally': -4.5239086, '\n': -4.9486847}
{' No': -0.022510426, '\n': -4.7972293, 'No': -4.9710617, ' ': -5.7594676, ' Go': -6.2770896}
{' No': -0.018141242, 'No': -4.955996, '\n': -5.261442, ' Go': -6.051216, ' ': -6.0847545}
{' No': -0.07045105, 'No': -2.9724896, '\n': -4.541482, ' ': -5.4103594, ' A': -6.8492017}
{' No': -0.07478365, 'No': -3.2154598, '\n': -4.137198, ' A': -4.94154, ' ': -5.0542817}
{' No': -0.10143561, 'No': -3.1600826, '\n': -3.283614, ' ': -4.7452936, ' Go': -5.1139097}
{' No': -0.09447869, 'No': -3.25486, '\n': -3.399046, ' ': -4.7286205, ' Go': -4.9335117}
{' No': -0.09232525, 'No': -2.9331129, '\n': -3.8257256, ' ': -4.989513, ' A': -5.255577}
{' No': -0.103481874, 'No': -3.0587122, '\n': -3.7562582, ' A': -4.0789933, ' ': -4.8933606}
{' No': -0.12153938, '\n': -3.0122747, 'No': -3.1852293, ' ': -4.4032965, ' Go': -4.617339}
{' No': -0.08238212, 'No': -3.115223, '\n': -3.8899896, ' ': -4.835176, ' Go': -5.4948483}
{' No': -0.017434629, 'No': -4.4829726, ' ': -5.9944944, ' A': -6.3405085, '\n': -6.5973897}
{' No': -0.02068502, 'No': -4.583879, ' A': -5.485889, ' ': -5.6436434, '\n': -6.2846746}
{' No': -0.030777168, 'No': -4.32309, '\n': -4.9622936, ' ': -5.296768, ' Go': -5.427651}
{' No': -0.028663466, 'No': -4.171751, ' Go': -5.247875, ' ': -5.5773463, '\n': -5.6944003}
{' No': -0.0603814, 'No': -3.08338, ' ': -4.9598775, '\n': -5.512453, ' A': -6.616641}
{' No': -0.06422505, 'No': -3.163043, ' A': -4.997966, ' ': -5.0395613, '\n': -5.224194}
{' No': -0.07239985, 'No': -3.2441356, '\n': -4.2347245, ' ': -4.5617814, ' Go': -5.3397946}
{' No': -0.05498632, 'No': -3.3128808, ' ': -4.965459, '\n': -5.132764, ' Go': -5.7721047}
{' No': -0.0438294, 'No': -3.79834, ' ': -4.9978433, '\n': -5.096873, ' A': -5.420879}
{' No': -0.46973506, ' Yes': -1.5392865, ' A': -2.3136432, ' ': -4.118459, '\n': -4.2240186}
{' No': -0.05714431, 'No': -3.9996989, ' ': -4.7121086, ' Go': -4.74294, '\n': -4.7830715}
{' No': -0.05675135, 'No': -3.7578278, ' Go': -4.376828, '\n': -4.914097, ' ': -4.9637566}
{' Yes': -0.06372852, ' Generally': -3.113838, 'Yes': -5.1703377, ' No': -5.4455085, ' It': -5.791918}
{' Yes': -0.03520439, ' No': -4.0677357, 'Yes': -4.4926434, ' Generally': -5.4098916, 'No': -7.063057}
{' Yes': -0.40793458, ' Generally': -1.9731774, ' No': -3.0829718, ' It': -3.2037244, ' M': -3.2269235}
{' Yes': -0.011030815, 'Yes': -4.665896, ' No': -7.1359997, ' Generally': -7.8779354, ' yes': -8.703371}
{' Yes': -0.048540212, ' Generally': -3.7272377, 'Yes': -4.366926, ' It': -5.6377907, ' No': -5.940943}
{' Yes': -0.047869787, 'Yes': -4.0558863, ' No': -4.0692606, ' Generally': -4.807225, 'No': -6.5543046}
{' Yes': -0.077443264, ' Generally': -3.2656927, 'Yes': -4.588706, ' No': -4.62658, ' M': -5.281554}
{' Yes': -0.02222462, 'Yes': -4.0249543, ' No': -5.793035, ' M': -8.128793, ' yes': -8.565797}
{' Yes': -0.044176083, 'Yes': -3.9967575, ' Generally': -4.8613586, ' It': -5.172863, '\n': -5.52549}
{' Yes': -0.042272292, 'Yes': -3.6402526, ' No': -4.7262053, '\n': -6.365854, ' Generally': -6.7730155}
{' Yes': -0.115161054, ' No': -3.6954317, 'Yes': -3.966418, ' It': -4.004653, ' Generally': -4.13058}
{' Yes': -0.039442968, 'Yes': -3.708445, ' No': -4.6219316, ' M': -6.4276285, '\n': -7.2644506}
{' Yes': -0.052395523, ' Generally': -3.331242, 'Yes': -5.257397, ' No': -5.927092, ' It': -6.1104717}
{' Yes': -0.034603465, ' No': -3.8521938, 'Yes': -5.1379204, ' Generally': -5.2812862, ' A': -7.441389}
{' Yes': -0.17984661, ' Generally': -2.2695396, ' M': -4.1543856, 'Yes': -4.610896, ' No': -4.6846285}
{' Yes': -0.006497208, 'Yes': -5.13086, ' No': -8.288942, ' yes': -8.889954, ' M': -9.5212345}
{' Yes': -0.9741218, ' No': -1.0038689, 'No': -2.5976744, ' Generally': -3.1403513, '\n': -3.3140552}
{' No': -0.18003821, 'No': -1.9325099, '\n': -4.665008, ' Generally': -5.989514, ' ': -6.1414933}
{' Yes': -0.2230743, ' No': -3.1983705, 'Yes': -3.2891219, ' It': -3.4718401, ' M': -3.8662035}
{' No': -0.2550459, 'No': -2.321004, ' Yes': -2.4090948, ' M': -4.689916, '\n': -4.771536}
{' Yes': -0.0368776, ' Generally': -4.0998316, 'Yes': -4.345092, ' It': -6.887016, ' No': -7.1838813}
{' Yes': -0.053480867, 'Yes': -3.9046543, ' No': -4.1800275, ' Generally': -4.662413, ' A': -6.3785324}
{' Yes': -0.04475942, ' Generally': -4.093223, 'Yes': -4.3029013, ' M': -5.5265493, ' No': -6.2589917}
{' Yes': -0.023042819, 'Yes': -3.9352722, ' yes': -7.015781, ' M': -7.3022, ' No': -7.904948}
{' Yes': -0.009297203, 'Yes': -5.25573, '\n': -6.549853, ' Generally': -6.744988, ' ': -7.4220514}
{' Yes': -0.014085774, ' No': -4.951868, 'Yes': -5.402466, ' ': -7.030517, ' yes': -7.440662}
{' Yes': -0.01695383, 'Yes': -5.0491705, '\n': -5.7448397, ' No': -6.218293, ' Generally': -6.223302}
{' Yes': -0.003059076, 'Yes': -6.095624, ' yes': -7.8657274, '\n': -8.51991, ' ': -8.927035}
