{' Yes': -0.010687537, ' No': -4.721705, 'Yes': -6.4608536, ' Right': -10.454877, 'No': -10.500437}
{' Yes': -0.012706286, 'Yes': -5.047006, ' Drunk': -5.8103375, ' Y': -6.9618053, ' No': -7.4645967}
{' No': -0.0033834798, 'No': -5.946048, ' Yes': -7.2218413, ' Nope': -10.647503, ' ': -13.132459}
{' No': -0.04301872, ' Yes': -3.311474, 'No': -5.811264, ' Nope': -6.178711, ' Min': -8.35408}
{' Yes': -0.0011574305, 'Yes': -6.7858877, ' yes': -10.928496, ' YES': -11.964638, 'yes': -13.546004}
{' Yes': -0.0011632163, 'Yes': -6.8109503, ' yes': -10.5140085, ' Word': -11.547799, ' YES': -11.712966}
{' Yes': -0.0027224699, 'Yes': -6.5407085, ' No': -7.754008, ' Sure': -8.023314, ' Absolutely': -8.699911}
{' Yes': -0.0032043124, ' No': -6.284858, 'Yes': -6.8206267, ' Sure': -9.633085, ' yes': -9.995004}
{' Yes': -0.0031918152, 'Yes': -6.4689584, ' Woman': -6.5314236, ' yes': -10.278149, ' Yeah': -10.451816}
{' Yes': -0.0008985393, 'Yes': -7.1264987, ' Woman': -9.597954, ' YES': -11.775915, ' yes': -11.799842}
{' Yes': -0.011143698, ' Party': -4.874978, 'Yes': -5.767014, ' Yep': -9.755736, ' yes': -9.862951}
{' Yes': -0.009356281, ' No': -4.954188, 'Yes': -6.3452897, ' Party': -8.6926775, ' Yep': -9.293917}
{' Yes': -0.0012092289, 'Yes': -6.7609158, ' yes': -10.629692, ' No': -11.330573, ' YES': -12.46308}
{' Yes': -0.0014921954, 'Yes': -6.529745, ' yes': -11.08773, ' YES': -12.439536, ' Sure': -12.46846}
{' Yes': -0.0013382577, 'Yes': -6.6378617, ' No': -11.8334875, ' Sure': -11.965554, ' yes': -12.057929}
{' Yes': -0.0042759595, 'Yes': -5.9000697, ' Shoes': -6.583205, ' yes': -10.260934, ' Sure': -10.606196}
{' Yes': -0.0025930817, 'Yes': -5.9914956, ' No': -10.407322, ' yes': -10.900849, ' Sure': -11.144731}
{' Yes': -0.0023105762, 'Yes': -6.362076, ' No': -7.552424, ' yes': -10.991033, ' Ghost': -11.622292}
{' Yes': -0.0013625489, 'Yes': -6.6552873, ' Shirt': -10.665868, ' Sure': -10.943996, ' yes': -11.002457}
{' Yes': -0.0022035204, 'Yes': -6.231949, ' Sure': -9.090843, ' Shirt': -9.570749, ' yes': -10.867815}
{' Yes': -0.005014672, 'Yes': -5.437258, ' No': -7.837126, ' Pants': -8.658865, ' yes': -10.581411}
{' Yes': -0.010603439, 'Yes': -4.9487133, ' Pants': -6.026682, ' No': -7.119585, ' yes': -9.776797}
{' Yes': -0.012165241, 'Yes': -5.0755463, ' Board': -5.3410664, ' yes': -7.765277, ' No': -9.280059}
{' Yes': -0.0090353545, 'Yes': -5.0114193, ' Board': -6.3587704, ' yes': -8.126437, ' No': -9.323977}
{' Yes': -0.0055715805, 'Yes': -5.513399, ' Leave': -6.8541584, ' yes': -8.642204, ' YES': -9.752888}
{' Yes': -0.0180746, ' Leave': -4.7933545, 'Yes': -5.357109, ' Le': -6.453498, ' No': -6.5587997}
{' Yes': -0.0025946351, 'Yes': -6.0325723, ' No': -9.41789, ' Sure': -9.827177, ' yes': -10.617125}
{' Yes': -0.019593718, ' There': -4.2105117, 'Yes': -5.842503, ' Here': -7.710173, ' The': -8.448548}
{' Yes': -0.041968532, ' No': -3.548343, 'Yes': -5.061738, ' Sn': -5.8368297, ' Un': -6.769401}
{' Yes': -0.2674507, ' No': -1.9182894, ' Sn': -2.8060954, ' Un': -4.3803253, 'Yes': -4.9768467}
{' Yes': -0.013878875, ' Bride': -4.545474, 'Yes': -6.120024, ' No': -7.7834435, ' Bridge': -8.418653}
{' Yes': -0.08216156, ' Bride': -2.669251, ' Bridge': -5.307532, 'Yes': -5.9429617, ' B': -7.8886}
{' Yes': -0.0014427716, 'Yes': -6.5738297, ' yes': -10.774773, ' No': -10.925263, 'yes': -12.803855}
{' Yes': -0.029459698, ' Throw': -3.6978617, 'Yes': -6.0882993, ' No': -7.383227, ' Yeah': -8.79487}
{' Yes': -0.0015665778, 'Yes': -6.5394077, ' No': -10.3100195, ' Yep': -10.841467, ' yes': -11.022669}
{' Yes': -0.0018879866, 'Yes': -6.590664, ' Yep': -9.046583, ' Yeah': -9.378503, ' No': -10.101557}
{' Yes': -0.014929347, 'Yes': -4.823407, ' No': -6.333089, ' Ank': -6.4741077, ' yes': -6.7295375}
{' Yes': -0.0151161915, ' No': -4.4976406, 'Yes': -5.6531734, ' yes': -9.642746, 'No': -9.671812}
{' No': -0.23195063, ' Yes': -1.6563966, ' Nope': -4.4317374, 'No': -5.726484, 'Yes': -7.7318635}
{' Yes': -0.07153656, ' No': -3.2373786, ' Los': -4.1382403, ' Lo': -5.0028796, 'Yes': -5.866285}
{' Yes': -0.0012570898, 'Yes': -6.7263484, ' No': -10.770579, ' YES': -11.463892, ' yes': -11.496098}
{' Yes': -0.029619744, ' No': -3.5861974, 'Yes': -6.707365, 'No': -9.219718, ' Nope': -9.531211}
{' Yes': -0.002083099, 'Yes': -6.3020186, ' Sure': -8.962912, ' Shark': -10.035288, ' yes': -10.567219}
{' Yes': -0.00537902, ' Shark': -5.9890294, 'Yes': -6.0354557, ' Sure': -8.16288, ' Sh': -10.170973}
{' Yes': -0.0015263426, 'Yes': -6.799778, ' No': -7.992201, ' yes': -10.750487, ' Sure': -10.981068}
{' Yes': -0.0025182047, 'Yes': -6.132349, ' Lemon': -8.51918, ' yes': -10.32314, ' Sure': -10.331524}
{' Yes': -0.016011642, ' No': -4.493194, 'Yes': -5.844442, ' Tight': -6.604715, ' Right': -8.872527}
{' No': -0.3209101, ' Yes': -1.3228346, ' Nope': -5.331673, 'No': -6.2035007, 'Yes': -7.450365}
{' Yes': -0.29159966, ' No': -1.385653, 'Yes': -6.516248, 'No': -6.9820952, ' Below': -8.526136}
{' Yes': -0.13023561, ' Below': -2.1695745, 'Yes': -5.5522895, ' No': -6.025943, 'Below': -7.5038166}
{' Yes': -0.0045695594, ' Sm': -5.908425, 'Yes': -6.7515554, ' Spell': -7.887576, ' yes': -9.187445}
{' Yes': -0.0017483165, 'Yes': -6.549889, ' yes': -9.732857, ' No': -9.893911, ' YES': -10.114601}
{' Yes': -0.5060488, ' Your': -1.0372397, ' Y': -4.1296754, 'Yes': -4.936808, 'Y': -5.6147165}
{' Yes': -0.30822113, ' Your': -1.4606928, 'Yes': -4.2497787, ' Y': -5.474326, ' No': -5.9030123}
{' No': -0.008340733, 'No': -5.278852, ' Yes': -5.809266, ' Nope': -8.607806, 'Yes': -11.093605}
{' No': -0.29356354, ' Wrong': -1.802137, ' Yes': -2.4459453, 'No': -6.284114, ' Nope': -7.1971273}
{' Yes': -0.09215576, ' Devil': -2.6920016, 'Yes': -5.143324, ' Dev': -5.931172, ' No': -6.267361}
{' Yes': -0.62555075, ' Devil': -0.9158454, ' Dev': -4.4013357, ' Devils': -4.617904, ' De': -4.7836075}
{' Yes': -0.00077738106, 'Yes': -7.196074, ' Sure': -11.233768, ' yes': -11.707915, ' YES': -12.788954}
{' Yes': -0.0008091732, 'Yes': -7.2387943, ' Sure': -10.084711, ' No': -10.6125145, ' yes': -11.184694}
{' Yes': -0.04535993, ' No': -3.1884701, 'Yes': -6.2777224, ' Major': -7.0081472, 'No': -8.513894}
{' Yes': -0.008465397, ' Major': -5.347943, 'Yes': -6.1551113, ' No': -6.6209035, ' Maybe': -9.993086}
{' No': -0.09469103, ' Yes': -2.5022206, 'No': -5.198109, ' Nope': -6.4284673, ' Worst': -6.9914365}
{' Yes': -0.39948934, ' Worst': -1.2436991, ' No': -3.3531349, 'Yes': -5.87665, ' Worse': -7.101828}
{' Yes': -0.022422586, ' No': -3.8831782, 'Yes': -6.835719, ' Pound': -8.459256, ' Nope': -9.438327}
{' Yes': -0.0015427576, 'Yes': -6.7427516, ' No': -9.061003, ' yes': -9.768461, ' Yep': -9.897278}
{' Yes': -0.007333382, ' No': -5.783286, 'Yes': -5.9536505, ' Dirty': -6.84271, ' Yep': -8.963174}
{' Yes': -0.11863154, ' Dirty': -2.493559, ' Dirt': -4.154703, 'Yes': -4.7464294, ' D': -6.811999}
{' Yes': -0.0029794446, 'Yes': -5.9143124, ' Sure': -8.613262, ' yes': -10.351543, ' YES': -10.650095}
{' Yes': -0.0032343904, 'Yes': -5.865863, ' Sure': -8.457252, ' yes': -9.750326, ' YES': -9.961408}
{' Yes': -0.006921207, 'Yes': -5.3643355, ' E': -6.967667, ' erupt': -8.095402, ' yes': -8.328014}
{' Yes': -0.7822776, ' Inter': -1.2883563, 'rupt': -2.1526532, ' E': -2.921804, ' erupt': -4.100635}
{' Yes': -0.0018521555, 'Yes': -6.3390574, ' yes': -10.169304, ' Yep': -10.623509, ' No': -11.7234535}
{' Yes': -0.0064263595, 'Yes': -5.14851, ' Swamp': -8.53289, ' yes': -8.582417, ' Yep': -9.718433}
{' Yes': -0.026938302, ' Armor': -3.8986366, 'Yes': -5.895184, ' Armour': -6.380202, ' No': -7.138575}
{' Yes': -0.0066293804, ' Armor': -5.951773, ' No': -6.323029, 'Yes': -6.3544946, ' Armour': -8.621839}
{' Yes': -0.0026764516, 'Yes': -6.0633106, ' No': -8.123639, ' Absolutely': -11.173948, ' yes': -11.199589}
{' Yes': -0.13461913, ' Ex': -2.7617898, ' No': -3.2466092, ' Exactly': -3.9426253, 'Yes': -6.269594}
{' Yes': -0.0039697597, 'Yes': -6.12521, ' Still': -6.6567483, ' yes': -8.85954, ' YES': -9.151329}
{' Yes': -0.02356097, ' Still': -3.9876034, 'Yes': -5.6226315, ' yes': -8.432762, ' St': -8.873921}
{' Yes': -0.0009907138, 'Yes': -6.966284, ' Hello': -11.50572, ' yes': -11.630574, ' No': -11.689777}
{' Yes': -0.0015489677, 'Yes': -6.491855, ' yes': -11.537224, ' Hello': -11.580482, ' YES': -12.33603}
{' Yes': -0.0034306676, 'Yes': -5.8543534, ' Sure': -7.6573477, ' yes': -10.520036, ' YES': -10.62034}
{' Yes': -0.022056127, ' Sure': -4.478498, 'Yes': -4.870359, ' Purs': -6.522717, ' Pur': -7.6871715}
{' Yes': -0.009461516, ' No': -4.955497, 'Yes': -6.2863607, ' yes': -8.058913, 'No': -10.293404}
{' Yes': -0.20902376, ' Actor': -2.1852353, ' No': -2.7401307, 'Yes': -5.373466, 'Actor': -6.7948494}
{' Yes': -0.001677025, 'Yes': -6.5155683, ' No': -9.268296, ' Sure': -9.660677, ' yes': -10.816075}
{' Yes': -0.0055594733, 'Yes': -6.0953517, ' No': -6.1191535, ' Sure': -6.961631, ' yes': -10.134226}
{' No': -0.048070043, ' Yes': -3.1559973, 'No': -5.59858, ' Nope': -7.746417, 'Yes': -8.986116}
{' Yes': -0.69664115, ' No': -0.70424014, 'No': -5.9073973, ' Nope': -6.0274343, 'Yes': -6.4654126}
{' No': -0.0041658813, 'No': -5.864035, ' Yes': -6.6556206, ' Nope': -10.673931, 'Yes': -12.182927}
{' No': -0.003504296, ' Yes': -6.247618, 'No': -6.825627, ' Nope': -8.341499, ' False': -8.390011}
{' Yes': -0.0012532694, 'Yes': -6.882774, ' No': -9.264783, ' Sure': -9.285013, ' yes': -11.707665}
{' Yes': -0.0021799284, 'Yes': -6.612874, ' No': -7.8871756, ' Watch': -8.249003, ' Sure': -9.849486}
{' Yes': -0.0028620376, 'Yes': -6.0384874, ' Sure': -8.451878, ' No': -9.058736, ' Spice': -10.248748}
{' Yes': -0.008242231, 'Yes': -5.5421987, ' Sure': -6.0115323, ' No': -6.4947224, ' Nope': -9.361932}
{' Yes': -0.0009198354, 'Yes': -7.0426393, ' yes': -10.973671, ' YES': -11.761093, ' Sure': -12.011241}
{' Yes': -0.0036930286, 'Yes': -6.320284, ' Under': -7.0542884, ' Yeah': -8.617369, ' No': -8.932564}
{' Yes': -0.0022824984, 'Yes': -6.4710975, ' Crack': -8.002299, ' No': -8.4723425, ' Cr': -9.2179365}
{' Yes': -0.0034616506, ' No': -6.2994018, 'Yes': -6.7078795, ' Crack': -8.308988, ' Cr': -9.89872}
{' Yes': -0.0074177436, ' Sure': -5.8027835, 'Yes': -5.8103557, ' Ar': -7.8193088, ' Absolutely': -8.19902}
{' Yes': -0.066616416, ' Ar': -3.9399855, ' Arg': -4.306303, ' Sure': -4.4319687, ' Argument': -4.9938784}
{' Yes': -0.0009651197, 'Yes': -7.009453, ' yes': -10.406416, ' No': -11.856262, ' Yeah': -11.990898}
{' Yes': -0.00128478, 'Yes': -6.73622, ' No': -10.192588, ' yes': -10.4015045, ' YES': -11.587893}
{' Yes': -0.026778255, ' Early': -4.6582327, 'Yes': -5.527932, ' Ear': -5.9722486, ' No': -6.433107}
{' Yes': -0.015341018, 'Yes': -5.6153207, ' Early': -5.9121494, ' Ear': -6.3201556, ' Yeah': -6.6289835}
{' Yes': -0.0031733988, 'Yes': -5.927812, ' No': -8.203635, ' Goose': -9.520957, ' Sure': -9.6986475}
{' Yes': -0.0036068258, 'Yes': -5.910194, ' No': -7.1657863, ' yes': -10.41153, ' Goose': -10.835697}
{' Yes': -0.06976147, ' Ocean': -2.9843483, ' No': -4.270748, 'Yes': -6.0723515, 'No': -9.428863}
{' No': -0.16167611, ' Yes': -2.0094867, ' Ocean': -4.88088, 'No': -5.3199744, ' Nope': -6.2647457}
{' Yes': -0.020440495, ' No': -4.0602655, 'Yes': -5.904868, 'No': -9.155116, ' Sure': -9.949508}
{' Yes': -0.0050814673, ' No': -6.0550747, 'Yes': -6.0690656, ' Sure': -8.759082, ' yes': -9.970984}
{' Yes': -0.007319632, 'Yes': -5.3399286, ' Gross': -6.232276, ' yes': -8.923724, ' No': -9.822663}
{' Yes': -0.0033103973, 'Yes': -5.785409, ' Gross': -9.281502, ' yes': -9.790471, ' YES': -10.679834}
{' Yes': -0.0015726677, 'Yes': -6.515759, ' Sure': -10.30564, ' yes': -10.925397, ' Yep': -11.257343}
{' Yes': -0.0009978138, 'Yes': -7.061712, ' Sure': -9.428537, ' Yep': -10.665113, ' Yeah': -11.383838}
{' Yes': -0.32116753, ' Guard': -1.377957, ' Guardian': -4.8194747, 'Yes': -5.4909577, 'Guard': -5.6368012}
{' Guard': -0.75289947, ' Yes': -0.76078445, ' Guardian': -4.042839, 'Guard': -4.2277384, ' No': -4.564735}
{' Yes': -0.0030336676, 'Yes': -6.157651, ' Sweet': -7.806166, ' Sure': -8.175246, ' yes': -9.675638}
{' Yes': -0.005157613, 'Yes': -5.6442146, ' Sweet': -7.239967, ' Swe': -8.175783, ' yes': -8.53684}
{' Yes': -0.036227893, ' Grass': -3.5449214, 'Yes': -5.6730947, ' No': -5.9216914, ' Gr': -8.476024}
{' Yes': -0.022352975, ' Grass': -4.0944886, 'Yes': -5.580357, ' No': -6.6889105, ' yes': -9.034707}
{' Yes': -0.0030972238, 'Yes': -5.872083, ' yes': -9.1949625, ' Beard': -10.104816, ' Yeah': -10.52049}
{' Yes': -0.0038508032, 'Yes': -5.72673, ' yes': -8.847889, ' Beard': -9.137969, ' No': -9.243055}
{' Yes': -0.102553815, ' No': -3.113317, ' Girls': -4.0953336, 'Yes': -4.454688, ' G': -4.637609}
{' Yes': -0.6801207, ' Girls': -0.84157777, ' Gr': -3.9190984, ' Gir': -4.2979145, ' G': -4.3048677}
{' Yes': -0.0017036555, 'Yes': -6.4441967, ' Sure': -9.946777, ' YES': -10.884794, ' yes': -11.4252825}
{' Yes': -0.0025801142, 'Yes': -6.0373054, ' YES': -9.873576, ' Light': -10.158752, ' yes': -10.796418}
{' Yes': -0.00919848, ' No': -5.022935, 'Yes': -6.1038084, ' Spoon': -8.834929, ' Nope': -9.9657135}
{' Yes': -0.0035138074, 'Yes': -6.299965, ' No': -6.447471, ' yes': -11.080581, ' Yep': -11.226192}
{' Yes': -0.009533063, 'Yes': -5.599226, ' No': -5.94115, ' Lo': -6.0823092, ' Sure': -7.6633854}
{' Yes': -0.008858604, 'Yes': -5.620805, ' Lo': -5.988679, ' No': -6.0171175, ' Lose': -9.326492}
{' Yes': -0.0024124442, 'Yes': -6.0535364, ' yes': -10.759826, ' No': -11.565469, ' Sure': -11.621588}
{' Yes': -0.0043349257, 'Yes': -5.4792547, ' yes': -10.175014, ' No': -10.616017, ' YES': -10.736451}
{' Yes': -0.0332813, ' No': -3.5204027, 'Yes': -5.9480567, 'No': -8.336852, ' Sure': -9.274789}
{' Yes': -0.0033764814, 'Yes': -6.1662636, ' Seven': -7.183645, ' No': -8.012857, ' yes': -9.95269}
{' Yes': -0.0035535847, 'Yes': -5.6963825, ' Sure': -9.003154, ' yes': -10.895925, ' Yeah': -11.396222}
{' Yes': -0.0031385992, 'Yes': -5.8536654, ' Sure': -9.095468, ' No': -9.449315, ' yes': -10.872327}
{' Yes': -0.025720162, ' Rough': -3.7788801, 'Yes': -6.227404, ' Yeah': -8.9813, ' Tough': -9.299937}
{' Yes': -0.24511129, ' Rough': -1.5597875, ' Tough': -5.9238644, 'Yes': -6.0821486, ' Enough': -6.985206}
{' Yes': -0.014299308, 'Yes': -4.563408, ' Dance': -5.883615, ' Sure': -7.9166555, ' yes': -8.517559}
{' Yes': -0.014608564, 'Yes': -4.8114223, ' Dance': -5.54977, ' Sure': -6.676108, ' Definitely': -8.218689}
{' Yes': -0.0016505757, 'Yes': -6.454842, ' yes': -10.338812, ' YES': -10.862785, ' Salad': -11.247289}
{' Yes': -0.001660607, 'Yes': -6.491002, ' Salad': -10.259704, ' No': -10.362952, ' yes': -10.4499235}
{' Yes': -0.36206305, ' Looks': -1.3475194, ' Lo': -4.2016187, ' No': -4.5514436, 'Yes': -4.8290496}
{' Yes': -0.46302903, ' Looks': -1.3344775, ' No': -2.9289272, ' Lo': -3.3421333, 'Yes': -4.9411116}
{' Yes': -0.09654074, ' Store': -2.6524909, ' Sure': -3.9580727, 'Yes': -6.114961, 'Store': -9.396767}
{' Yes': -0.06479487, ' Sure': -2.8000968, 'Yes': -6.587548, ' Store': -8.054843, ' yes': -9.849561}
{' Yes': -0.0013758601, 'Yes': -6.6476407, ' yes': -10.311514, ' Break': -10.507981, 'yes': -12.280172}
{' Yes': -0.003676875, 'Yes': -6.2046065, ' Sure': -7.1570354, ' Break': -7.632325, ' No': -9.41607}
{' Yes': -0.0057856413, 'Yes': -5.452397, ' Parts': -7.121676, ' Sure': -7.7244453, ' yes': -9.538711}
{' Yes': -0.0053983144, 'Yes': -5.411001, ' No': -7.4103203, ' Parts': -9.205065, ' Sure': -9.351371}
{' Yes': -0.0058395397, 'Yes': -5.6945386, ' Sure': -6.314635, ' Sh': -8.232787, ' Sho': -9.48306}
{' Yes': -0.085361026, ' Sh': -2.9533722, ' Sho': -4.4837146, ' Sure': -4.9522605, 'Yes': -4.995998}
{' Yes': -0.0037578824, 'Yes': -5.760805, ' Sy': -7.9509273, ' yes': -9.444923, ' No': -9.71538}
{' Yes': -0.0038323735, 'Yes': -5.627581, ' yes': -9.434343, ' No': -9.938831, ' Sy': -10.199364}
{' Yes': -0.0009816437, 'Yes': -6.9837527, ' yes': -10.479554, ' YES': -11.11695, ' ': -12.776407}
{' Yes': -0.0010737103, 'Yes': -6.9369698, ' yes': -10.251804, ' YES': -10.707055, ' Yeah': -11.258007}
{' Yes': -0.2932956, ' No': -1.3806959, 'Yes': -6.6981893, 'No': -6.788859, ' Minor': -7.897789}
{' Yes': -0.0019166511, 'Yes': -6.63541, ' No': -7.6286006, ' Minor': -9.991785, ' yes': -10.450741}
{' Yes': -0.0031666432, 'Yes': -5.7671337, ' yes': -11.170343, ' Sure': -11.906169, ' YES': -12.485922}
{' Yes': -0.0029084848, 'Yes': -6.1826053, ' Sure': -7.4686885, ' Where': -8.830037, ' No': -10.12713}
{' Yes': -0.0027898902, 'Yes': -5.9036093, ' yes': -10.509372, ' Arrow': -10.938535, 'yes': -12.376197}
{' Yes': -0.024384899, ' Arrow': -4.0026274, 'Yes': -5.2194796, ' yes': -9.260749, 'arrow': -9.599413}
{' Yes': -0.0027103368, 'Yes': -5.99831, ' No': -9.113255, ' Sure': -10.3858795, ' yes': -10.587175}
{' Yes': -0.003503579, 'Yes': -5.767828, ' No': -8.988573, ' Sure': -9.658267, ' Chain': -10.021296}
{' Yes': -0.0014126861, 'Yes': -6.6285605, ' Sure': -10.421498, ' No': -10.515115, ' yes': -10.820973}
{' Yes': -0.0019534398, 'Yes': -6.349318, ' No': -8.904781, ' Sure': -10.2398205, ' yes': -10.948822}
{' Yes': -0.02309503, ' Heart': -3.9952726, 'Yes': -5.5421877, ' YES': -9.503586, 'Heart': -9.604174}
{' Yes': -0.15512477, ' Heart': -1.9851265, 'Yes': -5.4941616, 'Heart': -7.4593215, ' Hearts': -7.6134224}
{' Yes': -0.00093624304, 'Yes': -7.0307097, ' Sure': -10.329322, ' yes': -11.823274, ' YES': -12.322053}
{' Yes': -0.0016232328, 'Yes': -6.449968, ' Sure': -10.976304, ' yes': -12.041228, ' No': -12.057667}
{' Yes': -0.010469713, ' No': -4.8184185, 'Yes': -6.577146, ' Right': -7.5194397, ' Bright': -9.451872}
{' Yes': -0.0033382059, 'Yes': -6.285536, ' Right': -7.185159, ' No': -7.7301087, ' Bright': -10.13981}
{' Yes': -0.0022531073, 'Yes': -6.3191338, ' Pizza': -8.496664, ' No': -8.818808, ' Yep': -10.71594}
{' Yes': -0.0022919967, 'Yes': -6.349349, ' Pizza': -8.074668, ' No': -8.815642, ' YES': -10.604707}
{' Yes': -0.011786656, 'Yes': -4.904418, ' Snake': -5.640532, ' Sure': -8.221932, ' Sn': -8.458995}
{' Yes': -0.0039224853, 'Yes': -5.6014066, ' Snake': -9.489014, ' yes': -10.069632, ' YES': -10.258583}
{' Yes': -0.0088032205, ' Laugh': -5.38563, 'Yes': -6.153403, ' Yeah': -6.99549, ' Sure': -7.95306}
{' Yes': -0.0035880415, 'Yes': -6.1355686, ' Laugh': -7.724733, ' Sure': -8.022036, ' Yeah': -8.047864}
{' Yes': -0.002765624, 'Yes': -6.0647845, ' No': -8.21848, ' Queen': -9.636227, ' yes': -9.99219}
{' Yes': -0.0040531233, 'Yes': -6.1860824, ' No': -6.317552, ' yes': -9.782841, ' Queen': -9.817735}
{' Yes': -0.021659039, ' No': -3.939469, 'Yes': -6.6332192, ' Sure': -7.5596495, 'No': -10.091614}
{' Yes': -0.001846841, 'Yes': -6.492323, ' Sure': -8.407704, ' No': -10.611885, ' yes': -10.729238}
{' Yes': -0.00487768, 'Yes': -5.439568, ' Plane': -7.9996986, ' Sure': -9.66415, ' yes': -9.759622}
{' Yes': -0.0028306555, 'Yes': -6.2725787, ' Plane': -7.1112423, ' Sure': -10.003847, ' yes': -10.587149}
{' Yes': -0.018338827, ' Found': -4.222635, 'Yes': -6.185812, ' F': -7.9135103, ' yes': -8.779152}
{' Yes': -0.01077544, ' Found': -4.9124727, 'Yes': -6.2408347, ' F': -7.968467, ' yes': -8.845545}
{' Yes': -0.00055460737, 'Yes': -7.5869064, ' yes': -10.747637, ' Uncle': -11.428407, ' Sure': -12.175258}
{' Yes': -0.0016260996, 'Yes': -6.86196, ' No': -7.833185, ' Sure': -9.834567, ' Uncle': -10.448324}
{' Yes': -0.0026226041, 'Yes': -6.200741, ' Stamp': -7.725965, ' St': -9.753338, ' yes': -10.52387}
{' Yes': -0.0023825106, 'Yes': -6.1843224, ' Sure': -8.76803, ' YES': -10.615678, ' No': -10.618709}
{' Yes': -0.0012337549, 'Yes': -6.8495436, ' Sleep': -9.855695, ' yes': -9.946053, ' Yep': -10.477094}
{' Yes': -0.0024558802, 'Yes': -6.196908, ' yes': -8.92726, ' Sleep': -8.944343, ' YES': -9.68401}
{' Yes': -0.035373695, ' No': -3.4332104, 'Yes': -6.083736, 'No': -9.255224, ' Close': -10.808169}
{' Yes': -0.005419229, 'Yes': -5.761082, ' Close': -6.2267857, ' Sure': -9.142213, ' No': -9.745887}
{' Yes': -0.0024739285, 'Yes': -6.0712695, ' No': -10.022947, ' Te': -10.202366, '\n': -11.025778}
{' Yes': -0.0018527535, 'Yes': -6.517285, ' Te': -9.2167, ' No': -9.37972, ' YES': -10.328063}
{' Yes': -0.0005379106, 'Yes': -7.670533, ' Sure': -9.677534, ' yes': -12.999569, ' YES': -13.225276}
{' Yes': -0.0006985241, 'Yes': -7.367212, ' Sure': -9.859673, ' yes': -12.441185, '\n': -12.930845}
{' Yes': -0.0024330579, 'Yes': -6.074933, ' yes': -9.8773775, ' YES': -10.501286, ' Drunk': -11.233508}
{' Yes': -0.0049351207, 'Yes': -5.547873, ' Drunk': -7.694357, ' Y': -9.002592, ' yes': -9.06134}
{' No': -0.15445176, ' Yes': -1.9646152, 'No': -6.0209885, 'Yes': -8.185337, ' Nope': -8.975846}
{' Yes': -0.18230003, ' No': -1.8099569, 'Yes': -6.537578, 'No': -7.4684405, ' Min': -7.8116145}
{' Yes': -0.0010565255, 'Yes': -6.884191, ' yes': -10.997056, ' YES': -11.999933, ' Word': -12.824935}
{' Yes': -0.0006588605, 'Yes': -7.429617, ' yes': -10.540424, ' Word': -11.209829, ' YES': -11.504717}
{' Yes': -0.0015061043, 'Yes': -6.827019, ' No': -8.848884, ' Sure': -9.167035, ' yes': -9.965069}
{' Yes': -0.0017387628, 'Yes': -7.0346556, ' No': -7.2990193, ' Sure': -9.712211, ' yes': -10.18562}
{' Yes': -0.01644351, ' Woman': -4.231596, 'Yes': -6.521549, 'Woman': -9.821756, ' Women': -10.266771}
{' Yes': -0.012149254, ' Woman': -4.5161166, 'Yes': -6.9018946, ' YES': -10.526941, 'Woman': -10.572825}
{' Yes': -0.006755452, ' Party': -5.417133, 'Yes': -6.2730384, ' Yep': -9.440652, ' Definitely': -9.725139}
{' Yes': -0.0048921756, ' Party': -6.1719737, 'Yes': -6.256164, ' No': -8.246888, ' Yep': -8.267778}
{' Yes': -0.0014627686, 'Yes': -6.5970545, ' yes': -9.891341, ' No': -10.890517, ' YES': -11.32242}
{' Yes': -0.0012575676, 'Yes': -6.7340817, ' yes': -10.249865, ' YES': -11.391521, 'yes': -12.455765}
{' Yes': -0.001092625, 'Yes': -6.8423553, ' Sure': -11.89514, ' yes': -12.228598, ' YES': -12.341525}
{' Yes': -0.001825404, 'Yes': -6.3842525, ' Shoes': -9.393509, ' Sure': -10.900383, ' YES': -11.599053}
{' Yes': -0.0018141177, 'Yes': -6.369562, ' Sure': -10.579706, ' Ghost': -10.85433, ' yes': -11.265091}
{' Yes': -0.001335514, 'Yes': -6.7569675, ' No': -9.141699, ' Ghost': -10.376257, ' yes': -11.34105}
{' Yes': -0.0011462107, 'Yes': -6.8879156, ' Shirt': -9.599689, ' Sure': -10.938032, ' yes': -11.256134}
{' Yes': -0.002129872, 'Yes': -6.7019725, ' Shirt': -7.2144995, ' Sure': -9.1445675, ' YES': -11.165816}
{' Yes': -0.00590495, 'Yes': -5.531345, ' Pants': -6.4623256, ' No': -8.318843, ' Sure': -10.105773}
{' Yes': -0.008510844, 'Yes': -5.286967, ' Pants': -5.7788315, ' No': -8.79763, ' Sure': -10.158844}
{' Yes': -0.011348888, ' Board': -5.1059933, 'Yes': -5.4645653, ' yes': -8.086442, ' B': -8.6167555}
{' Yes': -0.004133024, 'Yes': -5.7101417, ' Board': -7.5645614, ' yes': -8.878932, ' Yeah': -10.824168}
{' Yes': -0.015051929, ' Leave': -4.6381693, 'Yes': -5.522374, ' yes': -8.236456, ' YES': -8.652856}
{' Yes': -0.0047493293, 'Yes': -5.745786, ' Leave': -7.4767413, ' yes': -8.633603, ' No': -8.822212}
{' Yes': -0.005930194, ' No': -5.7010803, 'Yes': -6.753748, ' Sure': -7.6816316, ' Nope': -7.910198}
