{' No': -0.032526918, ' Yes': -3.841517, 'No': -4.6175275, '\n': -8.260648, 'Yes': -9.013032}
{' No': -0.051194217, 'No': -3.0099227, '\n': -8.668036, ' Yes': -8.829136, ' The': -8.874709}
{' Yes': -0.013788768, 'Yes': -4.8254476, ' No': -5.3857865, '\n': -7.4256654, ' yes': -8.287475}
{' No': -0.16642274, ' Yes': -2.0561435, 'No': -3.7973561, 'Yes': -6.5602937, ' The': -7.593827}
{' No': -0.035355475, ' Yes': -3.9146528, 'No': -4.3502946, '\n': -6.736363, ' The': -8.321896}
{' No': -0.049679894, ' Yes': -3.1942263, 'No': -5.0169764, 'Yes': -7.9229436, ' The': -8.275701}
{' No': -0.09656161, ' Yes': -2.6162205, 'No': -4.0845146, ' The': -7.2971077, 'Yes': -7.3408127}
{' No': -0.014383537, 'No': -4.4389477, ' Yes': -6.2004967, '\n': -8.777779, ' "': -9.281755}
{' No': -0.18933906, ' Yes': -1.8184398, 'No': -4.919926, 'Yes': -6.709067, ' The': -7.3969975}
{' No': -0.040683955, ' Yes': -3.5803623, 'No': -4.555813, '\n': -7.287126, ' The': -8.116926}
{' No': -0.12848625, ' Yes': -2.223621, 'No': -4.4864745, 'Yes': -7.2394686, '\n': -9.256177}
{' No': -0.02669702, 'No': -4.3402195, ' Yes': -4.374931, ' The': -8.205993, '\n': -8.429694}
{' No': -0.01709012, 'No': -4.391314, ' Yes': -5.552929, ' The': -7.986286, '\n': -8.981495}
{' No': -0.031051902, ' Yes': -3.8736973, 'No': -4.689228, ' The': -7.9155407, 'Yes': -8.949711}
{' No': -0.085932, ' Yes': -2.6442912, 'No': -4.605841, 'Yes': -7.6278853, '\n': -7.9005127}
{' No': -0.064451404, ' Yes': -3.0061476, 'No': -4.471651, '\n': -7.682964, 'Yes': -7.79824}
{' No': -0.02423204, ' Yes': -4.259309, 'No': -4.729186, ' The': -7.768828, '\n': -8.35604}
{' No': -0.015539562, 'No': -4.284138, ' Yes': -6.7235374, '\n': -8.473227, ' ': -9.43395}
{' Yes': -0.63127446, ' No': -0.78519565, 'No': -4.9493513, 'Yes': -5.402892, '\n': -8.474851}
{' Yes': -0.10175772, ' No': -2.447995, 'Yes': -4.8826375, 'No': -6.5639114, ' The': -7.2672296}
{' No': -0.019190557, ' Yes': -4.263619, 'No': -5.4303727, '\n': -8.367749, ' The': -8.882617}
{' No': -0.02633315, 'No': -4.3070736, ' Yes': -4.4567513, ' Not': -8.138975, ' The': -8.63382}
{' No': -0.27782953, ' Yes': -1.5001786, 'No': -4.2705526, 'Yes': -6.3676953, ' The': -6.686431}
{' No': -0.07155635, ' Yes': -3.1112309, 'No': -3.8807337, '\n': -6.6871142, ' The': -7.029474}
{' No': -0.04610391, ' Yes': -3.3767729, 'No': -4.5762076, 'Yes': -8.434737, '\n': -8.929032}
{' No': -0.021797922, 'No': -3.9720294, ' Yes': -6.0228252, ' The': -8.824371, '\n': -9.720742}
{' Yes': -0.1384888, ' No': -2.1520233, 'Yes': -5.1452866, ' The': -5.768953, '\n': -6.286627}
{' No': -0.6417155, ' Yes': -0.7930464, 'No': -4.583328, '\n': -5.4563613, 'Yes': -5.5228667}
{' No': -0.04983751, 'No': -3.3947165, ' Yes': -4.2398934, 'Yes': -8.339234, '\n': -8.700482}
{' No': -0.6564455, ' Yes': -0.8018045, 'No': -3.779128, 'Yes': -4.9617486, ' The': -6.5632825}
{' No': -0.021546181, 'No': -3.886801, ' Not': -8.241739, ' Yes': -8.509491, '\n': -8.760473}
{' No': -0.044679515, 'No': -3.152122, '\n': -7.738994, ' Yes': -8.618166, ' ': -8.912395}
{' No': -0.13759364, ' Yes': -2.4148781, 'No': -3.4009123, 'Yes': -6.2798014, ' "': -6.409358}
{' No': -0.15139753, ' Yes': -2.2881067, 'No': -3.4369028, '\n': -5.843536, 'Yes': -6.250503}
{' No': -0.014654832, 'No': -4.789063, ' Yes': -5.223561, ' The': -7.712446, '\n': -8.689966}
{' No': -0.18962051, ' Yes': -1.8331944, 'No': -4.6278696, ' The': -6.7968874, 'Yes': -6.9763594}
{' No': -0.029952258, 'No': -3.6718838, ' Yes': -5.827543, ' The': -8.030913, '\n': -8.088494}
{' No': -0.022144299, 'No': -3.85132, '\n': -8.723545, ' The': -8.755786, ' Yes': -8.967329}
{' No': -0.022517683, 'No': -3.8184314, ' "': -8.574389, ' ': -10.147584, '\n': -10.431476}
{' No': -0.04083768, 'No': -3.2258215, ' The': -9.379872, '\n': -9.52921, ' ': -10.069449}
{' No': -0.06737531, ' Yes': -3.0301666, 'No': -4.1554527, 'Yes': -7.7296996, ' The': -8.36783}
{' No': -0.06290669, ' Yes': -3.0043185, 'No': -4.562781, 'Yes': -8.071056, ' The': -8.2978325}
{' No': -0.22338115, ' Yes': -1.7056638, 'No': -4.219059, ' The': -6.4896793, 'Yes': -6.6465816}
{' No': -0.1195979, ' Yes': -2.420278, 'No': -3.920179, '\n': -6.5588427, ' The': -6.930825}
{' No': -0.025677418, 'No': -3.7006059, ' Yes': -7.7838864, '\n': -9.719772, ' The': -9.760932}
{' No': -0.017018639, 'No': -4.1205397, ' Yes': -8.267909, '\n': -8.713502, ' The': -9.3922205}
{' No': -0.45069832, ' Yes': -1.0462908, 'No': -4.766044, 'Yes': -6.104844, ' The': -7.8787665}
{' No': -0.1874542, ' Yes': -2.063488, 'No': -3.2379148, 'Yes': -5.8992095, '\n': -7.3602448}
{' No': -0.027587205, 'No': -3.8721707, ' Yes': -5.122266, ' The': -9.04186, '\n': -9.305438}
{' No': -0.016888298, 'No': -4.665959, ' Yes': -5.0587773, ' The': -7.5576267, '\n': -8.880101}
{' No': -0.04025191, 'No': -3.2798874, ' Yes': -6.531053, ' The': -9.002799, ' Not': -9.588326}
{' No': -0.041895933, 'No': -3.3612487, ' Yes': -5.1714582, '\n': -8.543778, ' The': -8.806287}
{' No': -0.697678, ' Yes': -0.7095704, 'No': -5.219727, 'Yes': -5.8082795, ' The': -6.806816}
{' Yes': -0.35060772, ' No': -1.2574623, 'Yes': -5.2396154, 'No': -5.493691, '\n': -7.0824}
{' No': -0.021544354, 'No': -4.212249, ' Yes': -5.2119126, '\n': -8.00699, ' The': -8.0778885}
{' No': -0.0074403225, 'No': -4.9939322, ' Yes': -7.7121673, '\n': -9.85274, ' The': -10.062628}
{' No': -0.023153834, 'No': -3.8272195, ' Yes': -7.5456047, '\n': -8.209972, ' The': -8.780092}
{' No': -0.04542374, 'No': -3.6327422, ' Yes': -4.102312, ' The': -7.5055285, 'Yes': -8.153011}
{' No': -0.020827057, 'No': -4.0067716, ' Yes': -6.2263107, '\n': -8.708403, ' Not': -9.555132}
{' No': -0.049034078, 'No': -3.1047342, ' Yes': -6.031593, '\n': -8.259508, ' The': -9.197672}
{' No': -0.030304048, 'No': -3.5336015, ' Yes': -8.136538, ' The': -8.979759, '\n': -9.350639}
{' No': -0.013752451, 'No': -4.32919, '\n': -8.876629, ' Yes': -9.060192, ' The': -9.402439}
{' No': -0.43208557, ' Yes': -1.0826384, 'No': -4.915789, 'Yes': -6.3973317, ' The': -6.4607205}
{' No': -0.03381274, 'No': -4.1251707, ' Yes': -4.145623, ' The': -7.809203, '\n': -7.8447943}
{' Yes': -0.008741647, 'Yes': -4.7846947, ' No': -9.019041, ' yes': -9.276268, '\n': -9.556196}
{' Yes': -0.48349318, ' No': -1.0164254, 'No': -4.376384, 'Yes': -4.7749205, ' The': -8.785144}
{' No': -0.25230423, ' Yes': -1.5588189, 'No': -4.773567, ' The': -6.3496947, 'Yes': -6.5727515}
{' No': -0.09330739, ' Yes': -2.608614, 'No': -4.371902, ' The': -6.794361, 'Yes': -7.031315}
{' No': -0.012561233, 'No': -4.545495, ' Yes': -6.3576384, ' ': -10.252757, '\n': -10.654191}
{' No': -0.015208901, 'No': -4.2956843, ' Yes': -7.3781886, '\n': -7.6410284, ' ': -8.862691}
{' Yes': -0.6771644, ' No': -0.7455181, 'No': -4.7305984, 'Yes': -5.236817, ' The': -6.36578}
{' No': -0.053073492, 'No': -3.122928, ' Yes': -5.0627856, '\n': -7.642804, ' The': -7.884887}
{' No': -0.03023788, 'No': -3.5969663, ' Yes': -6.2793336, '\n': -8.476555, ' The': -9.025112}
{' No': -0.03316139, 'No': -3.4526901, '\n': -8.147817, ' The': -8.252924, ' Yes': -8.526092}
{' No': -0.046825517, ' Yes': -3.4382668, 'No': -4.444944, '\n': -7.073286, ' The': -7.877344}
{' No': -0.047738492, ' Yes': -3.4474576, 'No': -4.4062953, '\n': -6.611747, ' The': -7.516148}
{' No': -0.030398607, 'No': -3.8356543, ' Yes': -4.9541445, ' The': -7.4555464, '\n': -7.7696505}
{' No': -0.018402027, 'No': -4.082882, ' Yes': -7.019691, ' The': -8.64053, '\n': -8.779469}
{' No': -0.025405135, 'No': -3.9568603, ' Yes': -5.2544184, ' The': -8.008122, '\n': -8.798314}
{' No': -0.026909646, ' Yes': -4.2833333, 'No': -4.4513, '\n': -8.00516, ' The': -8.147231}
{' Yes': -0.14658281, ' No': -2.0653546, 'Yes': -5.527068, '\n': -5.738912, 'No': -6.8624597}
{' No': -0.09322613, ' Yes': -2.7117772, 'No': -3.8862462, 'Yes': -7.1155095, '\n': -7.1490235}
{' No': -0.024793757, 'No': -3.916523, ' Yes': -5.6996613, '\n': -7.4148483, ' The': -8.187458}
{' No': -0.016291192, 'No': -4.191412, ' Yes': -7.5886574, ' The': -8.271896, ' "': -9.383066}
{' No': -0.039120913, ' Yes': -3.7885697, 'No': -4.2237387, '\n': -7.7252436, 'Yes': -8.378728}
{' No': -0.20600617, ' Yes': -1.7922487, 'No': -4.155202, 'Yes': -6.368005, ' The': -6.576553}
{' No': -0.041462433, ' Yes': -3.739731, 'No': -4.1240945, ' The': -8.47448, 'Yes': -8.5127945}
{' No': -0.027739597, 'No': -3.9414337, ' Yes': -4.9583845, ' The': -7.7747293, '\n': -8.538431}
{' No': -0.053310104, 'No': -3.3553157, ' Yes': -4.157106, '\n': -7.186282, 'Yes': -7.988433}
{' No': -0.13281724, ' Yes': -2.1886988, 'No': -4.5256376, 'Yes': -7.041861, ' Not': -8.305882}
{' No': -0.021492284, 'No': -4.3435674, ' Yes': -4.8842216, '\n': -8.400644, ' The': -8.452692}
{' No': -0.08781631, ' Yes': -2.760416, 'No': -3.9474525, 'Yes': -7.2440968, '\n': -8.068232}
{' No': -0.016740939, 'No': -4.1210346, ' Yes': -8.926735, '\n': -9.259079, ' The': -9.647722}
{' No': -0.019713653, 'No': -3.95897, ' The': -8.868691, ' Yes': -9.079101, '\n': -9.328174}
{' No': -0.044201817, 'No': -3.2466018, ' Yes': -5.657986, ' The': -8.013753, '\n': -8.608983}
{' No': -0.027079392, 'No': -3.6810825, ' Yes': -6.8845806, '\n': -8.643369, ' The': -8.881673}
{' No': -0.025317833, ' Yes': -4.2841277, 'No': -4.5370193, ' The': -8.927365, 'Yes': -9.051999}
{' Yes': -0.2225997, ' No': -1.6837927, 'Yes': -4.8147492, 'No': -5.5124307, ' The': -7.2052217}
{' Yes': -0.08793912, ' No': -2.618327, 'Yes': -5.0072584, '\n': -6.5344987, ' The': -6.7006974}
{' No': -0.29396924, ' Yes': -1.4344511, 'No': -4.4092813, 'Yes': -6.059476, ' The': -6.9847383}
{' No': -0.23697644, ' Yes': -1.6065328, 'No': -4.788612, 'Yes': -6.90995, '\n': -7.6906586}
{' No': -0.0189798, ' Yes': -4.5063014, 'No': -4.964557, '\n': -7.976873, ' The': -8.641632}
{' Yes': -0.27749884, ' No': -1.4985414, 'Yes': -4.6797667, 'No': -5.0624585, ' The': -6.4975}
{' Yes': -0.32332805, ' No': -1.3512859, 'Yes': -4.6605816, 'No': -5.186332, '\n': -6.910644}
{' No': -0.107203685, ' Yes': -2.73405, 'No': -3.394885, 'Yes': -6.75421, '\n': -7.350457}
{' No': -0.033431545, 'No': -3.8260627, ' Yes': -4.605806, '\n': -7.8195186, ' The': -8.020413}
{' No': -0.10920468, ' Yes': -2.5418715, 'No': -3.7987607, 'Yes': -6.8287916, ' "': -7.760959}
{' No': -0.060924098, 'No': -3.4636722, ' Yes': -3.667734, '\n': -7.273204, 'Yes': -7.5436716}
{' No': -0.039978296, 'No': -3.946516, ' Yes': -4.0319843, '\n': -6.6662426, 'Yes': -8.412134}
{' No': -0.01357752, 'No': -4.3593373, ' Yes': -7.947649, ' The': -8.892208, ' Not': -9.422786}
{' No': -0.07573384, 'No': -3.0873685, ' Yes': -3.7891371, '\n': -5.8132215, 'Yes': -7.465645}
{' No': -0.016456297, 'No': -4.3839316, ' Yes': -5.8198843, '\n': -7.9115176, ' The': -8.80482}
{' No': -0.09090252, ' Yes': -2.6720753, 'No': -4.173771, ' The': -6.9014416, 'Yes': -7.195757}
{' No': -0.139724, ' Yes': -2.2247689, 'No': -3.93291, 'Yes': -6.6775203, ' The': -7.1277857}
{' No': -0.10144854, ' Yes': -2.6548584, 'No': -3.7880805, ' The': -6.6792274, 'Yes': -6.891409}
{' No': -0.08924091, ' Yes': -2.66876, 'No': -4.2708354, ' The': -7.2075458, 'Yes': -7.240737}
{' No': -0.026967267, 'No': -3.7672455, ' Yes': -5.9963593, ' The': -7.7962084, '\n': -8.518432}
{' No': -0.040254332, ' Yes': -3.8831286, 'No': -4.0241656, 'Yes': -7.9927893, ' The': -8.210771}
{' No': -0.03198792, 'No': -3.7418268, ' Yes': -5.1101794, '\n': -6.665532, ' ': -8.394028}
{' No': -0.13205297, ' Yes': -2.2388432, 'No': -4.3041396, '\n': -6.4943132, 'Yes': -7.0157156}
{' Yes': -0.31342852, ' No': -1.3743815, 'Yes': -4.8077707, 'No': -5.2509093, ' The': -6.494685}
{' No': -0.0740882, ' Yes': -3.2532873, 'No': -3.4809616, '\n': -7.310189, 'Yes': -7.402787}
{' No': -0.080868006, ' Yes': -3.02467, 'No': -3.662241, '\n': -6.61957, 'Yes': -7.113325}
{' No': -0.023465838, 'No': -3.96685, ' Yes': -5.603725, '\n': -8.6086645, ' The': -8.633052}
{' No': -0.03158658, ' Yes': -4.082295, 'No': -4.3166265, '\n': -7.9304967, ' The': -8.556219}
{' No': -0.02947578, 'No': -3.6516109, ' Yes': -6.048738, ' The': -7.9274917, '\n': -8.665334}
{' No': -0.02557713, 'No': -4.3814883, ' Yes': -4.4406557, ' The': -7.875497, '\n': -8.279351}
{' No': -0.37342826, ' Yes': -1.2192439, 'No': -4.4700503, 'Yes': -5.5762897, '\n': -7.9883585}
{' No': -0.015659312, 'No': -4.4822483, ' Yes': -5.648235, ' The': -8.053036, '\n': -8.968854}
{' No': -0.03763616, 'No': -3.3478718, '\n': -7.2184753, ' Yes': -7.579182, ' The': -8.440836}
{' Yes': -0.04236395, ' No': -3.3785226, 'Yes': -5.1257777, ' The': -7.6388493, 'No': -7.89092}
{' No': -0.30684254, ' Yes': -1.3929193, 'No': -4.3655524, 'Yes': -6.1715007, ' The': -7.526134}
{' Yes': -0.5793157, ' No': -0.8667379, 'No': -5.0312104, '\n': -5.152165, 'Yes': -5.3736596}
{' No': -0.31093976, ' Yes': -1.4137592, 'No': -4.440496, '\n': -5.019691, 'Yes': -6.0504684}
{' No': -0.015755055, 'No': -4.615299, ' Yes': -5.24654, '\n': -8.4363365, ' The': -9.328669}
{' No': -0.029482963, 'No': -3.646903, ' Yes': -5.913909, '\n': -9.811379, 'Yes': -9.879319}
{' No': -0.21271743, ' Yes': -1.9117187, 'No': -3.4811728, '\n': -5.0438104, 'Yes': -5.5336056}
{' No': -0.101548165, ' Yes': -2.6795073, 'No': -3.8374548, ' The': -6.05522, '\n': -6.107247}
{' No': -0.017189622, 'No': -4.303004, ' Yes': -5.9415936, '\n': -8.02416, ' The': -8.383673}
{' No': -0.020086069, 'No': -4.1599345, ' Yes': -5.5587034, '\n': -8.623313, ' The': -9.773635}
{' Yes': -0.05367984, ' No': -3.0983272, 'Yes': -5.186815, 'No': -7.4028788, ' yes': -8.137675}
{' No': -0.60621184, ' Yes': -0.8255627, 'No': -4.6927876, 'Yes': -5.616494, ' "': -6.6271806}
{' No': -0.064057775, ' Yes': -3.1781647, 'No': -3.9296985, 'Yes': -7.79445, ' The': -9.263289}
{' No': -0.17817496, ' Yes': -2.0123594, 'No': -3.841913, '\n': -5.384775, 'Yes': -6.4519267}
{' Yes': -0.43077248, ' No': -1.1053768, 'No': -5.0453024, 'Yes': -5.0599895, '\n': -5.390992}
{' No': -0.056047413, 'No': -2.9720705, ' Yes': -5.9506183, '\n': -8.29107, ' The': -8.603292}
{' No': -0.11049373, ' Yes': -2.4451838, 'No': -4.1198797, 'Yes': -7.347449, ' The': -7.796609}
{' No': -0.029887954, 'No': -4.028938, ' Yes': -4.7527614, '\n': -6.2107725, ' The': -7.865951}
{' No': -0.09279896, ' Yes': -2.6982353, 'No': -3.9384542, 'Yes': -7.204713, ' The': -7.508862}
{' No': -0.069729775, ' Yes': -3.0556383, 'No': -3.97301, ' The': -7.600924, 'Yes': -7.7069173}
{' Yes': -0.5545511, ' No': -0.88029766, 'No': -5.28316, 'Yes': -5.689532, ' The': -6.6524568}
{' No': -0.50077116, ' Yes': -0.962504, 'No': -4.988138, 'Yes': -6.237202, ' The': -6.297314}
{' Yes': -0.30101427, ' No': -1.4100688, 'Yes': -5.217823, 'No': -5.5669713, '\n': -5.831116}
{' No': -0.15829793, ' Yes': -2.1065784, 'No': -3.9296372, ' The': -6.291658, '\n': -6.61135}
{' Yes': -0.29997158, ' No': -1.3992662, 'Yes': -5.4770117, '\n': -5.671363, 'No': -5.9910035}
{' Yes': -0.012421694, 'Yes': -4.5389795, ' No': -6.7563233, '\n': -8.166331, ' yes': -9.51905}
{' No': -0.029596597, ' Yes': -4.014326, 'No': -4.549053, '\n': -8.735285, 'Yes': -9.09206}
{' No': -0.042480305, 'No': -3.8751104, ' Yes': -3.9072797, ' The': -8.302652, 'Yes': -8.61088}
{' No': -0.022499818, 'No': -4.1730523, ' Yes': -5.0964494, ' The': -8.021659, ' Not': -8.859339}
{' No': -0.013083109, 'No': -4.4299717, ' Yes': -6.9514027, ' The': -9.524176, ' ': -11.187995}
{' Yes': -0.04936041, ' No': -3.1899471, 'Yes': -5.1420403, ' The': -7.507963, 'No': -7.9970794}
{' No': -0.42321038, ' Yes': -1.0837826, 'No': -5.3730736, 'Yes': -6.458931, ' The': -8.171974}
{' No': -0.010742302, 'No': -4.7544804, ' Yes': -6.425262, ' The': -8.928595, ' Unfortunately': -9.065069}
{' Yes': -0.6324216, ' No': -0.7728501, 'No': -5.703909, 'Yes': -6.163917, ' The': -7.115011}
{' No': -0.03696802, 'No': -3.7231307, ' Yes': -4.45223, ' The': -8.595403, 'Yes': -8.8679}
{' No': -0.017608114, 'No': -4.616679, ' Yes': -4.914529, ' The': -8.931619, 'Yes': -10.078778}
{' No': -0.02028057, 'No': -4.0954394, ' Yes': -5.758737, '\n': -9.436172, ' ': -9.915345}
{' No': -0.33795804, ' Yes': -1.3245494, 'No': -4.157269, 'Yes': -5.9871445, ' The': -6.296257}
{' No': -0.1921893, ' Yes': -1.8196937, 'No': -4.553218, 'Yes': -6.7437773, ' The': -7.2039557}
{' No': -0.04292669, ' Yes': -3.3497696, 'No': -5.0741744, ' The': -8.06295, 'Yes': -8.704868}
{' No': -0.33156958, ' Yes': -1.2979069, 'No': -5.061903, 'Yes': -6.734251, ' "': -7.317026}
{' No': -0.017714886, ' Yes': -4.512374, 'No': -5.114253, ' The': -8.483069, '\n': -8.584357}
{' No': -0.01606706, 'No': -4.5340285, ' Yes': -5.3056235, ' The': -9.692407, '\n': -10.155557}
{' No': -0.009502132, 'No': -5.031095, ' Yes': -5.9172645, ' The': -9.578116, '\n': -9.660407}
{' No': -0.22317645, ' Yes': -1.6794238, 'No': -4.6123557, ' The': -6.179404, 'Yes': -7.143344}
{' No': -0.0155909, 'No': -4.4692097, ' Yes': -5.59679, ' The': -8.741215, ' Not': -10.173519}
{' No': -0.10596781, ' Yes': -2.360038, 'No': -5.339481, '\n': -7.690024, ' The': -7.9260664}
{' No': -0.62751275, ' Yes': -0.7765302, 'No': -5.63481, 'Yes': -6.3122272, ' The': -7.970242}
{' No': -0.25377256, ' Yes': -1.5570524, 'No': -4.449209, 'Yes': -6.5488625, ' The': -9.209006}
{' No': -0.013420622, 'No': -4.4507527, ' Yes': -6.523567, ' The': -9.041008, ' Not': -10.81679}
{' No': -0.048804924, ' Yes': -3.3109925, 'No': -4.6261687, ' The': -7.6088824, '\n': -7.9647455}
{' No': -0.04715968, ' Yes': -3.460343, 'No': -4.3291326, ' The': -7.2442594, 'Yes': -8.289364}
{' No': -0.33787456, ' Yes': -1.2828056, 'No': -4.9184775, 'Yes': -6.62748, ' Not': -8.005189}
{' No': -0.1434016, ' Yes': -2.1601555, 'No': -4.1519427, 'Yes': -6.9230247, ' Not': -7.3874025}
{' No': -0.02054185, ' Yes': -4.258865, 'No': -5.1723437, ' The': -8.076727, ' Not': -9.683573}
{' No': -0.013329346, 'No': -4.9642053, ' Yes': -5.1726747, ' The': -8.291886, '\n': -9.276002}
{' No': -0.022808997, 'No': -4.208136, ' Yes': -4.9410906, ' The': -8.521554, '\n': -8.7867565}
{' No': -0.012686968, 'No': -4.9376593, ' Yes': -5.262428, ' The': -9.340806, '\n': -9.69266}
{' Yes': -0.003611429, 'Yes': -5.712283, ' No': -8.584383, ' yes': -9.635093, ' The': -10.58774}
{' Yes': -0.26407143, ' No': -1.4850587, 'Yes': -5.876597, 'No': -6.1400185, ' The': -7.9448075}
{' No': -0.025380129, ' Yes': -4.240111, 'No': -4.5996614, ' The': -8.309592, 'Yes': -9.23444}
{' No': -0.011827062, 'No': -4.458692, ' Yes': -9.35109, ' The': -10.258912, ' ': -11.03416}
{' No': -0.023715803, ' Yes': -4.411676, 'No': -4.517177, ' Not': -9.323771, 'Yes': -9.410487}
{' Yes': -0.6804547, ' No': -0.74156433, 'No': -4.493506, 'Yes': -5.253163, ' The': -7.452799}
{' Yes': -0.010231945, ' No': -5.0964537, 'Yes': -5.5680566, ' The': -9.29765, ' yes': -9.740301}
{' No': -0.013525016, 'No': -4.656187, ' Yes': -5.7235317, ' Not': -8.286461, ' The': -8.883282}
{' No': -0.024339093, 'No': -4.3090034, ' Yes': -4.5880923, ' The': -9.022271, ' Not': -9.217368}
{' No': -0.036522865, ' Yes': -3.642051, 'No': -4.729911, ' The': -7.7275167, 'Yes': -8.919802}
{' No': -0.19110216, ' Yes': -1.7964528, 'No': -5.049531, 'Yes': -7.153838, ' The': -8.02739}
{' Yes': -0.4379023, ' No': -1.0599153, 'Yes': -5.638154, 'No': -5.898931, ' The': -6.6228285}
{' No': -0.017448762, 'No': -4.5741806, ' Yes': -5.0263977, ' The': -8.5024605, ' Not': -9.670287}
{' No': -0.017570382, 'No': -4.0764976, ' Yes': -8.61809, ' The': -8.906624, ' Not': -9.960576}
{' Yes': -0.007567276, ' No': -5.4138474, 'Yes': -5.8629746, ' yes': -9.34186, '\n': -9.848509}
{' No': -0.1289073, ' Yes': -2.3065329, 'No': -3.9523723, 'Yes': -6.9951596, ' Not': -7.6185803}
{' No': -0.017627647, ' Yes': -4.3851504, 'No': -5.435768, ' The': -8.384721, '\n': -8.454754}
{' No': -0.028895227, ' Yes': -3.6985958, 'No': -5.692151, ' The': -8.971088, 'Yes': -9.15593}
{' No': -0.27292907, ' Yes': -1.4795579, 'No': -4.7713633, 'Yes': -6.6986146, ' The': -7.252156}
{' No': -0.009795644, 'No': -5.0972433, ' Yes': -5.688865, ' The': -9.682258, '\n': -9.799666}
{' No': -0.21433742, ' Yes': -1.6795989, 'No': -5.43027, ' The': -7.139075, 'Yes': -7.288832}
{' No': -0.030427301, ' Yes': -3.688802, 'No': -5.422229, ' The': -8.363576, '\n': -9.24063}
{' No': -0.050791968, ' Yes': -3.1704206, 'No': -4.9552565, 'Yes': -8.706684, ' ': -9.472889}
{' No': -0.02137378, ' Yes': -4.3324738, 'No': -4.8811183, ' The': -8.644996, 'Yes': -9.527644}
{' No': -0.013145795, 'No': -4.9753647, ' Yes': -5.1850853, ' The': -8.110613, ' Not': -8.943785}
{' No': -0.031235877, ' Yes': -3.681819, 'No': -5.2733874, ' The': -8.130555, 'Yes': -9.423611}
{' No': -0.054217204, ' Yes': -3.0606084, 'No': -5.241961, ' The': -8.611648, 'Yes': -8.719941}
{' No': -0.05087613, ' Yes': -3.144952, 'No': -5.1743617, '\n': -8.30446, ' The': -8.362926}
{' No': -0.02067851, ' Yes': -4.2435236, 'No': -5.217541, ' The': -7.9171305, '\n': -9.011012}
{' No': -0.020400891, ' Yes': -4.508238, 'No': -4.736326, ' The': -8.739098, '\n': -9.578494}
{' No': -0.108106755, ' Yes': -2.3587017, 'No': -4.939268, 'Yes': -7.773819, ' The': -8.996754}
{' Yes': -0.1324015, ' No': -2.1375015, 'Yes': -5.458573, 'No': -6.807612, ' The': -7.7316422}
{' No': -0.018972576, ' Yes': -4.181923, 'No': -5.782368, ' The': -8.458857, '\n': -9.185236}
{' No': -0.02841704, ' Yes': -3.9525998, 'No': -4.8503222, ' Not': -7.7401114, ' The': -8.454114}
{' No': -0.1172485, ' Yes': -2.291458, 'No': -4.79191, ' The': -7.76234, 'Yes': -7.8326926}
{' No': -0.03406753, ' Yes': -3.774607, 'No': -4.6570745, ' The': -7.82049, '\n': -8.364727}
{' No': -0.09985199, ' Yes': -2.425652, 'No': -5.1152616, 'Yes': -8.075657, ' The': -8.762215}
{' No': -0.022286054, ' Yes': -4.49849, 'No': -4.540976, ' The': -9.037579, 'Yes': -9.657536}
{' Yes': -0.43508798, ' No': -1.0665176, 'Yes': -5.8339334, 'No': -5.8454022, ' The': -6.1581464}
{' Yes': -0.6696132, ' No': -0.734444, 'No': -5.530613, 'Yes': -6.156982, ' The': -6.6024857}
{' No': -0.031888474, ' Yes': -4.05162, 'No': -4.293739, 'Yes': -9.048455, ' The': -9.319922}
{' No': -0.24387854, ' Yes': -1.6225786, 'No': -4.1019416, 'Yes': -6.4620485, ' The': -7.525958}
{' No': -0.011567506, 'No': -4.493442, ' Yes': -9.373141, ' Not': -9.383848, ' The': -9.808039}
{' No': -0.024493802, 'No': -3.73805, ' Yes': -9.293265, ' The': -9.382094, '\n': -9.414165}
{' No': -0.06681585, ' Yes': -3.0343392, 'No': -4.1780024, 'Yes': -7.7607603, ' "': -8.102332}
{' No': -0.056529567, ' Yes': -3.3166935, 'No': -4.0421386, 'Yes': -7.909351, ' The': -7.9985266}
{' No': -0.013877789, ' Yes': -4.942425, 'No': -5.07756, ' The': -8.510975, ' Not': -9.783598}
{' No': -0.11362279, ' Yes': -2.3294373, 'No': -4.8187885, ' The': -6.796629, 'Yes': -7.7836375}
{' No': -0.030912282, 'No': -3.9326513, ' Yes': -4.6238284, ' The': -7.8297005, ' Not': -8.3898115}
{' No': -0.008967874, 'No': -4.7530875, ' The': -9.4023485, ' Yes': -9.42405, '\n': -10.073089}
{' No': -0.010621873, 'No': -4.561411, ' "': -10.1784525, ' ': -10.359302, ' The': -10.959292}
{' No': -0.018658565, 'No': -3.9969566, ' The': -10.076158, ' ': -10.823737, '\n': -11.095046}
{' No': -0.028556434, 'No': -4.279556, ' Yes': -4.301471, ' Not': -8.507936, ' The': -8.730821}
{' No': -0.044759292, ' Yes': -3.2539382, 'No': -5.346498, ' The': -8.960145, 'Yes': -8.994603}
{' No': -0.064524256, ' Yes': -2.974373, 'No': -4.571366, ' The': -7.4612026, 'Yes': -8.342894}
{' No': -0.076513, ' Yes': -2.7385557, 'No': -4.8246365, ' The': -7.762081, 'Yes': -8.3692875}
{' No': -0.01366495, 'No': -4.358252, ' Yes': -7.4297905, '\n': -10.101235, ' The': -10.160815}
